Residual ID,Status,Source,Treatment,P13_DECISION_CHANGE_LOG Decision Treatment
CR-001,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-038,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-039,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-040,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-041,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-042,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-043,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-044,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-045,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-046,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
CR-047,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated
