Decision ID,Source/Step,Source Evidence,Affected Module/Scope,Classification,Trigger,Decision,Rationale/Handling,Authority,Impact,Affected Artifacts/Core Scope,Dependency,Status,Provenance
D-M01M15-011,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M03,AUGMENT,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: Sold/Rented excluded from public Search while retained in historical Agent-profile counts.,Plan discovery filter and historical-count projection.,M03,Semantic / architecture / evidence-boundary as applicable,M03-WP01; IP-04/IP-13,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-012,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M03,PRESERVE,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: Ordinary Listing Update is owner-only; Organization membership does not create edit authority.,Negative authorization planning.,M03,Semantic / architecture / evidence-boundary as applicable,M03-WP02; IP-04/IP-02,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-013,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M03,AUGMENT,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,"Retain/reconcile the obligation exactly as scoped: Address, Property Type, Land Size, Building Size lock after first successful Publish.",Plan field-lock state.,M03,Semantic / architecture / evidence-boundary as applicable,M03-WP02; IP-04,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-014,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M03,AUGMENT,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: Refresh default is 5 successful Refreshes per Agent per operational day; value must remain configurable.,M14 owns allowance/config; do not hardcode in M03.,M03,Semantic / architecture / evidence-boundary as applicable,M03-WP03; IP-04/IP-07,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-015,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M03,AUGMENT,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: No carry-forward; Asia/Jakarta operational-day reset; one successful Refresh per Listing/day.,Explicit temporal invariants.,M03,Semantic / architecture / evidence-boundary as applicable,M03-WP03; IP-04/IP-07,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-016,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M03,AUGMENT,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: Refresh remains within existing District; ordering latest successful first; timestamp tie first-recorded; server authoritative.,Plan deterministic Refresh semantics.,M03,Semantic / architecture / evidence-boundary as applicable,M03-WP03; IP-04,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-017,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M03,AUGMENT,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: Search cards use optimized derivatives; preserve aspect ratio; no original-resolution ordinary-card delivery.,Plan media derivative/display behavior.,M03,Semantic / architecture / evidence-boundary as applicable,M03-WP01; IP-04/IP-13,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-018,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M04,CONTROLLED,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: Partnership Learning Result physical realization is downstream controlled.,Record as downstream physical/API/RLS residual.,M04,Semantic / architecture / evidence-boundary as applicable,M04-WP04; IP-06,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CONTROLLED,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-019,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M04,CONTROLLED,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: Learning Reconciliation physical authorization mapping remains downstream.,Do not invent permission IDs.,M04,Semantic / architecture / evidence-boundary as applicable,M04-WP03; IP-06/IP-01,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CONTROLLED,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-020,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M04,CONTROLLED,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: Complete physical permission catalogue/seed mapping and RLS mapping remain downstream.,Evidence-gated.,M04,Semantic / architecture / evidence-boundary as applicable,M04-WP03; IP-01,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CONTROLLED,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-021,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M05,PRESERVE,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: Event Registration must remain distinct from Session Enrollment; waitlist/late-registration/cancellation/attendance rules remain explicit.,Plan state/interaction boundary.,M05,Semantic / architecture / evidence-boundary as applicable,M05-WP02; IP-05/IP-08,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-022,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M05,CONTROLLED,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: Provider-specific configuration and universal iframe behavior remain controlled/provider-dependent; no invented universal iframe field.,Plan provider adapter boundary.,M05,Semantic / architecture / evidence-boundary as applicable,M05-WP04; IP-05/IP-08,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CONTROLLED,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-023,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M06,AUGMENT,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: Developer company_logo and free-text “Tentang Developer” description are semantic source requirements.,Plan Core contract propagation; no physical mutation in P3.,M06,Semantic / architecture / evidence-boundary as applicable,M06-WP01; IP-03,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-024,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M06,PRESERVE,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: Project keeps meta_title/meta_description; do not introduce Project description as substitute.,Keep canonical source fields.,M06,Semantic / architecture / evidence-boundary as applicable,M06-WP01; IP-03,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-025,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M06,RECONCILE,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: Project media semantic boundary is photo/video; brochure/price_list physical allowance must not override semantics.,Flag physical reconciliation downstream.,M06,Semantic / architecture / evidence-boundary as applicable,M06-WP01; IP-03,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-026,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M06,ADD-NEW,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: Marketing Kit is a separate semantic resource; permissions: Developer own CRUD; Admin/Superadmin All; Manager/Agent View+Download; Buyer/Partner none.,Plan resource and authority; no API/DB invention.,M06,Semantic / architecture / evidence-boundary as applicable,M06-WP03; IP-03/IP-01,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-027,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M06,RECONCILE,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: Approved Claim → Agent-owned Listing initialization must preserve M03 Listing authority.,M06 seeds; M03 owns lifecycle.,M06,Semantic / architecture / evidence-boundary as applicable,M06-WP04; IP-03/IP-04,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-028,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M07,PRESERVE,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: No semantic M07 rewrite required; DBR/bank configuration remains M07 authority.,Plan configuration dependency only.,M07,Semantic / architecture / evidence-boundary as applicable,M07-WP01/02; IP-10/IP-12,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-029,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M07,PRESERVE,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: M09 configuration must not become generic DBR authority.,M07 remains source authority.,M07,Semantic / architecture / evidence-boundary as applicable,M07-WP04; IP-10/IP-12,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-030,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M08,PRESERVE,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: M08 remains projection/notification-only and cannot manufacture or mutate source business outcomes.,No mutation authority.,M08,Semantic / architecture / evidence-boundary as applicable,M08-WP01/04; IP-11,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-031,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M08,PRESERVE,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: Source event/status contracts must precede projection behavior; M08 must not block core source domains.,Downstream planning.,M08,Semantic / architecture / evidence-boundary as applicable,M08-WP03; IP-11,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-032,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M09,PRESERVE,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: M09 admin/config/audit remains bounded; domain modules retain business authority.,No authority inversion.,M09,Semantic / architecture / evidence-boundary as applicable,M09-WP01/02/04; IP-12,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-033,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M09,AUGMENT,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: Static Public Content and Announcement/Promotion lifecycle/configuration are explicitly represented in M09 planning where M09/applicable domain owns lifecycle.,Ensure public content lifecycle is not omitted.,M09,Semantic / architecture / evidence-boundary as applicable,M09-WP03; IP-12/IP-13,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-034,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M09,CONTROLLED,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: system_configs semantic view/manage is Superadmin-only; broader physical SELECT is a downstream M10/RLS hardening item.,Do not claim physical correction in P3.,M09,Semantic / architecture / evidence-boundary as applicable,M09-WP04; IP-01/IP-12,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CONTROLLED,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-035,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M09,PRESERVE,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,Retain/reconcile the obligation exactly as scoped: M09 must not become a universal prerequisite; only affected domain paths block on relevant configuration/moderation/reconciliation.,Keep conditional dependency.,M09,Semantic / architecture / evidence-boundary as applicable,M09-WP02; IP-12,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
D-M01M15-036,P3→P12_RECONCILIATION_EVIDENCE,P3 v1.1 obligation; P12_RECONCILIATION_EVIDENCE v1.1 documentary reconciliation,M10,PRESERVE,Material baseline change obligation identified in P3 and carried through P4–P12_RECONCILIATION_EVIDENCE.,"Retain/reconcile the obligation exactly as scoped: Role = actor grouping; Role Permission = baseline; Permission Preset = configurable target of an existing role, never a new role/outside baseline.",Locked governance.,M10,Semantic / architecture / evidence-boundary as applicable,M10-WP01/02; IP-01,P4 → P5 → P6/P7 → P8 → P9 → P10_AI_BLUEPRINT → P11_AI_CONTEXT → P12_RECONCILIATION_EVIDENCE,CURRENT,P3 M01–M15 Detailed Change Obligation Matrix v1.1; P12_RECONCILIATION_EVIDENCE M01–M15 Successor Delta Reconciliation v1.1
