Obligation No.,Module,Classification,P3 Work Package,Core Package,P13_DECISION_CHANGE_LOG Decision ID,Decision Status,P12_RECONCILIATION_EVIDENCE Documentary State
14,M03,AUGMENT,M03-WP03,IP-04/IP-07,D-M01M15-014,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
15,M03,AUGMENT,M03-WP03,IP-04/IP-07,D-M01M15-015,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
16,M03,AUGMENT,M03-WP03,IP-04,D-M01M15-016,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
17,M03,AUGMENT,M03-WP01,IP-04/IP-13,D-M01M15-017,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
18,M04,CONTROLLED,M04-WP04,IP-06,D-M01M15-018,CONTROLLED,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
19,M04,CONTROLLED,M04-WP03,IP-06/IP-01,D-M01M15-019,CONTROLLED,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
20,M04,CONTROLLED,M04-WP03,IP-01,D-M01M15-020,CONTROLLED,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
21,M05,PRESERVE,M05-WP02,IP-05/IP-08,D-M01M15-021,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
22,M05,CONTROLLED,M05-WP04,IP-05/IP-08,D-M01M15-022,CONTROLLED,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
23,M06,AUGMENT,M06-WP01,IP-03,D-M01M15-023,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
24,M06,PRESERVE,M06-WP01,IP-03,D-M01M15-024,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
25,M06,RECONCILE,M06-WP01,IP-03,D-M01M15-025,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
26,M06,ADD-NEW,M06-WP03,IP-03/IP-01,D-M01M15-026,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
27,M06,RECONCILE,M06-WP04,IP-03/IP-04,D-M01M15-027,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
28,M07,PRESERVE,M07-WP01/02,IP-10/IP-12,D-M01M15-028,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
29,M07,PRESERVE,M07-WP04,IP-10/IP-12,D-M01M15-029,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
30,M08,PRESERVE,M08-WP01/04,IP-11,D-M01M15-030,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
31,M08,PRESERVE,M08-WP03,IP-11,D-M01M15-031,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
32,M09,PRESERVE,M09-WP01/02/04,IP-12,D-M01M15-032,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
33,M09,AUGMENT,M09-WP03,IP-12/IP-13,D-M01M15-033,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
34,M09,CONTROLLED,M09-WP04,IP-01/IP-12,D-M01M15-034,CONTROLLED,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
35,M09,PRESERVE,M09-WP02,IP-12,D-M01M15-035,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
36,M10,PRESERVE,M10-WP01/02,IP-01,D-M01M15-036,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
37,M10,CONTROLLED,M10-WP03/04,IP-01,D-M01M15-037,CONTROLLED,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
38,M10,PRESERVE,M10-WP03,IP-01/IP-02,D-M01M15-038,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
39,M11,AUGMENT,M11-WP01,IP-13,D-M01M15-039,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
40,M11,PRESERVE,M11-WP02/04,IP-13,D-M01M15-040,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
41,M11,PRESERVE,M11-WP02,IP-13,D-M01M15-041,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
42,M11,RECONCILE,M11-WP01/04,IP-12/IP-13,D-M01M15-042,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
43,M12,RECONCILE,M12-WP01/04,IP-02/IP-12/IP-13,D-M01M15-043,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
44,M12,CONTROLLED,M12-WP04,IP-01/IP-02,D-M01M15-044,CONTROLLED,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
45,M12,PRESERVE,M12-WP01,IP-02,D-M01M15-045,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
46,M13,RECONCILE,M13-WP01,IP-14/IP-01,D-M01M15-046,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
47,M13,RECONCILE,M13-WP02,IP-14/IP-01,D-M01M15-047,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
48,M13,AUGMENT,M13-WP02/03,IP-14/IP-01,D-M01M15-048,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
49,M13,CONTROLLED,M13-WP03,IP-14/IP-01,D-M01M15-049,CONTROLLED,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
50,M14,AUGMENT,M14-WP01/03,IP-07,D-M01M15-050,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
51,M14,AUGMENT,M14-WP01/02,IP-07,D-M01M15-051,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
52,M14,AUGMENT,M14-WP02/03,IP-07,D-M01M15-052,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
53,M14,AUGMENT,M14-WP04,IP-07/IP-04,D-M01M15-053,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
54,M14,PRESERVE,M14-WP01/03,IP-07,D-M01M15-054,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
55,M15,PRESERVE,M15-WP01/02/03,IP-09/IP-06/IP-07,D-M01M15-055,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
56,M15,PRESERVE,M15-WP03/04,IP-09/IP-02/IP-11/IP-13,D-M01M15-056,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
57,M15,CONTROLLED,M15-WP02/03,IP-09/IP-01,D-M01M15-057,CONTROLLED,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage
