module,source_scope,finding,classification,p3_work_package,core_package,handling
M06,M06 Core Impact,Project media semantic boundary is photo/video; brochure/price_list physical allowance must not override semantics.,RECONCILE,M06-WP01,IP-03,Flag physical reconciliation downstream.
M06,M06 Core Impact,Marketing Kit is a separate semantic resource; permissions: Developer own CRUD; Admin/Superadmin All; Manager/Agent View+Download; Buyer/Partner none.,ADD-NEW,M06-WP03,IP-03/IP-01,Plan resource and authority; no API/DB invention.
M06,M06 Core Impact,Approved Claim → Agent-owned Listing initialization must preserve M03 Listing authority.,RECONCILE,M06-WP04,IP-03/IP-04,M06 seeds; M03 owns lifecycle.
M07,M07 Core Impact,No semantic M07 rewrite required; DBR/bank configuration remains M07 authority.,PRESERVE,M07-WP01/02,IP-10/IP-12,Plan configuration dependency only.
M07,M07 Core Impact,M09 configuration must not become generic DBR authority.,PRESERVE,M07-WP04,IP-10/IP-12,M07 remains source authority.
M08,M08 Core Impact,M08 remains projection/notification-only and cannot manufacture or mutate source business outcomes.,PRESERVE,M08-WP01/04,IP-11,No mutation authority.
M08,M08 Core Impact,Source event/status contracts must precede projection behavior; M08 must not block core source domains.,PRESERVE,M08-WP03,IP-11,Downstream planning.
M09,M09 Core Impact,M09 admin/config/audit remains bounded; domain modules retain business authority.,PRESERVE,M09-WP01/02/04,IP-12,No authority inversion.
M09,M09 Core Impact,Static Public Content and Announcement/Promotion lifecycle/configuration are explicitly represented in M09 planning where M09/applicable domain owns lifecycle.,AUGMENT,M09-WP03,IP-12/IP-13,Ensure public content lifecycle is not omitted.
M09,M09 Core Impact,system_configs semantic view/manage is Superadmin-only; broader physical SELECT is a downstream M10/RLS hardening item.,CONTROLLED,M09-WP04,IP-01/IP-12,Do not claim physical correction in P3.
M09,M09 Core Impact,M09 must not become a universal prerequisite; only affected domain paths block on relevant configuration/moderation/reconciliation.,PRESERVE,M09-WP02,IP-12,Keep conditional dependency.
M10,M10 Core Impact,"Role = actor grouping; Role Permission = baseline; Permission Preset = configurable target of an existing role, never a new role/outside baseline.",PRESERVE,M10-WP01/02,IP-01,Locked governance.
M10,M10 Core Impact,M10 remains authorization/RBAC/Scope/RLS authority; exact physical permission IDs remain controlled/open where evidence absent.,CONTROLLED,M10-WP03/04,IP-01,No invented IDs.
M10,M10 Core Impact,Condition/ownership/organization graph must remain explicit without transferring domain business authority.,PRESERVE,M10-WP03,IP-01/IP-02,Cross-domain authorization graph.
M11,M11 Core Impact,"M11 public surface registry must include ten mandatory surfaces, including Static Public Content and Announcement/Promotion.",AUGMENT,M11-WP01,IP-13,Explicit ten-surface registry.
M11,M11 Core Impact,"M11 exposes SEO, public discovery, tracking and measurement; it does not own lifecycle/business outcomes.",PRESERVE,M11-WP02/04,IP-13,Observation/discovery boundary.
M11,M11 Core Impact,Public/private indexing must follow authoritative domain visibility; private/protected resources excluded.,PRESERVE,M11-WP02,IP-13,No public-data leakage.
M11,M11 Core Impact,Static Public Content and Announcement/Promotion must propagate through discovery/measurement without transferring lifecycle authority to M11.,RECONCILE,M11-WP01/04,IP-12/IP-13,M09/domain lifecycle → M11 discovery.
M12,M12 Core Impact,"Organization Public Content ownership wording must preserve M12 context/ownership, M09 applicable admin/config, M11 discovery.",RECONCILE,M12-WP01/04,IP-02/IP-12/IP-13,Controlled boundary.
M12,M12 Core Impact,Physical ORG-ADMIN label must not create a new platform Organization Admin role.,CONTROLLED,M12-WP04,IP-01/IP-02,Downstream auth mapping.
M12,M12 Core Impact,Lead Exit → CLOSING → CLOSED; no Lead Transfer/successor/privilege inheritance.,PRESERVE,M12-WP01,IP-02,Lifecycle invariant.
M13,M13 Core Impact,Provider Catalogue mutation is Superadmin-only; historical Admin-curated wording must not persist.,RECONCILE,M13-WP01,IP-14/IP-01,Core/API/RLS traceability.
M13,M13 Core Impact,BYOK ownership is Agent/User OWN; no broad internal-role ownership.,RECONCILE,M13-WP02,IP-14/IP-01,Ownership/security boundary.
M13,M13 Core Impact,"Complete connection lifecycle, invocation precondition, raw-credential privacy, provider retirement/outage and bulk-revoke execution mode must be explicit.",AUGMENT,M13-WP02/03,IP-14/IP-01,Plan lifecycle/security propagation.
M13,M13 Core Impact,Exact lifecycle/API/RLS/uniqueness/disconnect/force-action details remain downstream evidence-gated.,CONTROLLED,M13-WP03,IP-14/IP-01,No invented identifiers.
M14,M14 Core Impact,Subscription/add-on lifecycle and temporal invariants require explicit Core contract mapping.,AUGMENT,M14-WP01/03,IP-07,Planning traceability.
M14,M14 Core Impact,Purchase snapshot and confirmed_at invariants must be explicit.,AUGMENT,M14-WP01/02,IP-07,Immutable commercial evidence.
M14,M14 Core Impact,"Trusted payment verification, idempotent fulfillment, entitlement lifecycle, quota chain and reconciliation require explicit mapping.",AUGMENT,M14-WP02/03,IP-07,Provider evidence is not confirmation.
M14,M14 Core Impact,"Refresh Allowance is additive M14 authority; M14 owns allowance, M03 owns action/eligibility/consumption; no new M14 permission.",AUGMENT,M14-WP04,IP-07/IP-04,Explicit cross-module contract.
M14,M14 locked scope,Q01–Q64 belong to M14; do not reattribute them to M15.,PRESERVE,M14-WP01/03,IP-07,Scope-control invariant.
M15,M15 current baseline,M15 owns qualification/evidence evaluation/Award; consumes M04 evidence and must not absorb M14 Q01–Q64.,PRESERVE,M15-WP01/02/03,IP-09/IP-06/IP-07,Maintain authority boundary.
M15,M15 current baseline,Award provenance/rule-version snapshot and appeal/presentation remain explicit; presentation is downstream/non-owning.,PRESERVE,M15-WP03/04,IP-09/IP-02/IP-11/IP-13,No Award issuance leakage.
M15,M15 current baseline,Physical permission IDs/API/RLS/runtime remain downstream controlled; no invented authority identifiers.,CONTROLLED,M15-WP02/03,IP-09/IP-01,Evidence-gated.
