sync_id,finding_id,module,step03_relationship_id,dependency,dependency_statement,classification,linkage_status
STEP04-0032,M03-CI-001,M03,SR-0500,M06/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,RECONCILE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0033,M03-CI-002,M03,SR-0500,M06/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0034,M03-CI-003,M03,SR-0461,M06/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0035,M03-CI-004,M03,SR-0500,M06/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0036,M03-CI-005,M03,SR-0461,M06/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0037,M03-CI-006,M03,SR-0740,M06/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,ADD-NEW,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0038,M03-CI-007,M03,SR-0725,M06/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0039,M03-CI-008,M03,SR-0725,M06/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0040,M03-CI-009,M03,SR-0074,M06/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,ADD-NEW,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0041,M03-CI-010,M03,SR-0074,M06/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,ADD-NEW,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0042,M03-CI-011,M03,SR-0074,M06/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,ADD-NEW,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0043,M03-CI-012,M03,SR-0074,M06/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,ADD-NEW,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0044,M03-CI-013,M03,SR-0485,M06/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0045,M03-CI-014,M03,SR-0740,M06/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,ADD-NEW,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0046,M03-CI-015,M03,SR-0074,M06/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,ADD-NEW,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0047,M03-CI-016,M03,SR-0074,M06/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,ADD-NEW,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0048,M03-CI-017,M03,SR-0725,M06/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0049,M03-CI-018,M03,SR-0389,M06/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,ADD-NEW,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0050,M03-CI-019,M03,SR-F-0008,M06/M11/M14,,PRESERVE,DETERMINISTIC_EXPLICIT_FINDING_RELATIONSHIP
STEP04-0051,M03-CI-020,M03,SR-0074,M06/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,NO-PROPAGATION,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0052,M03-CI-021,M03,SR-0740,M06/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,CONTROLLED,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0053,M04-CI-001,M04,SR-0075,M10/M14/M15,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0054,M04-CI-002,M04,SR-0075,M10/M14/M15,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0055,M04-CI-003,M04,SR-0075,M10/M14/M15,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0056,M04-CI-004,M04,SR-0075,M10/M14/M15,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0057,M04-CI-005,M04,SR-0075,M10/M14/M15,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0058,M04-CI-006,M04,SR-0075,M10/M14/M15,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0059,M04-CI-007,M04,SR-0075,M10/M14/M15,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0060,M04-CI-008,M04,SR-0075,M10/M14/M15,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0061,M04-CI-009,M04,SR-0075,M10/M14/M15,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0062,M04-CI-010,M04,SR-0075,M10/M14/M15,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,ADD-NEW,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0063,M04-CI-011,M04,SR-0075,M10/M14/M15,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0064,M04-CI-012,M04,SR-0075,M10/M14/M15,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0065,M04-CI-013,M04,SR-0075,M10/M14/M15,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,CONTROLLED,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0066,M04-CI-014,M04,SR-0846,M10/M14/M15,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,CONTROLLED,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0067,M04-CI-015,M04,SR-0075,M10/M14/M15,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,CONTROLLED,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0068,M04-CI-016,M04,SR-0404,M10/M14/M15,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,CONTROLLED,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0069,M04-CI-017,M04,SR-0075,M10/M14/M15,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,CONTROLLED,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0070,M06-CI-001,M06,SR-0182,M03/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,AUGMENT,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0071,M06-CI-002,M06,SR-0077,M03/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0072,M06-CI-003,M06,SR-0450,M03/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0073,M06-CI-004,M06,SR-0077,M03/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0074,M06-CI-005,M06,SR-0077,M03/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0075,M06-CI-006,M06,SR-0077,M03/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,ADD-NEW,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0076,M06-CI-007,M06,SR-0077,M03/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,RECONCILE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0077,M06-CI-008,M06,SR-0152,M03/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,ADD-NEW,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0078,M06-CI-009,M06,SR-0406,M03/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,AUGMENT,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0079,M06-CI-010,M06,SR-0743,M03/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,AUGMENT,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0080,M06-CI-011,M06,SR-0406,M03/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,AUGMENT,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0081,M06-CI-012,M06,SR-0182,M03/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,ADD-NEW,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0082,M06-CI-013,M06,SR-0152,M03/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,CONTROLLED,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0083,M06-CI-014,M06,SR-0743,M03/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,AUGMENT,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0084,M06-CI-015,M06,SR-0152,M03/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,CONTROLLED,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0085,M06-CI-016,M06,SR-0077,M03/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,CONTROLLED,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0086,M06-CI-017,M06,SR-0420,M03/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,CONTROLLED,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0087,M06-CI-018,M06,SR-0152,M03/M11/M14,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0088,M07-IA-001,M07,SR-0078,M09/M10,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0089,M07-IA-002,M07,SR-0078,M09/M10,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0090,M07-IA-003,M07,SR-0183,M09/M10,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,CONTROLLED,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0091,M07-IA-004,M07,SR-0436,M09/M10,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,CONTROLLED,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0092,M07-IA-005,M07,SR-0393,M09/M10,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,CONTROLLED,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0093,M07-IA-006,M07,SR-F-0009,M09/M10,,PRESERVE,DETERMINISTIC_EXPLICIT_FINDING_RELATIONSHIP
STEP04-0094,M07-IA-007,M07,SR-0436,M09/M10,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0095,M07-IA-008,M07,SR-0519,M09/M10,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0096,M07-IA-009,M07,SR-0183,M09/M10,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0097,M07-IA-010,M07,SR-0078,M09/M10,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0098,M07-IA-011,M07,SR-0078,M09/M10,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0099,M07-IA-012,M07,SR-0078,M09/M10,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0100,M07-IA-013,M07,SR-0744,M09/M10,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0101,M07-IA-014,M07,SR-0474,M09/M10,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0102,M07-IA-015,M07,SR-0474,M09/M10,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0103,M07-IA-016,M07,SR-0078,M09/M10,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0104,M07-IA-017,M07,SR-0519,M09/M10,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0105,M07-IA-018,M07,SR-0519,M09/M10,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0106,M07-IA-019,M07,SR-0078,M09/M10,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,CONTROLLED,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0107,M08-IA-01,M08,SR-0394,M01-M15 upstream sources,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0108,M08-IA-02,M08,SR-0394,M01-M15 upstream sources,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0109,M08-IA-03,M08,SR-0394,M01-M15 upstream sources,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0110,M08-IA-04,M08,SR-0394,M01-M15 upstream sources,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0111,M08-IA-05,M08,SR-0394,M01-M15 upstream sources,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0112,M08-IA-06,M08,SR-0394,M01-M15 upstream sources,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
STEP04-0113,M08-IA-07,M08,SR-0394,M01-M15 upstream sources,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED
