sync_id,finding_id,module,module_authority_artifact,step03_relationship_id,core_artifact_id,authority_owner,authority_source_artifact,authority_basis,linkage_status,linkage_basis,historical_core_artifact_id
STEP04-0011,M01-CI-011,M01,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0723,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Engineering alignment is controlled by Core governance,DETERMINISTIC_CROSSWALK_VALIDATED,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0066
STEP04-0012,M01-CI-012,M01,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,SR-F-0004,CAM11-0045,M01–M07 EXECUTION CONTEXT; MODULE AUTHORITIES REMAIN SEMANTIC AUTHORITY,M01–M07 CURRENT AUTHORITY ARTIFACT SET,Focused execution pack is downstream execution context,DETERMINISTIC_EXPLICIT_FINDING_RELATIONSHIP,Exact finding-level relationship created in STEP03 v1.3 from current module authority + exact Core artifact + exact section/evidence anchor.,CAM11-0076
STEP04-0013,M01-CI-013,M01,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0072,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,CORE ARCHITECTURE,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Core architecture is governed as immutable Core semantic contract,DETERMINISTIC_CROSSWALK_VALIDATED,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0011
STEP04-0014,M01-CI-014,M01,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0072,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,CORE ARCHITECTURE,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Core architecture is governed as immutable Core semantic contract,DETERMINISTIC_CROSSWALK_VALIDATED,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0011
STEP04-0015,M02-CI-001,M02,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0499,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,CORE MODULE PLANNING AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Current module delivery planning contract,DETERMINISTIC_CROSSWALK_VALIDATED,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0040
STEP04-0016,M02-CI-002,M02,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0416,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,CORE FUNCTIONAL CONTRACT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Functional contract under Core governance,DETERMINISTIC_CROSSWALK_VALIDATED,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0034
STEP04-0017,M02-CI-003,M02,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0724,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Engineering alignment is controlled by Core governance,DETERMINISTIC_CROSSWALK_VALIDATED,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0066
STEP04-0018,M02-CI-004,M02,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0460,17_SEO_ANALYTICS/W4-02A.6.21_SEO_ANALYTICS_SPECIFICATION_DISCOVERY_MEASUREMENT_BASELINE_v2.1.md,M11 PUBLIC DISCOVERY / SEO / MEASUREMENT AUTHORITY,RUMAHAGEN_WF03_M11_FULL_REBUILD_CONTROLLED_v2.0_FULL_VERSION/RUMAHAGEN_WF03_M11_FULL_REBUILD_CONTROLLED_v2.0_FULL_VERSION.md,"M11 owns public discovery, SEO, tracking and measurement",DETERMINISTIC_CROSSWALK_VALIDATED,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0037
STEP04-0019,M02-CI-005,M02,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0724,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Engineering alignment is controlled by Core governance,DETERMINISTIC_CROSSWALK_VALIDATED,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0066
STEP04-0020,M02-CI-006,M02,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,SR-F-0005,CAM11-0034,CORE FUNCTIONAL CONTRACT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Functional contract under Core governance,DETERMINISTIC_EXPLICIT_FINDING_RELATIONSHIP,Exact finding-level relationship created in STEP03 v1.3 from current module authority + exact Core artifact + exact section/evidence anchor.,CAM11-0076
STEP04-0021,M02-CI-007,M02,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0724,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Engineering alignment is controlled by Core governance,DETERMINISTIC_CROSSWALK_VALIDATED,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0066
STEP04-0022,M02-CI-008,M02,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0724,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Engineering alignment is controlled by Core governance,DETERMINISTIC_CROSSWALK_VALIDATED,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0066
STEP04-0023,M02-CI-009,M02,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0073,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,CORE ARCHITECTURE,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Core architecture is governed as immutable Core semantic contract,DETERMINISTIC_CROSSWALK_VALIDATED,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0011
STEP04-0024,M02-CI-010,M02,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,SR-F-0006,CAM11-0035,CORE TECHNICAL CONTRACT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Technical implementation contract under Core governance,DETERMINISTIC_EXPLICIT_FINDING_RELATIONSHIP,Exact finding-level relationship created in STEP03 v1.3 from current module authority + exact Core artifact + exact section/evidence anchor.,CAM11-0076
STEP04-0025,M02-CI-011,M02,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,SR-F-0010,CAM11-0034,CORE FUNCTIONAL CONTRACT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Functional contract under Core governance,DETERMINISTIC_EXPLICIT_FINDING_RELATIONSHIP,"STEP03-A v1.0 establishes a deterministic current-Core target: primary exact anchor CAM11-0034 §6.1 FR-M01-001 lines 340–372. Corroborating exact UI/UX anchor is linked as SR-F-0011 (CAM11-0036 §9.3 lines 666–680). Current M01/M02 semantic authorities state KTP DEFERRED/NOT_PROVIDED → ACTIVE → HOME with no PENDING_REVIEW; Core functional/UI evidence states verification documents → PENDING_REVIEW → reviewer approval → ACTIVE. This is an explicit semantic conflict candidate, not an inferred mapping.",CAM11-0076
STEP04-0026,M02-CI-012,M02,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0724,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Engineering alignment is controlled by Core governance,DETERMINISTIC_CROSSWALK_VALIDATED,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0066
STEP04-0027,M02-CI-013,M02,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0724,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Engineering alignment is controlled by Core governance,DETERMINISTIC_CROSSWALK_VALIDATED,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0066
STEP04-0028,M02-CI-014,M02,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0724,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Engineering alignment is controlled by Core governance,DETERMINISTIC_CROSSWALK_VALIDATED,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0066
STEP04-0029,M02-CI-015,M02,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,SR-F-0007,CAM11-0046,M01–M07 EXECUTION CONTEXT; MODULE AUTHORITIES REMAIN SEMANTIC AUTHORITY,M01–M07 CURRENT AUTHORITY ARTIFACT SET,Focused execution pack is downstream execution context,DETERMINISTIC_EXPLICIT_FINDING_RELATIONSHIP,Exact finding-level relationship created in STEP03 v1.3 from current module authority + exact Core artifact + exact section/evidence anchor.,CAM11-0076
STEP04-0030,M02-CI-016,M02,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0073,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,CORE ARCHITECTURE,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Core architecture is governed as immutable Core semantic contract,DETERMINISTIC_CROSSWALK_VALIDATED,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0011
STEP04-0031,M02-CI-017,M02,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0073,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,CORE ARCHITECTURE,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Core architecture is governed as immutable Core semantic contract,DETERMINISTIC_CROSSWALK_VALIDATED,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0011
STEP04-0032,M03-CI-001,M03,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,SR-0500,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,CORE MODULE PLANNING AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Current module delivery planning contract,DETERMINISTIC_CROSSWALK_VALIDATED,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0040
STEP04-0033,M03-CI-002,M03,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,SR-0500,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,CORE MODULE PLANNING AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Current module delivery planning contract,DETERMINISTIC_CROSSWALK_VALIDATED,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0040
STEP04-0034,M03-CI-003,M03,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,SR-0461,17_SEO_ANALYTICS/W4-02A.6.21_SEO_ANALYTICS_SPECIFICATION_DISCOVERY_MEASUREMENT_BASELINE_v2.1.md,M11 PUBLIC DISCOVERY / SEO / MEASUREMENT AUTHORITY,RUMAHAGEN_WF03_M11_FULL_REBUILD_CONTROLLED_v2.0_FULL_VERSION/RUMAHAGEN_WF03_M11_FULL_REBUILD_CONTROLLED_v2.0_FULL_VERSION.md,"M11 owns public discovery, SEO, tracking and measurement",DETERMINISTIC_CROSSWALK_VALIDATED,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0037
STEP04-0035,M03-CI-004,M03,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,SR-0500,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,CORE MODULE PLANNING AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Current module delivery planning contract,DETERMINISTIC_CROSSWALK_VALIDATED,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0040
STEP04-0036,M03-CI-005,M03,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,SR-0461,17_SEO_ANALYTICS/W4-02A.6.21_SEO_ANALYTICS_SPECIFICATION_DISCOVERY_MEASUREMENT_BASELINE_v2.1.md,M11 PUBLIC DISCOVERY / SEO / MEASUREMENT AUTHORITY,RUMAHAGEN_WF03_M11_FULL_REBUILD_CONTROLLED_v2.0_FULL_VERSION/RUMAHAGEN_WF03_M11_FULL_REBUILD_CONTROLLED_v2.0_FULL_VERSION.md,"M11 owns public discovery, SEO, tracking and measurement",DETERMINISTIC_CROSSWALK_VALIDATED,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0037
STEP04-0037,M03-CI-006,M03,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,SR-0740,27_AI_BLUEPRINT/W4-02A.6.31_AI_DEVELOPMENT_BLUEPRINT_v2.1.md,CORE AI DEVELOPMENT BLUEPRINT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,AI development blueprint is controlled project context,DETERMINISTIC_CROSSWALK_VALIDATED,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0067
STEP04-0038,M03-CI-007,M03,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,SR-0725,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Engineering alignment is controlled by Core governance,DETERMINISTIC_CROSSWALK_VALIDATED,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0066
