finding_id,module,recon_semantic_detail_finding,module_authority_artifact,step03_relationship_id,core_artifact_id,core_artifact,core_section_heading,authority_owner,authority_source_artifact,authority_basis,authority_scope,core_evidence_line,core_evidence_excerpt,dependency,proposed_synchronization_action,classification,linkage_status,candidate_count,linkage_basis,historical_core_artifact_id,historical_core_section_heading
M01-CI-011,M01,Identity dependencies M02/M03/M06,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0723,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,# RUMAHAGEN — W4-02A.6.30,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Engineering alignment is controlled by Core governance,FULL semantic rebuild; current M01 identity/authentication authority,4.0,**Version:** 2.1,M02/M10/M12/M14/M15 as governed dependencies,Preserve existing Core semantic/detail contract; retain provenance.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED,1,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0066,# RUMAHAGEN — W4-02A.6.30
M01-CI-012,M01,Physical/runtime separation,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,SR-F-0004,CAM11-0045,23_M01_M07/W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1_EXTRACTED/RUMAHAGEN_W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1/M01_PHYSICAL_EXECUTION_SPEC_v2.1.md,## 19. Controlled residuals,M01–M07 EXECUTION CONTEXT; MODULE AUTHORITIES REMAIN SEMANTIC AUTHORITY,M01–M07 CURRENT AUTHORITY ARTIFACT SET,Focused execution pack is downstream execution context,FULL semantic rebuild; current M01 identity/authentication authority,144.0,## 19. Controlled residuals - Runtime verification remains downstream in W4-03. - Exact physical permission seeds/IDs remain downstream unless frozen by current authority. - Provider operational/runtime behavior remains downstream where applicable.,M02/M10/M12/M14/M15 as governed dependencies,Preserve existing Core semantic/detail contract; retain provenance.,PRESERVE,DETERMINISTIC_EXPLICIT_FINDING_RELATIONSHIP,1,Exact finding-level relationship created in STEP03 v1.3 from current module authority + exact Core artifact + exact section/evidence anchor.,CAM11-0076,# RUMAHAGEN — WIREFRAME CORE FINAL SOURCE PACK v1.1
M01-CI-013,M01,M01 physical/runtime status,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0072,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,"# developer-projects, calculator (dbr), notifications, rbac, seo",CORE ARCHITECTURE,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Core architecture is governed as immutable Core semantic contract,FULL semantic rebuild; current M01 identity/authentication authority,1.0,RUMAHAGEN — SYSTEM ARCHITECTURE,M02/M10/M12/M14/M15 as governed dependencies,Track downstream physical/API/RLS/runtime work; do not convert implementation status into semantic proof.,CONTROLLED,DETERMINISTIC_CROSSWALK_VALIDATED,1,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0011,"# developer-projects, calculator (dbr), notifications, rbac, seo"
M01-CI-014,M01,M01 public profile authority,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0072,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,"# developer-projects, calculator (dbr), notifications, rbac, seo",CORE ARCHITECTURE,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Core architecture is governed as immutable Core semantic contract,FULL semantic rebuild; current M01 identity/authentication authority,1.0,RUMAHAGEN — SYSTEM ARCHITECTURE,M02/M10/M12/M14/M15 as governed dependencies,Do not propagate this finding into the target Core contract; retain provenance.,NO-PROPAGATION,DETERMINISTIC_CROSSWALK_VALIDATED,1,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0011,"# developer-projects, calculator (dbr), notifications, rbac, seo"
M02-CI-001,M02,Agent Profile — View,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0499,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,# RUMAHAGEN — REVISED MODULE PLANNING,CORE MODULE PLANNING AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Current module delivery planning contract,FULL semantic rebuild; current M02 profile/reviews/visibility authority,4.0,**Version:** 2.1 — W4-02A.6.24,M01/M03/M11/M12,Preserve existing Core semantic/detail contract; retain provenance.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED,1,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0040,# RUMAHAGEN — REVISED MODULE PLANNING
M02-CI-002,M02,Agent Profile — Update,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0416,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,# RUMAHAGEN — FUNCTIONAL SPECIFICATION,CORE FUNCTIONAL CONTRACT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Functional contract under Core governance,FULL semantic rebuild; current M02 profile/reviews/visibility authority,4.0,**Version:** 2.1 — W4-02A.6.18,M01/M03/M11/M12,Preserve existing Core semantic/detail contract; retain provenance.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED,1,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0034,# RUMAHAGEN — FUNCTIONAL SPECIFICATION
M02-CI-003,M02,Profile Visibility — PUBLIC/PRIVATE,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0724,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,# RUMAHAGEN — W4-02A.6.30,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Engineering alignment is controlled by Core governance,FULL semantic rebuild; current M02 profile/reviews/visibility authority,4.0,**Version:** 2.1,M01/M03/M11/M12,Preserve existing Core semantic/detail contract; retain provenance.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED,1,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0066,# RUMAHAGEN — W4-02A.6.30
M02-CI-004,M02,Public CTA — explicit opt-in,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0460,17_SEO_ANALYTICS/W4-02A.6.21_SEO_ANALYTICS_SPECIFICATION_DISCOVERY_MEASUREMENT_BASELINE_v2.1.md,17_SEO_ANALYTICS/W4-02A.6.21_SEO_ANALYTICS_SPECIFICATION_DISCOVERY_MEASUREMENT_BASELINE_v2.1.md,# RUMAHAGEN --- SEO / ANALYTICS SPECIFICATION,M11 PUBLIC DISCOVERY / SEO / MEASUREMENT AUTHORITY,RUMAHAGEN_WF03_M11_FULL_REBUILD_CONTROLLED_v2.0_FULL_VERSION/RUMAHAGEN_WF03_M11_FULL_REBUILD_CONTROLLED_v2.0_FULL_VERSION.md,"M11 owns public discovery, SEO, tracking and measurement",FULL semantic rebuild; current M02 profile/reviews/visibility authority,5.0,**Version:** 2.1 --- W4-02A.6.21\,M01/M03/M11/M12,Preserve existing Core semantic/detail contract; retain provenance.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED,1,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0037,# RUMAHAGEN --- SEO / ANALYTICS SPECIFICATION
M02-CI-005,M02,Superadmin visibility/CTA override,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0724,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,# RUMAHAGEN — W4-02A.6.30,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Engineering alignment is controlled by Core governance,FULL semantic rebuild; current M02 profile/reviews/visibility authority,4.0,**Version:** 2.1,M01/M03/M11/M12,Preserve existing Core semantic/detail contract; retain provenance.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED,1,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0066,# RUMAHAGEN — W4-02A.6.30
M02-CI-006,M02,Review Create — OWN,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,SR-F-0005,CAM11-0034,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,## 7.4 FR-M02-004 — Review,CORE FUNCTIONAL CONTRACT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Functional contract under Core governance,FULL semantic rebuild; current M02 profile/reviews/visibility authority,469.0,## 7.4 FR-M02-004 — Review  ```text Buyer → select Agent → submit review → PENDING → moderation → APPROVED / REJECTED ```  Current PRD preserves:  - one active Buyer review per Agent; - later submission replaces prior active review; - Buyer may review multiple Agents; - Agent self-review is allowed; - Agent self-review is auto-approved; - approved reviews contribute to aggregate rating;,M01/M03/M11/M12,Preserve existing Core semantic/detail contract; retain provenance.,PRESERVE,DETERMINISTIC_EXPLICIT_FINDING_RELATIONSHIP,1,Exact finding-level relationship created in STEP03 v1.3 from current module authority + exact Core artifact + exact section/evidence anchor.,CAM11-0076,# RUMAHAGEN — WIREFRAME CORE FINAL SOURCE PACK v1.1
M02-CI-007,M02,Review View,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0724,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,# RUMAHAGEN — W4-02A.6.30,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Engineering alignment is controlled by Core governance,FULL semantic rebuild; current M02 profile/reviews/visibility authority,4.0,**Version:** 2.1,M01/M03/M11/M12,Preserve existing Core semantic/detail contract; retain provenance.,PRESERVE,DETERMINISTIC_CROSSWALK_VALIDATED,1,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0066,# RUMAHAGEN — W4-02A.6.30
M02-CI-008,M02,Review Auto-Approve / post-publication moderation,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0724,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,# RUMAHAGEN — W4-02A.6.30,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Engineering alignment is controlled by Core governance,FULL semantic rebuild; current M02 profile/reviews/visibility authority,4.0,**Version:** 2.1,M01/M03/M11/M12,Hand only the contradictory semantic portion to STEP05; preserve unrelated Core detail.,RECONCILE,DETERMINISTIC_CROSSWALK_VALIDATED,1,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0066,# RUMAHAGEN — W4-02A.6.30
M02-CI-009,M02,Outcome Presentation — non-owning,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,SR-0073,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,"# developer-projects, calculator (dbr), notifications, rbac, seo",CORE ARCHITECTURE,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Core architecture is governed as immutable Core semantic contract,FULL semantic rebuild; current M02 profile/reviews/visibility authority,1.0,RUMAHAGEN — SYSTEM ARCHITECTURE,M01/M03/M11/M12,Add validated capability/detail to the Core semantic contract; preserve existing detail.,ADD-NEW,DETERMINISTIC_CROSSWALK_VALIDATED,1,Exact deterministic join on module + prior candidate Core artifact + prior Core section. Current Core/evidence/authority/dependency fields are sourced from the matched STEP03 v1.2 relationship. STEP04 v1.0 is provenance only; no keyword/layer fallback.,CAM11-0011,"# developer-projects, calculator (dbr), notifications, rbac, seo"
