canonical_id,record_type,module_authority,rule_name,status,step04_classification,step05_resolution,source,core_provenance,mxx_provenance,merge_action,content_basis,baseline_document
BR-001,CORE_CANONICAL_BR,M12,Agency Ownership,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-012,CORE_CANONICAL_BR,M12,Current Context,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-013,CORE_CANONICAL_BR,M12,Agency Listing Visibility,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-014,CORE_CANONICAL_BR,M12,Agency Listing CRUD,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-015,CORE_CANONICAL_BR,M12,Personal Listing Isolation,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-016,CORE_CANONICAL_BR,M12,Voluntary Member Leave,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-017,CORE_CANONICAL_BR,M12,Forced Removal,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-018,CORE_CANONICAL_BR,M12,Forced Removal Notification,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-019,CORE_CANONICAL_BR,M12,Leave and Forced Removal Equivalence,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-020,CORE_CANONICAL_BR,M12,Standard Member Exit Transfer,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-021,CORE_CANONICAL_BR,M12,Published + Active Promo Exception,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-022,CORE_CANONICAL_BR,M12,Promo Continuation,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-023,CORE_CANONICAL_BR,M12,Promo Expiry Transfer,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-024,CORE_CANONICAL_BR,M12,Automatic Transfer Trigger,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-025,CORE_CANONICAL_BR,M12,Non-Exception Listing,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-026,CORE_CANONICAL_BR,M12,Member Exit Listing Ownership,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-027,CORE_CANONICAL_BR,M12,Personal Context Detachment,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-028,CORE_CANONICAL_BR,M12,Origin Preservation,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-029,CORE_CANONICAL_BR,M12,Listing Data Retention,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-030,CORE_CANONICAL_BR,M12,Agency-Specific Data,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-031,CORE_CANONICAL_BR,M12,Lead History Deletion,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-032,CORE_CANONICAL_BR,M12,No Lead History Migration,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-033,CORE_CANONICAL_BR,M12,Audit Boundary,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-034,CORE_CANONICAL_BR,M12,Historical Audit Retention,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-035,CORE_CANONICAL_BR,M12,Promo Consumption,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-036,CORE_CANONICAL_BR,M12,Consumed Promo Non-Reversal,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-037,CORE_CANONICAL_BR,M12,Agency Promo During Member Exit,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-038,CORE_CANONICAL_BR,M12,Agency Closure Promo,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-039,CORE_CANONICAL_BR,M12,Closure Promo Exception,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-040,CORE_CANONICAL_BR,M12,Unused Promo,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-041,CORE_CANONICAL_BR,M12,Permanent Add-on,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-042,CORE_CANONICAL_BR,M12,Allocation Ownership,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-043,CORE_CANONICAL_BR,M12,Unallocated Ownership,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-044,CORE_CANONICAL_BR,M12,Allocation Survives Member Exit,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-045,CORE_CANONICAL_BR,M12,Allocation Survives Forced Removal,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-046,CORE_CANONICAL_BR,M12,No Automatic Reclaim,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-047,CORE_CANONICAL_BR,M12,Permanent Add-on Consumption,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-048,CORE_CANONICAL_BR,M12,Post-Closure Personal Use,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
BR-049,CORE_CANONICAL_BR,M12,Owner Unallocated Add-on,PRESERVED_LOCKED,PRESERVE,,Core v1.3 Business Rules baseline,RUMAHAGEN_WIREFRAME_CORE_FINAL_SOURCE_PACK_v1.2/03_BUSINESS_RULES/W4-02A.6.10_BUSINESS_RULES_BASELINE_TRACEABILITY_FULL_CONSOLIDATED_v1.2_REAUDITED.docx,,PRESERVE,Existing Core canonical BR-001–BR-151; no deletion/replacement.,RUMAHAGEN_BUSINESS_RULES_BASELINE_CONSOLIDATED_STEP08_v1.0.md
