finding_id,module,classification,core_artifact_id,core_path,mxx_authority_artifact,affected_semantic_component,mxx_rule_delta_or_resolution,exact_reconcile_scope,merge_action,update_granularity,unaffected_core_detail_retained,whole_rule_set_replaced,whole_artifact_replaced,omitted_core_detail_deleted,authority_used_for_unrelated_deletion,closure
M06-CI-001,M06,AUGMENT,CAM11-0018,11_DATABASE_SCHEMA/RUMAHAGEN_FULL_DATABASE_SCHEMA_SOURCE_ONLY_PACKAGE_v1.0.zip,RUMAHAGEN_WF03_M06_FULL_REBUILD_CONTROLLED_v1.5_FULL_VERSION.zip,PHYSICAL_RUNTIME,Project semantic schema expansion,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M06-CI-006,M06,ADD-NEW,CAM11-0011,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,RUMAHAGEN_WF03_M06_FULL_REBUILD_CONTROLLED_v1.5_FULL_VERSION.zip,FIELD_ENTITY,Developer company_logo + Tentang Developer,N/A — additive/new delta,ABSORB_NEW_CAPABILITY,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M06-CI-007,M06,RECONCILE,CAM11-0011,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,RUMAHAGEN_WF03_M06_FULL_REBUILD_CONTROLLED_v1.5_FULL_VERSION.zip,FIELD_ENTITY,"M06 semantic Project Media boundary = photo, video only. brochure and price_list are Marketing Kit semantics, not Project Media semantics.",Semantic meaning of M06 Project Media only; no destructive physical schema edit in STEP05.,APPLY_STEP05_RESOLUTION,PORTION_ONLY,YES,NO,NO,NO,NO,PASS
M06-CI-008,M06,ADD-NEW,CAM11-0016,09_ERD/W4-02A.6.13_ERD_CURRENT_LOGICAL_DATA_MODEL_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M06_FULL_REBUILD_CONTROLLED_v1.5_FULL_VERSION.zip,FIELD_ENTITY,Marketing Kit resource,N/A — additive/new delta,ABSORB_NEW_CAPABILITY,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M06-CI-009,M06,AUGMENT,CAM11-0033,13_RBAC_RLS/W4-02A.6.17_RBAC_PERMISSION_RLS_CURRENT_AUTHORIZATION_BASELINE_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M06_FULL_REBUILD_CONTROLLED_v1.5_FULL_VERSION.zip,SEMANTIC_GENERAL,Marketing Kit CRUD authorization,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M06-CI-010,M06,AUGMENT,CAM11-0067,27_AI_BLUEPRINT/W4-02A.6.31_AI_DEVELOPMENT_BLUEPRINT_v2.1.md,RUMAHAGEN_WF03_M06_FULL_REBUILD_CONTROLLED_v1.5_FULL_VERSION.zip,LIFECYCLE;FIELD_ENTITY,Claim lifecycle state representation,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M06-CI-011,M06,AUGMENT,CAM11-0033,13_RBAC_RLS/W4-02A.6.17_RBAC_PERMISSION_RLS_CURRENT_AUTHORIZATION_BASELINE_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M06_FULL_REBUILD_CONTROLLED_v1.5_FULL_VERSION.zip,ACTOR_AUTHORITY;FIELD_ENTITY,Claim approval authority,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M06-CI-012,M06,ADD-NEW,CAM11-0018,11_DATABASE_SCHEMA/RUMAHAGEN_FULL_DATABASE_SCHEMA_SOURCE_ONLY_PACKAGE_v1.0.zip,RUMAHAGEN_WF03_M06_FULL_REBUILD_CONTROLLED_v1.5_FULL_VERSION.zip,FIELD_ENTITY,Approval Claim artifact,N/A — additive/new delta,ABSORB_NEW_CAPABILITY,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M06-CI-014,M06,AUGMENT,CAM11-0067,27_AI_BLUEPRINT/W4-02A.6.31_AI_DEVELOPMENT_BLUEPRINT_v2.1.md,RUMAHAGEN_WF03_M06_FULL_REBUILD_CONTROLLED_v1.5_FULL_VERSION.zip,LIFECYCLE;OWNERSHIP_SCOPE;FIELD_ENTITY,Approved Claim → Agent-owned Listing initialization,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M10-CORE-02,M10,AUGMENT,CAM11-0016,09_ERD/W4-02A.6.13_ERD_CURRENT_LOGICAL_DATA_MODEL_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,RBAC_RLS,Core Permission,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M10-CORE-03,M10,AUGMENT,CAM11-0016,09_ERD/W4-02A.6.13_ERD_CURRENT_LOGICAL_DATA_MODEL_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,OWNERSHIP_SCOPE,Core Scope,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M10-CORE-04,M10,AUGMENT,CAM11-0016,09_ERD/W4-02A.6.13_ERD_CURRENT_LOGICAL_DATA_MODEL_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,RBAC_RLS,Core RLS,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M10-CORE-05,M10,AUGMENT,CAM11-0016,09_ERD/W4-02A.6.13_ERD_CURRENT_LOGICAL_DATA_MODEL_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,SEMANTIC_GENERAL,Core UI/UX,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M10-CORE-06,M10,AUGMENT,CAM11-0016,09_ERD/W4-02A.6.13_ERD_CURRENT_LOGICAL_DATA_MODEL_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,API_CONTRACT,Core API,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M10-CORE-07,M10,AUGMENT,CAM11-0016,09_ERD/W4-02A.6.13_ERD_CURRENT_LOGICAL_DATA_MODEL_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,SEMANTIC_GENERAL,Core ERD / DB,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M10-CORE-12,M10,AUGMENT,CAM11-0016,09_ERD/W4-02A.6.13_ERD_CURRENT_LOGICAL_DATA_MODEL_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,SEMANTIC_GENERAL,Core cross-module authorization,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M05-CI-002,M05,AUGMENT,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M05_FULL_REBUILD_CONTROLLED_v1.3_FULL_VERSION.zip,RULE_CONDITION;COMMERCIAL,Event quota = maximum Registered participants; not commercial entitlement or Session capacity,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M05-CI-003,M05,ADD-NEW,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M05_FULL_REBUILD_CONTROLLED_v1.3_FULL_VERSION.zip,SEMANTIC_GENERAL,Waitinglist has no queue number/rank; participants are equal,N/A — additive/new delta,ABSORB_NEW_CAPABILITY,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M05-CI-004,M05,ADD-NEW,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M05_FULL_REBUILD_CONTROLLED_v1.3_FULL_VERSION.zip,SEMANTIC_GENERAL,First successful registration captures an available slot,N/A — additive/new delta,ABSORB_NEW_CAPABILITY,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M05-CI-005,M05,ADD-NEW,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M05_FULL_REBUILD_CONTROLLED_v1.3_FULL_VERSION.zip,RULE_CONDITION,Registration window closes at start_at + 1 hour,N/A — additive/new delta,ABSORB_NEW_CAPABILITY,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M05-CI-006,M05,ADD-NEW,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M05_FULL_REBUILD_CONTROLLED_v1.3_FULL_VERSION.zip,LIFECYCLE;RULE_CONDITION;COMMERCIAL,Pre-start cancellation returns one quota slot,N/A — additive/new delta,ABSORB_NEW_CAPABILITY,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M05-CI-007,M05,ADD-NEW,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M05_FULL_REBUILD_CONTROLLED_v1.3_FULL_VERSION.zip,LIFECYCLE,Attendance optional; no-show does not auto-cancel registration,N/A — additive/new delta,ABSORB_NEW_CAPABILITY,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M05-CI-008,M05,AUGMENT,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M05_FULL_REBUILD_CONTROLLED_v1.3_FULL_VERSION.zip,LIFECYCLE,Event cancellation is distinct from participant registration cancellation,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M05-CI-009,M05,ADD-NEW,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M05_FULL_REBUILD_CONTROLLED_v1.3_FULL_VERSION.zip,SEMANTIC_GENERAL,Event-start notification targets registered and waitinglist participants; M08 remains delivery/projection layer,N/A — additive/new delta,ABSORB_NEW_CAPABILITY,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M11-CI-006,M11,AUGMENT,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M11_FULL_REBUILD_CONTROLLED_v2.0_FULL_VERSION.zip,DISCOVERY_SEO,M09 Static Public Content → M11 discovery,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M11-CI-007,M11,AUGMENT,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M11_FULL_REBUILD_CONTROLLED_v2.0_FULL_VERSION.zip,COMMERCIAL;DISCOVERY_SEO,M09 Announcement/Promotion → M11 discovery/measurement,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M12-CI-004,M12,AUGMENT,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M12_FULL_REBUILD_CONTROLLED_v1.0.zip,ACTOR_AUTHORITY;RBAC_RLS,ORG-ADMIN action/permission boundary,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M13-CI-001,M13,RECONCILE,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M13_FULL_REBUILD_CONTROLLED_v1.0.zip,LIFECYCLE;ACTOR_AUTHORITY;API_CONTRACT,Provider Catalogue mutation = SUPERADMIN ONLY. Admin/Manager do not mutate catalogue. Agent cannot register arbitrary provider endpoint outside approved catalogue.,Provider Catalogue mutation/configuration authority only. Separate from own BYOK connection CRUD. Physical permission/RLS changes remain downstream.,APPLY_STEP05_RESOLUTION,PORTION_ONLY,YES,NO,NO,NO,NO,PASS
M13-CI-002,M13,RECONCILE,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M13_FULL_REBUILD_CONTROLLED_v1.0.zip,ACTOR_AUTHORITY;OWNERSHIP_SCOPE;API_CONTRACT,Agent/User owns own BYOK connection and may create/view/save/update/configure/rotate/replace/test/enable/disable/disconnect/delete/reconnect own connection without Admin/Manager approval; no sharing/delegation/transfer.,"Own BYOK connection lifecycle only. Does not grant Provider Catalogue authority, platform RBAC authority, or access to another user's credentials.",APPLY_STEP05_RESOLUTION,PORTION_ONLY,YES,NO,NO,NO,NO,PASS
M14-CI-005,M14,AUGMENT,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M14_FULL_REBUILD_v2.2_CORE_DETAIL_PARITY_FULL_VERSION.zip,LIFECYCLE;COMMERCIAL,Eight approved commercial surfaces,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M14-CI-006,M14,AUGMENT,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M14_FULL_REBUILD_v2.2_CORE_DETAIL_PARITY_FULL_VERSION.zip,LIFECYCLE;COMMERCIAL,Subscription lifecycle,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M14-CI-007,M14,AUGMENT,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M14_FULL_REBUILD_v2.2_CORE_DETAIL_PARITY_FULL_VERSION.zip,LIFECYCLE;COMMERCIAL,Add-on lifecycle/validity,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M14-CI-008,M14,AUGMENT,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M14_FULL_REBUILD_v2.2_CORE_DETAIL_PARITY_FULL_VERSION.zip,LIFECYCLE;COMMERCIAL,Promotion lifecycle,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M14-CI-009,M14,AUGMENT,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M14_FULL_REBUILD_v2.2_CORE_DETAIL_PARITY_FULL_VERSION.zip,SEMANTIC_GENERAL,Immutable purchase snapshot,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M14-CI-010,M14,AUGMENT,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M14_FULL_REBUILD_v2.2_CORE_DETAIL_PARITY_FULL_VERSION.zip,SEMANTIC_GENERAL,Order confirmation invariant,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M14-CI-011,M14,AUGMENT,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M14_FULL_REBUILD_v2.2_CORE_DETAIL_PARITY_FULL_VERSION.zip,COMMERCIAL,Trusted payment verification,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M14-CI-012,M14,AUGMENT,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M14_FULL_REBUILD_v2.2_CORE_DETAIL_PARITY_FULL_VERSION.zip,SEMANTIC_GENERAL,Idempotent fulfillment,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M14-CI-013,M14,AUGMENT,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M14_FULL_REBUILD_v2.2_CORE_DETAIL_PARITY_FULL_VERSION.zip,LIFECYCLE;COMMERCIAL,Entitlement lifecycle,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M14-CI-014,M14,AUGMENT,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M14_FULL_REBUILD_v2.2_CORE_DETAIL_PARITY_FULL_VERSION.zip,RULE_CONDITION;COMMERCIAL,Quota Capacity,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
M14-CI-015,M14,AUGMENT,CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M14_FULL_REBUILD_v2.2_CORE_DETAIL_PARITY_FULL_VERSION.zip,SEMANTIC_GENERAL,Operational Pool,N/A — additive/new delta,ABSORB_ADDITIVE_DETAIL,DELTA_ONLY,YES,NO,NO,NO,NO,PASS
