pack,source_zip,sha256,inner_file_count,inner_text_line_count,repo_path
P11_AI_CONTEXT,RUMAHAGEN_P11_AI_CONTEXT_FULL_REBUILD_20260908_v1.2.zip,80e773988c33899c8f74be9207eca4fc35490787030f197aea4287c5684e8103,19,732,docs/core/current/P-SERIES/P11_AI_CONTEXT
STEP-11,Step11 Sync core.zip,db6d96c9e0f9b9d22b17e44ffbdf00791b6eef8ccdc191c348f5fdb021f92826,19,8112,docs/core/current/04-api/STEP-11-API-SYNCHRONIZATION
P12_RECONCILIATION_EVIDENCE,RUMAHAGEN_P12_RECONCILIATION_EVIDENCE_FULL_REBUILD_20260908_v1.1.zip,0c6aa3931166aa1f9407d14cf55532e48f981298048085455a3f65f35dae13da,35,4933,docs/core/current/P-SERIES/P12_RECONCILIATION_EVIDENCE
STEP-12,step12 sync core.zip,91dbdadea5f00bc9d3aab3f7eb2f9fa9be5177620599b1ec01d393ddc2d069eb,9,0,docs/core/current/05-authorization/STEP-12-RBAC-PERMISSION-RLS-SYNCHRONIZATION
P13_DECISION_CHANGE_LOG,RUMAHAGEN_P13_DECISION_CHANGE_LOG_FULL_REBUILD_v1.2.zip,e72e05f19c09c1976673015a4b416359ae5ae9059ad8860df8ef77bc2d9338b3,18,503,docs/core/current/P-SERIES/P13_DECISION_CHANGE_LOG
STEP-13,step13 sync core.zip,9e8798242781b11fe4cb784cee1f71e28d9d5bf20fe02f43215007271485f0c3,10,3628,docs/core/current/06-product/STEP-13-SUCCESSOR-SPECIFICATIONS
P14_PROJECT_MANIFEST,RUMAHAGEN_P14_PROJECT_MANIFEST_FULL_REBUILD_v1.2.zip,33d318c28ddb6a930fe86c660bb0105c9c9bec0cee986f640e86bd835ec22e4f,28,5783,docs/core/current/P-SERIES/P14_PROJECT_MANIFEST
STEP-14,STEP14_FULL_CROSS_DOCUMENT_RECONCILIATION_FULL_REBUILD_PACKAGE_v1.1.zip,8d12beeab3e038f5260c5d4686df4e2b848e97c4107ec43dcf86a60f6739dac8,17,838,docs/core/current/07-reconciliation/STEP-14-FULL-CROSS-DOCUMENT-RECONCILIATION
P15_PROJECT_CURRENT_STATE,RUMAHAGEN_P15_PROJECT_CURRENT_STATE_FULL_REBUILD_v1.1.zip,cb277fab023b698644a915db739768a7dcbf1c11989cf12343ee4b01b7e4a727,17,389,docs/core/current/P-SERIES/P15_PROJECT_CURRENT_STATE
P16_README_CURRENT_BASELINE,RUMAHAGEN_P16_README_CURRENT_BASELINE_FULL_REBUILD_v1.1 (1).zip,a5bec8e6a25de1e2c7db989721e9296587ba4ac91a81a7eefe1a6b963ea534d3,16,493,docs/core/current/P-SERIES/P16_README_CURRENT_BASELINE
