Residual ID,Status,Source,Treatment,P13_DECISION_CHANGE_LOG Decision Treatment,P15State,P15Treatment,ResolutionStatus,AuthorityBoundary
CR-001,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-017,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-018,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-019,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-020,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-021,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-022,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-023,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-024,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-025,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-026,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-027,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-028,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-029,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-030,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-031,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-032,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-033,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-034,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-035,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-036,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-037,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-038,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-039,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-040,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-041,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-042,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-043,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-044,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-045,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-046,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
CR-047,CONTROLLED,P12_RECONCILIATION_EVIDENCE v1.1,CARRY-FORWARD,No semantic closure in P13_DECISION_CHANGE_LOG; evidence/downstream gated,CONTROLLED,CARRY-FORWARD — NO FALSE RESOLUTION,OPEN / EVIDENCE-GATED,P13_DECISION_CHANGE_LOG residual authority; P15_PROJECT_CURRENT_STATE snapshots only
