archive,relative_path,zip_nesting_level,size
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP02_MASTER_RECON_INVENTORY_FULL_v1.1.zip,src1/__nested__/0002/06_STEP02_CROSS_MODULE_DEPENDENCY_MATRIX.csv,1,19221
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP02_MASTER_RECON_INVENTORY_FULL_v1.1.zip,src1/__nested__/0002/07_STEP02_CONFLICT_RESIDUAL_INVENTORY.csv,1,1393
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP02_MASTER_RECON_INVENTORY_FULL_v1.1.zip,src1/__nested__/0002/08_STEP02_CHECKLIST_VERIFICATION.csv,1,1455
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP02_MASTER_RECON_INVENTORY_FULL_v1.1.zip,src1/__nested__/0002/09_STEP02_INTEGRATION_READINESS_REGISTER.csv,1,1566
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP02_MASTER_RECON_INVENTORY_FULL_v1.1.zip,src1/__nested__/0002/README_STEP02_FULL_VERSION_v1.1.md,1,929
/mnt/data/STEP SYNC CORE(20260907-081753).zip,src1/STEP SYNC CORE/RUMAHAGEN_STEP03_CORE_ARTIFACT_MAP_FULL_v1.3_CORRECTED_FULL_REBUILD (1).zip,0,63186
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP03_CORE_ARTIFACT_MAP_FULL_v1.3_CORRECTED_FULL_REBUILD (1).zip,src1/__nested__/0003/00_INPUT_DEEP_SCAN_MANIFEST_v1.3.csv,1,1177
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP03_CORE_ARTIFACT_MAP_FULL_v1.3_CORRECTED_FULL_REBUILD (1).zip,src1/__nested__/0003/00_OUTPUT_MANIFEST_SHA256_v1.3.csv,1,1501
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP03_CORE_ARTIFACT_MAP_FULL_v1.3_CORRECTED_FULL_REBUILD (1).zip,src1/__nested__/0003/01_STEP03_CORE_ARTIFACT_MAP_FULL_REPORT_v1.3.md,1,3942
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP03_CORE_ARTIFACT_MAP_FULL_v1.3_CORRECTED_FULL_REBUILD (1).zip,src1/__nested__/0003/02_STEP03_CORE_ARTIFACT_MAP_FULL_v1.3.csv,1,109151
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP03_CORE_ARTIFACT_MAP_FULL_v1.3_CORRECTED_FULL_REBUILD (1).zip,src1/__nested__/0003/03_STEP03_AUTHORITY_RESOLUTION_REGISTER_v1.3.csv,1,38387
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP03_CORE_ARTIFACT_MAP_FULL_v1.3_CORRECTED_FULL_REBUILD (1).zip,src1/__nested__/0003/04_STEP03_M01-M15_CORE_RELATIONSHIP_EVIDENCE_FULL_v1.3.csv,1,1080561
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP03_CORE_ARTIFACT_MAP_FULL_v1.3_CORRECTED_FULL_REBUILD (1).zip,src1/__nested__/0003/05_STEP03_FINDING_TO_CORE_DETERMINISTIC_LINKAGE_FULL_v1.3.csv,1,235722
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP03_CORE_ARTIFACT_MAP_FULL_v1.3_CORRECTED_FULL_REBUILD (1).zip,src1/__nested__/0003/06_STEP03_MODULE_HANDOFF_SUMMARY_v1.3.csv,1,12936
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP03_CORE_ARTIFACT_MAP_FULL_v1.3_CORRECTED_FULL_REBUILD (1).zip,src1/__nested__/0003/07_STEP03_DEPENDENCY_HANDOFF_MATRIX_v1.3.csv,1,95744
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP03_CORE_ARTIFACT_MAP_FULL_v1.3_CORRECTED_FULL_REBUILD (1).zip,src1/__nested__/0003/08_STEP03_RESIDUAL_AND_ORPHAN_AUDIT_v1.3.csv,1,2319
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP03_CORE_ARTIFACT_MAP_FULL_v1.3_CORRECTED_FULL_REBUILD (1).zip,src1/__nested__/0003/09_STEP04_REOPEN_FEEDBACK_REGISTER_v1.3.csv,1,1576
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP03_CORE_ARTIFACT_MAP_FULL_v1.3_CORRECTED_FULL_REBUILD (1).zip,src1/__nested__/0003/10_STEP03_CHECKLIST_VERIFICATION_v1.3.csv,1,1203
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP03_CORE_ARTIFACT_MAP_FULL_v1.3_CORRECTED_FULL_REBUILD (1).zip,src1/__nested__/0003/README_STEP03_FULL_VERSION_v1.3.md,1,1230
/mnt/data/STEP SYNC CORE(20260907-081753).zip,src1/STEP SYNC CORE/RUMAHAGEN_STEP04_M01-M15_CORE_SYNCHRONIZATION_MATRIX_FULL_v1.2_CORRECTED_FULL_REBUILD.zip,0,86886
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP04_M01-M15_CORE_SYNCHRONIZATION_MATRIX_FULL_v1.2_CORRECTED_FULL_REBUILD.zip,src1/__nested__/0004/00_STEP04_INPUT_DEEP_SCAN_MANIFEST_v1.2.csv,1,1128
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP04_M01-M15_CORE_SYNCHRONIZATION_MATRIX_FULL_v1.2_CORRECTED_FULL_REBUILD.zip,src1/__nested__/0004/00_STEP04_OUTPUT_MANIFEST_SHA256_v1.2.csv,1,1796
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP04_M01-M15_CORE_SYNCHRONIZATION_MATRIX_FULL_v1.2_CORRECTED_FULL_REBUILD.zip,src1/__nested__/0004/01_STEP04_FULL_REPORT_v1.2.md,1,2884
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP04_M01-M15_CORE_SYNCHRONIZATION_MATRIX_FULL_v1.2_CORRECTED_FULL_REBUILD.zip,src1/__nested__/0004/02_STEP04_M01-M15_CORE_SYNCHRONIZATION_MATRIX_FULL_v1.2.csv,1,312083
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP04_M01-M15_CORE_SYNCHRONIZATION_MATRIX_FULL_v1.2_CORRECTED_FULL_REBUILD.zip,src1/__nested__/0004/03_FINDING_TO_STEP03_DETERMINISTIC_LINKAGE_REGISTER_v1.2.csv,1,235759
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP04_M01-M15_CORE_SYNCHRONIZATION_MATRIX_FULL_v1.2_CORRECTED_FULL_REBUILD.zip,src1/__nested__/0004/04_STEP04_M01-M15_RELATIONSHIP_EVIDENCE_COVERAGE_FULL_v1.2.csv,1,1121090
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP04_M01-M15_CORE_SYNCHRONIZATION_MATRIX_FULL_v1.2_CORRECTED_FULL_REBUILD.zip,src1/__nested__/0004/05_STEP04_MODULE_SYNCHRONIZATION_SUMMARY_v1.2.csv,1,499
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP04_M01-M15_CORE_SYNCHRONIZATION_MATRIX_FULL_v1.2_CORRECTED_FULL_REBUILD.zip,src1/__nested__/0004/06_STEP04_CORE_ARTIFACT_SYNCHRONIZATION_SUMMARY_v1.2.csv,1,5212
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP04_M01-M15_CORE_SYNCHRONIZATION_MATRIX_FULL_v1.2_CORRECTED_FULL_REBUILD.zip,src1/__nested__/0004/07_STEP04_PRESERVE_AUGMENT_ADDNEW_REGISTER_v1.2.csv,1,251166
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP04_M01-M15_CORE_SYNCHRONIZATION_MATRIX_FULL_v1.2_CORRECTED_FULL_REBUILD.zip,src1/__nested__/0004/08_STEP04_RECONCILE_REGISTER_v1.2.csv,1,10929
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP04_M01-M15_CORE_SYNCHRONIZATION_MATRIX_FULL_v1.2_CORRECTED_FULL_REBUILD.zip,src1/__nested__/0004/09_STEP04_CONTROLLED_NO_PROPAGATION_SUPERSEDED_REGISTER_v1.2.csv,1,51086
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP04_M01-M15_CORE_SYNCHRONIZATION_MATRIX_FULL_v1.2_CORRECTED_FULL_REBUILD.zip,src1/__nested__/0004/10_STEP04_DEPENDENCY_HANDOFF_REGISTER_v1.2.csv,1,58304
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP04_M01-M15_CORE_SYNCHRONIZATION_MATRIX_FULL_v1.2_CORRECTED_FULL_REBUILD.zip,src1/__nested__/0004/11_STEP04_AUTHORITY_PROVENANCE_REGISTER_v1.2.csv,1,151397
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP04_M01-M15_CORE_SYNCHRONIZATION_MATRIX_FULL_v1.2_CORRECTED_FULL_REBUILD.zip,src1/__nested__/0004/12_STEP04_CHECKLIST_VERIFICATION_v1.2.csv,1,1398
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP04_M01-M15_CORE_SYNCHRONIZATION_MATRIX_FULL_v1.2_CORRECTED_FULL_REBUILD.zip,src1/__nested__/0004/README_STEP04_FULL_VERSION_v1.2.md,1,674
/mnt/data/STEP SYNC CORE(20260907-081753).zip,src1/STEP SYNC CORE/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip,0,34112
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip,src1/__nested__/0005/05_STEP05_FINAL_INPUT_COVERAGE_AND_INTEGRITY_AUDIT_v1.1.csv,1,1403
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip,src1/__nested__/0005/01_STEP05_FINAL_DECISION_RATIONALE_REGISTER_v1.1.csv,1,7495
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip,src1/__nested__/0005/03_STEP05_FINAL_GLOBAL_223_FINDING_IMPACT_SCAN_v1.1.csv,1,69265
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip,src1/__nested__/0005/02_STEP05_FINAL_ARTIFACT_LEVEL_RECONCILIATION_MATRIX_v1.1.csv,1,6681
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip,src1/__nested__/0005/04_STEP05_FINAL_AUTHORITY_NON_OVERTURN_AUDIT_v1.1.csv,1,1380
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip,src1/__nested__/0005/06_STEP05_FINAL_GLOBAL_CONFLICT_CLOSURE_SUMMARY_v1.1.md,1,788
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip,src1/__nested__/0005/07_STEP05_FINAL_EXECUTION_CHECKLIST_v1.1.md,1,867
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip,src1/__nested__/0005/README_STEP05_FINAL_FULL_VERSION_v1.1.md,1,329
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip,src1/__nested__/0005/00_STEP05_FINAL_OUTPUT_MANIFEST_SHA256_v1.1.csv,1,2507
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip,src1/__nested__/0005/STEP05_FINAL_FULL_REPORT_v1.1.md,1,17572
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip,src1/__nested__/0005/00_PREVIOUS_STEP05_v1.0/05_STEP05_INPUT_INTEGRITY_DEEP_SCAN_FULL_v1.0.csv,1,1153
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip,src1/__nested__/0005/00_PREVIOUS_STEP05_v1.0/02_STEP05_CORE_EVIDENCE_ANCHOR_REGISTER_FULL_v1.0.csv,1,1946
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip,src1/__nested__/0005/00_PREVIOUS_STEP05_v1.0/01_STEP05_CONFLICT_RESOLUTION_REGISTER_FULL_v1.0.csv,1,6373
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip,src1/__nested__/0005/00_PREVIOUS_STEP05_v1.0/MANIFEST_STEP05_FULL_v1.0.csv,1,1089
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip,src1/__nested__/0005/00_PREVIOUS_STEP05_v1.0/07_STEP05_EXECUTION_CHECKLIST_FULL_v1.0.md,1,714
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip,src1/__nested__/0005/00_PREVIOUS_STEP05_v1.0/README_STEP05_FULL_VERSION_v1.0.md,1,482
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip,src1/__nested__/0005/00_PREVIOUS_STEP05_v1.0/STEP05_FULL_REPORT_v1.0.md,1,15243
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip,src1/__nested__/0005/00_PREVIOUS_STEP05_v1.0/06_STEP05_POST_RESOLUTION_CONFLICT_RESCAN_FULL_v1.0.csv,1,851
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip,src1/__nested__/0005/00_PREVIOUS_STEP05_v1.0/04_STEP05_PROVENANCE_AND_DECISION_CHAIN_FULL_v1.0.csv,1,1902
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip,src1/__nested__/0005/00_PREVIOUS_STEP05_v1.0/03_STEP05_CORE_DETAIL_PRESERVATION_MATRIX_FULL_v1.0.csv,1,1138
/mnt/data/STEP SYNC CORE(20260907-081753).zip,src1/STEP SYNC CORE/RUMAHAGEN_STEP06_ADDitive_SEMANTIC_MERGE_FULL_v1.1.zip,0,361303
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP06_ADDitive_SEMANTIC_MERGE_FULL_v1.1.zip,src1/__nested__/0006/00_M01-M15_CURRENT_AUTHORITY_DEEP_SCAN_MANIFEST_v1.1.csv,1,7167
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP06_ADDitive_SEMANTIC_MERGE_FULL_v1.1.zip,src1/__nested__/0006/00_STEP06_FULL_REPORT_v1.1.md,1,6680
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP06_ADDitive_SEMANTIC_MERGE_FULL_v1.1.zip,src1/__nested__/0006/01_STEP06_INPUT_DEEP_SCAN_MANIFEST_v1.1.csv,1,1091
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP06_ADDitive_SEMANTIC_MERGE_FULL_v1.1.zip,src1/__nested__/0006/02_M01-M15_RECON_RECURSIVE_DEEP_SCAN_INVENTORY_v1.1.csv,1,596606
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP06_ADDitive_SEMANTIC_MERGE_FULL_v1.1.zip,src1/__nested__/0006/03_STEP06_CORE_DETAIL_PRESERVATION_AUDIT_RECURSIVE_76_v1.1.csv,1,28492
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP06_ADDitive_SEMANTIC_MERGE_FULL_v1.1.zip,src1/__nested__/0006/04_STEP06_GRANULAR_SEMANTIC_DIFF_CORE_VS_M01-M15_FULL_223_v1.1.csv,1,534139
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP06_ADDitive_SEMANTIC_MERGE_FULL_v1.1.zip,src1/__nested__/0006/05_STEP06_LIFECYCLE_PRESERVATION_MATRIX_23_TARGETS_v1.1.csv,1,61967
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP06_ADDitive_SEMANTIC_MERGE_FULL_v1.1.zip,src1/__nested__/0006/06_STEP06_RULE_DELTA_UPDATE_AUDIT_FULL_73_v1.1.csv,1,24737
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP06_ADDitive_SEMANTIC_MERGE_FULL_v1.1.zip,src1/__nested__/0006/07_STEP06_DUPLICATE_SEMANTIC_CONSOLIDATION_AUDIT_FULL_223_v1.1.csv,1,89339
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP06_ADDitive_SEMANTIC_MERGE_FULL_v1.1.zip,src1/__nested__/0006/08_STEP06_ADDITIVE_SEMANTIC_MERGE_REGISTER_FULL_223_v1.1.csv,1,269163
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP06_ADDitive_SEMANTIC_MERGE_FULL_v1.1.zip,src1/__nested__/0006/09_STEP06_RECONCILE_APPLICATION_REGISTER_ENHANCED_7_v1.1.csv,1,7088
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP06_ADDitive_SEMANTIC_MERGE_FULL_v1.1.zip,src1/__nested__/0006/10_STEP06_NO_REPLACEMENT_DELETION_CONTENT_AUDIT_FULL_76_v1.1.csv,1,25777
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP06_ADDitive_SEMANTIC_MERGE_FULL_v1.1.zip,src1/__nested__/0006/11_STEP06_AUTHORITY_PRESERVATION_AUDIT_v1.1.csv,1,5859
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP06_ADDitive_SEMANTIC_MERGE_FULL_v1.1.zip,src1/__nested__/0006/12_STEP06_PROVENANCE_COMPLETENESS_REGISTER_FULL_223_v1.1.csv,1,209259
/mnt/data/p1_v11_source_scan/src1/STEP SYNC CORE/RUMAHAGEN_STEP06_ADDitive_SEMANTIC_MERGE_FULL_v1.1.zip,src1/__nested__/0006/13_STEP06_CLOSURE_AND_GATE_AUDIT_v1.1.csv,1,586
