residual_id,treatment,upstream_status,p12_classification,physical_runtime_blocker,p12_disposition,provenance
CR-023,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-024,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-025,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-026,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-027,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-028,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-029,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-030,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-031,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-032,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-033,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-034,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-035,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-036,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-037,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-038,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-039,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-040,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-041,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-042,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-043,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-044,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-045,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-046,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
CR-047,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CONTROLLED_DOCUMENTARY_CARRY_FORWARD,NO,CARRY FORWARD; DOES NOT HOLD P12_RECONCILIATION_EVIDENCE SOLELY FOR ABSENT PHYSICAL/RUNTIME PROOF,P11_AI_CONTEXT v1.2
