Obligation No.,Module,Classification,P3 Work Package,Core Package,P13_DECISION_CHANGE_LOG Decision ID,Decision Status,P12_RECONCILIATION_EVIDENCE Documentary State,ModuleArtifact,ManifestStatus,P14DecisionUniverse
31,M08,PRESERVE,M08-WP03,IP-11,D-M01M15-031,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M08_FULL_REBUILD_CONTROLLED_v1.0.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
32,M09,PRESERVE,M09-WP01/02/04,IP-12,D-M01M15-032,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M09_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
33,M09,AUGMENT,M09-WP03,IP-12/IP-13,D-M01M15-033,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M09_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
34,M09,CONTROLLED,M09-WP04,IP-01/IP-12,D-M01M15-034,CONTROLLED,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M09_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
35,M09,PRESERVE,M09-WP02,IP-12,D-M01M15-035,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M09_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
36,M10,PRESERVE,M10-WP01/02,IP-01,D-M01M15-036,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
37,M10,CONTROLLED,M10-WP03/04,IP-01,D-M01M15-037,CONTROLLED,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
38,M10,PRESERVE,M10-WP03,IP-01/IP-02,D-M01M15-038,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
39,M11,AUGMENT,M11-WP01,IP-13,D-M01M15-039,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M11_FULL_REBUILD_CONTROLLED_v2.0_FULL_VERSION.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
40,M11,PRESERVE,M11-WP02/04,IP-13,D-M01M15-040,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M11_FULL_REBUILD_CONTROLLED_v2.0_FULL_VERSION.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
41,M11,PRESERVE,M11-WP02,IP-13,D-M01M15-041,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M11_FULL_REBUILD_CONTROLLED_v2.0_FULL_VERSION.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
42,M11,RECONCILE,M11-WP01/04,IP-12/IP-13,D-M01M15-042,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M11_FULL_REBUILD_CONTROLLED_v2.0_FULL_VERSION.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
43,M12,RECONCILE,M12-WP01/04,IP-02/IP-12/IP-13,D-M01M15-043,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M12_FULL_REBUILD_CONTROLLED_v1.0.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
44,M12,CONTROLLED,M12-WP04,IP-01/IP-02,D-M01M15-044,CONTROLLED,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M12_FULL_REBUILD_CONTROLLED_v1.0.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
45,M12,PRESERVE,M12-WP01,IP-02,D-M01M15-045,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M12_FULL_REBUILD_CONTROLLED_v1.0.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
46,M13,RECONCILE,M13-WP01,IP-14/IP-01,D-M01M15-046,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M13_FULL_REBUILD_CONTROLLED_v1.0.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
47,M13,RECONCILE,M13-WP02,IP-14/IP-01,D-M01M15-047,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M13_FULL_REBUILD_CONTROLLED_v1.0.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
48,M13,AUGMENT,M13-WP02/03,IP-14/IP-01,D-M01M15-048,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M13_FULL_REBUILD_CONTROLLED_v1.0.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
49,M13,CONTROLLED,M13-WP03,IP-14/IP-01,D-M01M15-049,CONTROLLED,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M13_FULL_REBUILD_CONTROLLED_v1.0.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
50,M14,AUGMENT,M14-WP01/03,IP-07,D-M01M15-050,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M14_FULL_REBUILD_v2.2_CORE_DETAIL_PARITY_FULL_VERSION.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
51,M14,AUGMENT,M14-WP01/02,IP-07,D-M01M15-051,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M14_FULL_REBUILD_v2.2_CORE_DETAIL_PARITY_FULL_VERSION.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
52,M14,AUGMENT,M14-WP02/03,IP-07,D-M01M15-052,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M14_FULL_REBUILD_v2.2_CORE_DETAIL_PARITY_FULL_VERSION.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
53,M14,AUGMENT,M14-WP04,IP-07/IP-04,D-M01M15-053,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M14_FULL_REBUILD_v2.2_CORE_DETAIL_PARITY_FULL_VERSION.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
54,M14,PRESERVE,M14-WP01/03,IP-07,D-M01M15-054,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M14_FULL_REBUILD_v2.2_CORE_DETAIL_PARITY_FULL_VERSION.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
55,M15,PRESERVE,M15-WP01/02/03,IP-09/IP-06/IP-07,D-M01M15-055,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M15_FULL_REBUILD_v1.1_CORE_DETAIL_SYNCHRONIZED_FULL_VERSION.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
56,M15,PRESERVE,M15-WP03/04,IP-09/IP-02/IP-11/IP-13,D-M01M15-056,CURRENT,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M15_FULL_REBUILD_v1.1_CORE_DETAIL_SYNCHRONIZED_FULL_VERSION.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
57,M15,CONTROLLED,M15-WP02/03,IP-09/IP-01,D-M01M15-057,CONTROLLED,RECONCILED AT DOCUMENTARY/DESIGN LEVEL; physical/runtime N-A at P12_RECONCILIATION_EVIDENCE stage,RUMAHAGEN_WF03_M15_FULL_REBUILD_v1.1_CORE_DETAIL_SYNCHRONIZED_FULL_VERSION.zip,MAPPED,64 total P13_DECISION_CHANGE_LOG decisions = 57 material obligations + 7 locked decisions
