CoreArtifactID,Layer,Path,AuthorityClass,Purpose,Status,SizeBytes,SHA256
SRC-018,11_DATABASE_SCHEMA,11_DATABASE_SCHEMA/W4-02_CANONICAL_BUILD_FROM_ZERO_MIGRATION_PACKAGE_v1.0.zip,PHYSICAL-REFERENCE,Current physical schema / migration reference,CURRENT,19788,e4ee433128935fae30bfd64d05c3f37d426bafd012ed24842912c1354a8d2df0
SRC-019,12_API,12_API/W4-02A.6.16_API_SPECIFICATION_CURRENT_API_CONTRACT_BASELINE_FULL_CONSOLIDATED_v2.1.docx,CURRENT-REFERENCE,Current contract/reference,CURRENT,65180,fbfc539044ed2b7037ebee6ed5d5065c4e14efbd042a4928b107c02c210277d1
SRC-020,13_RBAC_RLS,13_RBAC_RLS/W4-02A.6.17_RBAC_PERMISSION_RLS_CURRENT_AUTHORIZATION_BASELINE_FULL_CONSOLIDATED_v2.1.docx,CURRENT-REFERENCE,Current contract/reference,CURRENT,53047,cd5067a3a2cb8e0104e94fbea78ab64a30e19ed28230aef5889baa5021784a0a
SRC-021,14_FUNCTIONAL,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,CURRENT-REFERENCE,Current contract/reference,CURRENT,60334,d7e9a7b5c761d51495e77f73824f903ca057e602c204c79284a2ae70c522072e
SRC-022,15_TECHNICAL,15_TECHNICAL/W4-02A.6.19_TECHNICAL_SPECIFICATION_CURRENT_TECHNICAL_IMPLEMENTATION_CONTRACT_v2.1.md,CURRENT-REFERENCE,Current contract/reference,CURRENT,69175,2ac01b6961b6ab97d26ee8c314aaf06101af49cb746c4069147559fb8002b29c
SRC-023,16_UI_UX,16_UI_UX/W4-02A.6.20_UI_UX_SPECIFICATION_CURRENT_INTERFACE_BEHAVIOR_CONTRACT_v2.1.md,CURRENT-REFERENCE,Current contract/reference,CURRENT,62858,c2388d37bbcf910316d0d9c257c1f346a99fc0349b2c1086d8e3154a2a32a8d7
SRC-024,17_SEO_ANALYTICS,17_SEO_ANALYTICS/W4-02A.6.21_SEO_ANALYTICS_SPECIFICATION_DISCOVERY_MEASUREMENT_BASELINE_v2.1.md,CURRENT-REFERENCE,Current contract/reference,CURRENT,68505,be0af1e745ac3d19a65abb90beff833941b1d1fb5a4fd1233c681a84023e75de
SRC-025,18_MODULE_DEPENDENCY,18_MODULE_DEPENDENCY/W4-02A.6.22_MODULE_DEPENDENCY_MATRIX_CROSS_MODULE_DEPENDENCY_CONTRACT_v2.1.md,CURRENT-REFERENCE,Current contract/reference,CURRENT,49622,30a5c406428ad0e2e377e2803a77d16c0d9cac0f7f6c1249dadb89d1360bc9e3
SRC-026,19_IMPLEMENTATION_STRATEGY,19_IMPLEMENTATION_STRATEGY/W4-02A.6.23_MODULE_IMPLEMENTATION_STRATEGY_INTEGRATED_IMPLEMENTATION_SEQUENCING_v2.1.md,CURRENT-REFERENCE,Current contract/reference,CURRENT,56613,051aa36f9444153d1d56df6d960bd80d91922f3c1f84c02d636dc111dd20d47f
SRC-027,20_MODULE_PLANNING,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,CURRENT-REFERENCE,Current contract/reference,CURRENT,55040,7373552ff7f43e2822f7819b2101ec0df7bc1acee60e8b92dc866f330203d7be
SRC-028,21_EXECUTION_SPECIFICATION,21_EXECUTION_SPECIFICATION/W4-02A.6.25_MODULE_EXECUTION_SPECIFICATION_ARCHITECTURE_v2.1.md,CURRENT-REFERENCE,Current contract/reference,CURRENT,46464,8e82d6f1308995ba163d0c2c49786c8b8999d7c2e6b4388e07661678ffa095a3
SRC-029,22_EXECUTION_BATCH,22_EXECUTION_BATCH/W4-02A.6.26_MODULE_EXECUTION_DEPENDENCY_BATCH_PLAN_v2.1.md,CURRENT-REFERENCE,Current contract/reference,CURRENT,40666,316a5cb6d2f71910f078d8b905a4b14024e3186361fa14cfaa9fa921e882d097
SRC-030,23_M01_M07,23_M01_M07/W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1.md,CURRENT-REFERENCE,Current contract/reference,CURRENT,12149,ffdcb89752116a428d687955f911c8769cdd4828096a2f8ec60ff28c75abe543
SRC-031,23_M01_M07,23_M01_M07/W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1.zip,CURRENT-REFERENCE,Current contract/reference,CURRENT,32254,0d3b2ec0515b08e1977ffe9187a108f2a7483ba7f5a6d8da51b1ee0b951967fc
SRC-032,24_M08_M15,24_M08_M15/W4-02A.6.28_FOCUSED_EXECUTION_PACK_M08-M15_v2.1.md,CURRENT-REFERENCE,Current contract/reference,CURRENT,12958,a6b879e6d81f1cbb6a3eade8caa71a950432d44488db21fe45b667cd9fa0fdb3
SRC-033,24_M08_M15,24_M08_M15/W4-02A.6.28_FOCUSED_EXECUTION_PACK_M08-M15_v2.1.zip,CURRENT-REFERENCE,Current contract/reference,CURRENT,29640,54c2560d7f247793f8b26ea8f2ee3128334432d748c09e97ab7be1f5558d3208
SRC-034,25_EXECUTION_AUDIT,25_EXECUTION_AUDIT/W4-02A.6.29_EXECUTION_PACK_AUDIT_RECONCILIATION_v2.1.md,CURRENT-REFERENCE,Current contract/reference,CURRENT,18012,70302b771fdd9293db1fe6d9d736f8926eef76bbdf2993489cb0eb182e540ea3
SRC-035,26_ENGINEERING_ALIGNMENT,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,CURRENT-REFERENCE,Current contract/reference,CURRENT,31681,239e06d97698eb97c4e362b1b9ecf25f064fbe8e665e2f9e328d00e6d339a090
SRC-036,27_AI_BLUEPRINT,27_AI_BLUEPRINT/W4-02A.6.31_AI_DEVELOPMENT_BLUEPRINT_v2.1.md,CURRENT-REFERENCE,Current contract/reference,CURRENT,29348,504a5738b3a832159850b0c1035e95f02b509a773a52fb01b722948e01ab09c2
SRC-037,28_AI_CONTEXT,28_AI_CONTEXT/W4-02A.6.32_AI_CONTEXT_PACK_v2.1.md,CURRENT-REFERENCE,Current contract/reference,CURRENT,19773,b4a5c5863ffc9934467688078144210f23eed59e3f574b9eaba171a10f7a1bae
SRC-038,29_FINAL_CONTROL,29_FINAL_CONTROL/W4-02A.6.33_DECISION_LOG_FINAL_v2.1.md,FINAL-CONTROL,Final current baseline control,CURRENT,18845,712f6513cc1b66ae90f673f920ee500d235a633dd4916f10a97b7031334821ca
SRC-039,29_FINAL_CONTROL,29_FINAL_CONTROL/W4-02A.6.34_CHANGELOG_FINAL_v1.0.docx,FINAL-CONTROL,Final current baseline control,CURRENT,46682,42ecb48a9d988bb69b92df6e394b86b7ca0a3336a7f4c58edbe02688327bcf2e
SRC-040,29_FINAL_CONTROL,29_FINAL_CONTROL/W4-02A.6.35_PROJECT_MANIFEST_FINAL_v1.32.docx,FINAL-CONTROL,Final current baseline control,CURRENT,44768,bcf9a8a109e109016699a84ccdcdf7aa9de9af0b7380962ca74081858a2f0b0a
SRC-041,29_FINAL_CONTROL,29_FINAL_CONTROL/W4-02A.6.36_CURRENT_PROJECT_STATE_FINAL_rev15.docx,FINAL-CONTROL,Final current baseline control,CURRENT,45569,9f929cb9612d755e21bf27b42489de7c9cd3a9c42042d5f4825010a3132cffae
SRC-042,29_FINAL_CONTROL,29_FINAL_CONTROL/W4-02A.6.37_FINAL_CROSS_DOCUMENT_RECONCILIATION_v1.0.docx,FINAL-CONTROL,Final current baseline control,CURRENT,56438,55ba7ad886ea26469d2569f50ce577acf241b0b26969816e62774546acab967c
SRC-043,30_RECONCILIATION_EVIDENCE,30_RECONCILIATION_EVIDENCE/W4-02A.5R_SOURCE_UPDATE_REVALIDATION_v1.1.docx,EVIDENCE,Reconciliation / provenance evidence,CURRENT,38455,47a6f021e6c409e73d5d7c7dddaaa270107190db90dba4ff30760080155a2b8f
SRC-044,30_RECONCILIATION_EVIDENCE,30_RECONCILIATION_EVIDENCE/W4-02A.5_CROSS_DOMAIN_CONFLICT_RESIDUAL_AUDIT_FULL_CONSOLIDATED_v1.0.docx,EVIDENCE,Reconciliation / provenance evidence,CURRENT,42652,16982b5861c3ef86327b8f79f07eb080faac17aa6a422cc983f79d11a40564df
SRC-045,README_CURRENT_BASELINE.md,README_CURRENT_BASELINE.md,CURRENT-REFERENCE,Current contract/reference,CURRENT,2468,723ce919284891740a4a11501d925126f3163bc7e8ce458b5f07b1fd1543b878
