UploadedSource,RelativePath,ZipNestingLevel,Extension,SizeBytes,SHA256
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_QIR_V1.0_SOURCE/00_M03_QUESTION_INVENTORY_RESOLUTION_REPORT_v1.0.md,1,.md,2543,cacde59e135baa32ccbb8013b13272d47ab374ca481fe67e685b544e3accc9a6
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_QIR_V1.0_SOURCE/08_M03_SCHEMA_ERD_RECONCILIATION_FULL_v1.2.sql,1,.sql,662,3e1265850c556d0a5be379968439e3d84654619e23479b7599d4ff89d4c34c0e
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_QIR_V1.0_SOURCE/MANIFEST_M03_QIR_v1.0.md,1,.md,965,1fa2b9efd20dee21f6abd546c4e5989d5db875f78972d68ddff42fb7f88e82a4
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_QIR_V1.0_SOURCE/05_M03_CROSS_ARTIFACT_RECONCILIATION_FULL_v1.2.md,1,.md,2047,97b5a1d742b8c19104464fa4b7ad31dac3de83693e1a1bb3d989f07c891ef660
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_QIR_V1.0_SOURCE/14_M03_DISTRICT_REFRESH_POSITIONING_CONTRACT_FULL_v1.2.md,1,.md,1518,47f7549ff7d6a0c8149336f9ea8636d86100dde5888a9b2417b07ca9b8300e2f
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_QIR_V1.0_SOURCE/MANIFEST_v1.2.md,1,.md,889,4dd81fc1d0e9c94ea2f18988069d42a5b5e79253fc33335421231b799d5f3e8b
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_QIR_V1.0_SOURCE/04_M03_SEMANTIC_LIFECYCLE_AUTHORITY_RESOLVED_v1.0.md,1,.md,3834,7c6ab09ad4495bc656b7e3bc5799f3bef4894ad0e5331bcead49a4833ea7ae20
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_QIR_V1.0_SOURCE/01_M03_QUESTION_INVENTORY_RESOLVED_v1.0.csv,1,.csv,12262,d55245642ba7edbc425af1c55b83ce3de712b49ad77c579c0d1361bde55d4d4d
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_QIR_V1.0_SOURCE/README_CONTROLLED_OUTPUT_v1.2.md,1,.md,1198,716f12d89786ffaf61a6d2d5f29ad4fd8156b85d4c75c47b3a327d03d673cf4a
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_QIR_V1.0_SOURCE/03_M03_PERMISSION_MATRIX_FULL_v1.2.csv,1,.csv,3290,e990ded819f7ad539ce9f1daab3d00ec13a5296183300b9e7ba64232a7e93f34
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_QIR_V1.0_SOURCE/02_M03_PERMISSION_MATRIX_RESOLVED_v1.0.xlsx,1,.xlsx,8231,5f4bdff6411198fb2a35bf88bc16d15f726bf0aafd3f4a4c0cfd271abaf35ee9
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_QIR_V1.0_SOURCE/10_M03_UI_UX_USER_FLOW_FULL_v1.2.md,1,.md,1632,09639adb4f8e01e6ddaa109a17e66a00f9ce0f2fc9e715609f271255c369f610
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_QIR_V1.0_SOURCE/15_M03_QA_COMPLETION_CONTROLLED_v1.2.md,1,.md,1396,e0a2c95114e9773552a013e3b535818667409bf4791a2946ae8cbf1d86d53f38
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_QIR_V1.0_SOURCE/00_M03_REBUILD_CONTROL_REPORT_v1.2.md,1,.md,4607,f02ca75459fdf42ebfe5ce9af63f33e2ed038587a21aa41f7ac5583bebf7c4bb
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_QIR_V1.0_SOURCE/09_M03_SEARCH_CONTRACT_RESOLVED_v1.0.md,1,.md,1665,6b015b4ec40f4af741b8ef372c12cf5c38997ad279630df9c5a28bfd59a135bd
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_QIR_V1.0_SOURCE/06_M03_API_CONTRACT_FULL_v1.2.md,1,.md,1992,7b89a05f96fea587c1390dce4a7276986e04ba5f8b2833ef2a020f037a104812
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_QIR_V1.0_SOURCE/13_M03_MEDIA_THUMBNAIL_DERIVATIVE_CONTRACT_FULL_v1.2.md,1,.md,1664,ef6b046ac3c6896be9860f034832cc455a1efd8ab53e959acc9c9edd033cbfbe
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_QIR_V1.0_SOURCE/16_WF03_MASTER_PROGRESS_M01-M15_v1.7_M03_QIR_COMPLETE.xlsx,1,.xlsx,29256,bdbaf8f992d9887a4d57b4570436cf21f16605f109c8e60aa45959e0433412c4
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_M03_V1.2_ORIGINAL/01_M03_QUESTION_INVENTORY_FULL_v1.2.csv,1,.csv,11442,654d03bbfec99b2daeea2387aa56d61b779fcd04eea8a52cab9f6718698192af
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_M03_V1.2_ORIGINAL/01_M03_QUESTION_INVENTORY_FULL_v1.2.xlsx,1,.xlsx,10816,a74a6be6e48b3234201a71a9993d4779b5b1476128794d0b1a133c5bc327f5b0
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_M03_V1.2_ORIGINAL/11_M03_PHYSICAL_RUNTIME_STATUS_FULL_v1.2.md,1,.md,1346,f04d585eb56bbac7b4ae96ff13367809aeff4ed2a3b703a208676d73cb72666d
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_M03_V1.2_ORIGINAL/08_M03_SCHEMA_ERD_RECONCILIATION_FULL_v1.0.sql,1,.sql,1013,846555669f649b6e9eb2aae9134aded8d09d0992873632d09929b406cf54cd9a
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_M03_V1.2_ORIGINAL/04_M03_SEMANTIC_LIFECYCLE_AUTHORITY_FULL_v1.2.md,1,.md,3651,e75615d5b2e5f5221c90be6675d952594139d434de7ec46895206fda78222c48
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_M03_V1.2_ORIGINAL/08_M03_SCHEMA_ERD_RECONCILIATION_FULL_v1.2.sql,1,.sql,662,3e1265850c556d0a5be379968439e3d84654619e23479b7599d4ff89d4c34c0e
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_M03_V1.2_ORIGINAL/05_M03_CROSS_ARTIFACT_RECONCILIATION_FULL_v1.2.md,1,.md,2047,97b5a1d742b8c19104464fa4b7ad31dac3de83693e1a1bb3d989f07c891ef660
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_M03_V1.2_ORIGINAL/07_M03_RBAC_RLS_CONTRACT_FULL_v1.2.md,1,.md,1468,01509fa3b2025be1c425da46575cbba2491b78203d5061c89a86eb525eab6023
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_M03_V1.2_ORIGINAL/14_M03_DISTRICT_REFRESH_POSITIONING_CONTRACT_FULL_v1.2.md,1,.md,1518,47f7549ff7d6a0c8149336f9ea8636d86100dde5888a9b2417b07ca9b8300e2f
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_M03_V1.2_ORIGINAL/09_M03_SEARCH_CONTRACT_FULL_v1.2.md,1,.md,1635,32a10e17db8958176752ec9be097f66ea53f0551880741f6a3c80c1d0194376a
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_M03_V1.2_ORIGINAL/MANIFEST_v1.2.md,1,.md,889,4dd81fc1d0e9c94ea2f18988069d42a5b5e79253fc33335421231b799d5f3e8b
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_M03_V1.2_ORIGINAL/16_WF03_MASTER_PROGRESS_M01-M15_v1.6_M03_COMPLETE.xlsx,1,.xlsx,29257,26cbed8af28587ba51e3fb01942c52ae502998596fa6cf39ceac1587d773b347
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_M03_V1.2_ORIGINAL/README_CONTROLLED_OUTPUT_v1.2.md,1,.md,1198,716f12d89786ffaf61a6d2d5f29ad4fd8156b85d4c75c47b3a327d03d673cf4a
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_M03_V1.2_ORIGINAL/03_M03_PERMISSION_MATRIX_FULL_v1.2.csv,1,.csv,3290,e990ded819f7ad539ce9f1daab3d00ec13a5296183300b9e7ba64232a7e93f34
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_M03_V1.2_ORIGINAL/10_M03_UI_UX_USER_FLOW_FULL_v1.2.md,1,.md,1632,09639adb4f8e01e6ddaa109a17e66a00f9ce0f2fc9e715609f271255c369f610
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_M03_V1.2_ORIGINAL/15_M03_QA_COMPLETION_CONTROLLED_v1.2.md,1,.md,1396,e0a2c95114e9773552a013e3b535818667409bf4791a2946ae8cbf1d86d53f38
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_M03_V1.2_ORIGINAL/00_M03_REBUILD_CONTROL_REPORT_v1.2.md,1,.md,4607,f02ca75459fdf42ebfe5ce9af63f33e2ed038587a21aa41f7ac5583bebf7c4bb
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_M03_V1.2_ORIGINAL/02_M03_PERMISSION_MATRIX_FULL_v1.2.xlsx,1,.xlsx,8343,10068b1fbdb2a8b456ea66a9a2f39820de63624cb00955a36fb595ec37a365f5
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_M03_V1.2_ORIGINAL/06_M03_API_CONTRACT_FULL_v1.2.md,1,.md,1992,7b89a05f96fea587c1390dce4a7276986e04ba5f8b2833ef2a020f037a104812
M01-M15 new recon(20260908-034650).zip,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip__unz/_PROVENANCE_M03_V1.2_ORIGINAL/13_M03_MEDIA_THUMBNAIL_DERIVATIVE_CONTRACT_FULL_v1.2.md,1,.md,1664,ef6b046ac3c6896be9860f034832cc455a1efd8ab53e959acc9c9edd033cbfbe
M01-M15 new recon(20260908-034650).zip,M03_CORE_IMPACT_ANALYSIS_FULL_v1.0_CONTROLLED.zip,0,.zip,25873,4a91fa049761f2f3aae0373342a5082c125a481c21a45c8368f1aa28795e1ec3
M01-M15 new recon(20260908-034650).zip,M03_CORE_IMPACT_ANALYSIS_FULL_v1.0_CONTROLLED.zip__unz/00_M03_CORE_IMPACT_EXECUTIVE_SUMMARY_v1.0.md,1,.md,591,7018405a6b28328143778dc8db578a341fe0e365cbf448fc71646a9c3a19f71c
M01-M15 new recon(20260908-034650).zip,M03_CORE_IMPACT_ANALYSIS_FULL_v1.0_CONTROLLED.zip__unz/01_M03_CORE_IMPACT_MATRIX_FULL_v1.0.csv,1,.csv,44866,9794fd91286104171cffabf262068b8fcd38599a83d7e1de6409a364833c8dd4
M01-M15 new recon(20260908-034650).zip,M03_CORE_IMPACT_ANALYSIS_FULL_v1.0_CONTROLLED.zip__unz/01_M03_CORE_IMPACT_MATRIX_FULL_v1.0.xlsx,1,.xlsx,12128,8bc972cba4bc365c91e83d38dd2c20fdc78dd124b31c1d4b0d5d8578c52638ad
M01-M15 new recon(20260908-034650).zip,M03_CORE_IMPACT_ANALYSIS_FULL_v1.0_CONTROLLED.zip__unz/02_M03_CORE_CONFLICT_REGISTER_FULL_v1.0.md,1,.md,2436,a56616e47561fe8fdaddb66d961107067d9073e1fbdf8588552a140c9370e8e6
M01-M15 new recon(20260908-034650).zip,M03_CORE_IMPACT_ANALYSIS_FULL_v1.0_CONTROLLED.zip__unz/03_M03_CORE_PROPAGATION_MATRIX_FULL_v1.0.csv,1,.csv,2473,6d82ae9c8d072a6bf36b01f38d6f505decbbd9b7e93c504e3c91374cd837434a
M01-M15 new recon(20260908-034650).zip,M03_CORE_IMPACT_ANALYSIS_FULL_v1.0_CONTROLLED.zip__unz/04_M03_CORE_DEPENDENCY_IMPACT_FULL_v1.0.md,1,.md,977,9cf8d9b7b3764916470fef4f3906fc2931db577a018d9875f798f19417fe4e55
M01-M15 new recon(20260908-034650).zip,M03_CORE_IMPACT_ANALYSIS_FULL_v1.0_CONTROLLED.zip__unz/05_M03_CORE_REQUIRED_CHANGE_REGISTER_FULL_v1.0.md,1,.md,1708,15c09511552930d23539842c3c7d3c28cf4432eebe30f2fc40bc80008d9bae2e
M01-M15 new recon(20260908-034650).zip,M03_CORE_IMPACT_ANALYSIS_FULL_v1.0_CONTROLLED.zip__unz/06_M03_CORE_AUTHORITY_MAPPING_FULL_v1.0.md,1,.md,1057,81ef889caac2dc0f5a01ec920e368e2f7ef3bfa534f6d09bc726b9d4dab96a12
M01-M15 new recon(20260908-034650).zip,M03_CORE_IMPACT_ANALYSIS_FULL_v1.0_CONTROLLED.zip__unz/07_M03_CORE_IMPACT_QA_FULL_v1.0.md,1,.md,974,471253870f17a0d823fe7615864ebe11ef6c30671b2814fc1889f68b18cb72eb
M01-M15 new recon(20260908-034650).zip,M03_CORE_IMPACT_ANALYSIS_FULL_v1.0_CONTROLLED.zip__unz/08_M03_CORE_INTEGRATION_READINESS_FULL_v1.0.md,1,.md,861,d5353d7dd77db3887307c0ee928ee886c7387850e534f1c2bf973d517a423521
M01-M15 new recon(20260908-034650).zip,M03_CORE_IMPACT_ANALYSIS_FULL_v1.0_CONTROLLED.zip__unz/09_PROVENANCE_M03_CORE_IMPACT_v1.0.md,1,.md,586,d86f59ca7385a09f79dbaa760af32a8b053941cad2d6312ba5e168ec3bef3f7f
M01-M15 new recon(20260908-034650).zip,M03_CORE_IMPACT_ANALYSIS_FULL_v1.0_CONTROLLED.zip__unz/10_MANIFEST_M03_CORE_IMPACT_v1.0.md,1,.md,568,75fd85e3b9523d8fc02a1ddc00f98c11caf8b2f770c9396253345d0254bd5439
M01-M15 new recon(20260908-034650).zip,M02_CORE_IMPACT_ANALYSIS_FULL_v1.0_CONTROLLED.zip,0,.zip,19133,a55cd04084472978604376b736fe0561917569902263e34cf64f8e08f40b8d4d
M01-M15 new recon(20260908-034650).zip,M02_CORE_IMPACT_ANALYSIS_FULL_v1.0_CONTROLLED.zip__unz/00_M02_CORE_IMPACT_EXECUTIVE_SUMMARY_v1.0.md,1,.md,604,1de9e3df0999ef6d50a95c626b34308bdc7b33ec70be4a1790f814dee60861e5
