district_code,code,name,postal_code
110106,1101062028,Arafah,
110107,1101072001,Sikulat,23753
110107,1101072002,Sawang I,23753
110107,1101072003,Meuligo,23753
110107,1101072004,Lhok Pawoh,23753
110107,1101072005,Sawang II,23753
110107,1101072006,Ujung Karang,23753
110107,1101072007,Trieng Meuduro Baroh,23753
110107,1101072008,Trieng Meuduro Tunong,23753
110107,1101072009,Panton Luas,23753
110107,1101072010,Simpang Tiga,23753
110107,1101072011,Kuta Baro,23753
110107,1101072012,Blang Geulinggang,23753
110107,1101072013,Mutiara,23753
110107,1101072014,Ujung Padang,23753
110107,1101072015,Sawang Ba'u,23753
110108,1101082001,Lhok Keutapang,
110108,1101082002,Hilir,
110108,1101082003,Padang,
110108,1101082004,Hulu,
110108,1101082005,Jambo Apha,
110108,1101082006,Tepi Air,
110108,1101082007,Pasar,
110108,1101082008,Lhok Bengkuang,
110108,1101082009,Panton Luas,
110108,1101082010,Gunung Kerambil,
110108,1101082011,Air Berudang,
110108,1101082012,Batu Itam,
110108,1101082013,Panjupian,
110108,1101082014,Lhok Rukam,
110108,1101082015,Air Pinang,
110108,1101082016,Lhok Bengkuang Timur,
110109,1101092001,Keude Trumon,23774
110109,1101092002,Ujong Tanoh,23774
110109,1101092003,Sigleng,23774
110109,1101092004,Ie Meudama,23774
110109,1101092005,Teupin Tinggi,23774
110109,1101092006,Kuta Baro,23774
110109,1101092007,Panton Bilie,23774
110109,1101092012,Kuta Padang,23774
110109,1101092013,Raket,23774
110109,1101092014,Gampong Teungoh,23774
110109,1101092015,Seuneubok Jaya,23774
110109,1101092016,Padang Harapan,23774
110110,1101102001,Ladang Teungoh,23755
110110,1101102002,Pucok Krueng,23755
110110,1101102003,Silolo,23755
110110,1101102004,Kampung Baru,23755
110110,1101102005,Panton Bili,23755
110110,1101102006,Paya Ateuk,23755
110110,1101102007,Ladang Tuha,23755
110110,1101102008,Mata Ie,23755
110110,1101102009,Ujong Batee,23755
110110,1101102010,Lhok Sialang Cut,23755
110110,1101102011,Seuneubok,23755
110110,1101102012,Ie Mirah,23755
110110,1101102013,Pasie Rasian,23755
110110,1101102014,Ujung Padang Rasian,23755
110110,1101102015,Krueng Kalee,23755
110110,1101102016,Lhok Sialang Rayeuk,23755
110110,1101102017,Gampong Baro,23755
110110,1101102018,Teupin Gajah,23755
110110,1101102019,Ujung Padang Asahan,23755
110110,1101102020,Pulo Ie II,23755
110110,1101102021,Pante Raja,23755
110111,1101112001,Tengah Peulumat,
110111,1101112002,Paya Peulumat,
110111,1101112003,Padang Peulumat,
110111,1101112004,Aur Peulumat,
110111,1101112005,Limau Saring,
110111,1101112006,Beutong,
110111,1101112007,Peuneulop,
110111,1101112008,Gunung Rotan,
110111,1101112009,Keumumu Hilir,
110111,1101112010,Keumumu Hulu,
110111,1101112011,Keumumu Seberang,
110111,1101112012,Sawang Indah,
110112,1101122001,Tutong,
110112,1101122002,Teungoh Iboh,
110112,1101122003,Peulokan,
110112,1101122004,Kuta Iboh,
110112,1101122005,Ujung Padang,
110112,1101122006,Blang Baru,
110112,1101122007,Blang Poroh,
110112,1101122008,Pulo Ie,
110112,1101122009,Suak Lokan,
110112,1101122010,Iku Lhueng,
110112,1101122011,Kuta Trieng,
110112,1101122012,Pante Geulima,
110112,1101122013,Panton Pawoh,
110112,1101122014,Batee Meucanang,
110112,1101122015,Panton Rubek,
110113,1101132001,Koto,23772
110113,1101132002,Alur Keujrun,23772
110113,1101132003,Jambo Papan,23772
110113,1101132004,Malaka,23772
110113,1101132005,Koto Indarung,23772
110113,1101132006,Siurai-Urai,23772
110113,1101132007,Kampung Sawah,23772
110113,1101132008,Kampung Padang,23772
110113,1101132009,Pulo Air,23772
110113,1101132010,Lawe Melang,23772
110113,1101132011,Mersak,23772
110113,1101132012,Simpang Dua,23772
110113,1101132013,Simpang Tiga,23772
110114,1101142001,Paya Dapur,23772
110114,1101142002,Sapik,23772
110114,1101142003,Alai,23772
110114,1101142004,Durian Kawan,23772
110114,1101142005,Lawe Sawah,23772
110114,1101142006,Lawe Buluh Didi,23772
110114,1101142007,Pucuk Lembang,23772
110114,1101142008,Paya Laba,23772
110114,1101142009,Lawe Cimanok,23772
110115,1101152001,Pasie Seubadeh,23773
110115,1101152002,Ladang Rimba,23773
110115,1101152003,Ujong Pulo Rayeuk,23773
110115,1101152004,Sawah Tingkeum,23773
110115,1101152005,Simpang,23773
110115,1101152006,Ujong Pulo Cut,23773
110115,1101152008,Seuleukat,23773
110116,1101162005,Pinto Rimba,23774
110116,1101162006,Krueng Luas,23776
110116,1101162007,Jambo Dalem,23774
110116,1101162008,Kapa Sesak,
110116,1101162009,Seuneubok Punto,
110116,1101162010,Seuneubok Pusaka,23774
110116,1101162011,Alur Bujok,23774
110116,1101162012,Titi Poben,23774
110117,1101172001,Buket Gadeng,23773
110117,1101172002,Rambong,23773
110117,1101172003,Seuneubok Keuranji,23773
110117,1101172004,Seuneubok Alur Buloh,23773
110117,1101172005,Ujong Tanoh,23773
110117,1101172006,Ujong Gunong Cut,23773
110117,1101172007,Ujong Gunung Rayeuk,23773
110117,1101172008,Beutong,23773
110117,1101172009,Jambo Keupok,23773
110117,1101172010,Alurduamas,23773
110118,1101182001,Ladang Rimba,23774
110118,1101182002,Gunong Kapho,23774
110118,1101182003,Kampong Teungoh,23774
110118,1101182004,Krueng Batee,23774
110118,1101182005,Pulo Paya,23774
110118,1101182006,Jambo Papeun,23774
110118,1101182007,Cot Bayu,23774
110118,1101182008,Naca,23774
110118,1101182009,Ie Jeureuneh,23774
110118,1101182010,Lhok Raya,23774
110201,1102012001,Engkeran,24661
110201,1102012002,Rumah Kampung,24661
110201,1102012004,Pasir Bangun,24661
110201,1102012006,Kubu,24661
110201,1102012007,Lawe Kongker,24661
110201,1102012008,Kuta Cingkam II,24661
110201,1102012009,Muara Baru,24661
110201,1102012011,Kuta Batu I,24661
110201,1102012012,Kuta Cingkam I,24661
110201,1102012013,Kuta Batu II,24661
110201,1102012014,Lawe Sempilang,24661
110201,1102012015,Prapat Batu Nunggul,24661
110201,1102012016,Pulo Sepang,24661
110201,1102012017,Rih Mbelang,24661
110201,1102012018,Kute Batu Baru,24661
110201,1102012019,Darul Amin,24661
110201,1102012020,Lawe Lubang Indah,24661
110201,1102012021,Batu Hamparan,24661
110201,1102012022,Paye Munje,24661
110201,1102012023,Pulo Ndadap,24661
110201,1102012024,Pasir Nunggul,24661
110201,1102012025,Cingkham Mekhanggun,24661
110201,1102012026,Pintu Khimbe,24661
110201,1102012027,Lawe Kongker Hilir,24661
110201,1102012028,Pulo Gadung,24661
110201,1102012029,Pasikh Pehkmate,24661
110201,1102012030,Pasikh Nunang,24661
110201,1102012031,Deleng Kukusen,24661
110202,1102022001,Bukit Merdeka,24673
110202,1102022002,Darul Aman,24673
110202,1102022003,Lawe Kesumpat,24673
110202,1102022004,Lawe Tua Gabungan,24673
110202,1102022005,Lawe Sigala II,24673
110202,1102022006,Lawe Sigala Timur,24673
110202,1102022007,Lawe Sigala Barat,24673
110202,1102022008,Suka Damai,24673
110202,1102022009,Kute Tengah,24673
110202,1102022010,Tanah Baru,24673
110202,1102022011,Kedataran Gabungan,24673
110202,1102022012,Gabungan Parsaroan,24673
110202,1102022013,Lawe Loning Gabungan,24673
110202,1102022014,Lawe Loning Aman,24673
110202,1102022015,Suka Maju,24673
110202,1102022016,Lawe Tua Makmur,24673
110202,1102022017,Lawe Tua Persatuan,24673
110202,1102022018,Lawe Serke,24673
110202,1102022019,Lawe Rakat,24673
110202,1102022020,Suka Jaya,24673
110202,1102022021,Enmiya Batu Dua Ratus,24673
110202,1102022022,Sebungke,24673
110202,1102022023,Bukit Sepakat,24673
110202,1102022024,Lawe Loning Sepakat,24673
110202,1102022025,Lawe Loning I,24673
110202,1102022026,Gaya Jaya,24673
110202,1102022027,Gelah Musara,24673
110202,1102022028,Mulie Dame,24673
110202,1102022029,Lawe Loning Hakhapen,24673
110202,1102022030,Karya Indah,24673
110202,1102022031,Kayu Mbelin,24673
110202,1102022032,Lawe Sigala Barat Jaya,24673
110202,1102022033,Lawe Pekhidinen,24673
110202,1102022034,Kertimbang,24673
110202,1102022035,Ndauh Nitenggo,24673
110203,1102032001,Bambel Gabungan,24671
110203,1102032002,Kuta Buluh,
110203,1102032005,Lawe Hijo,24671
110203,1102032006,Pinding,24671
110203,1102032009,Terutung Megara Asli,24671
110203,1102032011,Biak Muli,24671
110203,1102032012,Kute Lang-Lang,24671
110203,1102032013,Pedesi,24671
110203,1102032014,Terutung Payung Hulu,24671
110203,1102032015,Terutung Payung Hilir,24671
110203,1102032016,Tualang Sembilar,24671
110203,1102032017,Kuning I,24671
110203,1102032018,Kuning II,24671
110203,1102032019,Cinta Damai,24671
110203,1102032020,Likat,24671
110203,1102032021,Rikit,24671
110203,1102032023,Bambel,24671
110203,1102032025,Lawe Kihing,24651
110203,1102032026,Terutung Seperai,24671
110203,1102032027,Kute Seri,24671
110203,1102032028,Kuta Antara,
110203,1102032029,Pulo Perengge,24671
110203,1102032031,Pulo Kendondong,
110203,1102032033,Pancakh Iman,24671
110203,1102032034,Biak Muli Baru,
110203,1102032035,Biak Muli Pantai Raja,24671
110203,1102032036,Biak Muli Sejahtera,24671
110203,1102032037,Lembah Haji,24671
110203,1102032038,Terutung Payung Gabungan,24671
110203,1102032039,Lawe Hijo Metuah,24671
110203,1102032040,Ampera,24671
110203,1102032041,Tembilakh Mbakhu,
110203,1102032042,Kute Lang-Lang Bakhu,24671
110204,1102042001,Kota Kutacane,24651
110204,1102042002,Perapat Hilir,24651
110204,1102042003,Perapat Hulu,24651
110204,1102042004,Muara Lawe Bulan,24651
110204,1102042005,Mbarung,24651
110204,1102042006,Batu Mbulan Asli,24651
110204,1102042007,Batu Mbulan I,24651
110204,1102042008,Batu Mbulan II,24651
110204,1102042009,Kampung Raja,24651
110204,1102042010,Pulonas,24651
110204,1102042011,Kampung Melayu Gabungan,24651
110204,1102042012,Terutung Pedi,24651
110204,1102042013,Kute Rih,24651
110204,1102042014,Gumpang Jaya,24671
110204,1102042015,Pulo Latong,24651
110204,1102042016,Kutacane Lama,24651
110204,1102042017,Batu Mbulan Mbaru,
110204,1102042018,Pulo Peding,24651
110204,1102042019,Mendabe,24651
110204,1102042020,Ujung Barat,24651
110204,1102042021,Pekhapat Titi Panjang,
110204,1102042022,Pekhapat Sepakat,
110204,1102042023,Alas Marancar,
110204,1102042024,Batu Mbulan Sepakat,24651
110204,1102042025,Pulo Sanggakh,24651
110204,1102042026,Melayu I,24651
110204,1102042027,Mbarung Datuk Saudane,
110205,1102052005,Salang Alas,24652
110205,1102052009,Kuta Pasir,24652
110205,1102052011,Purwodadi,24652
110205,1102052012,Kuta Tinggi,24652
110205,1102052013,Kampung Baru,24652
110205,1102052014,Peranginan,24652
110205,1102052015,Natam,24652
110205,1102052025,Kumbang Jaya,24652
110205,1102052026,Kumbang Indah,24652
110205,1102052027,Natam Baru,24652
110205,1102052029,Deleng Megakhe,24652
110205,1102052030,Lawe Bekung,24652
110205,1102052031,Lawe Bekung Tampahan,24652
110205,1102052032,Badar Indah,24652
110205,1102052033,Batu Mbekhong,24652
110205,1102052034,Tanah Merah,24652
110205,1102052035,Tanoh Megakhe,24652
110205,1102052036,Lawe Sekerah,24652
110206,1102062001,Pardomuan II,24673
110206,1102062002,Lawe Desky I,24673
110206,1102062003,Lawe Desky Sabas,24673
110206,1102062004,Pardomuan I,24673
110206,1102062005,Cinta Damai,24673
110206,1102062006,Lawe Perbunga,24673
110206,1102062007,Lawe Desky Tongah,24673
110206,1102062008,Kute Bakti,24673
110206,1102062010,Muara Situlen,24673
110206,1102062011,Sejahtera,24673
110206,1102062012,Kute Makmur,24673
110206,1102062013,Pardamean,24673
110206,1102062014,Lawe Mantik,24673
110206,1102062015,Cinta Makmur,24673
110206,1102062016,Muara Setia,24673
110206,1102062017,Tanoh Alas,24673
110206,1102062018,Sejahtera Baru,24673
110206,1102062024,Lawe Tawakh,24673
110206,1102062025,Sabilussalam,24673
110206,1102062026,Lawe Desky Jaya,24673
110206,1102062027,Pintu Alas,24673
110207,1102072001,Gulo,24653
110207,1102072002,Pulo Piku,24653
110207,1102072003,Terutung Kute,24653
110207,1102072004,Kute Ujung,24653
110207,1102072005,Lawe Stul,24653
110207,1102072006,Kite Merangun,24653
110207,1102072007,Mamas,24653
110207,1102072008,Tanjung Lama,24653
110207,1102072009,Tanjung Muda,24653
110207,1102072010,Rambung Teldak,24653
110207,1102072011,Tanjung Aman,24653
110207,1102072012,Sri Muda,24653
110207,1102072013,Ujung Baru,24653
110207,1102072014,Kute Rambe,24653
110207,1102072015,Mamas Baru,24653
110207,1102072016,Rambung Jaya,24653
110207,1102072017,Makmur Jaya,24653
110207,1102072018,Darul Makmur,24653
110207,1102072019,Tanjung Bakhu,24653
110207,1102072020,Pulo Gabung,24653
110207,1102072021,Kokhtan Jaya,24653
110207,1102072022,Istiqamah,24653
110207,1102072023,Lawe Mamas Indah,24653
110207,1102072024,Tanjung Leuser,24653
110207,1102072025,Simpang IV Tanjung,24653
110207,1102072026,Lawe Pinis,24653
110207,1102072027,Buntul Kendawi,24653
110207,1102072028,Kuning Abadi,24653
110208,1102082001,Pasir Gala,24651
110208,1102082002,Pasir Penjengakan,24651
110208,1102082003,Kutambaru,24651
110208,1102082004,Lawe Sagu Hulu,24651
110208,1102082005,Lawe Sagu Hilir,24651
110208,1102082006,Kute Bantil,24651
110208,1102082011,Lawe Kolok,24651
110208,1102082012,Lawe Rutung,24651
110208,1102082013,Kampung Nangka,24651
110208,1102082014,Tenembak Juhar,24651
110208,1102082015,Simpang Empat,24651
110208,1102082016,Kuta Buluh Botong,24651
110208,1102082017,Katambaru Becawan,24651
110208,1102082018,Lawe Kinge,24651
110208,1102082019,Kandang Mbelang Mandiri,24651
110208,1102082020,Mbacang Racun,24651
110208,1102082021,Telaga Mekar,24651
110208,1102082023,Pulonas Baru,24651
110208,1102082025,Kuta Genting,24651
110208,1102082026,Pangguh,24651
110208,1102082027,Lawe Sagu,24651
110208,1102082028,Pekhapet Timur,24651
110208,1102082029,Bahagia,24651
110208,1102082030,Kute Galuh Asli,24651
110209,1102092001,Kute Lengat Pangan,24671
110209,1102092002,Kute Lengat Selian,24671
110209,1102092003,Tualang Baru,24671
110209,1102092004,Alur Buluh,24671
110209,1102092005,Maha Singkil,24671
110209,1102092006,Tenembak Bintang,24671
110209,1102092007,Kute Lingga,24671
110209,1102092008,Rikit Bur,24671
110209,1102092010,Kerukunan,24671
110209,1102092011,Lawe Dua,24671
110209,1102092012,Rema,24671
110209,1102092013,Bambel Baru,24671
110209,1102092014,Pejuang,24671
110209,1102092015,Darussalam,24671
110209,1102092016,Amaliah,24671
110209,1102092017,Sebudi Jaya,24671
110209,1102092018,Gumpang,24671
110209,1102092019,Kute Gekhat,24671
110209,1102092020,Paye Khambung,24671
110209,1102092021,Mbak Sako,24671
110209,1102092022,Darul Imami,24671
110209,1102092023,Rikit Bur II,24671
110209,1102092024,Kute Empat Lima,24671
110210,1102102001,Simpang Semadam,24678
110210,1102102002,Semadam Awal,24678
110210,1102102003,Semadam Asal,24678
110210,1102102004,Lawe Kinga Gabungan,24678
110210,1102102005,Lawe Kinga Tebing Tinggi,24678
110210,1102102006,Kebun Sere,24678
110210,1102102007,Lawe Beringin Horas,24678
110210,1102102008,Lawe. Berigin Gayo,24678
110210,1102102009,Suka Makmur,24678
110210,1102102010,Pasar Puntung,24678
110210,1102102011,Titi Pasir,24678
110210,1102102012,Lawe Petanduk I,24678
110210,1102102013,Ngkeran Alur Buluh,24678
110210,1102102014,Kampung Baru,24678
110210,1102102015,Sepakat Segenap,24678
110210,1102102016,Selamat Indah,24678
110210,1102102017,Lawe Kinge Lapter,24678
110210,1102102018,Lawe Mejile,24678
110210,1102102019,Lawe Petanduk-II,24678
110211,1102112004,Titi Mas,24673
110211,1102112005,Meranti,24673
110211,1102112006,Kute Lang-Lang,24673
110211,1102112007,Lawe Sumur,24673
110211,1102112008,Pardamaian,24673
110211,1102112009,Salim Pipit,24673
110211,1102112010,Penguhapan,24673
110211,1102112011,Lumban Tua,24673
110211,1102112012,Mutiara Damai,24673
110211,1102112013,Dolok Nauli,24673
110211,1102112014,Tuhi Jongkat,24673
110211,1102112015,Uning Sigugur,24673
110211,1102112016,Lumban Sitio-tio,24673
110211,1102112017,Lawe Malum,24673
110211,1102112018,Alur Baning,24673
110211,1102112019,Lingga Alas,24673
110211,1102112020,Khambung Tumbung,24673
110211,1102112021,Tuah Mesade,24673
110211,1102112022,Sumukh Alas,24673
110211,1102112023,Alukh Bakhu,24673
110211,1102112024,Sepekhinding,24673
110211,1102112025,Tanoh Subukh,24673
110211,1102112026,Pinggan Mbelang,24673
110211,1102112027,Sigai Indah,24673
110211,1102112028,Ukekh Deleng,24673
110211,1102112029,Alas Mesikhat,24673
110211,1102112030,Titi Hakhapen,24673
110212,1102122001,Aunan Sepakat,24652
110212,1102122002,Lawe Penanggalan,24652
110212,1102122003,Lawe Mengkudu,24652
110212,1102122004,Jambur Lak-lak,24652
110212,1102122005,Simpang Tiga Jongar,24652
110212,1102122006,Jongar Asli,24652
110212,1102122007,Ketambe,24652
110212,1102122008,Rumah Bundar,24652
110212,1102122009,Penyeberangan Cingkam,24652
110212,1102122010,Deleng Damar,24652
110212,1102122011,Bintang Bener,24652
110212,1102122012,Suka Rimbun,24652
110212,1102122013,Lawe Aunan,24652
110212,1102122014,Bener Bepapah,24652
110212,1102122015,Penungkunen,24652
110212,1102122016,Datok Pining,24652
110212,1102122017,Kati Maju,24652
110212,1102122018,Leuser,24652
110212,1102122019,Jati Sara,24652
110212,1102122020,Bukit Mbakhu,24652
110212,1102122021,Kayu Metangur,24652
110212,1102122022,Lawe Sembekan,24652
110212,1102122023,Lawe Beringin,24652
110212,1102122024,Lawe Ger-Ger,24652
110212,1102122025,Simpur Jaya,24652
110213,1102132001,Salang Baru,
110213,1102132002,Ranto Dior,
110213,1102132003,Lembah Alas,
110213,1102132004,Tenembak Lang-Lang,
110213,1102132005,Salang Sigotom,
110213,1102132006,Tualang Lama,
110213,1102132007,Gusung Batu,
110213,1102132008,Kaya Pangur,
110213,1102132009,Sepakat,
110213,1102132010,Lawe Pangkat,
110213,1102132011,Bunga Melur,
110213,1102132012,Penampaan,
110213,1102132013,Terutung Mbelang,
110213,1102132014,Salang Muara,
110213,1102132015,Lawe Hakhum,
110213,1102132016,Tanoh Khukahen,
110213,1102132017,Tading Ni Ulihi,
110213,1102132018,Peseluk Pesimbe,
110213,1102132019,Kane Lot,
110213,1102132020,Muhajirin,
110213,1102132021,Beriring Naru,
110213,1102132022,Kati Jeroh,
110214,1102142001,Terutung Megara Lawe Pasaran,24671
110214,1102142002,Kisam Gabungan,24671
110214,1102142003,Kisam Kute Pasir,24671
110214,1102142004,Lawe Sumur,24671
110214,1102142005,Lawe Sumur Baru,24671
110214,1102142006,Kute Lesung,24671
110214,1102142007,Berandang,24671
110214,1102142008,Kute Bunin,24671
110214,1102142009,Buah Pala,24671
110214,1102142010,Panosan,24671
110214,1102142011,Lawe Pasaran Tengku Mbelin,24671
110214,1102142012,Terutung Megahke MBakhu,24671
110214,1102142013,Kisam Lestari,24671
110214,1102142014,Kisam Kute Rambe,24671
110214,1102142015,Lawe Polak,24671
110214,1102142016,Lawes Sumur Sepakat,24671
110214,1102142017,Setia Baru,24671
110214,1102142018,Teger Miko,24671
110215,1102152001,Salim Pinim I,
110215,1102152002,Jambur Damar,
110215,1102152003,Alur Langsat,
110215,1102152004,Rambah Sayang,
110215,1102152006,Rumah Luar,
110215,1102152007,Tenembak Alas,
110215,1102152008,Lawe Tungkal,
110215,1102152009,Salim Pinim II,
110215,1102152010,Jambukh Pekhmate,
110215,1102152011,Khutung Mbelang,
110215,1102152012,Timang Rasa,
110215,1102152013,Stambul Jaya,
110215,1102152014,Alur Nangke,
110215,1102152015,Kute Mejile,
110216,1102162001,Bintang Alga Musara,24673
110216,1102162002,Bintang Bukit Indah,24673
110216,1102162003,Tanjung Sari,24673
110216,1102162004,Bun-bun Alas,24673
110216,1102162005,Naga Timbul,24673
110216,1102162006,Gunung Pak-Pak,24673
110216,1102162007,Bukit Meriah,24673
110216,1102162008,Permata Musara,24673
110216,1102162009,Laut Tawar,24673
110216,1102162010,Kane Mende,24673
110216,1102162011,Lawe Sekhakut,24673
110216,1102162012,Bunbun Indah,24673
110216,1102162013,Suka Damai,24673
110216,1102162014,Tuah Kekhine,24673
110216,1102162015,Punce Nali,24673
110216,1102162016,Sade Ate,24673
110216,1102162017,Akhih Majile,24673
110216,1102162018,Ukhat Peseluk,24673
110216,1102162019,Tunas Mude,24673
110216,1102162020,Gaye Sendah,24673
110216,1102162021,Kute Hakhapen,24673
110216,1102162022,Kompas,24673
110216,1102162023,Sepakat,24673
110301,1103012001,Alue Luddin Sa,24455
110301,1103012002,Alue Luddin Dua,24455
110301,1103012003,Alue Dalam,24455
110301,1103012004,Dama Pulo Sa,24455
110301,1103012005,Dama Pulo Dua,24455
110301,1103012006,Buket Kulam,24455
110301,1103012007,Seuneubok Teungoh,24455
110301,1103012008,Jungka Gajah,24455
110301,1103012009,Seuneubok Simpang,24455
110301,1103012010,Matang Pineung,24455
110301,1103012011,Lhok Geulumpang,24455
110301,1103012012,Blang Buket,24455
110301,1103012013,Meunasah Keutapang,24455
110301,1103012014,Buket Rumia,24455
110301,1103012015,Alue Gadeng,24455
110301,1103012016,Kapai Baro,24455
110301,1103012017,Seuneubok Tuha Sa,24455
110301,1103012018,Seuneubok Tuha Dua,24455
110301,1103012019,Seuneubok Buloh,24455
110301,1103012020,Gaseh Sayang,24455
110301,1103012021,Alue Lhok,24455
110301,1103012022,Trieng Gadeng,24455
110301,1103012023,Grong-Grong,24455
110301,1103012024,Matang Geuto,24455
110301,1103012025,Alue Merbo,24455
110301,1103012026,Buket Raya,24455
110301,1103012027,Gampong Keude,24455
110301,1103012028,Peukan Idi Cut,24455
110301,1103012029,Gampong Beunot,24455
110301,1103012030,Seuneubok Baroh,24455
110301,1103012031,Teupin Drum,24455
110301,1103012032,Kuala Idi Cut,24455
110301,1103012034,Seuneubok Aceh,24455
110301,1103012035,Gampong Baro,24455
110301,1103012036,Bagok Panah Sa,24455
110301,1103012037,Bagok Panah Dua,24455
110301,1103012038,Bagok Panah Lhee,24455
110301,1103012039,Bagok Panah Peut,24455
110301,1103012040,Buket Tualang,24455
110301,1103012041,Keumuneng Sa,24455
110301,1103012042,Keumuneng Dua,24455
110301,1103012043,Keumuneng Lhee,24455
110301,1103012044,Keumuneng Peut,24455
110301,1103012045,Keumuneng Limong,24455
110301,1103012046,Meunasah Blang,24455
110302,1103022001,Blang Keumahang,24457
110302,1103022002,Blang Jambee,24457
110302,1103022003,Keumuneng,24457
110302,1103022004,Ladang Baro,24457
110302,1103022005,Buket Panyang,24457
110302,1103022006,Seuneubok Rambong,24457
110302,1103022007,Seuneubok Baro,24457
110302,1103022008,Blang Mideun,24457
110302,1103022009,Paya Bakong,24457
110302,1103022010,Teupin Raya,24457
110302,1103022011,Lhok Rambong,24457
110302,1103022012,Julok Tunong,24457
110302,1103022013,Ulee Ateung,24457
110302,1103022014,Ulee Blang,24457
110302,1103022015,Labuhan,24457
110302,1103022016,Naleung,24457
110302,1103022017,Mane Rampak,24457
110302,1103022018,Matang,24457
110302,1103022019,Blang Uyok,24457
110302,1103022020,Blang Pauh Sa,24457
110302,1103022021,Blang Pauh Dua,24457
110302,1103022022,Ulee Tanoh,24457
110302,1103022023,Keude Kuta Binjei,24457
110302,1103022024,Bukit Seroja,24457
