risk_id,source_stage,risk,severity,classification,handling,route,disposition,p9_treatment,engineering_blocker
D13-20,P6 v1.2,"Endpoint classes, headers, Retry-After and complete 429 behavior are not uniformly frozen.",Medium,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,P6 cross-module/global,CONTROLLED — evidence-gated; no unsupported completion claim,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
D13-21,P6 v1.2,Endpoint-level acceptance/replay semantics are not uniformly evidenced for all retry-sensitive operations.,Medium,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,P6 cross-module/global,CONTROLLED — evidence-gated; no unsupported completion claim,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
D13-22,P6 v1.2,Explicit Content-Type/Accept/header requirements are not fully enumerated endpoint-by-endpoint.,Medium,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,P6 cross-module/global,CONTROLLED — evidence-gated; no unsupported completion claim,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
D13-23,P6 v1.2,"API→DB, API→User Flow and API→AEP endpoint-level traceability is not uniformly complete.",High,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,P6 cross-module/global,CONTROLLED — evidence-gated; no unsupported completion claim,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
R-01,P5 carry-forward / P7 context,Foundation contract drift,HIGH,BLOCKING_IF_SEMANTIC,Recheck P1/P2/Core authority before downstream P4.,B08,NOT_RESOLVED_BY_P5,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
R-02,P5 carry-forward / P7 context,Authority inversion,HIGH,BLOCKING_IF_SEMANTIC,Preserve M10 auth; M03 Listing/Refresh action; M14 allowance; M04 evidence; M15 Award; M11 discovery; M09 bounded admin.,B08,NOT_RESOLVED_BY_P5,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
R-03,P5 carry-forward / P7 context,P3 overclaims Core completeness from coarse mapping,HIGH,CORRECTED,Detailed IP and Core 6.25 execution-unit traceability added.,B08,NOT_RESOLVED_BY_P5,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
R-04,P5 carry-forward / P7 context,M03 Refresh allowance physical/API realization,MEDIUM,CONTROLLED,M14 owns allowance; M03 consumes; downstream contract/implementation proof required.,B04,NOT_RESOLVED_BY_P5,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
R-05,P5 carry-forward / P7 context,"M06 physical gaps: Developer fields, Marketing Kit, Claim persistence",MEDIUM,CONTROLLED,P4 routes semantic obligations and physical evidence downstream.,B03,NOT_RESOLVED_BY_P5,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
R-06,P5 carry-forward / P7 context,M09 system_configs RLS broader than semantic Superadmin-only view,MEDIUM,CONTROLLED,M10/RLS downstream hardening; no runtime claim.,B03,NOT_RESOLVED_BY_P5,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
R-07,P5 carry-forward / P7 context,M13 Provider Catalogue/BYOK Core propagation,MEDIUM,CONTROLLED,P4 routes catalogue/BYOK lifecycle and downstream API/RLS evidence.,B03,NOT_RESOLVED_BY_P5,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
R-08,P5 carry-forward / P7 context,M04 physical permission/RLS and Partnership Learning realization,MEDIUM,CONTROLLED,P4 routes Session/Evidence and Learning Economy evidence gates downstream.,B05,NOT_RESOLVED_BY_P5,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
D13-01,P5 carry-forward / P7 context,M14→M03 commercial-capacity invocation remains semantic/data-contract evidence; no exact internal API-to-API invocation contract is evidenced.,High,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B04,NOT_RESOLVED_BY_P5,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
D13-02,P5 carry-forward / P7 context,"M14→M04 purchased-LP handoff is semantically defined through commercial fulfillment → M04 LP grant, but no exact internal invocation contract is evidenced.",High,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B05,NOT_RESOLVED_BY_P5,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
D13-03,P5 carry-forward / P7 context,"M04 governed evidence → M15 Qualification Evaluation/Award is valid, but endpoint-level field/contract traceability is not uniformly frozen.",High,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B05,NOT_RESOLVED_BY_P5,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
D13-04,P5 carry-forward / P7 context,"PUT /admin/config/dbr is present, but Core wording remains Superadmin-only while M07 semantic authority permits Admin configuration; M10 remains final authorization authority.",High,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B02,NOT_RESOLVED_BY_P5,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
D13-05,P5 carry-forward / P7 context,"M11 public discovery/measurement consumes M14 Promotion truth, but Announcement/Promotion lifecycle administration remains incomplete and split across M09/M14 responsibilities.",High,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B03,NOT_RESOLVED_BY_P5,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
D13-06,P5 carry-forward / P7 context,"M10 Permission Preset semantic contract is locked, but no exact current endpoint family is evidenced.",High,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B02,NOT_RESOLVED_BY_P5,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
D13-07,P5 carry-forward / P7 context,"M08 Notification State includes dismiss/delivery-state semantics, but exact current operations for those semantics are not fully evidenced.",High,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B08,NOT_RESOLVED_BY_P5,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
D13-08,P5 carry-forward / P7 context,M09 Notification Template / Content Configuration is locked ADD-NEW but lacks a complete current Core endpoint/storage contract.,High,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B03,NOT_RESOLVED_BY_P5,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
D13-09,P5 carry-forward / P7 context,"M13 Provider Catalogue mutation is semantically Superadmin-only, but exact mutation routes are not evidenced.",High,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B03,NOT_RESOLVED_BY_P5,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
D13-10,P5 carry-forward / P7 context,M13 FORCE_REVOKE/FORCE_DISCONNECT/FORCE_DISABLE administrative interventions are semantically required but exact routes are not evidenced.,High,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B03,NOT_RESOLVED_BY_P5,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
D13-11,P5 carry-forward / P7 context,M13 complete connection lifecycle/state semantics exceed the currently evidenced connection API family.,High,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B03,NOT_RESOLVED_BY_P5,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
D13-12,P5 carry-forward / P7 context,/admin/reports/export authorization wording is broader than the M09-R11 semantic matrix.,Medium/High,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B03,NOT_RESOLVED_BY_P5,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
D13-13,P5 carry-forward / P7 context,/admin/audit-logs authorization wording is not aligned with M09-R04 scope.,High,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B03,NOT_RESOLVED_BY_P5,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
D13-14,P5 carry-forward / P7 context,M09/M13 physical/RLS/security residuals remain downstream; STEP11-D does not claim runtime or deployed RLS proof.,Medium,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B03,NOT_RESOLVED_BY_P5,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
D13-15,P5 carry-forward / P7 context,Exact M10 permission-ID mapping remains unresolved and is outside STEP11 endpoint synchronization.,High,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B02,NOT_RESOLVED_BY_P5,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
D13-16,P5 carry-forward / P7 context,"API execution, transactionality, concurrency, replay protection and production/RLS runtime behavior are not evidenced by the supplied artifacts.",Medium,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B08,NOT_RESOLVED_BY_P5,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
D13-17,P5 carry-forward / P7 context,Endpoint-specific HTTP status behavior is not uniformly frozen.,Medium,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B08,NOT_RESOLVED_BY_P5,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
D13-18,P5 carry-forward / P7 context,"Required/optional fields, types, enums, nullability and endpoint-specific response schemas are not uniformly frozen.",Medium,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B08,NOT_RESOLVED_BY_P5,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
D13-19,P5 carry-forward / P7 context,Endpoint-specific pagination defaults/max/filter behavior remain incomplete.,Medium,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B08,NOT_RESOLVED_BY_P5,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
D13-20,P5 carry-forward / P7 context,"Endpoint classes, headers, Retry-After and complete 429 behavior are not uniformly frozen.",Medium,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B08,NOT_RESOLVED_BY_P5,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
D13-21,P5 carry-forward / P7 context,Endpoint-level acceptance/replay semantics are not uniformly evidenced for all retry-sensitive operations.,Medium,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B08,NOT_RESOLVED_BY_P5,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
D13-22,P5 carry-forward / P7 context,Explicit Content-Type/Accept/header requirements are not fully enumerated endpoint-by-endpoint.,Medium,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B08,NOT_RESOLVED_BY_P5,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
D13-23,P5 carry-forward / P7 context,"API→DB, API→User Flow and API→AEP endpoint-level traceability is not uniformly complete.",High,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B08,NOT_RESOLVED_BY_P5,CONTROLLED_ENGINEERING_RESIDUAL,NO — unless later evidence establishes semantic contradiction
