finding_id,module,classification,core_artifact_id,core_path,mxx_authority_artifact,semantic_delta_or_resolution,step13_evidence_artifact,successor_core_location,disposition,core_detail_retained,mxx_valid_detail_retained,approved_conflict_update_applied,whole_artifact_replacement,silent_deletion,provenance_complete,physical_runtime_status,successor_semantic_presence,successor_propagation_status,p7_execution_wp,p7_execution_batch
M08-IA-01,M08,PRESERVE,CAM11-0032,12_API/W4-02A.6.16_API_SPECIFICATION_CURRENT_API_CONTRACT_BASELINE_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M08_FULL_REBUILD_CONTROLLED_v1.0.zip,Dashboard Projection,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0032,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M08-P4-WP01,B07
M10-CORE-03,M10,AUGMENT,CAM11-0016,09_ERD/W4-02A.6.13_ERD_CURRENT_LOGICAL_DATA_MODEL_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,Core Scope,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0016,AUGMENT,YES,YES,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M10-P4-WP01,B02
M10-CORE-04,M10,AUGMENT,CAM11-0016,09_ERD/W4-02A.6.13_ERD_CURRENT_LOGICAL_DATA_MODEL_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,Core RLS,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0016,AUGMENT,YES,YES,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M10-P4-WP04,B02
M10-CORE-05,M10,AUGMENT,CAM11-0016,09_ERD/W4-02A.6.13_ERD_CURRENT_LOGICAL_DATA_MODEL_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,Core UI/UX,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0016,AUGMENT,YES,YES,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M10-P4-WP01,B02
M10-CORE-06,M10,AUGMENT,CAM11-0016,09_ERD/W4-02A.6.13_ERD_CURRENT_LOGICAL_DATA_MODEL_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,Core API,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0016,AUGMENT,YES,YES,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M10-P4-WP01,B02
M10-CORE-07,M10,AUGMENT,CAM11-0016,09_ERD/W4-02A.6.13_ERD_CURRENT_LOGICAL_DATA_MODEL_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,Core ERD / DB,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0016,AUGMENT,YES,YES,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M10-P4-WP01,B02
M10-CORE-08,M10,PRESERVE,CAM11-0016,09_ERD/W4-02A.6.13_ERD_CURRENT_LOGICAL_DATA_MODEL_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,Core lifecycle,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0016,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M10-P4-WP01,B02
M10-CORE-09,M10,PRESERVE,CAM11-0016,09_ERD/W4-02A.6.13_ERD_CURRENT_LOGICAL_DATA_MODEL_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,Core actor/role,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0016,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M10-P4-WP01,B02
M10-CORE-10,M10,PRESERVE,CAM11-0016,09_ERD/W4-02A.6.13_ERD_CURRENT_LOGICAL_DATA_MODEL_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,Core organization boundary,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0016,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M10-P4-WP03,B02
M10-CORE-11,M10,PRESERVE,CAM11-0016,09_ERD/W4-02A.6.13_ERD_CURRENT_LOGICAL_DATA_MODEL_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,Core ownership boundary,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0016,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M10-P4-WP03,B02
M10-CORE-12,M10,AUGMENT,CAM11-0016,09_ERD/W4-02A.6.13_ERD_CURRENT_LOGICAL_DATA_MODEL_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,Core cross-module authorization,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0016,AUGMENT,YES,YES,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M10-P4-WP01,B02
M10-CORE-13,M10,CONTROLLED,CAM11-0016,09_ERD/W4-02A.6.13_ERD_CURRENT_LOGICAL_DATA_MODEL_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,Core implementation/downstream,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0016,CONTROLLED,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_CONTROLLED,M10-P4-WP01,B02
M10-CORE-14,M10,PRESERVE,CAM11-0016,09_ERD/W4-02A.6.13_ERD_CURRENT_LOGICAL_DATA_MODEL_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,Privilege escalation,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0016,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M10-P4-WP01,B02
M10-CORE-15,M10,PRESERVE,CAM11-0016,09_ERD/W4-02A.6.13_ERD_CURRENT_LOGICAL_DATA_MODEL_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,Effective authorization resolution,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0016,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M10-P4-WP01,B02
M10-CORE-16,M10,PRESERVE,CAM11-0016,09_ERD/W4-02A.6.13_ERD_CURRENT_LOGICAL_DATA_MODEL_FULL_CONSOLIDATED_v2.1.docx,RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION.zip,Preset lifecycle/recovery,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0016,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M10-P4-WP02,B02
