obligation_id,module,source_scope,finding,classification,p3_work_package,core_package,handling,p5_batch_id,p5_execution_status,p5_gate,evidence_requirement,p7_execution_wp,p7_gate,p7_core_scope_rows
P3-OBL-046,M13,M13 Core Impact,Provider Catalogue mutation is Superadmin-only; historical Admin-curated wording must not persist.,RECONCILE,M13-WP01,IP-14/IP-01,Core/API/RLS traceability.,B03,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,M13-WP01,Module batch gate + B08 final reconciliation,4
P3-OBL-047,M13,M13 Core Impact,BYOK ownership is Agent/User OWN; no broad internal-role ownership.,RECONCILE,M13-WP02,IP-14/IP-01,Ownership/security boundary.,B03,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,M13-WP02,Module batch gate + B08 final reconciliation,4
P3-OBL-048,M13,M13 Core Impact,"Complete connection lifecycle, invocation precondition, raw-credential privacy, provider retirement/outage and bulk-revoke execution mode must be explicit.",AUGMENT,M13-WP02/03,IP-14/IP-01,Plan lifecycle/security propagation.,B03,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,M13-WP02/03,Module batch gate + B08 final reconciliation,4
P3-OBL-049,M13,M13 Core Impact,Exact lifecycle/API/RLS/uniqueness/disconnect/force-action details remain downstream evidence-gated.,CONTROLLED,M13-WP03,IP-14/IP-01,No invented identifiers.,B03,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,M13-WP03,Module batch gate + B08 final reconciliation,4
P3-OBL-050,M14,M14 Core Impact,Subscription/add-on lifecycle and temporal invariants require explicit Core contract mapping.,AUGMENT,M14-WP01/03,IP-07,Planning traceability.,B03,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,M14-WP01/03,Module batch gate + B08 final reconciliation,20
P3-OBL-051,M14,M14 Core Impact,Purchase snapshot and confirmed_at invariants must be explicit.,AUGMENT,M14-WP01/02,IP-07,Immutable commercial evidence.,B03,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,M14-WP01/02,Module batch gate + B08 final reconciliation,20
P3-OBL-052,M14,M14 Core Impact,"Trusted payment verification, idempotent fulfillment, entitlement lifecycle, quota chain and reconciliation require explicit mapping.",AUGMENT,M14-WP02/03,IP-07,Provider evidence is not confirmation.,B03,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,M14-WP02/03,Module batch gate + B08 final reconciliation,20
P3-OBL-053,M14,M14 Core Impact,"Refresh Allowance is additive M14 authority; M14 owns allowance, M03 owns action/eligibility/consumption; no new M14 permission.",AUGMENT,M14-WP04,IP-07/IP-04,Explicit cross-module contract.,B03,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,M14-WP04,Module batch gate + B08 final reconciliation,20
P3-OBL-054,M14,M14 locked scope,Q01–Q64 belong to M14; do not reattribute them to M15.,PRESERVE,M14-WP01/03,IP-07,Scope-control invariant.,B03,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,M14-WP01/03,Module batch gate + B08 final reconciliation,20
P3-OBL-055,M15,M15 current baseline,M15 owns qualification/evidence evaluation/Award; consumes M04 evidence and must not absorb M14 Q01–Q64.,PRESERVE,M15-WP01/02/03,IP-09/IP-06/IP-07,Maintain authority boundary.,B06,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,M15-WP01/02/03,Module batch gate + B08 final reconciliation,22
P3-OBL-056,M15,M15 current baseline,Award provenance/rule-version snapshot and appeal/presentation remain explicit; presentation is downstream/non-owning.,PRESERVE,M15-WP03/04,IP-09/IP-02/IP-11/IP-13,No Award issuance leakage.,B06,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,M15-WP03/04,Module batch gate + B08 final reconciliation,22
P3-OBL-057,M15,M15 current baseline,Physical permission IDs/API/RLS/runtime remain downstream controlled; no invented authority identifiers.,CONTROLLED,M15-WP02/03,IP-09/IP-01,Evidence-gated.,B06,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,M15-WP02/03,Module batch gate + B08 final reconciliation,22
