finding_id,module,classification,core_artifact_id,core_path,mxx_authority_artifact,semantic_delta_or_resolution,step13_evidence_artifact,successor_core_location,disposition,core_detail_retained,mxx_valid_detail_retained,approved_conflict_update_applied,whole_artifact_replacement,silent_deletion,provenance_complete,physical_runtime_status,successor_semantic_presence,successor_propagation_status,p6_execution_wp,p6_execution_batch
M01-CI-011,M01,PRESERVE,CAM11-0066,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,Identity dependencies M02/M03/M06,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0066,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M01-P4-WP04,B01
M01-CI-012,M01,PRESERVE,CAM11-0045,23_M01_M07/W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1_EXTRACTED/RUMAHAGEN_W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1/M01_PHYSICAL_EXECUTION_SPEC_v2.1.md,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,Physical/runtime separation,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0045,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M01-P4-WP04,B01
M01-CI-013,M01,CONTROLLED,CAM11-0011,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,M01 physical/runtime status,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0011,CONTROLLED,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_CONTROLLED,M01-P4-WP04,B01
M01-CI-014,M01,NO-PROPAGATION,CAM11-0011,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,M01 public profile authority,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0011,NO-PROPAGATION,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_CONTROLLED,M01-P4-WP04,B01
M02-CI-001,M02,PRESERVE,CAM11-0040,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,Agent Profile — View,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0040,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M02-P4-WP01,B03
M02-CI-002,M02,PRESERVE,CAM11-0034,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,Agent Profile — Update,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0034,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M02-P4-WP01,B03
M02-CI-003,M02,PRESERVE,CAM11-0066,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,Profile Visibility — PUBLIC/PRIVATE,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0066,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M02-P4-WP03,B03
M02-CI-004,M02,PRESERVE,CAM11-0037,17_SEO_ANALYTICS/W4-02A.6.21_SEO_ANALYTICS_SPECIFICATION_DISCOVERY_MEASUREMENT_BASELINE_v2.1.md,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,Public CTA — explicit opt-in,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0037,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M02-P4-WP03,B03
M02-CI-005,M02,PRESERVE,CAM11-0066,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,Superadmin visibility/CTA override,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0066,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M02-P4-WP03,B03
M02-CI-006,M02,PRESERVE,CAM11-0034,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,Review Create — OWN,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0034,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M02-P4-WP02,B03
M02-CI-007,M02,PRESERVE,CAM11-0066,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,Review View,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0066,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M02-P4-WP02,B03
M02-CI-008,M02,RECONCILE,CAM11-0066,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,"Buyer Submit → AUTO-APPROVED → Published/Viewable; Agent Self-Review → AUTO-APPROVED → Published/Viewable; Admin moderation is post-publication, not approval gate.",STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0066,UPDATE/RECONCILE,YES,YES,YES,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M02-P4-WP02,B03
M02-CI-009,M02,ADD-NEW,CAM11-0011,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,Outcome Presentation — non-owning,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0011,ADD-NEW,YES,YES,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M02-P4-WP04,B03
M02-CI-010,M02,PRESERVE,CAM11-0035,15_TECHNICAL/W4-02A.6.19_TECHNICAL_SPECIFICATION_CURRENT_TECHNICAL_IMPLEMENTATION_CONTRACT_v2.1.md,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,Private Identity / Legal / Verification boundary,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0035,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M02-P4-WP04,B03
M02-CI-011,M02,RECONCILE,CAM11-0034,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,KTP may be deferred; OTP VERIFIED → ACCOUNT ACTIVE; ISI NANTI → KTP DEFERRED/NOT_PROVIDED; no PENDING_REVIEW activation gate.,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0034,UPDATE/RECONCILE,YES,YES,YES,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M02-P4-WP04,B03
M02-CI-012,M02,PRESERVE,CAM11-0066,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,M02 ↔ M01 identity boundary,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0066,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M02-P4-WP04,B03
M02-CI-013,M02,PRESERVE,CAM11-0066,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,M02 ↔ M03 Listing boundary,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0066,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M02-P4-WP04,B03
M02-CI-014,M02,PRESERVE,CAM11-0066,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,M02 ↔ M10 authorization boundary,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0066,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M02-P4-WP04,B03
M02-CI-015,M02,PRESERVE,CAM11-0046,23_M01_M07/W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1_EXTRACTED/RUMAHAGEN_W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1/M02_PHYSICAL_EXECUTION_SPEC_v2.1.md,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,Physical/runtime separation,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0046,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M02-P4-WP04,B03
M02-CI-016,M02,CONTROLLED,CAM11-0011,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,M02 physical/runtime status,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0011,CONTROLLED,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_CONTROLLED,M02-P4-WP04,B03
M02-CI-017,M02,NO-PROPAGATION,CAM11-0011,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,Outcome upstream authority,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0011,NO-PROPAGATION,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_CONTROLLED,M02-P4-WP04,B03
M03-CI-001,M03,RECONCILE,CAM11-0040,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip,"Normal Listing publication = DRAFT → PUBLISH → PUBLISHED. No Admin approval gate. SUSPENDED is enforcement, not publication approval.",STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0040,UPDATE/RECONCILE,YES,YES,YES,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M03-P4-WP01,B04
M03-CI-002,M03,PRESERVE,CAM11-0040,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip,Suspension / violation enforcement,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0040,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M03-P4-WP01,B04
M03-CI-003,M03,PRESERVE,CAM11-0037,17_SEO_ANALYTICS/W4-02A.6.21_SEO_ANALYTICS_SPECIFICATION_DISCOVERY_MEASUREMENT_BASELINE_v2.1.md,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip,Sold/Rented search exclusion and profile count,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0037,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M03-P4-WP01,B04
M03-CI-004,M03,PRESERVE,CAM11-0040,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip,Owner-only Listing edit,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0040,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M03-P4-WP01,B04
M03-CI-005,M03,PRESERVE,CAM11-0037,17_SEO_ANALYTICS/W4-02A.6.21_SEO_ANALYTICS_SPECIFICATION_DISCOVERY_MEASUREMENT_BASELINE_v2.1.md,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip,Four-field post-publish locks,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0037,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M03-P4-WP02,B04
M03-CI-006,M03,ADD-NEW,CAM11-0067,27_AI_BLUEPRINT/W4-02A.6.31_AI_DEVELOPMENT_BLUEPRINT_v2.1.md,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip,Refresh daily quota default 5,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0067,ADD-NEW,YES,YES,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M03-P4-WP03,B04
M03-CI-007,M03,PRESERVE,CAM11-0066,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip,Refresh Superadmin configuration,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0066,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M03-P4-WP03,B04
M03-CI-008,M03,PRESERVE,CAM11-0066,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED.zip,Refresh no carry-forward,STEP13-G_SUCCESSOR_INTEGRATED_SYSTEM_RECONCILIATION_FULL_v1.1.md,CANON-CAM11-0066,PRESERVE,YES,,,NO,NO,PASS,EVIDENCE-GATED / NOT VERIFIED unless explicit evidence exists; no invented runtime proof.,EXPLICIT_INTEGRATED_CANDIDATE,TRACEABLE_AND_INCORPORATED,M03-P4-WP03,B04
