obligation_id,module,source_scope,finding,classification,p3_work_package,core_package,handling,p5_batch_id,p5_execution_status,p5_gate,evidence_requirement,p6_focus_status,p6_execution_rule,p6_focus_status,p6_execution_rule
P3-OBL-011,M03,M03 Core Impact,Sold/Rented excluded from public Search while retained in historical Agent-profile counts.,AUGMENT,M03-WP01,IP-04/IP-13,Plan discovery filter and historical-count projection.,B04,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate.",ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate."
P3-OBL-012,M03,M03 Core Impact,Ordinary Listing Update is owner-only; Organization membership does not create edit authority.,PRESERVE,M03-WP02,IP-04/IP-02,Negative authorization planning.,B04,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate.",ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate."
P3-OBL-013,M03,M03 Core Impact,"Address, Property Type, Land Size, Building Size lock after first successful Publish.",AUGMENT,M03-WP02,IP-04,Plan field-lock state.,B04,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate.",ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate."
P3-OBL-014,M03,M03 Core Impact,Refresh default is 5 successful Refreshes per Agent per operational day; value must remain configurable.,AUGMENT,M03-WP03,IP-04/IP-07,M14 owns allowance/config; do not hardcode in M03.,B04,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate.",ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate."
P3-OBL-015,M03,M03 Core Impact,No carry-forward; Asia/Jakarta operational-day reset; one successful Refresh per Listing/day.,AUGMENT,M03-WP03,IP-04/IP-07,Explicit temporal invariants.,B04,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate.",ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate."
P3-OBL-016,M03,M03 Core Impact,Refresh remains within existing District; ordering latest successful first; timestamp tie first-recorded; server authoritative.,AUGMENT,M03-WP03,IP-04,Plan deterministic Refresh semantics.,B04,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate.",ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate."
P3-OBL-017,M03,M03 Core Impact,Search cards use optimized derivatives; preserve aspect ratio; no original-resolution ordinary-card delivery.,AUGMENT,M03-WP01,IP-04/IP-13,Plan media derivative/display behavior.,B04,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate.",ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate."
P3-OBL-018,M04,M04 Core Impact,Partnership Learning Result physical realization is downstream controlled.,CONTROLLED,M04-WP04,IP-06,Record as downstream physical/API/RLS residual.,B05,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate.",ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate."
P3-OBL-019,M04,M04 Core Impact,Learning Reconciliation physical authorization mapping remains downstream.,CONTROLLED,M04-WP03,IP-06/IP-01,Do not invent permission IDs.,B05,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate.",ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate."
P3-OBL-020,M04,M04 Core Impact,Complete physical permission catalogue/seed mapping and RLS mapping remain downstream.,CONTROLLED,M04-WP03,IP-01,Evidence-gated.,B05,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate.",ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate."
P3-OBL-021,M05,M05 current baseline,Event Registration must remain distinct from Session Enrollment; waitlist/late-registration/cancellation/attendance rules remain explicit.,PRESERVE,M05-WP02,IP-05/IP-08,Plan state/interaction boundary.,B04,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate.",ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate."
P3-OBL-022,M05,M05 current baseline,Provider-specific configuration and universal iframe behavior remain controlled/provider-dependent; no invented universal iframe field.,CONTROLLED,M05-WP04,IP-05/IP-08,Plan provider adapter boundary.,B04,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate.",ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate."
P3-OBL-023,M06,M06 Core Impact,Developer company_logo and free-text “Tentang Developer” description are semantic source requirements.,AUGMENT,M06-WP01,IP-03,Plan Core contract propagation; no physical mutation in P3.,B03,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate.",ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate."
P3-OBL-024,M06,M06 Core Impact,Project keeps meta_title/meta_description; do not introduce Project description as substitute.,PRESERVE,M06-WP01,IP-03,Keep canonical source fields.,B03,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate.",ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate."
P3-OBL-025,M06,M06 Core Impact,Project media semantic boundary is photo/video; brochure/price_list physical allowance must not override semantics.,RECONCILE,M06-WP01,IP-03,Flag physical reconciliation downstream.,B03,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate.",ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate."
P3-OBL-026,M06,M06 Core Impact,Marketing Kit is a separate semantic resource; permissions: Developer own CRUD; Admin/Superadmin All; Manager/Agent View+Download; Buyer/Partner none.,ADD-NEW,M06-WP03,IP-03/IP-01,Plan resource and authority; no API/DB invention.,B03,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate.",ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate."
P3-OBL-027,M06,M06 Core Impact,Approved Claim → Agent-owned Listing initialization must preserve M03 Listing authority.,RECONCILE,M06-WP04,IP-03/IP-04,M06 seeds; M03 owns lifecycle.,B03,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate.",ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate."
P3-OBL-028,M07,M07 Core Impact,No semantic M07 rewrite required; DBR/bank configuration remains M07 authority.,PRESERVE,M07-WP01/02,IP-10/IP-12,Plan configuration dependency only.,B03,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate.",ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate."
P3-OBL-029,M07,M07 Core Impact,M09 configuration must not become generic DBR authority.,PRESERVE,M07-WP04,IP-10/IP-12,M07 remains source authority.,B03,PLANNED,Module batch gate + B08 final reconciliation,Evidence required at execution; physical/runtime claims remain evidence-gated.,ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate.",ROUTED,"Execute in assigned module pack; preserve classification, P5 batch, and evidence gate."
