root_source,depth,path,kind,size,sha256,error
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,0,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,zip_container,2722298,c3003abe63d2142e95441be412fe5dec193597f79e2776873fdf13a87305d6ff,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/00-CROSS-STEP-GATE/CORRECTIVE_FINDINGS_CLOSURE_v1.2.csv,member,2107,0c2a720698dc0720f54f20652feb91603a7afc5195b0a0207314a95ecc06a496,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/00-CROSS-STEP-GATE/INTEGRATED_TRACEABILITY_v1.2.md,member,1984,64e3fa4cd58def4ec1a866ec18b90b05f6c27c4a8661a9da155d48bfad4246dd,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/00-CROSS-STEP-GATE/SCREEN_STATE_MATRIX_v1.2.csv,member,5825,31cfaaf1ed9ec298575cf572ee2952961f099825ed9fdedd292fb54426123550,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/00-CROSS-STEP-GATE/SHA256_MANIFEST_v1.2.csv,member,9440,96a2bf680411ddcb33ea929c8a74443d2f5dfe07c299b4cdfe74b311e1dbd06b,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/01-SOURCE-RECONCILIATION/SOURCE_BOUNDARY.md,member,444,89668f27c6530b220f5dede248a0dc4478c71f3f1e2c9aecbad1548e52f3aa06,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/01-SOURCE-RECONCILIATION/SOURCE_MANIFEST_v1.2.json,member,842,5dea08c11bb7b1b21ebf25da3761286d7fc8754bfac0a53bb0a4eaa1b9ff44ba,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/02-DEEP-SCAN/FULL_DEEP_SCAN_REAUDIT_v1.2.md,member,986,bca4d4cdcf810225fea445a9500dff1d412b53b70ba60f89d3367654673a39e1,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/02-DEEP-SCAN/REPRESENTATIVE_VISUAL_QA_v1.2.png,member,183961,2968eff3f385e93e7f5017dd6ff2d9ddf5cb0164997b5da642d9650921196bfb,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/02-DEEP-SCAN/VISUAL_QA_v1.2.csv,member,3892,d70482f7287c5abf67da129377346a58729bd90541d1aea2120cd849e2d91b18,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/03-READINESS/G-W04_READINESS_v1.2_FINAL.md,member,925,5e577156ce07743a7f586cd465e4009282c81cec4ebaac9b338be719afca80d8,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/03-READINESS/POST_PACKAGE_INTEGRITY_v1.2.json,member,316,05518727ece37e5d3a1cd487b26c5d3a2c257bdd97c8a52c41ec54876c0ef4f8,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/03-READINESS/POST_PACKAGE_INTEGRITY_v1.2_FINAL.json,member,147,22531ea6be75deec63fa0c36094e462eb1ca02a0d92b0f415b050efa3df19726,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/README.md,member,586,0cdd1e4985fc8d5db851abc6b8ff711af869028374d806ba8da9271b8b20c232,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/WF-04.02/Desktop/ADM-LRN-001_Course-Management_v1.2.png,member,71676,0122121983d132f52992e3abb12ce1ecb55e85d2a64387686e79ca9be0d0f2c8,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/WF-04.02/Desktop/ADM-LRN-002_Course-Details-Editor_v1.2.png,member,74577,9cc99216299793198bad025d41b492334583fa5096a30e1a9fd42808c4ffb3d5,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/WF-04.02/Desktop/ADM-LRN-003_Lesson-Manager_v1.2.png,member,69380,d7992078e5ac6cd59e3074df5bf700db3dbad646556dec942e44bcea1e8b4e38,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/WF-04.02/Desktop/LRN-002_Course-Detail-Enrollment_v1.2.png,member,73493,8f9b24a9f13a37b2f2a8da80c5958fdd91bc85eaa791a9f3a6e253e50e845435,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/WF-04.02/Docs/FIELD_SEMANTIC_COVERAGE.csv,member,1282,55e63ac643130a8fe8d221899f029bd6b96360f0285d146f1039a11edef64b6c,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/WF-04.02/Docs/SCOPE_AND_BOUNDARY.md,member,2098,7a7797b012d8bcc5de4b1924e2ac98f4b9847bd803c87e2dd240a262db50e9d9,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/WF-04.02/Docs/SCREEN_INVENTORY.csv,member,1284,257da4882c47316ed55d335b3aded5a2df73029f2c9bb8e00279aeb76e867fd3,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/WF-04.02/Mobile/ADM-LRN-001_Course-Management_v1.2.png,member,41542,5fc5f5336c614eef7a58590e73c5e8cdab79d09e47fc6577fe108f5e3a6294b3,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/WF-04.02/Mobile/ADM-LRN-002_Course-Details-Editor_v1.2.png,member,44851,02571998bc18de4583070de20feb9402d392be9573933e4605a0a7398d3625b2,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/WF-04.02/Mobile/ADM-LRN-003_Lesson-Manager_v1.2.png,member,39837,1aadbd1e400edae0881ba9f67f15e892e4250e66d3ef0e0fe24a8a2f5aa2fa47,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/WF-04.02/Mobile/LRN-002_Course-Detail-Enrollment_v1.2.png,member,43733,27ae9a853d3e6ebd823644db516b1bdb225fafa36367ddd892cae608dbf5026e,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/WF-04.03/Desktop/ADM-LRN-005_Learning-Path-Management_v1.2.png,member,70350,26877c1892664fb98b92f62ea4d5ad639db792e96270a86e4fb8f018a485394c,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/WF-04.03/Desktop/LRN-003_My-Learning_v1.2.png,member,71720,e0cbb7fd1309343430c6df3a5406e80ea41d9ea59fc256bb08957302b3aa6dac,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/WF-04.03/Desktop/LRN-004_Learning-Path-Detail-Progression_v1.2.png,member,71284,79c000d92f92ef4aaba8069f80f43943ce8a7956e78326a728f5d9e6656ea6d4,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/WF-04.03/Docs/FIELD_SEMANTIC_COVERAGE.csv,member,1170,6198ec9589352dd023cb440974930e753533049ab0050b5ff367b599c46f1009,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/WF-04.03/Docs/SCOPE_AND_BOUNDARY.md,member,2097,cd84a4ff75581ae557b068d037f822e17983736954189c54f8260f03cb363a00,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/WF-04.03/Docs/SCREEN_INVENTORY.csv,member,980,9547dc2f6c3a20210cba711573913d1b14efe2168da551b34a4c8a4d448e5ac8,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/WF-04.03/Mobile/ADM-LRN-005_Learning-Path-Management_v1.2.png,member,41432,1ba20722dcf5fefa1b1d446d3375fd47ea32d18695addababba92635634dd421,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/WF-04.03/Mobile/LRN-003_My-Learning_v1.2.png,member,42073,558a622a0fd34830604be9ed99241277675f12a9fa85fbc7e6089af1b364938a,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/WF-04.03/Mobile/LRN-004_Learning-Path-Detail-Progression_v1.2.png,member,42574,818fc7ff221cf663ed4c7d3c6d5bfee02222c2f20799db1826475b64be820384,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/WF-04.04/Desktop/ADM-LRN-004_Quiz-Manager_v1.2.png,member,68840,f01d84d2eb98fedc8dc8b9d683cfa6824fa1556eb3bd46a1f221a3a0962a0173,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/WF-04.04/Desktop/ADM-LRN-006_Learning-Activity-Management_v1.2.png,member,73144,501b81ac34ac567a1cf2b010e7175873ffc20a51cc7bb2ad76a9a10ec2acc19d,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/WF-04.04/Desktop/ADM-LRN-009_Assessment-Review-Grade-Validate_v1.2.png,member,72023,1b0e5d30e83c6a7507c9c099858773b7829a86c4ba971126fe48c5cc29a385e5,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/WF-04.04/Desktop/LRN-005_Learning-Activity_v1.2.png,member,72029,2cd8355532113fb5bd8a6e52c38f512913367e915142009362fd6022d4253d51,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/WF-04.04/Desktop/LRN-006_Quiz-Assessment_v1.2.png,member,69781,5d2ee2d7ab1389622fd627c58efebdb27ac2e1831c7ae20ff6c688a3376c8ad7,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/WF-04.04/Docs/FIELD_SEMANTIC_COVERAGE.csv,member,844,37e5a69f0f28a37fff9f93232cacb98fe5f75ff8f9c788d7bf4247728a1c7466,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/WF-04.04/Docs/SCOPE_AND_BOUNDARY.md,member,2110,eb2edc693a75c27c93eeacab2ab316b696104ea9f0fbcabcf23cf4de6ad5c5da,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/WF-04.04/Docs/SCREEN_INVENTORY.csv,member,1552,1add65784c530533bf36fdd7037a773c7120b6a98a487d0417ad5ec156f54a41,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/WF-04.04/Mobile/ADM-LRN-004_Quiz-Manager_v1.2.png,member,38943,dcb448f7bdb3bc90b2c760981d6d8b47288674d497ddade5fdb39f418fc202ab,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/WF-04.04/Mobile/ADM-LRN-006_Learning-Activity-Management_v1.2.png,member,44015,8e845933e6005c68e9aaa069e2892728a706960bf5a05b426a12314e506d28c5,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/WF-04.04/Mobile/ADM-LRN-009_Assessment-Review-Grade-Validate_v1.2.png,member,42084,f866d06a2a58c9f04b9f634eaae32e81747ba76084cb1dc178203fb7b82c99c6,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/WF-04.04/Mobile/LRN-005_Learning-Activity_v1.2.png,member,43242,2bf16143b9de21f12220c22cc43754a5209934137f35b99e7e8c3145a97ae836,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/WF-04.04/Mobile/LRN-006_Quiz-Assessment_v1.2.png,member,40501,ab05911c8c800b702cb7c00cf9f8c477d2de788ce244ad4dae71b8831ff0a68f,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/WF-04.05/Desktop/ADM-LRN-010_Skill-Management_v1.2.png,member,70572,cfbfc64fc40374a0324886e24f0380238883eacfd5481cb76db222c12d5e2132,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/WF-04.05/Desktop/ADM-LRN-011_Credential-Management_v1.2.png,member,73809,4e8bfae1fa19e489d6e933d8a935ba48ca935cd430447afe301ba87a51ee2b14,
RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip,1,RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED_FINAL.zip/RumahAgen_WF-04.02_to_WF-04.06_FULL_VERSION_v1.2_CORRECTED/WF-04.05/Desktop/ADM-LRN-012_Learning-Reconciliation_v1.2.png,member,69187,a28934685332e4d00cf438e5162160d4cb44604892aca44b0317f24700ffd157,
