finding_id,module,core_artifact_id,classification,semantic_detail,final_semantic_authority,authority_role,authority_resolution,core_authority_owner,mxx_authority_artifact,step05_required,step06_merge_status
M01-CI-011,M01,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,PRESERVE,Identity dependencies M02/M03/M06,M01,DOMAIN_AUTHORITY,M01 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE ENGINEERING ALIGNMENT AUTHORITY,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,NO,CLOSED
M01-CI-012,M01,CAM11-0045,PRESERVE,Physical/runtime separation,M01,DOMAIN_AUTHORITY,M01 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,M01–M07 EXECUTION CONTEXT; MODULE AUTHORITIES REMAIN SEMANTIC AUTHORITY,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,NO,CLOSED
M01-CI-013,M01,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,CONTROLLED,M01 physical/runtime status,M01,DOMAIN_AUTHORITY,M01 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE ARCHITECTURE,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,NO,CLOSED
M01-CI-014,M01,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,NO-PROPAGATION,M01 public profile authority,M01,DOMAIN_AUTHORITY,M01 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE ARCHITECTURE,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,NO,CLOSED
M02-CI-001,M02,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,PRESERVE,Agent Profile — View,M02,DOMAIN_AUTHORITY,M02 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE MODULE PLANNING AUTHORITY,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,NO,CLOSED
M02-CI-002,M02,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,PRESERVE,Agent Profile — Update,M02,DOMAIN_AUTHORITY,M02 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE FUNCTIONAL CONTRACT AUTHORITY,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,NO,CLOSED
M02-CI-003,M02,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,PRESERVE,Profile Visibility — PUBLIC/PRIVATE,M02,DOMAIN_AUTHORITY,M02 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE ENGINEERING ALIGNMENT AUTHORITY,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,NO,CLOSED
M02-CI-004,M02,17_SEO_ANALYTICS/W4-02A.6.21_SEO_ANALYTICS_SPECIFICATION_DISCOVERY_MEASUREMENT_BASELINE_v2.1.md,PRESERVE,Public CTA — explicit opt-in,M02,DOMAIN_AUTHORITY,M02 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,M11 PUBLIC DISCOVERY / SEO / MEASUREMENT AUTHORITY,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,NO,CLOSED
M02-CI-005,M02,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,PRESERVE,Superadmin visibility/CTA override,M02,DOMAIN_AUTHORITY,M02 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE ENGINEERING ALIGNMENT AUTHORITY,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,NO,CLOSED
M02-CI-006,M02,CAM11-0034,PRESERVE,Review Create — OWN,M02,DOMAIN_AUTHORITY,M02 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE FUNCTIONAL CONTRACT AUTHORITY,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,NO,CLOSED
M02-CI-007,M02,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,PRESERVE,Review View,M02,DOMAIN_AUTHORITY,M02 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE ENGINEERING ALIGNMENT AUTHORITY,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,NO,CLOSED
M02-CI-008,M02,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,RECONCILE,Review Auto-Approve / post-publication moderation,M02,DOMAIN_AUTHORITY,M02 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE ENGINEERING ALIGNMENT AUTHORITY,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,YES,CLOSED
M02-CI-009,M02,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,ADD-NEW,Outcome Presentation — non-owning,M02,DOMAIN_AUTHORITY,M02 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE ARCHITECTURE,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,NO,CLOSED
M02-CI-010,M02,CAM11-0035,PRESERVE,Private Identity / Legal / Verification boundary,M02,DOMAIN_AUTHORITY,M02 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE TECHNICAL CONTRACT AUTHORITY,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,NO,CLOSED
M02-CI-011,M02,CAM11-0034,RECONCILE,KTP deferred semantics,M02,DOMAIN_AUTHORITY,M02 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE FUNCTIONAL CONTRACT AUTHORITY,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,YES,CLOSED
M02-CI-012,M02,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,PRESERVE,M02 ↔ M01 identity boundary,M02,DOMAIN_AUTHORITY,M02 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE ENGINEERING ALIGNMENT AUTHORITY,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,NO,CLOSED
M02-CI-013,M02,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,PRESERVE,M02 ↔ M03 Listing boundary,M02,DOMAIN_AUTHORITY,M02 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE ENGINEERING ALIGNMENT AUTHORITY,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,NO,CLOSED
M02-CI-014,M02,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,PRESERVE,M02 ↔ M10 authorization boundary,M02,DOMAIN_AUTHORITY,M02 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE ENGINEERING ALIGNMENT AUTHORITY,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,NO,CLOSED
M02-CI-015,M02,CAM11-0046,PRESERVE,Physical/runtime separation,M02,DOMAIN_AUTHORITY,M02 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,M01–M07 EXECUTION CONTEXT; MODULE AUTHORITIES REMAIN SEMANTIC AUTHORITY,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,NO,CLOSED
M02-CI-016,M02,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,CONTROLLED,M02 physical/runtime status,M02,DOMAIN_AUTHORITY,M02 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE ARCHITECTURE,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,NO,CLOSED
M02-CI-017,M02,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,NO-PROPAGATION,Outcome upstream authority,M02,DOMAIN_AUTHORITY,M02 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE ARCHITECTURE,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,NO,CLOSED
M03-CI-001,M03,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,RECONCILE,Publication / no Pending Review,M03,DOMAIN_AUTHORITY,M03 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE MODULE PLANNING AUTHORITY,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,YES,CLOSED
M03-CI-002,M03,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,PRESERVE,Suspension / violation enforcement,M03,DOMAIN_AUTHORITY,M03 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE MODULE PLANNING AUTHORITY,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,NO,CLOSED
M03-CI-003,M03,17_SEO_ANALYTICS/W4-02A.6.21_SEO_ANALYTICS_SPECIFICATION_DISCOVERY_MEASUREMENT_BASELINE_v2.1.md,PRESERVE,Sold/Rented search exclusion and profile count,M03,DOMAIN_AUTHORITY,M03 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,M11 PUBLIC DISCOVERY / SEO / MEASUREMENT AUTHORITY,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,NO,CLOSED
M03-CI-004,M03,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,PRESERVE,Owner-only Listing edit,M03,DOMAIN_AUTHORITY,M03 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE MODULE PLANNING AUTHORITY,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,NO,CLOSED
M03-CI-005,M03,17_SEO_ANALYTICS/W4-02A.6.21_SEO_ANALYTICS_SPECIFICATION_DISCOVERY_MEASUREMENT_BASELINE_v2.1.md,PRESERVE,Four-field post-publish locks,M03,DOMAIN_AUTHORITY,M03 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,M11 PUBLIC DISCOVERY / SEO / MEASUREMENT AUTHORITY,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,NO,CLOSED
M03-CI-006,M03,27_AI_BLUEPRINT/W4-02A.6.31_AI_DEVELOPMENT_BLUEPRINT_v2.1.md,ADD-NEW,Refresh daily quota default 5,M03,DOMAIN_AUTHORITY,M03 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE AI DEVELOPMENT BLUEPRINT AUTHORITY,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,NO,CLOSED
M03-CI-007,M03,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,PRESERVE,Refresh Superadmin configuration,M03,DOMAIN_AUTHORITY,M03 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE ENGINEERING ALIGNMENT AUTHORITY,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,NO,CLOSED
M03-CI-008,M03,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,PRESERVE,Refresh no carry-forward,M03,DOMAIN_AUTHORITY,M03 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE ENGINEERING ALIGNMENT AUTHORITY,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,NO,CLOSED
M03-CI-009,M03,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,ADD-NEW,Refresh Asia/Jakarta reset,M03,DOMAIN_AUTHORITY,M03 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE ARCHITECTURE,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,NO,CLOSED
M03-CI-010,M03,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,ADD-NEW,One successful Refresh per Listing/day,M03,DOMAIN_AUTHORITY,M03 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE ARCHITECTURE,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,NO,CLOSED
M03-CI-011,M03,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,ADD-NEW,District-local Refresh repositioning,M03,DOMAIN_AUTHORITY,M03 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE ARCHITECTURE,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,NO,CLOSED
M03-CI-012,M03,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,ADD-NEW,Refresh tie-break first recorded,M03,DOMAIN_AUTHORITY,M03 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE ARCHITECTURE,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,NO,CLOSED
M03-CI-013,M03,19_IMPLEMENTATION_STRATEGY/W4-02A.6.23_MODULE_IMPLEMENTATION_STRATEGY_INTEGRATED_IMPLEMENTATION_SEQUENCING_v2.1.md,PRESERVE,Refresh server-authoritative timestamp,M03,DOMAIN_AUTHORITY,M03 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE IMPLEMENTATION STRATEGY AUTHORITY,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,NO,CLOSED
M03-CI-014,M03,27_AI_BLUEPRINT/W4-02A.6.31_AI_DEVELOPMENT_BLUEPRINT_v2.1.md,ADD-NEW,Media derivative thumbnails,M03,DOMAIN_AUTHORITY,M03 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE AI DEVELOPMENT BLUEPRINT AUTHORITY,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,NO,CLOSED
M03-CI-015,M03,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,ADD-NEW,Media no stretching,M03,DOMAIN_AUTHORITY,M03 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE ARCHITECTURE,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,NO,CLOSED
M03-CI-016,M03,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,ADD-NEW,Listing geographic binding,M03,DOMAIN_AUTHORITY,M03 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE ARCHITECTURE,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,NO,CLOSED
M03-CI-017,M03,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,PRESERVE,Audit provenance,M03,DOMAIN_AUTHORITY,M03 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE ENGINEERING ALIGNMENT AUTHORITY,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,NO,CLOSED
M03-CI-018,M03,12_API/W4-02A.6.16_API_SPECIFICATION_CURRENT_API_CONTRACT_BASELINE_FULL_CONSOLIDATED_v2.1.docx,ADD-NEW,API Refresh,M03,DOMAIN_AUTHORITY,M03 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE API CONTRACT AUTHORITY,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,NO,CLOSED
M03-CI-019,M03,CAM11-0047,PRESERVE,Physical/runtime separation,M03,DOMAIN_AUTHORITY,M03 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,M01–M07 EXECUTION CONTEXT; MODULE AUTHORITIES REMAIN SEMANTIC AUTHORITY,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,NO,CLOSED
M03-CI-020,M03,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,NO-PROPAGATION,Refresh does not create regional quota,M03,DOMAIN_AUTHORITY,M03 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE ARCHITECTURE,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,NO,CLOSED
M03-CI-021,M03,27_AI_BLUEPRINT/W4-02A.6.31_AI_DEVELOPMENT_BLUEPRINT_v2.1.md,CONTROLLED,M03 physical/runtime claims,M03,DOMAIN_AUTHORITY,M03 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE AI DEVELOPMENT BLUEPRINT AUTHORITY,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,NO,CLOSED
M04-CI-001,M04,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,PRESERVE,Learning Activity + Completion,M04,DOMAIN_AUTHORITY,M04 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE ARCHITECTURE,RUMAHAGEN_WF03_M04_FULL_REBUILD_v1.2_QIR_INTEGRATED_CONTROLLED/M04_CANONICAL_v1.2.md,NO,CLOSED
M04-CI-002,M04,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,PRESERVE,Learning Session,M04,DOMAIN_AUTHORITY,M04 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE ARCHITECTURE,RUMAHAGEN_WF03_M04_FULL_REBUILD_v1.2_QIR_INTEGRATED_CONTROLLED/M04_CANONICAL_v1.2.md,NO,CLOSED
M04-CI-003,M04,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,PRESERVE,Session Enrollment,M04,DOMAIN_AUTHORITY,M04 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE ARCHITECTURE,RUMAHAGEN_WF03_M04_FULL_REBUILD_v1.2_QIR_INTEGRATED_CONTROLLED/M04_CANONICAL_v1.2.md,NO,CLOSED
M04-CI-004,M04,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,PRESERVE,Session Evidence / Attendance / Completion,M04,DOMAIN_AUTHORITY,M04 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE ARCHITECTURE,RUMAHAGEN_WF03_M04_FULL_REBUILD_v1.2_QIR_INTEGRATED_CONTROLLED/M04_CANONICAL_v1.2.md,NO,CLOSED
M04-CI-005,M04,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,PRESERVE,Session Artifact,M04,DOMAIN_AUTHORITY,M04 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE ARCHITECTURE,RUMAHAGEN_WF03_M04_FULL_REBUILD_v1.2_QIR_INTEGRATED_CONTROLLED/M04_CANONICAL_v1.2.md,NO,CLOSED
M04-CI-006,M04,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,PRESERVE,Session Assignment,M04,DOMAIN_AUTHORITY,M04 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE ARCHITECTURE,RUMAHAGEN_WF03_M04_FULL_REBUILD_v1.2_QIR_INTEGRATED_CONTROLLED/M04_CANONICAL_v1.2.md,NO,CLOSED
M04-CI-007,M04,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,PRESERVE,Provider,M04,DOMAIN_AUTHORITY,M04 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE ARCHITECTURE,RUMAHAGEN_WF03_M04_FULL_REBUILD_v1.2_QIR_INTEGRATED_CONTROLLED/M04_CANONICAL_v1.2.md,NO,CLOSED
M04-CI-008,M04,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,PRESERVE,Host / Instructor,M04,DOMAIN_AUTHORITY,M04 is the current semantic authority for its domain; cross-module consumers do not acquire ownership.,CORE ARCHITECTURE,RUMAHAGEN_WF03_M04_FULL_REBUILD_v1.2_QIR_INTEGRATED_CONTROLLED/M04_CANONICAL_v1.2.md,NO,CLOSED
