artifact_id,core_path,layer,authority_owner,authority_source_artifact,authority_basis,authority_scope,core_section_heading,core_evidence_line,core_evidence_excerpt,resolution_status,step07_authority_classification,step07_resolution_note
CAM11-0011,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,04_ARCHITECTURE,CORE ARCHITECTURE,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Core architecture is governed as immutable Core semantic contract,CORE ARCHITECTURE,"# developer-projects, calculator (dbr), notifications, rbac, seo",1,RUMAHAGEN — SYSTEM ARCHITECTURE,"RESOLVED — SOURCE POINTS TO AUTHORITY, NOT MAPPED ARTIFACT",CORE ARCHITECTURE,Core contract/control/physical authority remains layer-specific; module semantic authority is not transferred by Core detail density.
CAM11-0012,05_TECHNICAL_DECISIONS/W4-02A.6.6_TECHNICAL_DECISIONS_FULL_CONSOLIDATED_v1.6.docx,05_TECHNICAL_DECISIONS,CORE TECHNICAL DECISION AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Core technical decisions under governance freeze,CORE TECHNICAL DECISION AUTHORITY,NO_HEADING_DETECTED,1,RUMAHAGEN — TECHNICAL DECISIONS,"RESOLVED — SOURCE POINTS TO AUTHORITY, NOT MAPPED ARTIFACT",CORE TECHNICAL DECISION AUTHORITY,Core contract/control/physical authority remains layer-specific; module semantic authority is not transferred by Core detail density.
CAM11-0013,06_DEPENDENCY_MANIFEST/W4-02A.6.7_DEPENDENCY_MANIFEST_FULL_CONSOLIDATED_v1.9.docx,06_DEPENDENCY_MANIFEST,CORE DEPENDENCY AUTHORITY,00_CONTROL/SOURCE_INDEX_v1.3.md,Core dependency manifest and source-index control,CORE DEPENDENCY AUTHORITY,NO_HEADING_DETECTED,1,STEP AKTIF = W4-02A.6.7 — DEPENDENCY MANIFEST FULL CONSOLIDATION,"RESOLVED — SOURCE POINTS TO AUTHORITY, NOT MAPPED ARTIFACT",CORE DEPENDENCY AUTHORITY,Core contract/control/physical authority remains layer-specific; module semantic authority is not transferred by Core detail density.
CAM11-0014,07_PRD/W4-02A.6.11_PRD_CURRENT_PRODUCT_REQUIREMENTS_FULL_CONSOLIDATED_v2.1.docx,07_PRD,CORE PRODUCT REQUIREMENTS AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Core PRD is current product requirement contract,CORE PRODUCT REQUIREMENTS AUTHORITY,NO_HEADING_DETECTED,1,STEP AKTIF = W4-02A.6.11 — PRD CURRENT PRODUCT REQUIREMENTS,"RESOLVED — SOURCE POINTS TO AUTHORITY, NOT MAPPED ARTIFACT",CORE PRODUCT REQUIREMENTS AUTHORITY,Core contract/control/physical authority remains layer-specific; module semantic authority is not transferred by Core detail density.
CAM11-0015,08_USER_FLOW/W4-02A.6.12_USER_FLOW_CURRENT_CROSS_DOMAIN_INTERACTION_FLOW_FULL_CONSOLIDATED_v2.1.docx,08_USER_FLOW,CORE USER-FLOW AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Core user-flow contract under freeze,CORE USER-FLOW AUTHORITY,NO_HEADING_DETECTED,1,STEP AKTIF = W4-02A.6.12 — USER FLOW CURRENT CROSS-DOMAIN INTERACTION FLOW,"RESOLVED — SOURCE POINTS TO AUTHORITY, NOT MAPPED ARTIFACT",CORE USER-FLOW AUTHORITY,Core contract/control/physical authority remains layer-specific; module semantic authority is not transferred by Core detail density.
CAM11-0016,09_ERD/W4-02A.6.13_ERD_CURRENT_LOGICAL_DATA_MODEL_FULL_CONSOLIDATED_v2.1.docx,09_ERD,CORE LOGICAL DATA MODEL AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Core logical data model authority,CORE LOGICAL DATA MODEL AUTHORITY,NO_HEADING_DETECTED,1,RUMAHAGEN — ERD & DATA RELATIONSHIP MODEL,"RESOLVED — SOURCE POINTS TO AUTHORITY, NOT MAPPED ARTIFACT",CORE LOGICAL DATA MODEL AUTHORITY,Core contract/control/physical authority remains layer-specific; module semantic authority is not transferred by Core detail density.
CAM11-0017,10_DATABASE_DICTIONARY/W4-02A.6.14_DATABASE_DICTIONARY_CURRENT_LOGICAL_TO_PHYSICAL_DATA_MEANING_FULL_CONSOLIDATED_v2.2.docx,10_DATABASE_DICTIONARY,CORE DATA-MEANING AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,Logical-to-physical data meaning contract,CORE DATA-MEANING AUTHORITY,# | Module | Table | Classification | Build mode | Status,1,STEP AKTIF = W4-02A.6.14 — DATABASE DICTIONARY CURRENT LOGICAL-TO-PHYSICAL DATA MEANING,"RESOLVED — SOURCE POINTS TO AUTHORITY, NOT MAPPED ARTIFACT",CORE DATA-MEANING AUTHORITY,Core contract/control/physical authority remains layer-specific; module semantic authority is not transferred by Core detail density.
CAM11-0018,11_DATABASE_SCHEMA/RUMAHAGEN_FULL_DATABASE_SCHEMA_SOURCE_ONLY_PACKAGE_v1.0.zip,11_DATABASE_SCHEMA,W4-01E / W4-02 PHYSICAL AUTHORITY,11_DATABASE_SCHEMA/W4-01E_FINAL_BUILD_FROM_ZERO_SCHEMA_PACKAGE_v2.6.zip;11_DATABASE_SCHEMA/W4-02_CANONICAL_BUILD_FROM_ZERO_MIGRATION_PACKAGE_v1.0.zip,W4-01E frozen physical design and W4-02 executable physical baseline,W4-01E / W4-02 PHYSICAL AUTHORITY,NO_HEADING_DETECTED,1,RUMAHAGEN_FULL_DATABASE_SCHEMA_SOURCE_ONLY_v1.0.sql,"RESOLVED — SOURCE POINTS TO AUTHORITY, NOT MAPPED ARTIFACT",W4-01E / W4-02 PHYSICAL AUTHORITY,Core contract/control/physical authority remains layer-specific; module semantic authority is not transferred by Core detail density.
CAM11-0019,11_DATABASE_SCHEMA/RUMAHAGEN_FULL_DATABASE_SCHEMA_SOURCE_ONLY_PACKAGE_v1.0_EXTRACTED/RUMAHAGEN_FULL_DATABASE_SCHEMA_SOURCE_ONLY_v1.0.md,11_DATABASE_SCHEMA,W4-01E / W4-02 PHYSICAL AUTHORITY,11_DATABASE_SCHEMA/W4-01E_FINAL_BUILD_FROM_ZERO_SCHEMA_PACKAGE_v2.6.zip;11_DATABASE_SCHEMA/W4-02_CANONICAL_BUILD_FROM_ZERO_MIGRATION_PACKAGE_v1.0.zip,W4-01E frozen physical design and W4-02 executable physical baseline,W4-01E / W4-02 PHYSICAL AUTHORITY,# RUMAHAGEN — FULL DATABASE SCHEMA,4,**Date:** 19 August 2026,"RESOLVED — SOURCE POINTS TO AUTHORITY, NOT MAPPED ARTIFACT",W4-01E / W4-02 PHYSICAL AUTHORITY,Core contract/control/physical authority remains layer-specific; module semantic authority is not transferred by Core detail density.
CAM11-0020,11_DATABASE_SCHEMA/RUMAHAGEN_FULL_DATABASE_SCHEMA_SOURCE_ONLY_PACKAGE_v1.0_EXTRACTED/RUMAHAGEN_FULL_DATABASE_SCHEMA_SOURCE_ONLY_v1.0.sql,11_DATABASE_SCHEMA,W4-01E / W4-02 PHYSICAL AUTHORITY,11_DATABASE_SCHEMA/W4-01E_FINAL_BUILD_FROM_ZERO_SCHEMA_PACKAGE_v2.6.zip;11_DATABASE_SCHEMA/W4-02_CANONICAL_BUILD_FROM_ZERO_MIGRATION_PACKAGE_v1.0.zip,W4-01E frozen physical design and W4-02 executable physical baseline,W4-01E / W4-02 PHYSICAL AUTHORITY,NO_HEADING_DETECTED,1,-- ============================================================================,"RESOLVED — SOURCE POINTS TO AUTHORITY, NOT MAPPED ARTIFACT",W4-01E / W4-02 PHYSICAL AUTHORITY,Core contract/control/physical authority remains layer-specific; module semantic authority is not transferred by Core detail density.
CAM11-0021,11_DATABASE_SCHEMA/W4-01E_FINAL_BUILD_FROM_ZERO_SCHEMA_PACKAGE_v2.6.zip,11_DATABASE_SCHEMA,W4-01E / W4-02 PHYSICAL AUTHORITY,11_DATABASE_SCHEMA/W4-01E_FINAL_BUILD_FROM_ZERO_SCHEMA_PACKAGE_v2.6.zip;11_DATABASE_SCHEMA/W4-02_CANONICAL_BUILD_FROM_ZERO_MIGRATION_PACKAGE_v1.0.zip,W4-01E frozen physical design and W4-02 executable physical baseline,W4-01E / W4-02 PHYSICAL AUTHORITY,NO_HEADING_DETECTED,1,RUMAHAGEN_W4-01E_FINAL_CANONICAL_BUILD_FROM_ZERO_DATABASE_SCHEMA_v2.6.sql,"RESOLVED — SOURCE POINTS TO AUTHORITY, NOT MAPPED ARTIFACT",W4-01E / W4-02 PHYSICAL AUTHORITY,Core contract/control/physical authority remains layer-specific; module semantic authority is not transferred by Core detail density.
CAM11-0022,11_DATABASE_SCHEMA/W4-01E_FINAL_BUILD_FROM_ZERO_SCHEMA_PACKAGE_v2.6_EXTRACTED/RUMAHAGEN_W4-01E_FINAL_CANONICAL_BUILD_FROM_ZERO_DATABASE_SCHEMA_v2.6.sql,11_DATABASE_SCHEMA,W4-01E / W4-02 PHYSICAL AUTHORITY,11_DATABASE_SCHEMA/W4-01E_FINAL_BUILD_FROM_ZERO_SCHEMA_PACKAGE_v2.6.zip;11_DATABASE_SCHEMA/W4-02_CANONICAL_BUILD_FROM_ZERO_MIGRATION_PACKAGE_v1.0.zip,W4-01E frozen physical design and W4-02 executable physical baseline,W4-01E / W4-02 PHYSICAL AUTHORITY,NO_HEADING_DETECTED,1,-- ============================================================================,"RESOLVED — SOURCE POINTS TO AUTHORITY, NOT MAPPED ARTIFACT",W4-01E / W4-02 PHYSICAL AUTHORITY,Core contract/control/physical authority remains layer-specific; module semantic authority is not transferred by Core detail density.
CAM11-0023,11_DATABASE_SCHEMA/W4-01E_FINAL_BUILD_FROM_ZERO_SCHEMA_PACKAGE_v2.6_EXTRACTED/RUMAHAGEN_W4-01E_FINAL_CANONICAL_TABLE_REGISTER_v2.6.csv,11_DATABASE_SCHEMA,W4-01E / W4-02 PHYSICAL AUTHORITY,11_DATABASE_SCHEMA/W4-01E_FINAL_BUILD_FROM_ZERO_SCHEMA_PACKAGE_v2.6.zip;11_DATABASE_SCHEMA/W4-02_CANONICAL_BUILD_FROM_ZERO_MIGRATION_PACKAGE_v1.0.zip,W4-01E frozen physical design and W4-02 executable physical baseline,W4-01E / W4-02 PHYSICAL AUTHORITY,NO_HEADING_DETECTED,1,"index,module,table,classification,build_mode,status","RESOLVED — SOURCE POINTS TO AUTHORITY, NOT MAPPED ARTIFACT",W4-01E / W4-02 PHYSICAL AUTHORITY,Core contract/control/physical authority remains layer-specific; module semantic authority is not transferred by Core detail density.
CAM11-0024,11_DATABASE_SCHEMA/W4-01E_FINAL_BUILD_FROM_ZERO_SCHEMA_PACKAGE_v2.6_EXTRACTED/RUMAHAGEN_W4-01E_FINAL_SCHEMA_CLOSURE_AND_FREEZE_v2.6.md,11_DATABASE_SCHEMA,W4-01E / W4-02 PHYSICAL AUTHORITY,11_DATABASE_SCHEMA/W4-01E_FINAL_BUILD_FROM_ZERO_SCHEMA_PACKAGE_v2.6.zip;11_DATABASE_SCHEMA/W4-02_CANONICAL_BUILD_FROM_ZERO_MIGRATION_PACKAGE_v1.0.zip,W4-01E frozen physical design and W4-02 executable physical baseline,W4-01E / W4-02 PHYSICAL AUTHORITY,# RUMAHAGEN W4-01E — FINAL SCHEMA CLOSURE & FREEZE v2.6,5,**W4-01E = PASS — CANONICAL DESIGN FROZEN**,"RESOLVED — SOURCE POINTS TO AUTHORITY, NOT MAPPED ARTIFACT",W4-01E / W4-02 PHYSICAL AUTHORITY,Core contract/control/physical authority remains layer-specific; module semantic authority is not transferred by Core detail density.
CAM11-0025,11_DATABASE_SCHEMA/W4-01E_FINAL_BUILD_FROM_ZERO_SCHEMA_PACKAGE_v2.6_EXTRACTED/RUMAHAGEN_W4-01E_GATE_CLOSURE_REGISTER_v2.6.csv,11_DATABASE_SCHEMA,W4-01E / W4-02 PHYSICAL AUTHORITY,11_DATABASE_SCHEMA/W4-01E_FINAL_BUILD_FROM_ZERO_SCHEMA_PACKAGE_v2.6.zip;11_DATABASE_SCHEMA/W4-02_CANONICAL_BUILD_FROM_ZERO_MIGRATION_PACKAGE_v1.0.zip,W4-01E frozen physical design and W4-02 executable physical baseline,W4-01E / W4-02 PHYSICAL AUTHORITY,NO_HEADING_DETECTED,1,"gate,check,status,evidence","RESOLVED — SOURCE POINTS TO AUTHORITY, NOT MAPPED ARTIFACT",W4-01E / W4-02 PHYSICAL AUTHORITY,Core contract/control/physical authority remains layer-specific; module semantic authority is not transferred by Core detail density.
CAM11-0026,11_DATABASE_SCHEMA/W4-02A.6.15_DATABASE_SCHEMA_CURRENT_PHYSICAL_SCHEMA_REFERENCE_FULL_CONSOLIDATED_v2.7.docx,11_DATABASE_SCHEMA,W4-01E / W4-02 PHYSICAL AUTHORITY,11_DATABASE_SCHEMA/W4-01E_FINAL_BUILD_FROM_ZERO_SCHEMA_PACKAGE_v2.6.zip;11_DATABASE_SCHEMA/W4-02_CANONICAL_BUILD_FROM_ZERO_MIGRATION_PACKAGE_v1.0.zip,W4-01E frozen physical design and W4-02 executable physical baseline,W4-01E / W4-02 PHYSICAL AUTHORITY,# | Module | Table | Classification | Build mode | Status,1,STEP AKTIF = W4-02A.6.15 — DATABASE SCHEMA CURRENT PHYSICAL SCHEMA REFERENCE,"RESOLVED — SOURCE POINTS TO AUTHORITY, NOT MAPPED ARTIFACT",W4-01E / W4-02 PHYSICAL AUTHORITY,Core contract/control/physical authority remains layer-specific; module semantic authority is not transferred by Core detail density.
CAM11-0027,11_DATABASE_SCHEMA/W4-02_CANONICAL_BUILD_FROM_ZERO_MIGRATION_PACKAGE_v1.0.zip,11_DATABASE_SCHEMA,W4-01E / W4-02 PHYSICAL AUTHORITY,11_DATABASE_SCHEMA/W4-01E_FINAL_BUILD_FROM_ZERO_SCHEMA_PACKAGE_v2.6.zip;11_DATABASE_SCHEMA/W4-02_CANONICAL_BUILD_FROM_ZERO_MIGRATION_PACKAGE_v1.0.zip,W4-01E frozen physical design and W4-02 executable physical baseline,W4-01E / W4-02 PHYSICAL AUTHORITY,NO_HEADING_DETECTED,1,RUMAHAGEN_W4-02_CANONICAL_BUILD_FROM_ZERO_MIGRATION_BASELINE_v1.0.sql,"RESOLVED — SOURCE POINTS TO AUTHORITY, NOT MAPPED ARTIFACT",W4-01E / W4-02 PHYSICAL AUTHORITY,Core contract/control/physical authority remains layer-specific; module semantic authority is not transferred by Core detail density.
CAM11-0028,11_DATABASE_SCHEMA/W4-02_CANONICAL_BUILD_FROM_ZERO_MIGRATION_PACKAGE_v1.0_EXTRACTED/RUMAHAGEN_W4-02_CANONICAL_86_TABLE_REGISTER_v1.0.csv,11_DATABASE_SCHEMA,W4-01E / W4-02 PHYSICAL AUTHORITY,11_DATABASE_SCHEMA/W4-01E_FINAL_BUILD_FROM_ZERO_SCHEMA_PACKAGE_v2.6.zip;11_DATABASE_SCHEMA/W4-02_CANONICAL_BUILD_FROM_ZERO_MIGRATION_PACKAGE_v1.0.zip,W4-01E frozen physical design and W4-02 executable physical baseline,W4-01E / W4-02 PHYSICAL AUTHORITY,NO_HEADING_DETECTED,1,"order,module,table,classification,build_mode","RESOLVED — SOURCE POINTS TO AUTHORITY, NOT MAPPED ARTIFACT",W4-01E / W4-02 PHYSICAL AUTHORITY,Core contract/control/physical authority remains layer-specific; module semantic authority is not transferred by Core detail density.
CAM11-0029,11_DATABASE_SCHEMA/W4-02_CANONICAL_BUILD_FROM_ZERO_MIGRATION_PACKAGE_v1.0_EXTRACTED/RUMAHAGEN_W4-02_CANONICAL_BUILD_FROM_ZERO_MIGRATION_BASELINE_v1.0.sql,11_DATABASE_SCHEMA,W4-01E / W4-02 PHYSICAL AUTHORITY,11_DATABASE_SCHEMA/W4-01E_FINAL_BUILD_FROM_ZERO_SCHEMA_PACKAGE_v2.6.zip;11_DATABASE_SCHEMA/W4-02_CANONICAL_BUILD_FROM_ZERO_MIGRATION_PACKAGE_v1.0.zip,W4-01E frozen physical design and W4-02 executable physical baseline,W4-01E / W4-02 PHYSICAL AUTHORITY,NO_HEADING_DETECTED,1,-- ============================================================================,"RESOLVED — SOURCE POINTS TO AUTHORITY, NOT MAPPED ARTIFACT",W4-01E / W4-02 PHYSICAL AUTHORITY,Core contract/control/physical authority remains layer-specific; module semantic authority is not transferred by Core detail density.
CAM11-0030,11_DATABASE_SCHEMA/W4-02_CANONICAL_BUILD_FROM_ZERO_MIGRATION_PACKAGE_v1.0_EXTRACTED/RUMAHAGEN_W4-02_CANONICAL_MIGRATION_BASELINE_v1.0.md,11_DATABASE_SCHEMA,W4-01E / W4-02 PHYSICAL AUTHORITY,11_DATABASE_SCHEMA/W4-01E_FINAL_BUILD_FROM_ZERO_SCHEMA_PACKAGE_v2.6.zip;11_DATABASE_SCHEMA/W4-02_CANONICAL_BUILD_FROM_ZERO_MIGRATION_PACKAGE_v1.0.zip,W4-01E frozen physical design and W4-02 executable physical baseline,W4-01E / W4-02 PHYSICAL AUTHORITY,# RUMAHAGEN W4-01E — FINAL SCHEMA CLOSURE & FREEZE v2.6,5,**W4-01E = PASS — CANONICAL DESIGN FROZEN**,"RESOLVED — SOURCE POINTS TO AUTHORITY, NOT MAPPED ARTIFACT",W4-01E / W4-02 PHYSICAL AUTHORITY,Core contract/control/physical authority remains layer-specific; module semantic authority is not transferred by Core detail density.
CAM11-0031,11_DATABASE_SCHEMA/W4-02_CANONICAL_BUILD_FROM_ZERO_MIGRATION_PACKAGE_v1.0_EXTRACTED/RUMAHAGEN_W4-02_EXECUTION_PHASE_REGISTER_v1.0.csv,11_DATABASE_SCHEMA,W4-01E / W4-02 PHYSICAL AUTHORITY,11_DATABASE_SCHEMA/W4-01E_FINAL_BUILD_FROM_ZERO_SCHEMA_PACKAGE_v2.6.zip;11_DATABASE_SCHEMA/W4-02_CANONICAL_BUILD_FROM_ZERO_MIGRATION_PACKAGE_v1.0.zip,W4-01E frozen physical design and W4-02 executable physical baseline,W4-01E / W4-02 PHYSICAL AUTHORITY,NO_HEADING_DETECTED,1,"step,phase,scope,status","RESOLVED — SOURCE POINTS TO AUTHORITY, NOT MAPPED ARTIFACT",W4-01E / W4-02 PHYSICAL AUTHORITY,Core contract/control/physical authority remains layer-specific; module semantic authority is not transferred by Core detail density.
CAM11-0032,12_API/W4-02A.6.16_API_SPECIFICATION_CURRENT_API_CONTRACT_BASELINE_FULL_CONSOLIDATED_v2.1.docx,12_API,CORE API CONTRACT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,API contract governed by Core freeze,CORE API CONTRACT AUTHORITY,NO_HEADING_DETECTED,1,RUMAHAGEN — API SPECIFICATION,"RESOLVED — SOURCE POINTS TO AUTHORITY, NOT MAPPED ARTIFACT",CORE API CONTRACT AUTHORITY,Core contract/control/physical authority remains layer-specific; module semantic authority is not transferred by Core detail density.
CAM11-0033,13_RBAC_RLS/W4-02A.6.17_RBAC_PERMISSION_RLS_CURRENT_AUTHORIZATION_BASELINE_FULL_CONSOLIDATED_v2.1.docx,13_RBAC_RLS,M10 AUTHORIZATION AUTHORITY,RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION/RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1.md,M10 is Role/Permission/Scope/Condition/Ownership/Organization/RLS authority,M10 AUTHORIZATION AUTHORITY,NO_HEADING_DETECTED,1,STEP AKTIF = W4-02A.6.17 — RBAC / PERMISSION / RLS CURRENT AUTHORIZATION BASELINE,"RESOLVED — SOURCE POINTS TO AUTHORITY, NOT MAPPED ARTIFACT",M10 AUTHORIZATION AUTHORITY,Core contract/control/physical authority remains layer-specific; module semantic authority is not transferred by Core detail density.
