coverage_id,authority_domain,requirement,governance_semantics,integration_subject,downstream_sync,coverage_status
COV-042,ALL,Core detail preservation,Valid Core detail not restated by Mxx remains preserved,CORE_DETAIL_PRESERVATION,STEP06/STEP08/STEP14,HARDENED
COV-043,ALL,Rule delta isolation,Mxx rule change updates only affected semantic portion,RULE_DELTA,STEP05/STEP06/STEP08,HARDENED
COV-044,ALL,No silent replacement/deletion,No whole-section replacement without granular reconciliation,NO_REPLACEMENT_DELETION,STEP06/STEP08/STEP14,HARDENED
COV-045,ALL,Provenance completeness,"Core + Mxx provenance, classification, authority and merge action remain traceable",PROVENANCE,STEP06/STEP08/STEP14,HARDENED
COV-046,M03/M11,Listing discovery separation,M03 owns Listing truth; M11 exposes discovery,LISTING_DISCOVERY,STEP07/STEP08/STEP13,HARDENED
COV-047,M06/M11,Project discovery separation,M06 owns Project semantics; M11 exposes discovery,PROJECT_DISCOVERY,STEP07/STEP08/STEP13,HARDENED
COV-048,M09/M11,Announcement discovery separation,M09/applicable domain owns publication/configuration; M11 discovery,ANNOUNCEMENT_DISCOVERY,STEP07/STEP08/STEP13,HARDENED
COV-049,M12/M10,Membership is not authorization,Membership/context does not itself create M10 permission,MEMBERSHIP_VS_AUTH,STEP08/STEP12,HARDENED
COV-050,M14/M10,Payment success is not permission grant,Payment fulfillment does not bypass authorization,PAYMENT_VS_AUTH,STEP08/STEP11/STEP12,HARDENED
COV-051,M03/M14,Expired Listing/quota semantics,Listing lifecycle and commercial quota consumption remain separated,EXPIRED_LISTING_QUOTA,STEP08/STEP10/STEP14,HARDENED
COV-052,M03,Normal Listing publication lifecycle,DRAFT → PUBLISH → PUBLISHED; no Pending Review gate,LISTING_PUBLICATION,STEP05/STEP08/STEP14,HARDENED
COV-053,M02,Review publication lifecycle,Buyer Submit → AUTO-APPROVED → Published/Viewable; moderation post-publication,REVIEW_PUBLICATION,STEP05/STEP08/STEP14,HARDENED
COV-054,M01,Identity activation lifecycle,REGISTER → OTP VERIFIED → ACCOUNT ACTIVE; KTP deferred does not create activation review gate,IDENTITY_ACTIVATION,STEP05/STEP08/STEP14,HARDENED
