residual_id,treatment,status,p11_disposition
CR-001,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-015,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-016,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-017,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-018,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-019,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-020,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-021,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-022,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-023,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-024,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-025,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-026,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-027,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-028,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-029,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-030,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-031,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-032,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-033,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-034,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-035,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-036,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-037,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-038,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-039,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-040,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-041,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-042,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-043,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-044,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-045,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-046,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
CR-047,Preserve provenance; evidence-gated; no invented authority or runtime/production proof.,CARRIED_FORWARD,CARRY_FORWARD; provenance retained; no residual becomes new authority; only block an affected WP when the residual is materially required for that WP.
