consumer,producer,dependency_type,domain,authority_owner,condition_or_reason,critical_path,p11_routing_rule,p11_route
M08,M10,HARD — AUTHORIZATION,Authorization,M10,Protected dashboard access,Yes,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M09,M10,HARD — AUTHORIZATION,Authorization,M10,Admin boundary,Yes,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M12,M10,HARD — AUTHORIZATION,Authorization,M10,Organization scope,Yes,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M13,M10,HARD — AUTHORIZATION,Authorization,M10,BYOK security,Yes,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M14,M10,HARD — AUTHORIZATION,Authorization,M10,Commercial operations,Yes,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M15,M10,HARD — AUTHORIZATION,Authorization,M10,Award access/admin,Yes,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M02,M09,CONDITIONAL,Administration,M09,Review moderation,No,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M03,M09,CONDITIONAL,Administration,M09,Listing moderation/configuration,No,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M04,M09,CONDITIONAL,Administration,M09,Learning configuration,No,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M05,M09,CONDITIONAL,Administration,M09,Event moderation,No,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M06,M09,CONDITIONAL,Administration,M09,Developer moderation,No,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M07,M09,CONFIGURATION,Configuration,M09,Administrative configuration path; M07 remains DBR authority,No,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M12,M09,CONDITIONAL,Administration,M09,Organization administration,No,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M13,M09,CONFIGURATION,Configuration,M09,Provider catalogue administration,No,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M14,M09,CONDITIONAL,Administration,M09,Commercial operations/reconciliation support,No,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M15,M09,CONDITIONAL,Administration,M09,Award administration,No,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M11,M09,CONFIGURATION,Public discovery configuration,M09,M09/applicable authoritative domain owns administrative lifecycle/configuration for Static Public Content and Announcement/Promotion surfaces observed by M11,No,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M03,M12,HARD / CONTEXT,Organization context,M12,Organization listing context,Yes,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M04,M12,CONDITIONAL,Organization context,M12,Organization Learning/Session context,No,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M14,M12,CONDITIONAL,Organization context,M12,Organization commercial context,No,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M15,M12,CONDITIONAL,Organization context,M12,Organization qualification context,No,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M03,M02,CONDITIONAL,Domain context,M02,Agent profile/contact context,No,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M03,M06,CONDITIONAL,Domain context,M06,Approved Project may seed/create Listing; M03 owns Listing lifecycle,No,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M05,M06,CONDITIONAL,Domain boundary,M06,Project relationship to Event; M05 owns Event lifecycle/registration,No,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M04,M05,CONDITIONAL,Domain boundary,M05,"Event ↔ Session relation; M05 owns Event, M04 owns Session",No,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M03,M14,HARD — QUOTA/ENTITLEMENT,Commercial,M14,Quota/entitlement/allowance consumed by Listing; M03 retains Listing/Refresh authority,Yes,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M04,M14,CONDITIONAL,Commercial,M14,Paid Learning/LP commercial fulfillment; M04 retains Learning truth,No,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M15,M04,HARD — EVIDENCE,Qualification evidence,M04,Learning/evidence production consumed by M15,Yes,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M15,M14,CONDITIONAL,Commercial evidence,M14,Commercial evidence only where qualification rule explicitly permits; M15 decides qualification,No,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M11,M02,OBSERVATIONAL,Discovery,M02,Public profile representation,No,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M11,M03,OBSERVATIONAL,Discovery,M03,Public listing representation,No,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M11,M04,OBSERVATIONAL,Discovery,M04,Public learning/session representation,No,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M11,M05,OBSERVATIONAL,Discovery,M05,Public event representation,No,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M11,M06,OBSERVATIONAL,Discovery,M06,Public developer/project representation,No,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M11,M12,OBSERVATIONAL,Discovery,M12,Public organization representation,No,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M11,M15,OBSERVATIONAL,Discovery,M15,Public award/title representation,No,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M08,M02,OBSERVATIONAL,Projection,M02,Profile projection,No,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M08,M03,OBSERVATIONAL,Projection,M03,Listing/lead projection,No,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M08,M04,OBSERVATIONAL,Projection,M04,Learning/session projection,No,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M08,M05,OBSERVATIONAL,Projection,M05,Event notification,No,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M08,M06,OBSERVATIONAL,Projection,M06,Developer/project notification,No,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M08,M07,OBSERVATIONAL,Projection,M07,DBR dashboard/history,No,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M08,M12,OBSERVATIONAL,Projection,M12,Organization notification,No,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M08,M13,OBSERVATIONAL,Projection,M13,AI operational notification,No,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M08,M14,OBSERVATIONAL,Projection,M14,Commercial/payment notification,No,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
M08,M15,OBSERVATIONAL,Projection,M15,Award notification,No,Load producer context only when required by the consumer WP; preserve dependency type and authority owner; do not promote dependency to new authority.,"Mandatory dependency context is preserved; hard dependency is always loaded, conditional dependency only when activated by WP scope; dependency never creates new authority."
