finding_id,module,execution_wp,execution_batch,wp_exists,duplicate_finding,core_preserved,core_modified,p9_engineering_treatment,runtime_status,p11_context_required,p11_context_route,p11_runtime_boundary
M01-CI-011,M01,M01-P4-WP04,B01,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M01-CI-012,M01,M01-P4-WP04,B01,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M01-CI-013,M01,M01-P4-WP04,B01,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M01-CI-014,M01,M01-P4-WP04,B01,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M02-CI-001,M02,M02-P4-WP01,B03,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M02-CI-002,M02,M02-P4-WP01,B03,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M02-CI-003,M02,M02-P4-WP03,B03,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M02-CI-004,M02,M02-P4-WP03,B03,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M02-CI-005,M02,M02-P4-WP03,B03,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M02-CI-006,M02,M02-P4-WP02,B03,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M02-CI-007,M02,M02-P4-WP02,B03,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M02-CI-008,M02,M02-P4-WP02,B03,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M02-CI-009,M02,M02-P4-WP04,B03,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M02-CI-010,M02,M02-P4-WP04,B03,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M02-CI-011,M02,M02-P4-WP04,B03,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M02-CI-012,M02,M02-P4-WP04,B03,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M02-CI-013,M02,M02-P4-WP04,B03,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M02-CI-014,M02,M02-P4-WP04,B03,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M02-CI-015,M02,M02-P4-WP04,B03,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M02-CI-016,M02,M02-P4-WP04,B03,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M02-CI-017,M02,M02-P4-WP04,B03,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M03-CI-001,M03,M03-P4-WP01,B04,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M03-CI-002,M03,M03-P4-WP01,B04,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M03-CI-003,M03,M03-P4-WP01,B04,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M03-CI-004,M03,M03-P4-WP01,B04,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M03-CI-005,M03,M03-P4-WP02,B04,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M03-CI-006,M03,M03-P4-WP03,B04,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M03-CI-007,M03,M03-P4-WP03,B04,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M03-CI-008,M03,M03-P4-WP03,B04,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M03-CI-009,M03,M03-P4-WP03,B04,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M03-CI-010,M03,M03-P4-WP03,B04,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M03-CI-011,M03,M03-P4-WP03,B04,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M03-CI-012,M03,M03-P4-WP03,B04,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M03-CI-013,M03,M03-P4-WP03,B04,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M03-CI-014,M03,M03-P4-WP04,B04,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M03-CI-015,M03,M03-P4-WP04,B04,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M03-CI-016,M03,M03-P4-WP04,B04,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M03-CI-017,M03,M03-P4-WP04,B04,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M03-CI-018,M03,M03-P4-WP03,B04,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M03-CI-019,M03,M03-P4-WP04,B04,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M03-CI-020,M03,M03-P4-WP03,B04,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M03-CI-021,M03,M03-P4-WP04,B04,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M04-CI-001,M04,M04-P4-WP03,B05,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M04-CI-002,M04,M04-P4-WP06,B05,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M04-CI-003,M04,M04-P4-WP02,B05,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M04-CI-004,M04,M04-P4-WP06,B05,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M04-CI-005,M04,M04-P4-WP06,B05,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M04-CI-006,M04,M04-P4-WP06,B05,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M04-CI-007,M04,M04-P4-WP06,B05,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M04-CI-008,M04,M04-P4-WP06,B05,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M04-CI-009,M04,M04-P4-WP06,B05,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M04-CI-010,M04,M04-P4-WP06,B05,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M04-CI-011,M04,M04-P4-WP06,B05,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M04-CI-012,M04,M04-P4-WP04,B05,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M04-CI-013,M04,M04-P4-WP06,B05,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M04-CI-014,M04,M04-P4-WP06,B05,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M04-CI-015,M04,M04-P4-WP06,B05,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M04-CI-016,M04,M04-P4-WP06,B05,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M04-CI-017,M04,M04-P4-WP06,B05,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M06-CI-001,M06,M06-P4-WP01,B03,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M06-CI-002,M06,M06-P4-WP01,B03,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M06-CI-003,M06,M06-P4-WP01,B03,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M06-CI-004,M06,M06-P4-WP01,B03,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M06-CI-005,M06,M06-P4-WP01,B03,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M06-CI-006,M06,M06-P4-WP01,B03,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
M06-CI-007,M06,M06-P4-WP02,B03,True,False,YES,NO,PRESERVE_OR_AUGMENT_AT_SUCCESSOR_IMPLEMENTATION_CONTRACT,EVIDENCE_GATED,YES,Route this preserved Core finding to its mapped Work Package context; load the finding only when relevant to that WP. Preserve the Core finding and P9 treatment; do not recreate authority.,EVIDENCE_GATED / no repository-only runtime claim
