finding_id,module,core_artifact_id,core_artifact,authority_owner,authority_source_artifact,module_authority_artifact,step04_classification,core_baseline_sha256,step05_resolution,step07_authority_source,step07_status
M01-CI-011,M01,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,PRESERVE,239e06d97698eb97c4e362b1b9ecf25f064fbe8e665e2f9e328d00e6d339a090,,Current M01-M15 authority register + explicit cross-module boundary evidence,PASS — authority reconciled
M01-CI-012,M01,CAM11-0045,23_M01_M07/W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1_EXTRACTED/RUMAHAGEN_W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1/M01_PHYSICAL_EXECUTION_SPEC_v2.1.md,M01–M07 EXECUTION CONTEXT; MODULE AUTHORITIES REMAIN SEMANTIC AUTHORITY,M01–M07 CURRENT AUTHORITY ARTIFACT SET,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,PRESERVE,db988febf9ef1ed6f6746177260d8fab50b5fbb93827afb708de163dd484a3ff,,Current M01-M15 authority register + explicit cross-module boundary evidence,PASS — authority reconciled
M01-CI-013,M01,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,CORE ARCHITECTURE,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,CONTROLLED,c1aa07968bb5bdfc9f9600dc48da804f65574f49da672282237ec90c4cc94884,,Current M01-M15 authority register + explicit cross-module boundary evidence,PASS — authority reconciled
M01-CI-014,M01,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,CORE ARCHITECTURE,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,NO-PROPAGATION,c1aa07968bb5bdfc9f9600dc48da804f65574f49da672282237ec90c4cc94884,,Current M01-M15 authority register + explicit cross-module boundary evidence,PASS — authority reconciled
M02-CI-001,M02,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,CORE MODULE PLANNING AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,PRESERVE,7373552ff7f43e2822f7819b2101ec0df7bc1acee60e8b92dc866f330203d7be,,Current M01-M15 authority register + explicit cross-module boundary evidence,PASS — authority reconciled
M02-CI-002,M02,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,CORE FUNCTIONAL CONTRACT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,PRESERVE,d7e9a7b5c761d51495e77f73824f903ca057e602c204c79284a2ae70c522072e,,Current M01-M15 authority register + explicit cross-module boundary evidence,PASS — authority reconciled
M02-CI-003,M02,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,PRESERVE,239e06d97698eb97c4e362b1b9ecf25f064fbe8e665e2f9e328d00e6d339a090,,Current M01-M15 authority register + explicit cross-module boundary evidence,PASS — authority reconciled
M02-CI-004,M02,17_SEO_ANALYTICS/W4-02A.6.21_SEO_ANALYTICS_SPECIFICATION_DISCOVERY_MEASUREMENT_BASELINE_v2.1.md,17_SEO_ANALYTICS/W4-02A.6.21_SEO_ANALYTICS_SPECIFICATION_DISCOVERY_MEASUREMENT_BASELINE_v2.1.md,M11 PUBLIC DISCOVERY / SEO / MEASUREMENT AUTHORITY,RUMAHAGEN_WF03_M11_FULL_REBUILD_CONTROLLED_v2.0_FULL_VERSION/RUMAHAGEN_WF03_M11_FULL_REBUILD_CONTROLLED_v2.0_FULL_VERSION.md,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,PRESERVE,be0af1e745ac3d19a65abb90beff833941b1d1fb5a4fd1233c681a84023e75de,,Current M01-M15 authority register + explicit cross-module boundary evidence,PASS — authority reconciled
M02-CI-005,M02,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,PRESERVE,239e06d97698eb97c4e362b1b9ecf25f064fbe8e665e2f9e328d00e6d339a090,,Current M01-M15 authority register + explicit cross-module boundary evidence,PASS — authority reconciled
M02-CI-006,M02,CAM11-0034,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,CORE FUNCTIONAL CONTRACT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,PRESERVE,d7e9a7b5c761d51495e77f73824f903ca057e602c204c79284a2ae70c522072e,,Current M01-M15 authority register + explicit cross-module boundary evidence,PASS — authority reconciled
M02-CI-007,M02,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,PRESERVE,239e06d97698eb97c4e362b1b9ecf25f064fbe8e665e2f9e328d00e6d339a090,,Current M01-M15 authority register + explicit cross-module boundary evidence,PASS — authority reconciled
M02-CI-008,M02,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,RECONCILE,239e06d97698eb97c4e362b1b9ecf25f064fbe8e665e2f9e328d00e6d339a090,,Current M01-M15 authority register + explicit cross-module boundary evidence,PASS — authority reconciled
M02-CI-009,M02,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,CORE ARCHITECTURE,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,ADD-NEW,c1aa07968bb5bdfc9f9600dc48da804f65574f49da672282237ec90c4cc94884,,Current M01-M15 authority register + explicit cross-module boundary evidence,PASS — authority reconciled
M02-CI-010,M02,CAM11-0035,15_TECHNICAL/W4-02A.6.19_TECHNICAL_SPECIFICATION_CURRENT_TECHNICAL_IMPLEMENTATION_CONTRACT_v2.1.md,CORE TECHNICAL CONTRACT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,PRESERVE,2ac01b6961b6ab97d26ee8c314aaf06101af49cb746c4069147559fb8002b29c,,Current M01-M15 authority register + explicit cross-module boundary evidence,PASS — authority reconciled
M02-CI-011,M02,CAM11-0034,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,CORE FUNCTIONAL CONTRACT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,RECONCILE,d7e9a7b5c761d51495e77f73824f903ca057e602c204c79284a2ae70c522072e,,Current M01-M15 authority register + explicit cross-module boundary evidence,PASS — authority reconciled
M02-CI-012,M02,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,PRESERVE,239e06d97698eb97c4e362b1b9ecf25f064fbe8e665e2f9e328d00e6d339a090,,Current M01-M15 authority register + explicit cross-module boundary evidence,PASS — authority reconciled
M02-CI-013,M02,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,PRESERVE,239e06d97698eb97c4e362b1b9ecf25f064fbe8e665e2f9e328d00e6d339a090,,Current M01-M15 authority register + explicit cross-module boundary evidence,PASS — authority reconciled
M02-CI-014,M02,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,PRESERVE,239e06d97698eb97c4e362b1b9ecf25f064fbe8e665e2f9e328d00e6d339a090,,Current M01-M15 authority register + explicit cross-module boundary evidence,PASS — authority reconciled
M02-CI-015,M02,CAM11-0046,23_M01_M07/W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1_EXTRACTED/RUMAHAGEN_W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1/M02_PHYSICAL_EXECUTION_SPEC_v2.1.md,M01–M07 EXECUTION CONTEXT; MODULE AUTHORITIES REMAIN SEMANTIC AUTHORITY,M01–M07 CURRENT AUTHORITY ARTIFACT SET,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,PRESERVE,062a76a24169a2115713a3db29c2b992fffab6482814c891285939c6c3cc9826,,Current M01-M15 authority register + explicit cross-module boundary evidence,PASS — authority reconciled
M02-CI-016,M02,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,CORE ARCHITECTURE,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,CONTROLLED,c1aa07968bb5bdfc9f9600dc48da804f65574f49da672282237ec90c4cc94884,,Current M01-M15 authority register + explicit cross-module boundary evidence,PASS — authority reconciled
M02-CI-017,M02,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,CORE ARCHITECTURE,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,NO-PROPAGATION,c1aa07968bb5bdfc9f9600dc48da804f65574f49da672282237ec90c4cc94884,,Current M01-M15 authority register + explicit cross-module boundary evidence,PASS — authority reconciled
M03-CI-001,M03,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,CORE MODULE PLANNING AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,RECONCILE,7373552ff7f43e2822f7819b2101ec0df7bc1acee60e8b92dc866f330203d7be,,Current M01-M15 authority register + explicit cross-module boundary evidence,PASS — authority reconciled
M03-CI-002,M03,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,CORE MODULE PLANNING AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,PRESERVE,7373552ff7f43e2822f7819b2101ec0df7bc1acee60e8b92dc866f330203d7be,,Current M01-M15 authority register + explicit cross-module boundary evidence,PASS — authority reconciled
M03-CI-003,M03,17_SEO_ANALYTICS/W4-02A.6.21_SEO_ANALYTICS_SPECIFICATION_DISCOVERY_MEASUREMENT_BASELINE_v2.1.md,17_SEO_ANALYTICS/W4-02A.6.21_SEO_ANALYTICS_SPECIFICATION_DISCOVERY_MEASUREMENT_BASELINE_v2.1.md,M11 PUBLIC DISCOVERY / SEO / MEASUREMENT AUTHORITY,RUMAHAGEN_WF03_M11_FULL_REBUILD_CONTROLLED_v2.0_FULL_VERSION/RUMAHAGEN_WF03_M11_FULL_REBUILD_CONTROLLED_v2.0_FULL_VERSION.md,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,PRESERVE,be0af1e745ac3d19a65abb90beff833941b1d1fb5a4fd1233c681a84023e75de,,Current M01-M15 authority register + explicit cross-module boundary evidence,PASS — authority reconciled
M03-CI-004,M03,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,CORE MODULE PLANNING AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,PRESERVE,7373552ff7f43e2822f7819b2101ec0df7bc1acee60e8b92dc866f330203d7be,,Current M01-M15 authority register + explicit cross-module boundary evidence,PASS — authority reconciled
M03-CI-005,M03,17_SEO_ANALYTICS/W4-02A.6.21_SEO_ANALYTICS_SPECIFICATION_DISCOVERY_MEASUREMENT_BASELINE_v2.1.md,17_SEO_ANALYTICS/W4-02A.6.21_SEO_ANALYTICS_SPECIFICATION_DISCOVERY_MEASUREMENT_BASELINE_v2.1.md,M11 PUBLIC DISCOVERY / SEO / MEASUREMENT AUTHORITY,RUMAHAGEN_WF03_M11_FULL_REBUILD_CONTROLLED_v2.0_FULL_VERSION/RUMAHAGEN_WF03_M11_FULL_REBUILD_CONTROLLED_v2.0_FULL_VERSION.md,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,PRESERVE,be0af1e745ac3d19a65abb90beff833941b1d1fb5a4fd1233c681a84023e75de,,Current M01-M15 authority register + explicit cross-module boundary evidence,PASS — authority reconciled
M03-CI-006,M03,27_AI_BLUEPRINT/W4-02A.6.31_AI_DEVELOPMENT_BLUEPRINT_v2.1.md,27_AI_BLUEPRINT/W4-02A.6.31_AI_DEVELOPMENT_BLUEPRINT_v2.1.md,CORE AI DEVELOPMENT BLUEPRINT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,RUMAHAGEN_WF03_M03_FULL_REBUILD_v1.3_QIR_INTEGRATED_CONTROLLED/00_M03_REBUILD_CONTROL_REPORT_v1.3.md,ADD-NEW,504a5738b3a832159850b0c1035e95f02b509a773a52fb01b722948e01ab09c2,,Current M01-M15 authority register + explicit cross-module boundary evidence,PASS — authority reconciled
