Source module,Target module,Semantic dependency,Authority dependency,Data dependency,API dependency,Permission dependency,Downstream dependency,Evidence dependency
M08,M05,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M08,M06,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M08,M09,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M08,M11,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M08,M12,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M08,M14,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M08,M15,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M09,M10,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M09,M11,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M10,M01,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M10,M02,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M10,M03,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M10,M04,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M10,M05,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M10,M06,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M10,M07,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M10,M08,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M10,M09,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M10,M11,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M10,M12,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M10,M13,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M10,M14,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M10,M15,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M11,M02,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M11,M03,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M11,M05,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M11,M06,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M11,M09,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M11,M12,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M11,M14,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M12,M01,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M12,M03,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M12,M10,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M12,M11,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M12,M14,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M13,M10,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M13,M09,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M14,M03,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M14,M04,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M14,M06,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M14,M10,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M14,M11,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M14,M15,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M15,M04,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M15,M10,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
M15,M14,PRESENT / requires STEP 03-04 mapping,Authority remains with target/source as defined,REQUIRES STEP 03/04 TRACE,REQUIRES STEP 03/04 TRACE,M10 governance applies,REQUIRES STEP 08-13 if implementation affected,QIR/Core Impact/provenance where applicable
