consumer,producer,dependency_type,domain,authority_owner,condition_or_reason,critical_path,producer_batch,consumer_batch,batch_relation,p5_handling
M04,M10,HARD — AUTHORIZATION,Authorization,M10,Learning/session access,Yes,B02,B05,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M05,M10,HARD — AUTHORIZATION,Authorization,M10,Event permission,Yes,B02,B04,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M06,M10,HARD — AUTHORIZATION,Authorization,M10,Developer/project/claim access,Yes,B02,B03,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M07,M10,HARD — AUTHORIZATION,Authorization,M10,DBR access/configuration,Yes,B02,B03,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M08,M10,HARD — AUTHORIZATION,Authorization,M10,Protected dashboard access,Yes,B02,B07,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M09,M10,HARD — AUTHORIZATION,Authorization,M10,Admin boundary,Yes,B02,B03,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M12,M10,HARD — AUTHORIZATION,Authorization,M10,Organization scope,Yes,B02,B03,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M13,M10,HARD — AUTHORIZATION,Authorization,M10,BYOK security,Yes,B02,B03,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M14,M10,HARD — AUTHORIZATION,Authorization,M10,Commercial operations,Yes,B02,B03,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M15,M10,HARD — AUTHORIZATION,Authorization,M10,Award access/admin,Yes,B02,B06,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M02,M09,CONDITIONAL,Administration,M09,Review moderation,No,B03,B03,INTRA_BATCH,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M03,M09,CONDITIONAL,Administration,M09,Listing moderation/configuration,No,B03,B04,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M04,M09,CONDITIONAL,Administration,M09,Learning configuration,No,B03,B05,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M05,M09,CONDITIONAL,Administration,M09,Event moderation,No,B03,B04,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M06,M09,CONDITIONAL,Administration,M09,Developer moderation,No,B03,B03,INTRA_BATCH,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M07,M09,CONFIGURATION,Configuration,M09,Administrative configuration path; M07 remains DBR authority,No,B03,B03,INTRA_BATCH,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M12,M09,CONDITIONAL,Administration,M09,Organization administration,No,B03,B03,INTRA_BATCH,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M13,M09,CONFIGURATION,Configuration,M09,Provider catalogue administration,No,B03,B03,INTRA_BATCH,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M14,M09,CONDITIONAL,Administration,M09,Commercial operations/reconciliation support,No,B03,B03,INTRA_BATCH,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M15,M09,CONDITIONAL,Administration,M09,Award administration,No,B03,B06,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M11,M09,CONFIGURATION,Public discovery configuration,M09,M09/applicable authoritative domain owns administrative lifecycle/configuration for Static Public Content and Announcement/Promotion surfaces observed by M11,No,B03,B07,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M03,M12,HARD / CONTEXT,Organization context,M12,Organization listing context,Yes,B03,B04,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M04,M12,CONDITIONAL,Organization context,M12,Organization Learning/Session context,No,B03,B05,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M14,M12,CONDITIONAL,Organization context,M12,Organization commercial context,No,B03,B03,INTRA_BATCH,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M15,M12,CONDITIONAL,Organization context,M12,Organization qualification context,No,B03,B06,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M03,M02,CONDITIONAL,Domain context,M02,Agent profile/contact context,No,B03,B04,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M03,M06,CONDITIONAL,Domain context,M06,Approved Project may seed/create Listing; M03 owns Listing lifecycle,No,B03,B04,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M05,M06,CONDITIONAL,Domain boundary,M06,Project relationship to Event; M05 owns Event lifecycle/registration,No,B03,B04,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M04,M05,CONDITIONAL,Domain boundary,M05,"Event ↔ Session relation; M05 owns Event, M04 owns Session",No,B04,B05,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M03,M14,HARD — QUOTA/ENTITLEMENT,Commercial,M14,Quota/entitlement/allowance consumed by Listing; M03 retains Listing/Refresh authority,Yes,B03,B04,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M04,M14,CONDITIONAL,Commercial,M14,Paid Learning/LP commercial fulfillment; M04 retains Learning truth,No,B03,B05,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M15,M04,HARD — EVIDENCE,Qualification evidence,M04,Learning/evidence production consumed by M15,Yes,B05,B06,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M15,M14,CONDITIONAL,Commercial evidence,M14,Commercial evidence only where qualification rule explicitly permits; M15 decides qualification,No,B03,B06,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M11,M02,OBSERVATIONAL,Discovery,M02,Public profile representation,No,B03,B07,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M11,M03,OBSERVATIONAL,Discovery,M03,Public listing representation,No,B04,B07,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M11,M04,OBSERVATIONAL,Discovery,M04,Public learning/session representation,No,B05,B07,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M11,M05,OBSERVATIONAL,Discovery,M05,Public event representation,No,B04,B07,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M11,M06,OBSERVATIONAL,Discovery,M06,Public developer/project representation,No,B03,B07,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M11,M12,OBSERVATIONAL,Discovery,M12,Public organization representation,No,B03,B07,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M11,M15,OBSERVATIONAL,Discovery,M15,Public award/title representation,No,B06,B07,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M08,M02,OBSERVATIONAL,Projection,M02,Profile projection,No,B03,B07,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M08,M03,OBSERVATIONAL,Projection,M03,Listing/lead projection,No,B04,B07,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M08,M04,OBSERVATIONAL,Projection,M04,Learning/session projection,No,B05,B07,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M08,M05,OBSERVATIONAL,Projection,M05,Event notification,No,B04,B07,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M08,M06,OBSERVATIONAL,Projection,M06,Developer/project notification,No,B03,B07,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M08,M07,OBSERVATIONAL,Projection,M07,DBR dashboard/history,No,B03,B07,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M08,M12,OBSERVATIONAL,Projection,M12,Organization notification,No,B03,B07,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M08,M13,OBSERVATIONAL,Projection,M13,AI operational notification,No,B03,B07,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M08,M14,OBSERVATIONAL,Projection,M14,Commercial/payment notification,No,B03,B07,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
M08,M15,OBSERVATIONAL,Projection,M15,Award notification,No,B06,B07,FORWARD_DEPENDENCY,Hard dependency gates consumer; conditional remains conditional; observational remains non-mutating.
