batch_id,module,work_package_id,work_package,intra_module_order,execution_status,entry_checkpoint,exit_checkpoint,evidence_classes,runtime_status,p3_obligation_count,core_packages_touched
B04,M03,M03-P4-WP04,Search/Media/Validation,4,PLANNED,B04-ENTRY,B04-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B05,M04,M04-P4-WP01,Content,1,PLANNED,B05-ENTRY,B05-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B05,M04,M04-P4-WP02,Enrollment,2,PLANNED,B05-ENTRY,B05-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B05,M04,M04-P4-WP03,Activity/Completion,3,PLANNED,B05-ENTRY,B05-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B05,M04,M04-P4-WP04,Learning Economy,4,PLANNED,B05-ENTRY,B05-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B05,M04,M04-P4-WP05,Learning Path,5,PLANNED,B05-ENTRY,B05-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B05,M04,M04-P4-WP06,Session/Evidence Handoff,6,PLANNED,B05-ENTRY,B05-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B04,M05,M05-P4-WP01,Event Core,1,PLANNED,B04-ENTRY,B04-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B04,M05,M05-P4-WP02,Registration/Waitlist/Attendance,2,PLANNED,B04-ENTRY,B04-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B04,M05,M05-P4-WP03,Calendar/Session Boundary,3,PLANNED,B04-ENTRY,B04-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B04,M05,M05-P4-WP04,Provider/Validation,4,PLANNED,B04-ENTRY,B04-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B03,M06,M06-P4-WP01,Developer/Project Core,1,PLANNED,B03-ENTRY,B03-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B03,M06,M06-P4-WP02,Project Media & SEO,2,PLANNED,B03-ENTRY,B03-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B03,M06,M06-P4-WP03,Marketing Kit,3,PLANNED,B03-ENTRY,B03-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B03,M06,M06-P4-WP04,Claim → Listing Handoff,4,PLANNED,B03-ENTRY,B03-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B03,M07,M07-P4-WP01,DBR Core,1,PLANNED,B03-ENTRY,B03-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B03,M07,M07-P4-WP02,DBR Configuration,2,PLANNED,B03-ENTRY,B03-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B03,M07,M07-P4-WP03,Decision Output/History,3,PLANNED,B03-ENTRY,B03-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B03,M07,M07-P4-WP04,Validation/Handoff,4,PLANNED,B03-ENTRY,B03-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B07,M08,M08-P4-WP01,Projection Core,1,PLANNED,B07-ENTRY,B07-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B07,M08,M08-P4-WP02,Notification/Communication,2,PLANNED,B07-ENTRY,B07-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B07,M08,M08-P4-WP03,Source Event Contracts,3,PLANNED,B07-ENTRY,B07-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B07,M08,M08-P4-WP04,Validation/No-Mutation,4,PLANNED,B07-ENTRY,B07-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B03,M09,M09-P4-WP01,Administrative Foundation,1,PLANNED,B03-ENTRY,B03-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B03,M09,M09-P4-WP02,Domain Administration/Configuration,2,PLANNED,B03-ENTRY,B03-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B03,M09,M09-P4-WP03,Static Content + Announcement/Promotion,3,PLANNED,B03-ENTRY,B03-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B03,M09,M09-P4-WP04,Audit/Reconciliation,4,PLANNED,B03-ENTRY,B03-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B02,M10,M10-P4-WP01,Authorization Core,1,PLANNED,B02-ENTRY,B02-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B02,M10,M10-P4-WP02,Permission Preset Governance,2,PLANNED,B02-ENTRY,B02-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B02,M10,M10-P4-WP03,Scope/Condition/Ownership/Organization,3,PLANNED,B02-ENTRY,B02-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B02,M10,M10-P4-WP04,RLS Evidence/Handoff,4,PLANNED,B02-ENTRY,B02-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B07,M11,M11-P4-WP01,Public Surface Registry,1,PLANNED,B07-ENTRY,B07-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B07,M11,M11-P4-WP02,SEO/Indexability/Structured Data,2,PLANNED,B07-ENTRY,B07-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B07,M11,M11-P4-WP03,Sitemap/Robots/Discovery,3,PLANNED,B07-ENTRY,B07-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B07,M11,M11-P4-WP04,Analytics/Measurement,4,PLANNED,B07-ENTRY,B07-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B03,M12,M12-P4-WP01,Organization Core,1,PLANNED,B03-ENTRY,B03-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B03,M12,M12-P4-WP02,Membership/Invitation/Join Request,2,PLANNED,B03-ENTRY,B03-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B03,M12,M12-P4-WP03,Context & Ownership Boundary,3,PLANNED,B03-ENTRY,B03-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B03,M12,M12-P4-WP04,Lifecycle/Validation,4,PLANNED,B03-ENTRY,B03-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B03,M13,M13-P4-WP01,Provider Catalogue,1,PLANNED,B03-ENTRY,B03-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B03,M13,M13-P4-WP02,BYOK Connection Lifecycle,2,PLANNED,B03-ENTRY,B03-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B03,M13,M13-P4-WP03,Protected Invocation/Security,3,PLANNED,B03-ENTRY,B03-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B03,M13,M13-P4-WP04,Transient Chat Frame/Validation,4,PLANNED,B03-ENTRY,B03-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B03,M14,M14-P4-WP01,Catalog/Offer,1,PLANNED,B03-ENTRY,B03-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B03,M14,M14-P4-WP02,Order/Payment Core,2,PLANNED,B03-ENTRY,B03-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B03,M14,M14-P4-WP03,Verification/Fulfillment,3,PLANNED,B03-ENTRY,B03-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B03,M14,M14-P4-WP04,Promotion/Reconciliation/Quota,4,PLANNED,B03-ENTRY,B03-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B06,M15,M15-P4-WP01,Title,1,PLANNED,B06-ENTRY,B06-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B06,M15,M15-P4-WP02,Path/Rule,2,PLANNED,B06-ENTRY,B06-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B06,M15,M15-P4-WP03,Qualification/Evidence,3,PLANNED,B06-ENTRY,B06-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
B06,M15,M15-P4-WP04,Award/Presentation,4,PLANNED,B06-ENTRY,B06-EXIT,STATIC;BUILD;DATA;API;SECURITY;UI;INTEGRATION;RUNTIME;RECONCILIATION,NOT_VERIFIED,0,
