risk_id,risk,severity,classification,handling,p5_primary_batch,p5_final_reconciliation_batch,p5_handling,p5_resolution_claim
D13-11,M13 complete connection lifecycle/state semantics exceed the currently evidenced connection API family.,High,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B03,B08,CONTROLLED_CARRY_FORWARD,NOT_RESOLVED_BY_P5
D13-12,/admin/reports/export authorization wording is broader than the M09-R11 semantic matrix.,Medium/High,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B03,B08,CONTROLLED_CARRY_FORWARD,NOT_RESOLVED_BY_P5
D13-13,/admin/audit-logs authorization wording is not aligned with M09-R04 scope.,High,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B03,B08,CONTROLLED_CARRY_FORWARD,NOT_RESOLVED_BY_P5
D13-14,M09/M13 physical/RLS/security residuals remain downstream; STEP11-D does not claim runtime or deployed RLS proof.,Medium,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B03,B08,CONTROLLED_CARRY_FORWARD,NOT_RESOLVED_BY_P5
D13-15,Exact M10 permission-ID mapping remains unresolved and is outside STEP11 endpoint synchronization.,High,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B02,B08,CONTROLLED_CARRY_FORWARD,NOT_RESOLVED_BY_P5
D13-16,"API execution, transactionality, concurrency, replay protection and production/RLS runtime behavior are not evidenced by the supplied artifacts.",Medium,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B08,B08,CONTROLLED_CARRY_FORWARD,NOT_RESOLVED_BY_P5
D13-17,Endpoint-specific HTTP status behavior is not uniformly frozen.,Medium,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B08,B08,CONTROLLED_CARRY_FORWARD,NOT_RESOLVED_BY_P5
D13-18,"Required/optional fields, types, enums, nullability and endpoint-specific response schemas are not uniformly frozen.",Medium,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B08,B08,CONTROLLED_CARRY_FORWARD,NOT_RESOLVED_BY_P5
D13-19,Endpoint-specific pagination defaults/max/filter behavior remain incomplete.,Medium,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B08,B08,CONTROLLED_CARRY_FORWARD,NOT_RESOLVED_BY_P5
D13-20,"Endpoint classes, headers, Retry-After and complete 429 behavior are not uniformly frozen.",Medium,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B08,B08,CONTROLLED_CARRY_FORWARD,NOT_RESOLVED_BY_P5
D13-21,Endpoint-level acceptance/replay semantics are not uniformly evidenced for all retry-sensitive operations.,Medium,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B08,B08,CONTROLLED_CARRY_FORWARD,NOT_RESOLVED_BY_P5
D13-22,Explicit Content-Type/Accept/header requirements are not fully enumerated endpoint-by-endpoint.,Medium,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B08,B08,CONTROLLED_CARRY_FORWARD,NOT_RESOLVED_BY_P5
D13-23,"API→DB, API→User Flow and API→AEP endpoint-level traceability is not uniformly complete.",High,CONTROLLED,Routed in P4 v1.3; no unsupported physical/API/runtime completion is claimed.,B08,B08,CONTROLLED_CARRY_FORWARD,NOT_RESOLVED_BY_P5
