artifact,size_bytes,sha256
STEP10-C_RERUN_v1.1_FULL_VERSION/STEP10-C_CHAIN_SOURCE_AUTHORITY_MANIFEST_RERUN-02.csv,653,9e6cd3cd159f7b16361316c22d1a288b598763462cb94d29449ae655af198c6d
STEP10-C_RERUN_v1.1_FULL_VERSION/STEP10-C_DATABASE_DICTIONARY_RECONCILIATION_GATE_RERUN_v1.1.md,8621,e56869b8ac5106367770c4329603dfc9d9278c0d4c2ed86fe584ec4b12513c70
STEP10-C_RERUN_v1.1_FULL_VERSION/STEP10-C_ENTITY_FIELD_COVERAGE_RECONCILIATION_RERUN_v1.1.csv,9416,878a71c80befc2b644d0592dbafa68ec10ac14eedabff914e7d7dd883f2525ea
STEP10-C_RERUN_v1.1_FULL_VERSION/STEP10-C_EXCEPTION_CONFLICT_REGISTER_RERUN_v1.1.csv,2471,3eb28f3f31bf602eaa64f8998cf314e341d3103c7ef0a2d1c422a628f0366db8
STEP10-C_RERUN_v1.1_FULL_VERSION/STEP10-C_FULL_ATTRIBUTE_RECONCILIATION_RERUN_v1.1.csv,335111,24cddd21122efc1513714860845a936f61330d4bb5a92c314db72d32977c8871
STEP10-C_RERUN_v1.1_FULL_VERSION/STEP10-C_LIFECYCLE_HISTORICAL_PROVENANCE_AUDIT_RERUN_v1.1.csv,159532,0476f5e180941a603f6ae7c5642595a92efa7277aa3df51fb59ffa8e2d973261
STEP10-C_RERUN_v1.1_FULL_VERSION/STEP10-C_OUTPUT_MANIFEST_RERUN_v1.1.md,1722,8409ec5d763c2b7d073dcbbfe5ded32e4479d11ac2c06a6fa64ff5b74023d4b8
STEP10-C_RERUN_v1.1_FULL_VERSION/STEP10-C_RELATIONSHIP_REFERENCE_CONSISTENCY_RECONCILIATION_RERUN_v1.1.csv,59981,8a4aee84b5b7aaceb9df4b475f173670ddd2fd5141a75c81befd1fa7d43fc5c4
STEP10-C_RERUN_v1.1_FULL_VERSION/STEP10-C_SOURCE_AUTHORITY_PROVENANCE_MATRIX_RERUN_v1.1.csv,1554,d8962b12d63e73e4dbbbe31e1b92fcebe8dc5771c5ddc95c435d953a9ff4bbff
STEP10-C_RERUN_v1.1_FULL_VERSION/STEP10-C_SOURCE_HASH_MANIFEST_RERUN_v1.0_LEGACY_PRESERVED.csv,1384,9e5df9107bd488ad6518765938d3a9e0909937cb041f9643932482a9f3071e9b
STEP10-C_RERUN_v1.1_FULL_VERSION/STEP10-C_SOURCE_HASH_MANIFEST_RERUN_v1.1.csv,1376,cd62a7d7ae83ef6620cd25467bff50820586f417dbdd6631d42f47252a863d1c
STEP10-C_RERUN_v1.1_FULL_VERSION/STEP10-C_VALIDATION_GATE_MATRIX_RERUN_v1.1.csv,1876,ee651665abcf34eefc0a6dea2deb71c5d7e877c7e0dbba3baa6a8aeb9a03b341
STEP10-D_RERUN-02_v1.2_FULL_VERSION/STEP10-D_ATTRIBUTE_TO_PHYSICAL_COLUMN_RECONCILIATION.csv,200690,7092ec72899a3f77c46f8baa3c7bd47e1d60da0c2e8ff785a0753abac33e2ea0
STEP10-D_RERUN-02_v1.2_FULL_VERSION/STEP10-D_CHAIN_SOURCE_AUTHORITY_MANIFEST_RERUN-02.csv,752,45c649959e0c17421c04749e37fc2526f07dfadbd7a98782bfdd2761b9b54806
STEP10-D_RERUN-02_v1.2_FULL_VERSION/STEP10-D_CONTROLLED_PHYSICAL_DELTA_REGISTER.csv,3633,8868afdbbdbe68d217921b008f349d44f941194b4416ca26e4c2dbb8c157d580
STEP10-D_RERUN-02_v1.2_FULL_VERSION/STEP10-D_DATABASE_SCHEMA_SYNCHRONIZATION_RERUN_v1.2.md,4800,ec2cb1f28944be91ba857a4f7b939d9bf1ce0f08893e0c74c13fc6f9212f1036
STEP10-D_RERUN-02_v1.2_FULL_VERSION/STEP10-D_DEEP_SCAN_INVENTORY.csv,1537,1b3e3631c3f4feee64bf4801ec57e2671b9e53ddd536101adf35ae1a841d4090
STEP10-D_RERUN-02_v1.2_FULL_VERSION/STEP10-D_ENTITY_TO_PHYSICAL_TABLE_RECONCILIATION.csv,12059,d73af5c9eb46c9cadb3d424cc3ad67417e398669a1c5d48ced548cdb49ccb2da
STEP10-D_RERUN-02_v1.2_FULL_VERSION/STEP10-D_MIGRATION_RESIDUAL_REGISTER.csv,996,b93fdc98f46ef8e38e6e9d95f39ea5f3d0137d91aef12a98fdcd84494130a47c
STEP10-D_RERUN-02_v1.2_FULL_VERSION/STEP10-D_OUTPUT_MANIFEST.md,939,1a559f33790c09ba392e7d692afe7f1abb867f08338bd2e73673f42e75fc8c74
STEP10-D_RERUN-02_v1.2_FULL_VERSION/STEP10-D_OUTPUT_SHA256_MANIFEST.csv,1619,2377630badff19c04e6cb276b719e9c2caf88071f62baa0045445d7cdfc92ddb
STEP10-D_RERUN-02_v1.2_FULL_VERSION/STEP10-D_PHYSICAL_CONSTRAINT_INDEX_RECONCILIATION.csv,5085,ea4bebaeb0b892f116964a2e756a23dbd9365048ea418eaffb4d74e9271d29bb
STEP10-D_RERUN-02_v1.2_FULL_VERSION/STEP10-D_RELATIONSHIP_FK_RECONCILIATION.csv,31503,5a0df882b98c6f3edb59a7f289fb3563f5a4b7d5c3e03945ed0a18b1dd3c3b91
STEP10-D_RERUN-02_v1.2_FULL_VERSION/STEP10-D_RLS_PHYSICAL_DEPENDENCY_REGISTER.csv,4886,bf0cccfd9dd7ce306f73c246f0a9d90ba95bc9dcf1234d6027659072f1b57872
STEP10-D_RERUN-02_v1.2_FULL_VERSION/STEP10-D_SCHEMA_REFERENCE_DOCUMENT_DRIFT.csv,671,66faa6dc2862740e6e115d5acc68bcd8f6a23a7c893792a093e60df6aebf505b
STEP10-D_RERUN-02_v1.2_FULL_VERSION/STEP10-D_SOURCE_HASH_MANIFEST.csv,1935,4c81533f661778b5f8cd550daeae6e567b56e9e06c90b0dfb9f390fbe1ad27a8
STEP10-D_RERUN-02_v1.2_FULL_VERSION/STEP10-D_SOURCE_HASH_MANIFEST_LEGACY_PRESERVED.csv,256,fea3132a155f8dc39421e269ee77c2e978fca9022c5849406d9daba74509db36
STEP10-D_RERUN-02_v1.2_FULL_VERSION/STEP10-D_UPSTREAM_REENTRY_REGISTER.csv,600,2033af9d8b6c294610cebb17f97e35ccc5322777b5386c9e8e8264a19335d561
STEP10-D_RERUN-02_v1.2_FULL_VERSION/STEP10-D_VALIDATION_GATE_MATRIX.csv,1438,54fefc02035a79cc1e3c62cf49ff2dbc084100ec9063855f99761e51f48993b6
