source,nesting_level,relative_path,size_bytes,sha256
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP01_M01-M15_RECON_AUTHORITY_FREEZE_FULL_v1.0.zip!01_STEP01_M01-M15_RECON_AUTHORITY_FREEZE_FULL_REPORT_v1.0.md,8462,6ef5163c98178900bdf108ba5763b3fa88665aeb9e53299c333e022a7a50a615
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP01_M01-M15_RECON_AUTHORITY_FREEZE_FULL_v1.0.zip!02_STEP01_M01-M15_AUTHORITY_MATRIX_v1.0.csv,4704,ac82b0f345a286128ebf9ccad6f4a9535089bb63ab1de773367799c2a6582273
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP01_M01-M15_RECON_AUTHORITY_FREEZE_FULL_v1.0.zip!03_STEP01_RECON_SOURCE_INVENTORY_TOPLEVEL_v1.0.csv,6503,29059fb0ef3c918b66d38b90da37816f19fa83a37ee7e97d3ac2e9b65133a3df
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP01_M01-M15_RECON_AUTHORITY_FREEZE_FULL_v1.0.zip!04_STEP01_HISTORICAL_SUPERSEDED_SUPPORTING_EXCLUSION_REGISTER_v1.0.csv,1052,cb35ebd7d425684b183a3ad78a1380e6e6d5ee879a0ef6512012fb8ba8266e10
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP01_M01-M15_RECON_AUTHORITY_FREEZE_FULL_v1.0.zip!05_STEP01_Q01-Q64_M14_PROVENANCE_AUDIT_v1.0.csv,550,2e4666cac2d817403a3eab7bb625714a351089f13475e74b39bcad7b65c4c9ec
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP01_M01-M15_RECON_AUTHORITY_FREEZE_FULL_v1.0.zip!06_STEP01_VERSION_ID_EXCEPTION_REGISTER_v1.0.csv,684,2c55e6c007ecf9652a9b5db9a8cd9f002dcbb20bc3bcc84c3e6f538405d10dc4
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP01_M01-M15_RECON_AUTHORITY_FREEZE_FULL_v1.0.zip!README_STEP01_FULL_VERSION_v1.0.md,723,717481470c19a198518284790b357a2e381c73c70995e830b1acae489d551a98
STEP SYNC CORE(20260907-081753).zip,0,STEP SYNC CORE/RUMAHAGEN_STEP02_MASTER_RECON_INVENTORY_FULL_v1.1.zip,147584,1b912658bd2bad4730b34eae25a32c37599e377cd51e1e48f01b2bffc113a82c
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP02_MASTER_RECON_INVENTORY_FULL_v1.1.zip!00_STEP02_OUTPUT_MANIFEST_SHA256_v1.1.csv,1179,e603527a0a60891c1ad015f60465c6d93041edbeaaa3a4133998843152d15074
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP02_MASTER_RECON_INVENTORY_FULL_v1.1.zip!01_STEP02_MASTER_RECON_INVENTORY_FULL_v1.1.md,5855,00cf36c97972683a8b784182838f666735aa0c52fc353349e7e128cedefa6d56
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP02_MASTER_RECON_INVENTORY_FULL_v1.1.zip!02_STEP02_M01-M15_ARTIFACT_INVENTORY_FULL.csv,1138437,37215d93fe38f93196eafcc909674090320038e63889c932db6574eaba3f9818
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP02_MASTER_RECON_INVENTORY_FULL_v1.1.zip!03_STEP02_CURRENT_AUTHORITY_REGISTER.csv,4105,7e3f538cca6b4bfaf74d4ccc461972515c7012a92eb8363b7559137c3e3b8d77
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP02_MASTER_RECON_INVENTORY_FULL_v1.1.zip!04_STEP02_HISTORICAL_SUPERSEDED_SUPPORTING_REGISTER.csv,3593,ddbbc9de84eba1f85dd96e3c5f960b743aaefce63b03fba5a9d7d4e6280bf9b8
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP02_MASTER_RECON_INVENTORY_FULL_v1.1.zip!05_STEP02_SCOPE_CAPABILITY_INVENTORY.csv,3637,e4c598fab2e232bd0433c0423bab1a287f793c5b400a9f2393cba1b394f3d383
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP02_MASTER_RECON_INVENTORY_FULL_v1.1.zip!06_STEP02_CROSS_MODULE_DEPENDENCY_MATRIX.csv,19221,0bdb7ccf447e30a56172ad4f79239aa8bd2026cdb2ac1d6854ddad07ddf6277d
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP02_MASTER_RECON_INVENTORY_FULL_v1.1.zip!07_STEP02_CONFLICT_RESIDUAL_INVENTORY.csv,1393,5efd1281b04c951b1a3240c3c248cd0986588ae994077cad0d1b540380416025
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP02_MASTER_RECON_INVENTORY_FULL_v1.1.zip!08_STEP02_CHECKLIST_VERIFICATION.csv,1455,b6b024aa93a2434c2f602ac1f48e3e205f37fb2967552f62f638cf5a473819bf
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP02_MASTER_RECON_INVENTORY_FULL_v1.1.zip!09_STEP02_INTEGRATION_READINESS_REGISTER.csv,1566,9e554570b46062796ba8dfea0d5710ad827a873c01fa39aa46e8b13adea36baf
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP02_MASTER_RECON_INVENTORY_FULL_v1.1.zip!README_STEP02_FULL_VERSION_v1.1.md,929,fe8facf7f29321a2f550f40701380c64203037d0f8b4cac5f86b00824ce5a9a0
STEP SYNC CORE(20260907-081753).zip,0,STEP SYNC CORE/RUMAHAGEN_STEP03_CORE_ARTIFACT_MAP_FULL_v1.3_CORRECTED_FULL_REBUILD (1).zip,63186,6cb5f5f578a90c8cea0cdc2c3c3ac8b0af08fc27d9874ef36d847175cd5296b9
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP03_CORE_ARTIFACT_MAP_FULL_v1.3_CORRECTED_FULL_REBUILD (1).zip!00_INPUT_DEEP_SCAN_MANIFEST_v1.3.csv,1177,72a21432039b13e0f90f0bd6028389b42adced418fd38501e906062174a5fb8a
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP03_CORE_ARTIFACT_MAP_FULL_v1.3_CORRECTED_FULL_REBUILD (1).zip!00_OUTPUT_MANIFEST_SHA256_v1.3.csv,1501,cbf53d0da6672b12772b2395fbe78e263d252918cd8b0a28eff90e4e33ce59d5
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP03_CORE_ARTIFACT_MAP_FULL_v1.3_CORRECTED_FULL_REBUILD (1).zip!01_STEP03_CORE_ARTIFACT_MAP_FULL_REPORT_v1.3.md,3942,2171c607d536eb0bc3e6770265d9f71b45961f2c76c18d31508ad2de717f52e7
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP03_CORE_ARTIFACT_MAP_FULL_v1.3_CORRECTED_FULL_REBUILD (1).zip!02_STEP03_CORE_ARTIFACT_MAP_FULL_v1.3.csv,109151,df9506e78510f7e891ed800abddabef2495a0545c12d4ca1f0f6321500c6182e
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP03_CORE_ARTIFACT_MAP_FULL_v1.3_CORRECTED_FULL_REBUILD (1).zip!03_STEP03_AUTHORITY_RESOLUTION_REGISTER_v1.3.csv,38387,6459a6078ab823e659d13d221717f154e831a105b384001397969cd555c214e1
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP03_CORE_ARTIFACT_MAP_FULL_v1.3_CORRECTED_FULL_REBUILD (1).zip!04_STEP03_M01-M15_CORE_RELATIONSHIP_EVIDENCE_FULL_v1.3.csv,1080561,193ef5b7ce3bd3f040b4680866462d59d950fa92971784a5cc916c16ef20428a
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP03_CORE_ARTIFACT_MAP_FULL_v1.3_CORRECTED_FULL_REBUILD (1).zip!05_STEP03_FINDING_TO_CORE_DETERMINISTIC_LINKAGE_FULL_v1.3.csv,235722,b995208421b951c6e99f01d28df544a1266d87fa50babae0a7dae17374dc5900
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP03_CORE_ARTIFACT_MAP_FULL_v1.3_CORRECTED_FULL_REBUILD (1).zip!06_STEP03_MODULE_HANDOFF_SUMMARY_v1.3.csv,12936,315730ab062d2b4fdd240fd60ae0405a3018d4616992bbf3c9d9ccb07c5ab6ee
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP03_CORE_ARTIFACT_MAP_FULL_v1.3_CORRECTED_FULL_REBUILD (1).zip!07_STEP03_DEPENDENCY_HANDOFF_MATRIX_v1.3.csv,95744,6bd5b50154f0ca6964bf82729e3101d0f9a0e8ffdb872e54ef15599eec1996e2
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP03_CORE_ARTIFACT_MAP_FULL_v1.3_CORRECTED_FULL_REBUILD (1).zip!08_STEP03_RESIDUAL_AND_ORPHAN_AUDIT_v1.3.csv,2319,f17714695906a4575d15118b5f9e1487165b3d6973638301090e5d749c1d9dc0
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP03_CORE_ARTIFACT_MAP_FULL_v1.3_CORRECTED_FULL_REBUILD (1).zip!09_STEP04_REOPEN_FEEDBACK_REGISTER_v1.3.csv,1576,23a8d5405366bfbe2b17a063ce25eeb10ed8387e75d840b38a94744acd1a4f23
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP03_CORE_ARTIFACT_MAP_FULL_v1.3_CORRECTED_FULL_REBUILD (1).zip!10_STEP03_CHECKLIST_VERIFICATION_v1.3.csv,1203,c0351c33449b7761be061a3f0ce42c00b915d405b9c3ef3dbad8721a8932faf4
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP03_CORE_ARTIFACT_MAP_FULL_v1.3_CORRECTED_FULL_REBUILD (1).zip!README_STEP03_FULL_VERSION_v1.3.md,1230,c6e14e62415c2bdb86e107fad67b2524a29a2ff3f2c8e8fc1b17a68b60511a3f
STEP SYNC CORE(20260907-081753).zip,0,STEP SYNC CORE/RUMAHAGEN_STEP04_M01-M15_CORE_SYNCHRONIZATION_MATRIX_FULL_v1.2_CORRECTED_FULL_REBUILD.zip,86886,958c2e83f0ae83da72a21a1fbc8939f93aa7f3fdad61479e59203ef24a5490ed
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP04_M01-M15_CORE_SYNCHRONIZATION_MATRIX_FULL_v1.2_CORRECTED_FULL_REBUILD.zip!00_STEP04_INPUT_DEEP_SCAN_MANIFEST_v1.2.csv,1128,c685310c9446650a8608d7c8ba520886a5dbc16ed08fd0bc1d13625fff7d3c30
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP04_M01-M15_CORE_SYNCHRONIZATION_MATRIX_FULL_v1.2_CORRECTED_FULL_REBUILD.zip!00_STEP04_OUTPUT_MANIFEST_SHA256_v1.2.csv,1796,c3047296a2cf0daebfe8a70534f6dbb3941d146e45437d18972fa579909931e8
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP04_M01-M15_CORE_SYNCHRONIZATION_MATRIX_FULL_v1.2_CORRECTED_FULL_REBUILD.zip!01_STEP04_FULL_REPORT_v1.2.md,2884,d89f6578e33432ca30db54a7519d6856512957e1db971a36125516a4770d037e
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP04_M01-M15_CORE_SYNCHRONIZATION_MATRIX_FULL_v1.2_CORRECTED_FULL_REBUILD.zip!02_STEP04_M01-M15_CORE_SYNCHRONIZATION_MATRIX_FULL_v1.2.csv,312083,dba4e5ce48156c1a1077c846758da767eb712b480553f4d0331097c048e31b73
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP04_M01-M15_CORE_SYNCHRONIZATION_MATRIX_FULL_v1.2_CORRECTED_FULL_REBUILD.zip!03_FINDING_TO_STEP03_DETERMINISTIC_LINKAGE_REGISTER_v1.2.csv,235759,19f295bbfc25df109122004b25747ab3905f97836a8f04af3b2fed9264f3854a
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP04_M01-M15_CORE_SYNCHRONIZATION_MATRIX_FULL_v1.2_CORRECTED_FULL_REBUILD.zip!04_STEP04_M01-M15_RELATIONSHIP_EVIDENCE_COVERAGE_FULL_v1.2.csv,1121090,f226a4d353b9f56dc35598e80843529a7ccea740eeb130e66d3e77e246482078
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP04_M01-M15_CORE_SYNCHRONIZATION_MATRIX_FULL_v1.2_CORRECTED_FULL_REBUILD.zip!05_STEP04_MODULE_SYNCHRONIZATION_SUMMARY_v1.2.csv,499,550e4126f551143c372c8bffa10ea24bab8663b1c5213b0220a0c04b88159cb0
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP04_M01-M15_CORE_SYNCHRONIZATION_MATRIX_FULL_v1.2_CORRECTED_FULL_REBUILD.zip!06_STEP04_CORE_ARTIFACT_SYNCHRONIZATION_SUMMARY_v1.2.csv,5212,6ba3acc616811b78ad3935b3a6226cf9d0163ae48d3433bc2cade49b2727f995
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP04_M01-M15_CORE_SYNCHRONIZATION_MATRIX_FULL_v1.2_CORRECTED_FULL_REBUILD.zip!07_STEP04_PRESERVE_AUGMENT_ADDNEW_REGISTER_v1.2.csv,251166,220d4b824be1c355a1a8817dad6bc59f29d8d93ccee1e9c350984f63865b1da3
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP04_M01-M15_CORE_SYNCHRONIZATION_MATRIX_FULL_v1.2_CORRECTED_FULL_REBUILD.zip!08_STEP04_RECONCILE_REGISTER_v1.2.csv,10929,c97c36a7ce040e922d0ffda0c69a2fe6dc537e286e737e19f331a88cdc45ac55
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP04_M01-M15_CORE_SYNCHRONIZATION_MATRIX_FULL_v1.2_CORRECTED_FULL_REBUILD.zip!09_STEP04_CONTROLLED_NO_PROPAGATION_SUPERSEDED_REGISTER_v1.2.csv,51086,c54cf5e3286ff2d0a32a6719ebf26ef6ba4d60eb6c6221c45e5dfe2c3e6e3127
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP04_M01-M15_CORE_SYNCHRONIZATION_MATRIX_FULL_v1.2_CORRECTED_FULL_REBUILD.zip!10_STEP04_DEPENDENCY_HANDOFF_REGISTER_v1.2.csv,58304,ed8c7ac720802848c3806531022bcd1d930ad8ec0ce546f6bebdbff60b89fdc0
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP04_M01-M15_CORE_SYNCHRONIZATION_MATRIX_FULL_v1.2_CORRECTED_FULL_REBUILD.zip!11_STEP04_AUTHORITY_PROVENANCE_REGISTER_v1.2.csv,151397,a7a76c59a63c31c43e4f3333b949a1f20d8401add8f4f2c56e9ab65c1c57c5cf
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP04_M01-M15_CORE_SYNCHRONIZATION_MATRIX_FULL_v1.2_CORRECTED_FULL_REBUILD.zip!12_STEP04_CHECKLIST_VERIFICATION_v1.2.csv,1398,04f4e6b72f8d82f348b4b8c7deb250aede31eab09b8d346411ca3ce85cfe1104
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP04_M01-M15_CORE_SYNCHRONIZATION_MATRIX_FULL_v1.2_CORRECTED_FULL_REBUILD.zip!README_STEP04_FULL_VERSION_v1.2.md,674,b4616356799cda4e044e60e987555e61e3a3a31a1e20f12f380dca35bd2394a1
STEP SYNC CORE(20260907-081753).zip,0,STEP SYNC CORE/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip,34112,6a16adf8bd2a2e3946d0c0ce521f24dd520d6705821546bfc4b7baf85ee6eb4e
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip!05_STEP05_FINAL_INPUT_COVERAGE_AND_INTEGRITY_AUDIT_v1.1.csv,1403,557b83f16e6105609e5989148aa564ab48944bbac824601b55ffc05a10562469
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip!01_STEP05_FINAL_DECISION_RATIONALE_REGISTER_v1.1.csv,7495,356ab6be6d4d1e5634b9d3551cba7579275c1c3b03225588a55f694a1704ce2a
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip!03_STEP05_FINAL_GLOBAL_223_FINDING_IMPACT_SCAN_v1.1.csv,69265,e0343c054542361d43b1757d48ca9d676ed73008cbf8be332f3ed7865ae77f70
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip!02_STEP05_FINAL_ARTIFACT_LEVEL_RECONCILIATION_MATRIX_v1.1.csv,6681,44c110f249fa1a44fea3b9237fc079e6cf628c1ca0375f00a83469187ea8d592
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip!04_STEP05_FINAL_AUTHORITY_NON_OVERTURN_AUDIT_v1.1.csv,1380,8c3b5961c388324df4d70e38571bc6a66a481b922ec56bab938de73290dadc55
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip!06_STEP05_FINAL_GLOBAL_CONFLICT_CLOSURE_SUMMARY_v1.1.md,788,10cb142f5811c1f5f9c67b75821f986c396b40f65f30718a308577a5b75ca26d
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip!07_STEP05_FINAL_EXECUTION_CHECKLIST_v1.1.md,867,001eef77316fd413d374897163751bde6cdbdebe1309c4c13edb22d4ed34df89
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip!README_STEP05_FINAL_FULL_VERSION_v1.1.md,329,65cb8503e85941da864356d06f03ff7ec49b0289b0ed637bb8e7b5e74f2564c4
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip!00_STEP05_FINAL_OUTPUT_MANIFEST_SHA256_v1.1.csv,2507,62ebcb7dfd0a372cd5f86c0b2fc29da8d830f04f583bf3c18cb979ca4746165a
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip!STEP05_FINAL_FULL_REPORT_v1.1.md,17572,9fde011f9a44c9f5d209ffd2b3cd91dbe3ed37c3e1204d180187e214db5b523b
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip!00_PREVIOUS_STEP05_v1.0/05_STEP05_INPUT_INTEGRITY_DEEP_SCAN_FULL_v1.0.csv,1153,b8d40d17561ce4262fa594fd7f427afbe57394440d437b710cd6e601b35a215a
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip!00_PREVIOUS_STEP05_v1.0/02_STEP05_CORE_EVIDENCE_ANCHOR_REGISTER_FULL_v1.0.csv,1946,a156ec4700e27bfd641a23ccb317c8e5b1a8bd17f93556313fd5175035fa44a1
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip!00_PREVIOUS_STEP05_v1.0/01_STEP05_CONFLICT_RESOLUTION_REGISTER_FULL_v1.0.csv,6373,3f605a49978a9f35a171e8ea7ab95d5866f2b08b11c7c01df20ded07950565e1
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip!00_PREVIOUS_STEP05_v1.0/MANIFEST_STEP05_FULL_v1.0.csv,1089,b77c32d0324d038e098399674e1ddc2e35f93784c6c2b5b94b5c4e698db0e28b
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip!00_PREVIOUS_STEP05_v1.0/07_STEP05_EXECUTION_CHECKLIST_FULL_v1.0.md,714,524efe62942d87a9e61065ce62ec4baa6bba61d938d51174e4b418af334dca9f
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip!00_PREVIOUS_STEP05_v1.0/README_STEP05_FULL_VERSION_v1.0.md,482,1e4825b780dff13bc6c33c720ed11d850435ebeecd85ce87f334548b15d0a831
STEP SYNC CORE(20260907-081753).zip,1,STEP SYNC CORE/RUMAHAGEN_STEP05_SEMANTIC_CONFLICT_RESOLUTION_FINAL_FULL_v1.1.zip!00_PREVIOUS_STEP05_v1.0/STEP05_FULL_REPORT_v1.0.md,15243,2f47e6b2e4c2e1c76ae7797107a3b7ac73222e8c8da211f33e1afbbf796d380b
