module,change_id,required_change,p2_strategy,core_scope_treatment,classification,status,v1_2_status
M04,M04-P2-01,Preserve Learning Core + Learning Economy + Learning Session inside M04.,Learning domain implementation with internal Economy and Session extensions; evidence production stays upstream of M15.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M04,M04-P2-02,Free-to-learn / LP earning / skill redemption / optional paid LP semantics remain M04 authority.,Learning domain implementation with internal Economy and Session extensions; evidence production stays upstream of M15.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M04,M04-P2-03,Session participation/evidence remains M04; do not move Learning authority to M15.,Learning domain implementation with internal Economy and Session extensions; evidence production stays upstream of M15.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M04,M04-P2-04,Partnership Learning remains conventional external learning model where applicable.,Learning domain implementation with internal Economy and Session extensions; evidence production stays upstream of M15.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M04,M04-P2-05,Physical permission/RLS/API/runtime findings remain downstream evidence-gated.,Learning domain implementation with internal Economy and Session extensions; evidence production stays upstream of M15.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M05,M05-P2-01,Preserve Event/Calendar/Registration authority.,Event/registration implementation with controlled M04 Session relationship; M05 retains Event authority.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M05,M05-P2-02,Event lifecycle and registration remain M05; Project does not directly grant Event publication.,Event/registration implementation with controlled M04 Session relationship; M05 retains Event authority.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M05,M05-P2-03,"Event ↔ Session relationship: M05 owns Event, M04 owns Session.",Event/registration implementation with controlled M04 Session relationship; M05 retains Event authority.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M05,M05-P2-04,Preserve guest/late registration/waitlist/attendance and provider configuration semantics from current M05 baseline where applicable.,Event/registration implementation with controlled M04 Session relationship; M05 retains Event authority.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M05,M05-P2-05,Keep M05 delta/impact traceability; physical/runtime claims remain downstream.,Event/registration implementation with controlled M04 Session relationship; M05 retains Event authority.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M06,M06-P2-01,Reconcile developer_projects to semantic Project source contract.,Developer/Project/Claim implementation with controlled M03 Listing handoff; no authority transfer to Project/Claim.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,AUGMENT,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M06,M06-P2-02,"Preserve M03 canonical land_area/building_area; Project uses meta_title/meta_description, not Project description.",Developer/Project/Claim implementation with controlled M03 Listing handoff; no authority transfer to Project/Claim.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M06,M06-P2-03,Developer partner requires company_logo and free-text description ('Tentang Developer').,Developer/Project/Claim implementation with controlled M03 Listing handoff; no authority transfer to Project/Claim.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,AUGMENT,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M06,M06-P2-04,Project media semantic boundary = photo/video; brochure/price_list legacy physical allowance cannot override semantic contract.,Developer/Project/Claim implementation with controlled M03 Listing handoff; no authority transfer to Project/Claim.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M06,M06-P2-05,"Marketing Kit is a separate resource; Developer own CRUD, Admin/Superadmin All, Manager/Agent View+Download, Buyer/Partner none.",Developer/Project/Claim implementation with controlled M03 Listing handoff; no authority transfer to Project/Claim.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,AUGMENT,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M06,M06-P2-06,Claim lifecycle/Approval Claim persistence must be traceable; Approved Claim may initialize Agent-owned Listing under M03 rules.,Developer/Project/Claim implementation with controlled M03 Listing handoff; no authority transfer to Project/Claim.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M06,M06-P2-07,Developer Project/Claim never grants ordinary Listing Create/Update/Publish/Refresh authority; Developer remains non-exclusive.,Developer/Project/Claim implementation with controlled M03 Listing handoff; no authority transfer to Project/Claim.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,AUGMENT,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M07,M07-P2-01,Preserve DBR scoring/configuration authority and M09 configuration boundary.,DBR implementation using M09 configuration while M07 retains scoring/calculation authority.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M07,M07-P2-02,Do not let configuration authority become DBR calculation authority elsewhere.,DBR implementation using M09 configuration while M07 retains scoring/calculation authority.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M07,M07-P2-03,Physical/runtime implementation remains downstream.,DBR implementation using M09 configuration while M07 retains scoring/calculation authority.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M08,M08-P2-01,Keep Dashboard/Notification as projection/communication only.,Projection-first implementation after source contracts stabilize; no business mutation authority.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M08,M08-P2-02,Consume canonical source state; never mutate business truth.,Projection-first implementation after source contracts stabilize; no business mutation authority.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M08,M08-P2-03,Do not make M08 an early critical-path blocker for source-domain implementation.,Projection-first implementation after source contracts stabilize; no business mutation authority.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,AUGMENT,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M08,M08-P2-04,Preserve current Dashboard Projection and Notification State scope; no unapproved capability expansion.,Projection-first implementation after source contracts stabilize; no business mutation authority.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M09,M09-P2-01,"Preserve Admin/Configuration/Audit authority as a control surface, not universal domain ownership.",Administrative control-surface implementation with domain-bounded mutation/configuration grants.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M09,M09-P2-02,System Configuration authority must be explicitly resolved within applicable domain grants.,Administrative control-surface implementation with domain-bounded mutation/configuration grants.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,AUGMENT,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M09,M09-P2-03,Static Public Content and Announcement/Promotion administrative lifecycle/configuration belongs to M09 or applicable authoritative domain; M11 observes/discovers.,Administrative control-surface implementation with domain-bounded mutation/configuration grants.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M09,M09-P2-04,"Provider Catalogue mutation must follow M13 final authority (Superadmin-only), not historical Admin wording.",Administrative control-surface implementation with domain-bounded mutation/configuration grants.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,AUGMENT,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M09,M09-P2-05,"Commercial, Learning, DBR, Award, Organization and Listing administration remains bounded by underlying domain authority.",Administrative control-surface implementation with domain-bounded mutation/configuration grants.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M10,M10-P2-01,Preserve Role = actor grouping; Role Permission = baseline/default matrix; Permission Preset = optional configurable authorization targeted to existing role.,Authorization foundation implementation over M01 identity; preserve baseline Role/Permission/Preset/Scope/RLS governance.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M10,M10-P2-02,Permission Preset is never a new Role and cannot create capabilities outside role baseline/governance.,Authorization foundation implementation over M01 identity; preserve baseline Role/Permission/Preset/Scope/RLS governance.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M10,M10-P2-03,Preserve Capability/Permission/Scope/Condition/Ownership/Organization/RLS relationships.,Authorization foundation implementation over M01 identity; preserve baseline Role/Permission/Preset/Scope/RLS governance.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M10,M10-P2-04,Do not invent permission IDs; resolve current physical catalogue only where evidenced.,Authorization foundation implementation over M01 identity; preserve baseline Role/Permission/Preset/Scope/RLS governance.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M10,M10-P2-05,Authorization remains M10 authority; M09 administration cannot create unauthorized cross-module mutation.,Authorization foundation implementation over M01 identity; preserve baseline Role/Permission/Preset/Scope/RLS governance.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M11,M11-P2-01,"Explicitly cover ten approved public surfaces: Homepage, Listing, Agent, Organization, Developer/Project, Event, Learning, Learning Session, Static Public Content, Announcement/Promotion.",Discovery/measurement implementation downstream of canonical public resources; cover all ten public surfaces without business authority.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,AUGMENT,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M11,M11-P2-02,Static Public Content and Announcement/Promotion are discovery surfaces; lifecycle/configuration remains M09 or applicable domain authority.,Discovery/measurement implementation downstream of canonical public resources; cover all ten public surfaces without business authority.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M11,M11-P2-03,Preserve canonical URL/meta/OG/Twitter/structured-data/indexability/sitemap/robots semantics.,Discovery/measurement implementation downstream of canonical public resources; cover all ten public surfaces without business authority.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M11,M11-P2-04,"Analytics remains observational; no payment, entitlement, quota, learning, attendance or award authority.",Discovery/measurement implementation downstream of canonical public resources; cover all ten public surfaces without business authority.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M11,M11-P2-05,Do not create parallel SEO/analytics database/API/RBAC authority.,Discovery/measurement implementation downstream of canonical public resources; cover all ten public surfaces without business authority.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M11,M11-P2-06,Lifecycle-aware discovery and privacy boundaries must be represented.,Discovery/measurement implementation downstream of canonical public resources; cover all ten public surfaces without business authority.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M12,M12-P2-01,"Preserve Organization, membership, invitation, Join Request, lifecycle, context/scope, settings/documents/content/enforcement semantics.",Organization/context implementation over M01/M10; context feeds domains without becoming their business authority.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M12,M12-P2-02,"Membership is not permission, ownership, public visibility, commercial entitlement, Host or Instructor authority.",Organization/context implementation over M01/M10; context feeds domains without becoming their business authority.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M12,M12-P2-03,Preserve Personal Context ≠ Organization Context.,Organization/context implementation over M01/M10; context feeds domains without becoming their business authority.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M12,M12-P2-04,Organization lifecycle ACTIVE → CLOSING → CLOSED; SUSPENDED is enforcement; no Lead Transfer/successor inheritance.,Organization/context implementation over M01/M10; context feeds domains without becoming their business authority.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M12,M12-P2-05,Organization public content wording: M12 owns semantics where explicitly assigned; M09 controls applicable admin lifecycle/configuration; M11 discovers.,Organization/context implementation over M01/M10; context feeds domains without becoming their business authority.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,AUGMENT,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M12,M12-P2-06,Physical ORG-ADMIN terminology must not create a new platform role; treat as downstream capability/scope mapping.,Organization/context implementation over M01/M10; context feeds domains without becoming their business authority.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M13,M13-P2-01,Provider Catalogue mutation = Superadmin-only.,AI/BYOK/provider implementation behind M10 authorization; owner-managed connection lifecycle and Superadmin catalogue governance.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,AUGMENT,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M13,M13-P2-02,BYOK connection/credential ownership = Agent/User own; limited Admin/Superadmin intervention only.,AI/BYOK/provider implementation behind M10 authorization; owner-managed connection lifecycle and Superadmin catalogue governance.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,AUGMENT,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M13,M13-P2-03,"Preserve connection lifecycle including VALID/ACTIVE, DISABLED, INVALID/ERROR, REVOKED, DISCONNECTED/DELETED and provider retirement/outage behavior.",AI/BYOK/provider implementation behind M10 authorization; owner-managed connection lifecycle and Superadmin catalogue governance.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M13,M13-P2-04,AI invocation requires applicable feature permission + own VALID/ACTIVE connection; BYOK existence alone is not authorization.,AI/BYOK/provider implementation behind M10 authorization; owner-managed connection lifecycle and Superadmin catalogue governance.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,AUGMENT,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M13,M13-P2-05,Preserve transient AI Chat Frame/provider-threaded behavior without persistent server conversation history.,AI/BYOK/provider implementation behind M10 authorization; owner-managed connection lifecycle and Superadmin catalogue governance.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M13,M13-P2-06,Credential security and provider abstraction remain M13; M10 remains authorization authority.,AI/BYOK/provider implementation behind M10 authorization; owner-managed connection lifecycle and Superadmin catalogue governance.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M14,M14-P2-01,Preserve M14 commercial/payment/entitlement/quota/promotion/reconciliation authority.,Commercial truth implementation; establish entitlement/quota/payment/promotion outcomes consumed by domains.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M14,M14-P2-02,Keep approved commercial surfaces and subscription/add-on/promotion lifecycle.,Commercial truth implementation; establish entitlement/quota/payment/promotion outcomes consumed by domains.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,AUGMENT,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M14,M14-P2-03,Preserve immutable purchase snapshot and confirmed_at invariant.,Commercial truth implementation; establish entitlement/quota/payment/promotion outcomes consumed by domains.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M14,M14-P2-04,"Payment callback/webhook is evidence, not authoritative confirmation; fulfillment is idempotent.",Commercial truth implementation; establish entitlement/quota/payment/promotion outcomes consumed by domains.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M14,M14-P2-05,Entitlement lifecycle and temporal semantics remain M14.,Commercial truth implementation; establish entitlement/quota/payment/promotion outcomes consumed by domains.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M14,M14-P2-06,Quota chain = Capacity → Pool → Allocation → Usage.,Commercial truth implementation; establish entitlement/quota/payment/promotion outcomes consumed by domains.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M14,M14-P2-07,Refresh Allowance is additive M14 commercial allowance; M03 retains Refresh action/eligibility/consumption.,Commercial truth implementation; establish entitlement/quota/payment/promotion outcomes consumed by domains.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,AUGMENT,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M14,M14-P2-08,Refund/chargeback/reconciliation evidence and case lifecycle remain M14.,Commercial truth implementation; establish entitlement/quota/payment/promotion outcomes consumed by domains.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M14,M14-P2-09,Q01–Q64 remain M14; Q40/Q54/Q61/Q62 are not M15.,Commercial truth implementation; establish entitlement/quota/payment/promotion outcomes consumed by domains.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
M15,M15-P2-01,Preserve M15 Title/Qualification/Award authority.,Qualification/Award implementation consuming governed upstream evidence and context; no absorption of M04/M14 authority.,Strategy-level successor propagation; Core v1.3 remains immutable. Preserve existing valid Core detail; update successor strategy only.,PRESERVE,COVERED IN P2 v1.1,RETAINED IN FULL SUCCESSOR
