provenance_id,finding_id,module,step04_classification,core_artifact_id,core_artifact,core_section_heading,authority_owner,authority_source_artifact,merge_decision,semantic_delta_or_resolution,decision_basis,module_authority_artifact,dependency,source_chain,absorbed_or_retained,core_baseline_sha256,mxx_authority_source,step04_classification_locked,step05_resolution_required,merge_action_granular,duplicate_provenance_consolidated,core_detail_preserved,provenance_completeness_v1_1
STEP06-P-011,M01-CI-011,M01,PRESERVE,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,# RUMAHAGEN — W4-02A.6.30,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,PRESERVE_EXISTING_CORE_DETAIL,Identity dependencies M02/M03/M06,STEP04 classification PRESERVE; no new semantic propagation required.,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,M02/M10/M12/M14/M15 as governed dependencies,Recon → STEP02/STEP01 authority/provenance → STEP03 Core mapping → STEP04 classification → STEP05 resolution where RECONCILE → STEP06 additive merge,RETAINED,239e06d97698eb97c4e362b1b9ecf25f064fbe8e665e2f9e328d00e6d339a090,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,YES,NO,YES,YES,YES,PASS
STEP06-P-012,M01-CI-012,M01,PRESERVE,CAM11-0045,23_M01_M07/W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1_EXTRACTED/RUMAHAGEN_W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1/M01_PHYSICAL_EXECUTION_SPEC_v2.1.md,## 19. Controlled residuals,M01–M07 EXECUTION CONTEXT; MODULE AUTHORITIES REMAIN SEMANTIC AUTHORITY,M01–M07 CURRENT AUTHORITY ARTIFACT SET,PRESERVE_EXISTING_CORE_DETAIL,Physical/runtime separation,STEP04 classification PRESERVE; no new semantic propagation required.,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,M02/M10/M12/M14/M15 as governed dependencies,Recon → STEP02/STEP01 authority/provenance → STEP03 Core mapping → STEP04 classification → STEP05 resolution where RECONCILE → STEP06 additive merge,RETAINED,db988febf9ef1ed6f6746177260d8fab50b5fbb93827afb708de163dd484a3ff,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,YES,NO,YES,YES,YES,PASS
STEP06-P-013,M01-CI-013,M01,CONTROLLED,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,"# developer-projects, calculator (dbr), notifications, rbac, seo",CORE ARCHITECTURE,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,DOWNSTREAM_CONTROL_ONLY,M01 physical/runtime status,STEP04 classification CONTROLLED; physical/API/RLS/runtime work remains downstream and cannot become semantic proof.,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,M02/M10/M12/M14/M15 as governed dependencies,Recon → STEP02/STEP01 authority/provenance → STEP03 Core mapping → STEP04 classification → STEP05 resolution where RECONCILE → STEP06 additive merge,RETAINED_DOWNSTREAM,c1aa07968bb5bdfc9f9600dc48da804f65574f49da672282237ec90c4cc94884,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,YES,NO,YES,YES,YES,PASS
STEP06-P-014,M01-CI-014,M01,NO-PROPAGATION,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,"# developer-projects, calculator (dbr), notifications, rbac, seo",CORE ARCHITECTURE,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,NO_PROPAGATION,M01 public profile authority,STEP04 classification NO-PROPAGATION; finding retained for provenance but excluded from Core semantic merge.,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,M02/M10/M12/M14/M15 as governed dependencies,Recon → STEP02/STEP01 authority/provenance → STEP03 Core mapping → STEP04 classification → STEP05 resolution where RECONCILE → STEP06 additive merge,RETAINED_NO_PROPAGATION,c1aa07968bb5bdfc9f9600dc48da804f65574f49da672282237ec90c4cc94884,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,YES,NO,YES,YES,YES,PASS
STEP06-P-015,M02-CI-001,M02,PRESERVE,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,# RUMAHAGEN — REVISED MODULE PLANNING,CORE MODULE PLANNING AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,PRESERVE_EXISTING_CORE_DETAIL,Agent Profile — View,STEP04 classification PRESERVE; no new semantic propagation required.,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,M01/M03/M11/M12,Recon → STEP02/STEP01 authority/provenance → STEP03 Core mapping → STEP04 classification → STEP05 resolution where RECONCILE → STEP06 additive merge,RETAINED,7373552ff7f43e2822f7819b2101ec0df7bc1acee60e8b92dc866f330203d7be,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,YES,NO,YES,YES,YES,PASS
STEP06-P-016,M02-CI-002,M02,PRESERVE,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,# RUMAHAGEN — FUNCTIONAL SPECIFICATION,CORE FUNCTIONAL CONTRACT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,PRESERVE_EXISTING_CORE_DETAIL,Agent Profile — Update,STEP04 classification PRESERVE; no new semantic propagation required.,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,M01/M03/M11/M12,Recon → STEP02/STEP01 authority/provenance → STEP03 Core mapping → STEP04 classification → STEP05 resolution where RECONCILE → STEP06 additive merge,RETAINED,d7e9a7b5c761d51495e77f73824f903ca057e602c204c79284a2ae70c522072e,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,YES,NO,YES,YES,YES,PASS
STEP06-P-017,M02-CI-003,M02,PRESERVE,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,# RUMAHAGEN — W4-02A.6.30,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,PRESERVE_EXISTING_CORE_DETAIL,Profile Visibility — PUBLIC/PRIVATE,STEP04 classification PRESERVE; no new semantic propagation required.,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,M01/M03/M11/M12,Recon → STEP02/STEP01 authority/provenance → STEP03 Core mapping → STEP04 classification → STEP05 resolution where RECONCILE → STEP06 additive merge,RETAINED,239e06d97698eb97c4e362b1b9ecf25f064fbe8e665e2f9e328d00e6d339a090,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,YES,NO,YES,YES,YES,PASS
STEP06-P-018,M02-CI-004,M02,PRESERVE,17_SEO_ANALYTICS/W4-02A.6.21_SEO_ANALYTICS_SPECIFICATION_DISCOVERY_MEASUREMENT_BASELINE_v2.1.md,17_SEO_ANALYTICS/W4-02A.6.21_SEO_ANALYTICS_SPECIFICATION_DISCOVERY_MEASUREMENT_BASELINE_v2.1.md,# RUMAHAGEN --- SEO / ANALYTICS SPECIFICATION,M11 PUBLIC DISCOVERY / SEO / MEASUREMENT AUTHORITY,RUMAHAGEN_WF03_M11_FULL_REBUILD_CONTROLLED_v2.0_FULL_VERSION/RUMAHAGEN_WF03_M11_FULL_REBUILD_CONTROLLED_v2.0_FULL_VERSION.md,PRESERVE_EXISTING_CORE_DETAIL,Public CTA — explicit opt-in,STEP04 classification PRESERVE; no new semantic propagation required.,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,M01/M03/M11/M12,Recon → STEP02/STEP01 authority/provenance → STEP03 Core mapping → STEP04 classification → STEP05 resolution where RECONCILE → STEP06 additive merge,RETAINED,be0af1e745ac3d19a65abb90beff833941b1d1fb5a4fd1233c681a84023e75de,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,YES,NO,YES,YES,YES,PASS
STEP06-P-019,M02-CI-005,M02,PRESERVE,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,# RUMAHAGEN — W4-02A.6.30,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,PRESERVE_EXISTING_CORE_DETAIL,Superadmin visibility/CTA override,STEP04 classification PRESERVE; no new semantic propagation required.,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,M01/M03/M11/M12,Recon → STEP02/STEP01 authority/provenance → STEP03 Core mapping → STEP04 classification → STEP05 resolution where RECONCILE → STEP06 additive merge,RETAINED,239e06d97698eb97c4e362b1b9ecf25f064fbe8e665e2f9e328d00e6d339a090,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,YES,NO,YES,YES,YES,PASS
STEP06-P-020,M02-CI-006,M02,PRESERVE,CAM11-0034,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,## 7.4 FR-M02-004 — Review,CORE FUNCTIONAL CONTRACT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,PRESERVE_EXISTING_CORE_DETAIL,Review Create — OWN,STEP04 classification PRESERVE; no new semantic propagation required.,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,M01/M03/M11/M12,Recon → STEP02/STEP01 authority/provenance → STEP03 Core mapping → STEP04 classification → STEP05 resolution where RECONCILE → STEP06 additive merge,RETAINED,d7e9a7b5c761d51495e77f73824f903ca057e602c204c79284a2ae70c522072e,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,YES,NO,YES,YES,YES,PASS
STEP06-P-021,M02-CI-007,M02,PRESERVE,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,# RUMAHAGEN — W4-02A.6.30,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,PRESERVE_EXISTING_CORE_DETAIL,Review View,STEP04 classification PRESERVE; no new semantic propagation required.,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,M01/M03/M11/M12,Recon → STEP02/STEP01 authority/provenance → STEP03 Core mapping → STEP04 classification → STEP05 resolution where RECONCILE → STEP06 additive merge,RETAINED,239e06d97698eb97c4e362b1b9ecf25f064fbe8e665e2f9e328d00e6d339a090,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,YES,NO,YES,YES,YES,PASS
STEP06-P-022,M02-CI-008,M02,RECONCILE,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,# RUMAHAGEN — W4-02A.6.30,CORE ENGINEERING ALIGNMENT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,APPLY_STEP05_RESOLUTION,"Buyer Submit → AUTO-APPROVED → Published/Viewable; Agent Self-Review → AUTO-APPROVED → Published/Viewable; Admin moderation is post-publication, not approval gate.",STEP05 FINAL v1.1 resolved M02-CI-008; exact reconciliation scope applied without global deletion/replacement.,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,M01/M03/M11/M12,Recon → STEP02/STEP01 authority/provenance → STEP03 Core mapping → STEP04 classification → STEP05 resolution where RECONCILE → STEP06 additive merge,ABSORBED,239e06d97698eb97c4e362b1b9ecf25f064fbe8e665e2f9e328d00e6d339a090,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,YES,YES,YES,YES,YES,PASS
STEP06-P-023,M02-CI-009,M02,ADD-NEW,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,"# developer-projects, calculator (dbr), notifications, rbac, seo",CORE ARCHITECTURE,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,ABSORB_NEW_CAPABILITY,Outcome Presentation — non-owning,STEP04 classification ADD-NEW; legitimate capability absent from mapped Core target.,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,M01/M03/M11/M12,Recon → STEP02/STEP01 authority/provenance → STEP03 Core mapping → STEP04 classification → STEP05 resolution where RECONCILE → STEP06 additive merge,ABSORBED,c1aa07968bb5bdfc9f9600dc48da804f65574f49da672282237ec90c4cc94884,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,YES,NO,YES,YES,YES,PASS
STEP06-P-024,M02-CI-010,M02,PRESERVE,CAM11-0035,15_TECHNICAL/W4-02A.6.19_TECHNICAL_SPECIFICATION_CURRENT_TECHNICAL_IMPLEMENTATION_CONTRACT_v2.1.md,## 21.3 Legal documents,CORE TECHNICAL CONTRACT AUTHORITY,01_GOVERNANCE/W4-02A.1_GOVERNANCE_CONSOLIDATION_FINAL_DECISION_AUTHORITY_v1.0.docx,PRESERVE_EXISTING_CORE_DETAIL,Private Identity / Legal / Verification boundary,STEP04 classification PRESERVE; no new semantic propagation required.,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,M01/M03/M11/M12,Recon → STEP02/STEP01 authority/provenance → STEP03 Core mapping → STEP04 classification → STEP05 resolution where RECONCILE → STEP06 additive merge,RETAINED,2ac01b6961b6ab97d26ee8c314aaf06101af49cb746c4069147559fb8002b29c,WF03-03-02_M02_FULL_SEMANTIC_REBUILD_v1.1.md,YES,NO,YES,YES,YES,PASS
