finding_id,module,classification,core_artifact_id,core_path,identity_basis,semantic_identity_key,exact_duplicate_key_count,duplicate_semantic_identity_detected,canonical_merge_unit,merge_behavior,source_detail_deleted,canonical_duplicate_created,related_detail_merged,result
M01-CI-001,M01,PRESERVE,CAM11-0034,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0034|M01|useridentityviewupdate,1,NO,CANON-CAM11-0034,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
M01-CI-012,M01,PRESERVE,CAM11-0045,23_M01_M07/W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1_EXTRACTED/RUMAHAGEN_W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1/M01_PHYSICAL_EXECUTION_SPEC_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0045|M01|physicalruntimeseparation,1,NO,CANON-CAM11-0045,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
M01-CI-013,M01,CONTROLLED,CAM11-0011,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0011|M01|m01physicalruntimestatus,1,NO,CANON-CAM11-0011,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
M01-CI-014,M01,NO-PROPAGATION,CAM11-0011,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0011|M01|m01publicprofileauthority,1,NO,CANON-CAM11-0011,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
M02-CI-001,M02,PRESERVE,CAM11-0040,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0040|M02|agentprofileview,1,NO,CANON-CAM11-0040,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
M02-CI-002,M02,PRESERVE,CAM11-0034,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0034|M02|agentprofileupdate,1,NO,CANON-CAM11-0034,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
M02-CI-003,M02,PRESERVE,CAM11-0066,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0066|M02|profilevisibilitypublicprivate,1,NO,CANON-CAM11-0066,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
M02-CI-004,M02,PRESERVE,CAM11-0037,17_SEO_ANALYTICS/W4-02A.6.21_SEO_ANALYTICS_SPECIFICATION_DISCOVERY_MEASUREMENT_BASELINE_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0037|M02|publicctaexplicitoptin,1,NO,CANON-CAM11-0037,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
M02-CI-005,M02,PRESERVE,CAM11-0066,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0066|M02|superadminvisibilityctaoverride,1,NO,CANON-CAM11-0066,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
M02-CI-006,M02,PRESERVE,CAM11-0034,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0034|M02|reviewcreateown,1,NO,CANON-CAM11-0034,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
M02-CI-007,M02,PRESERVE,CAM11-0066,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0066|M02|reviewview,1,NO,CANON-CAM11-0066,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
M02-CI-008,M02,RECONCILE,CAM11-0066,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0066|M02|buyersubmitautoapprovedpublishedviewableagentselfreviewautoapprovedpublishedviewableadminmoderationispostpublicationnotapprovalgate,1,NO,CANON-CAM11-0066,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,YES,PASS
M02-CI-009,M02,ADD-NEW,CAM11-0011,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0011|M02|outcomepresentationnonowning,1,NO,CANON-CAM11-0011,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,YES,PASS
M02-CI-010,M02,PRESERVE,CAM11-0035,15_TECHNICAL/W4-02A.6.19_TECHNICAL_SPECIFICATION_CURRENT_TECHNICAL_IMPLEMENTATION_CONTRACT_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0035|M02|privateidentitylegalverificationboundary,1,NO,CANON-CAM11-0035,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
M02-CI-011,M02,RECONCILE,CAM11-0034,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0034|M02|ktpmaybedeferredotpverifiedaccountactiveisinantiktpdeferrednotprovidednopendingreviewactivationgate,1,NO,CANON-CAM11-0034,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,YES,PASS
M02-CI-012,M02,PRESERVE,CAM11-0066,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0066|M02|m02m01identityboundary,1,NO,CANON-CAM11-0066,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
M02-CI-013,M02,PRESERVE,CAM11-0066,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0066|M02|m02m03listingboundary,1,NO,CANON-CAM11-0066,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
M02-CI-014,M02,PRESERVE,CAM11-0066,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0066|M02|m02m10authorizationboundary,1,NO,CANON-CAM11-0066,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
M02-CI-015,M02,PRESERVE,CAM11-0046,23_M01_M07/W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1_EXTRACTED/RUMAHAGEN_W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1/M02_PHYSICAL_EXECUTION_SPEC_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0046|M02|physicalruntimeseparation,1,NO,CANON-CAM11-0046,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
M02-CI-016,M02,CONTROLLED,CAM11-0011,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0011|M02|m02physicalruntimestatus,1,NO,CANON-CAM11-0011,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
M02-CI-017,M02,NO-PROPAGATION,CAM11-0011,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0011|M02|outcomeupstreamauthority,1,NO,CANON-CAM11-0011,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
M03-CI-001,M03,RECONCILE,CAM11-0040,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0040|M03|normallistingpublicationdraftpublishpublishednoadminapprovalgatesuspendedisenforcementnotpublicationapproval,1,NO,CANON-CAM11-0040,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,YES,PASS
M03-CI-002,M03,PRESERVE,CAM11-0040,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0040|M03|suspensionviolationenforcement,1,NO,CANON-CAM11-0040,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
M03-CI-003,M03,PRESERVE,CAM11-0037,17_SEO_ANALYTICS/W4-02A.6.21_SEO_ANALYTICS_SPECIFICATION_DISCOVERY_MEASUREMENT_BASELINE_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0037|M03|soldrentedsearchexclusionandprofilecount,1,NO,CANON-CAM11-0037,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
M03-CI-004,M03,PRESERVE,CAM11-0040,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0040|M03|owneronlylistingedit,1,NO,CANON-CAM11-0040,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
M03-CI-005,M03,PRESERVE,CAM11-0037,17_SEO_ANALYTICS/W4-02A.6.21_SEO_ANALYTICS_SPECIFICATION_DISCOVERY_MEASUREMENT_BASELINE_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0037|M03|fourfieldpostpublishlocks,1,NO,CANON-CAM11-0037,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
M03-CI-006,M03,ADD-NEW,CAM11-0067,27_AI_BLUEPRINT/W4-02A.6.31_AI_DEVELOPMENT_BLUEPRINT_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0067|M03|refreshdailyquotadefault5,1,NO,CANON-CAM11-0067,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,YES,PASS
M03-CI-007,M03,PRESERVE,CAM11-0066,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0066|M03|refreshsuperadminconfiguration,1,NO,CANON-CAM11-0066,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
M03-CI-008,M03,PRESERVE,CAM11-0066,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0066|M03|refreshnocarryforward,1,NO,CANON-CAM11-0066,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
M03-CI-009,M03,ADD-NEW,CAM11-0011,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0011|M03|refreshasiajakartareset,1,NO,CANON-CAM11-0011,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,YES,PASS
M03-CI-010,M03,ADD-NEW,CAM11-0011,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0011|M03|onesuccessfulrefreshperlistingday,1,NO,CANON-CAM11-0011,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,YES,PASS
M03-CI-011,M03,ADD-NEW,CAM11-0011,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0011|M03|districtlocalrefreshrepositioning,1,NO,CANON-CAM11-0011,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,YES,PASS
M03-CI-012,M03,ADD-NEW,CAM11-0011,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0011|M03|refreshtiebreakfirstrecorded,1,NO,CANON-CAM11-0011,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,YES,PASS
M03-CI-013,M03,PRESERVE,CAM11-0039,19_IMPLEMENTATION_STRATEGY/W4-02A.6.23_MODULE_IMPLEMENTATION_STRATEGY_INTEGRATED_IMPLEMENTATION_SEQUENCING_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0039|M03|refreshserverauthoritativetimestamp,1,NO,CANON-CAM11-0039,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
M03-CI-014,M03,ADD-NEW,CAM11-0067,27_AI_BLUEPRINT/W4-02A.6.31_AI_DEVELOPMENT_BLUEPRINT_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0067|M03|mediaderivativethumbnails,1,NO,CANON-CAM11-0067,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,YES,PASS
M03-CI-015,M03,ADD-NEW,CAM11-0011,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0011|M03|medianostretching,1,NO,CANON-CAM11-0011,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,YES,PASS
M03-CI-016,M03,ADD-NEW,CAM11-0011,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0011|M03|listinggeographicbinding,1,NO,CANON-CAM11-0011,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,YES,PASS
M03-CI-017,M03,PRESERVE,CAM11-0066,26_ENGINEERING_ALIGNMENT/W4-02A.6.30_ENGINEERING_ALIGNMENT_GUIDEBOOK_PLAYBOOK_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0066|M03|auditprovenance,1,NO,CANON-CAM11-0066,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
M03-CI-018,M03,ADD-NEW,CAM11-0032,12_API/W4-02A.6.16_API_SPECIFICATION_CURRENT_API_CONTRACT_BASELINE_FULL_CONSOLIDATED_v2.1.docx,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0032|M03|apirefresh,1,NO,CANON-CAM11-0032,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,YES,PASS
M03-CI-019,M03,PRESERVE,CAM11-0047,23_M01_M07/W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1_EXTRACTED/RUMAHAGEN_W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1/M03_PHYSICAL_EXECUTION_SPEC_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0047|M03|physicalruntimeseparation,1,NO,CANON-CAM11-0047,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
M03-CI-020,M03,NO-PROPAGATION,CAM11-0011,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0011|M03|refreshdoesnotcreateregionalquota,1,NO,CANON-CAM11-0011,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
M03-CI-021,M03,CONTROLLED,CAM11-0067,27_AI_BLUEPRINT/W4-02A.6.31_AI_DEVELOPMENT_BLUEPRINT_v2.1.md,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0067|M03|m03physicalruntimeclaims,1,NO,CANON-CAM11-0067,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
M04-CI-001,M04,PRESERVE,CAM11-0011,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0011|M04|learningactivitycompletion,1,NO,CANON-CAM11-0011,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
M04-CI-002,M04,PRESERVE,CAM11-0011,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0011|M04|learningsession,1,NO,CANON-CAM11-0011,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
M04-CI-003,M04,PRESERVE,CAM11-0011,04_ARCHITECTURE/W4-02A.6.5_SYSTEM_ARCHITECTURE_FULL_CONSOLIDATED_v1.8.docx,Core target + module authority + normalized semantic delta; related deltas consolidated under one target semantic surface,CAM11-0011|M04|sessionenrollment,1,NO,CANON-CAM11-0011,ONE_CANONICAL_REPRESENTATION; SOURCE_DETAIL_RETAINED_WITH_COMBINED_PROVENANCE,NO,NO,N/A,PASS
