artifact_id,core_path,layer,artifact_level,authority_owner,baseline_size_bytes,baseline_sha256,observed_size_bytes,observed_sha256,baseline_match,core_detail_status,special_control,semantic_atom_count
CAM11-0024,11_DATABASE_SCHEMA/W4-01E_FINAL_BUILD_FROM_ZERO_SCHEMA_PACKAGE_v2.6_EXTRACTED/RUMAHAGEN_W4-01E_FINAL_SCHEMA_CLOSURE_AND_FREEZE_v2.6.md,11_DATABASE_SCHEMA,CORE_NESTED_ARTIFACT,W4-01E / W4-02 PHYSICAL AUTHORITY,1337,03062a3e327d0c069d8a66f3c07254c13cd8c40931a8d8630a366d7345aaafa2,1337,03062a3e327d0c069d8a66f3c07254c13cd8c40931a8d8630a366d7345aaafa2,YES,RETAINED_IMMUTABLE,,39
CAM11-0025,11_DATABASE_SCHEMA/W4-01E_FINAL_BUILD_FROM_ZERO_SCHEMA_PACKAGE_v2.6_EXTRACTED/RUMAHAGEN_W4-01E_GATE_CLOSURE_REGISTER_v2.6.csv,11_DATABASE_SCHEMA,CORE_NESTED_ARTIFACT,W4-01E / W4-02 PHYSICAL AUTHORITY,1080,1760c5af3922dc7e2ae205951ad5b559611172059427cac479a5b20cef0b391b,1080,1760c5af3922dc7e2ae205951ad5b559611172059427cac479a5b20cef0b391b,YES,RETAINED_IMMUTABLE,,13
CAM11-0026,11_DATABASE_SCHEMA/W4-02A.6.15_DATABASE_SCHEMA_CURRENT_PHYSICAL_SCHEMA_REFERENCE_FULL_CONSOLIDATED_v2.7.docx,11_DATABASE_SCHEMA,CORE_SOURCE_PACK_MEMBER,W4-01E / W4-02 PHYSICAL AUTHORITY,74525,91d9d78bc4d0818bca5802f0315f3d1146d0a32a9645646607418708745f79b9,74525,91d9d78bc4d0818bca5802f0315f3d1146d0a32a9645646607418708745f79b9,YES,RETAINED_IMMUTABLE,,2344
CAM11-0027,11_DATABASE_SCHEMA/W4-02_CANONICAL_BUILD_FROM_ZERO_MIGRATION_PACKAGE_v1.0.zip,11_DATABASE_SCHEMA,CORE_SOURCE_PACK_MEMBER,W4-01E / W4-02 PHYSICAL AUTHORITY,19788,e4ee433128935fae30bfd64d05c3f37d426bafd012ed24842912c1354a8d2df0,19788,e4ee433128935fae30bfd64d05c3f37d426bafd012ed24842912c1354a8d2df0,YES,RETAINED_IMMUTABLE,,489
CAM11-0028,11_DATABASE_SCHEMA/W4-02_CANONICAL_BUILD_FROM_ZERO_MIGRATION_PACKAGE_v1.0_EXTRACTED/RUMAHAGEN_W4-02_CANONICAL_86_TABLE_REGISTER_v1.0.csv,11_DATABASE_SCHEMA,CORE_NESTED_ARTIFACT,W4-01E / W4-02 PHYSICAL AUTHORITY,6480,0dcbfeb80dbf83e876cea932e0a90b415bda4f21d620695854729b134f43d83f,6480,0dcbfeb80dbf83e876cea932e0a90b415bda4f21d620695854729b134f43d83f,YES,RETAINED_IMMUTABLE,,87
CAM11-0029,11_DATABASE_SCHEMA/W4-02_CANONICAL_BUILD_FROM_ZERO_MIGRATION_PACKAGE_v1.0_EXTRACTED/RUMAHAGEN_W4-02_CANONICAL_BUILD_FROM_ZERO_MIGRATION_BASELINE_v1.0.sql,11_DATABASE_SCHEMA,CORE_NESTED_ARTIFACT,W4-01E / W4-02 PHYSICAL AUTHORITY,113290,51be1733302566feed6c193c89418ef5038441a5968c0717b6be9eb9fdb32fa6,113290,51be1733302566feed6c193c89418ef5038441a5968c0717b6be9eb9fdb32fa6,YES,RETAINED_IMMUTABLE,,2053
CAM11-0030,11_DATABASE_SCHEMA/W4-02_CANONICAL_BUILD_FROM_ZERO_MIGRATION_PACKAGE_v1.0_EXTRACTED/RUMAHAGEN_W4-02_CANONICAL_MIGRATION_BASELINE_v1.0.md,11_DATABASE_SCHEMA,CORE_NESTED_ARTIFACT,W4-01E / W4-02 PHYSICAL AUTHORITY,1337,03062a3e327d0c069d8a66f3c07254c13cd8c40931a8d8630a366d7345aaafa2,1337,03062a3e327d0c069d8a66f3c07254c13cd8c40931a8d8630a366d7345aaafa2,YES,RETAINED_IMMUTABLE,,39
CAM11-0031,11_DATABASE_SCHEMA/W4-02_CANONICAL_BUILD_FROM_ZERO_MIGRATION_PACKAGE_v1.0_EXTRACTED/RUMAHAGEN_W4-02_EXECUTION_PHASE_REGISTER_v1.0.csv,11_DATABASE_SCHEMA,CORE_NESTED_ARTIFACT,W4-01E / W4-02 PHYSICAL AUTHORITY,816,8063d32ad50ead75a367f7fbf85cf047811df3c6f22beb1d2097de6042716f60,816,8063d32ad50ead75a367f7fbf85cf047811df3c6f22beb1d2097de6042716f60,YES,RETAINED_IMMUTABLE,,12
CAM11-0032,12_API/W4-02A.6.16_API_SPECIFICATION_CURRENT_API_CONTRACT_BASELINE_FULL_CONSOLIDATED_v2.1.docx,12_API,CORE_SOURCE_PACK_MEMBER,CORE API CONTRACT AUTHORITY,65180,fbfc539044ed2b7037ebee6ed5d5065c4e14efbd042a4928b107c02c210277d1,65180,fbfc539044ed2b7037ebee6ed5d5065c4e14efbd042a4928b107c02c210277d1,YES,RETAINED_IMMUTABLE,,1371
CAM11-0033,13_RBAC_RLS/W4-02A.6.17_RBAC_PERMISSION_RLS_CURRENT_AUTHORIZATION_BASELINE_FULL_CONSOLIDATED_v2.1.docx,13_RBAC_RLS,CORE_SOURCE_PACK_MEMBER,M10 AUTHORIZATION AUTHORITY,53047,cd5067a3a2cb8e0104e94fbea78ab64a30e19ed28230aef5889baa5021784a0a,53047,cd5067a3a2cb8e0104e94fbea78ab64a30e19ed28230aef5889baa5021784a0a,YES,RETAINED_IMMUTABLE,,491
CAM11-0034,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,14_FUNCTIONAL,CORE_SOURCE_PACK_MEMBER,CORE FUNCTIONAL CONTRACT AUTHORITY,60334,d7e9a7b5c761d51495e77f73824f903ca057e602c204c79284a2ae70c522072e,60334,d7e9a7b5c761d51495e77f73824f903ca057e602c204c79284a2ae70c522072e,YES,RETAINED_IMMUTABLE,,1703
CAM11-0035,15_TECHNICAL/W4-02A.6.19_TECHNICAL_SPECIFICATION_CURRENT_TECHNICAL_IMPLEMENTATION_CONTRACT_v2.1.md,15_TECHNICAL,CORE_SOURCE_PACK_MEMBER,CORE TECHNICAL CONTRACT AUTHORITY,69175,2ac01b6961b6ab97d26ee8c314aaf06101af49cb746c4069147559fb8002b29c,69175,2ac01b6961b6ab97d26ee8c314aaf06101af49cb746c4069147559fb8002b29c,YES,RETAINED_IMMUTABLE,,2160
CAM11-0036,16_UI_UX/W4-02A.6.20_UI_UX_SPECIFICATION_CURRENT_INTERFACE_BEHAVIOR_CONTRACT_v2.1.md,16_UI_UX,CORE_SOURCE_PACK_MEMBER,CORE INTERFACE BEHAVIOR AUTHORITY,62858,c2388d37bbcf910316d0d9c257c1f346a99fc0349b2c1086d8e3154a2a32a8d7,62858,c2388d37bbcf910316d0d9c257c1f346a99fc0349b2c1086d8e3154a2a32a8d7,YES,RETAINED_IMMUTABLE,,2269
CAM11-0037,17_SEO_ANALYTICS/W4-02A.6.21_SEO_ANALYTICS_SPECIFICATION_DISCOVERY_MEASUREMENT_BASELINE_v2.1.md,17_SEO_ANALYTICS,CORE_SOURCE_PACK_MEMBER,M11 PUBLIC DISCOVERY / SEO / MEASUREMENT AUTHORITY,68505,be0af1e745ac3d19a65abb90beff833941b1d1fb5a4fd1233c681a84023e75de,68505,be0af1e745ac3d19a65abb90beff833941b1d1fb5a4fd1233c681a84023e75de,YES,RETAINED_IMMUTABLE,,1701
CAM11-0038,18_MODULE_DEPENDENCY/W4-02A.6.22_MODULE_DEPENDENCY_MATRIX_CROSS_MODULE_DEPENDENCY_CONTRACT_v2.1.md,18_MODULE_DEPENDENCY,CORE_SOURCE_PACK_MEMBER,CORE CROSS-MODULE DEPENDENCY CONTRACT,49622,30a5c406428ad0e2e377e2803a77d16c0d9cac0f7f6c1249dadb89d1360bc9e3,49622,30a5c406428ad0e2e377e2803a77d16c0d9cac0f7f6c1249dadb89d1360bc9e3,YES,RETAINED_IMMUTABLE,,1448
CAM11-0039,19_IMPLEMENTATION_STRATEGY/W4-02A.6.23_MODULE_IMPLEMENTATION_STRATEGY_INTEGRATED_IMPLEMENTATION_SEQUENCING_v2.1.md,19_IMPLEMENTATION_STRATEGY,CORE_SOURCE_PACK_MEMBER,CORE IMPLEMENTATION STRATEGY AUTHORITY,56613,051aa36f9444153d1d56df6d960bd80d91922f3c1f84c02d636dc111dd20d47f,56613,051aa36f9444153d1d56df6d960bd80d91922f3c1f84c02d636dc111dd20d47f,YES,RETAINED_IMMUTABLE,,2328
CAM11-0040,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,20_MODULE_PLANNING,CORE_SOURCE_PACK_MEMBER,CORE MODULE PLANNING AUTHORITY,55040,7373552ff7f43e2822f7819b2101ec0df7bc1acee60e8b92dc866f330203d7be,55040,7373552ff7f43e2822f7819b2101ec0df7bc1acee60e8b92dc866f330203d7be,YES,RETAINED_IMMUTABLE,,2268
CAM11-0041,21_EXECUTION_SPECIFICATION/W4-02A.6.25_MODULE_EXECUTION_SPECIFICATION_ARCHITECTURE_v2.1.md,21_EXECUTION_SPECIFICATION,CORE_SOURCE_PACK_MEMBER,CORE EXECUTION SPECIFICATION AUTHORITY,46464,8e82d6f1308995ba163d0c2c49786c8b8999d7c2e6b4388e07661678ffa095a3,46464,8e82d6f1308995ba163d0c2c49786c8b8999d7c2e6b4388e07661678ffa095a3,YES,RETAINED_IMMUTABLE,,1836
CAM11-0042,22_EXECUTION_BATCH/W4-02A.6.26_MODULE_EXECUTION_DEPENDENCY_BATCH_PLAN_v2.1.md,22_EXECUTION_BATCH,CORE_SOURCE_PACK_MEMBER,CORE EXECUTION BATCH AUTHORITY,40666,316a5cb6d2f71910f078d8b905a4b14024e3186361fa14cfaa9fa921e882d097,40666,316a5cb6d2f71910f078d8b905a4b14024e3186361fa14cfaa9fa921e882d097,YES,RETAINED_IMMUTABLE,,1530
CAM11-0043,23_M01_M07/W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1.md,23_M01_M07,CORE_SOURCE_PACK_MEMBER,M01–M07 EXECUTION CONTEXT; MODULE AUTHORITIES REMAIN SEMANTIC AUTHORITY,12149,ffdcb89752116a428d687955f911c8769cdd4828096a2f8ec60ff28c75abe543,12149,ffdcb89752116a428d687955f911c8769cdd4828096a2f8ec60ff28c75abe543,YES,RETAINED_IMMUTABLE,,242
CAM11-0044,23_M01_M07/W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1.zip,23_M01_M07,CORE_SOURCE_PACK_MEMBER,M01–M07 EXECUTION CONTEXT; MODULE AUTHORITIES REMAIN SEMANTIC AUTHORITY,32254,0d3b2ec0515b08e1977ffe9187a108f2a7483ba7f5a6d8da51b1ee0b951967fc,32254,0d3b2ec0515b08e1977ffe9187a108f2a7483ba7f5a6d8da51b1ee0b951967fc,YES,RETAINED_IMMUTABLE,,755
CAM11-0045,23_M01_M07/W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1_EXTRACTED/RUMAHAGEN_W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1/M01_PHYSICAL_EXECUTION_SPEC_v2.1.md,23_M01_M07,CORE_NESTED_ARTIFACT,M01–M07 EXECUTION CONTEXT; MODULE AUTHORITIES REMAIN SEMANTIC AUTHORITY,8933,db988febf9ef1ed6f6746177260d8fab50b5fbb93827afb708de163dd484a3ff,8933,db988febf9ef1ed6f6746177260d8fab50b5fbb93827afb708de163dd484a3ff,YES,RETAINED_IMMUTABLE,,150
CAM11-0046,23_M01_M07/W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1_EXTRACTED/RUMAHAGEN_W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1/M02_PHYSICAL_EXECUTION_SPEC_v2.1.md,23_M01_M07,CORE_NESTED_ARTIFACT,M01–M07 EXECUTION CONTEXT; MODULE AUTHORITIES REMAIN SEMANTIC AUTHORITY,8656,062a76a24169a2115713a3db29c2b992fffab6482814c891285939c6c3cc9826,8656,062a76a24169a2115713a3db29c2b992fffab6482814c891285939c6c3cc9826,YES,RETAINED_IMMUTABLE,,149
CAM11-0047,23_M01_M07/W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1_EXTRACTED/RUMAHAGEN_W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1/M03_PHYSICAL_EXECUTION_SPEC_v2.1.md,23_M01_M07,CORE_NESTED_ARTIFACT,M01–M07 EXECUTION CONTEXT; MODULE AUTHORITIES REMAIN SEMANTIC AUTHORITY,9445,e8e6797c1859277ab0b9506c6932f6748d38172bf3a0e553faef0249757ff7ae,9445,e8e6797c1859277ab0b9506c6932f6748d38172bf3a0e553faef0249757ff7ae,YES,RETAINED_IMMUTABLE,,164
CAM11-0048,23_M01_M07/W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1_EXTRACTED/RUMAHAGEN_W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1/M04-S_LEARNING_SESSION_EXECUTION_SPEC_v2.1.md,23_M01_M07,CORE_NESTED_ARTIFACT,M01–M07 EXECUTION CONTEXT; MODULE AUTHORITIES REMAIN SEMANTIC AUTHORITY,2717,ac6d797bc39eccdbb1a886c0f6a7f7e6c68b2d995076d3573b64e78a5668b519,2717,ac6d797bc39eccdbb1a886c0f6a7f7e6c68b2d995076d3573b64e78a5668b519,YES,RETAINED_IMMUTABLE,,51
CAM11-0049,23_M01_M07/W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1_EXTRACTED/RUMAHAGEN_W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1/M04_PHYSICAL_EXECUTION_SPEC_v2.1.md,23_M01_M07,CORE_NESTED_ARTIFACT,M01–M07 EXECUTION CONTEXT; MODULE AUTHORITIES REMAIN SEMANTIC AUTHORITY,9572,e53738d64585fabb71fa572ae11d90722723c1882890ba4b0ba8338eadeb1ecd,9572,e53738d64585fabb71fa572ae11d90722723c1882890ba4b0ba8338eadeb1ecd,YES,RETAINED_IMMUTABLE,,167
CAM11-0050,23_M01_M07/W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1_EXTRACTED/RUMAHAGEN_W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1/M05_PHYSICAL_EXECUTION_SPEC_v2.1.md,23_M01_M07,CORE_NESTED_ARTIFACT,M01–M07 EXECUTION CONTEXT; MODULE AUTHORITIES REMAIN SEMANTIC AUTHORITY,8391,7315bc7f2937c652967141dddbe1d3e151a0c9835ad21b2bdf4895f3bdb5b513,8391,7315bc7f2937c652967141dddbe1d3e151a0c9835ad21b2bdf4895f3bdb5b513,YES,RETAINED_IMMUTABLE,,152
CAM11-0051,23_M01_M07/W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1_EXTRACTED/RUMAHAGEN_W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1/M06_PHYSICAL_EXECUTION_SPEC_v2.1.md,23_M01_M07,CORE_NESTED_ARTIFACT,M01–M07 EXECUTION CONTEXT; MODULE AUTHORITIES REMAIN SEMANTIC AUTHORITY,8388,9337b8ca83b7309dfd57a31a904391d46c21888f6ee1fde93bbaefd7bc89dc3b,8388,9337b8ca83b7309dfd57a31a904391d46c21888f6ee1fde93bbaefd7bc89dc3b,YES,RETAINED_IMMUTABLE,,155
