artifact_id,core_path,artifact_level,baseline_sha256,observed_sha256,baseline_size_bytes,observed_size_bytes,file_preservation,semantic_detail_preservation,replacement_operation,deletion_operation,content_loss_detected,special_control,result
CAM11-0019,11_DATABASE_SCHEMA/RUMAHAGEN_FULL_DATABASE_SCHEMA_SOURCE_ONLY_PACKAGE_v1.0_EXTRACTED/RUMAHAGEN_FULL_DATABASE_SCHEMA_SOURCE_ONLY_v1.0.md,CORE_NESTED_ARTIFACT,f00f28aed28f98f361117daf8b9fd06c40a3602d0b3ab3339a6d47228211ed51,f00f28aed28f98f361117daf8b9fd06c40a3602d0b3ab3339a6d47228211ed51,5307,5307,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0020,11_DATABASE_SCHEMA/RUMAHAGEN_FULL_DATABASE_SCHEMA_SOURCE_ONLY_PACKAGE_v1.0_EXTRACTED/RUMAHAGEN_FULL_DATABASE_SCHEMA_SOURCE_ONLY_v1.0.sql,CORE_NESTED_ARTIFACT,0efce0e6e9074732735ee71da69575c3df9a7fba58961b4d3921480cbbd71e26,0efce0e6e9074732735ee71da69575c3df9a7fba58961b4d3921480cbbd71e26,104518,104518,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0021,11_DATABASE_SCHEMA/W4-01E_FINAL_BUILD_FROM_ZERO_SCHEMA_PACKAGE_v2.6.zip,CORE_SOURCE_PACK_MEMBER,6d4c04df87e2d52e2b2787f4f558456e20394c61a3a81e283938a11f830dfe1a,6d4c04df87e2d52e2b2787f4f558456e20394c61a3a81e283938a11f830dfe1a,18571,18571,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0022,11_DATABASE_SCHEMA/W4-01E_FINAL_BUILD_FROM_ZERO_SCHEMA_PACKAGE_v2.6_EXTRACTED/RUMAHAGEN_W4-01E_FINAL_CANONICAL_BUILD_FROM_ZERO_DATABASE_SCHEMA_v2.6.sql,CORE_NESTED_ARTIFACT,73bc0e2803d1e27160cb9fc8ad61b013b079c50a67b8f1f6e6f5432b4a1c9531,73bc0e2803d1e27160cb9fc8ad61b013b079c50a67b8f1f6e6f5432b4a1c9531,106605,106605,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0023,11_DATABASE_SCHEMA/W4-01E_FINAL_BUILD_FROM_ZERO_SCHEMA_PACKAGE_v2.6_EXTRACTED/RUMAHAGEN_W4-01E_FINAL_CANONICAL_TABLE_REGISTER_v2.6.csv,CORE_NESTED_ARTIFACT,d3c8386f3cb4a694c51833b50a1114c102f0bfad1e8bf62e188075c463a6308d,d3c8386f3cb4a694c51833b50a1114c102f0bfad1e8bf62e188075c463a6308d,8023,8023,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0024,11_DATABASE_SCHEMA/W4-01E_FINAL_BUILD_FROM_ZERO_SCHEMA_PACKAGE_v2.6_EXTRACTED/RUMAHAGEN_W4-01E_FINAL_SCHEMA_CLOSURE_AND_FREEZE_v2.6.md,CORE_NESTED_ARTIFACT,03062a3e327d0c069d8a66f3c07254c13cd8c40931a8d8630a366d7345aaafa2,03062a3e327d0c069d8a66f3c07254c13cd8c40931a8d8630a366d7345aaafa2,1337,1337,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0025,11_DATABASE_SCHEMA/W4-01E_FINAL_BUILD_FROM_ZERO_SCHEMA_PACKAGE_v2.6_EXTRACTED/RUMAHAGEN_W4-01E_GATE_CLOSURE_REGISTER_v2.6.csv,CORE_NESTED_ARTIFACT,1760c5af3922dc7e2ae205951ad5b559611172059427cac479a5b20cef0b391b,1760c5af3922dc7e2ae205951ad5b559611172059427cac479a5b20cef0b391b,1080,1080,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0026,11_DATABASE_SCHEMA/W4-02A.6.15_DATABASE_SCHEMA_CURRENT_PHYSICAL_SCHEMA_REFERENCE_FULL_CONSOLIDATED_v2.7.docx,CORE_SOURCE_PACK_MEMBER,91d9d78bc4d0818bca5802f0315f3d1146d0a32a9645646607418708745f79b9,91d9d78bc4d0818bca5802f0315f3d1146d0a32a9645646607418708745f79b9,74525,74525,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0027,11_DATABASE_SCHEMA/W4-02_CANONICAL_BUILD_FROM_ZERO_MIGRATION_PACKAGE_v1.0.zip,CORE_SOURCE_PACK_MEMBER,e4ee433128935fae30bfd64d05c3f37d426bafd012ed24842912c1354a8d2df0,e4ee433128935fae30bfd64d05c3f37d426bafd012ed24842912c1354a8d2df0,19788,19788,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0028,11_DATABASE_SCHEMA/W4-02_CANONICAL_BUILD_FROM_ZERO_MIGRATION_PACKAGE_v1.0_EXTRACTED/RUMAHAGEN_W4-02_CANONICAL_86_TABLE_REGISTER_v1.0.csv,CORE_NESTED_ARTIFACT,0dcbfeb80dbf83e876cea932e0a90b415bda4f21d620695854729b134f43d83f,0dcbfeb80dbf83e876cea932e0a90b415bda4f21d620695854729b134f43d83f,6480,6480,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0029,11_DATABASE_SCHEMA/W4-02_CANONICAL_BUILD_FROM_ZERO_MIGRATION_PACKAGE_v1.0_EXTRACTED/RUMAHAGEN_W4-02_CANONICAL_BUILD_FROM_ZERO_MIGRATION_BASELINE_v1.0.sql,CORE_NESTED_ARTIFACT,51be1733302566feed6c193c89418ef5038441a5968c0717b6be9eb9fdb32fa6,51be1733302566feed6c193c89418ef5038441a5968c0717b6be9eb9fdb32fa6,113290,113290,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0030,11_DATABASE_SCHEMA/W4-02_CANONICAL_BUILD_FROM_ZERO_MIGRATION_PACKAGE_v1.0_EXTRACTED/RUMAHAGEN_W4-02_CANONICAL_MIGRATION_BASELINE_v1.0.md,CORE_NESTED_ARTIFACT,03062a3e327d0c069d8a66f3c07254c13cd8c40931a8d8630a366d7345aaafa2,03062a3e327d0c069d8a66f3c07254c13cd8c40931a8d8630a366d7345aaafa2,1337,1337,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0031,11_DATABASE_SCHEMA/W4-02_CANONICAL_BUILD_FROM_ZERO_MIGRATION_PACKAGE_v1.0_EXTRACTED/RUMAHAGEN_W4-02_EXECUTION_PHASE_REGISTER_v1.0.csv,CORE_NESTED_ARTIFACT,8063d32ad50ead75a367f7fbf85cf047811df3c6f22beb1d2097de6042716f60,8063d32ad50ead75a367f7fbf85cf047811df3c6f22beb1d2097de6042716f60,816,816,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0032,12_API/W4-02A.6.16_API_SPECIFICATION_CURRENT_API_CONTRACT_BASELINE_FULL_CONSOLIDATED_v2.1.docx,CORE_SOURCE_PACK_MEMBER,fbfc539044ed2b7037ebee6ed5d5065c4e14efbd042a4928b107c02c210277d1,fbfc539044ed2b7037ebee6ed5d5065c4e14efbd042a4928b107c02c210277d1,65180,65180,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0033,13_RBAC_RLS/W4-02A.6.17_RBAC_PERMISSION_RLS_CURRENT_AUTHORIZATION_BASELINE_FULL_CONSOLIDATED_v2.1.docx,CORE_SOURCE_PACK_MEMBER,cd5067a3a2cb8e0104e94fbea78ab64a30e19ed28230aef5889baa5021784a0a,cd5067a3a2cb8e0104e94fbea78ab64a30e19ed28230aef5889baa5021784a0a,53047,53047,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0034,14_FUNCTIONAL/W4-02A.6.18_FUNCTIONAL_SPECIFICATION_CURRENT_FUNCTIONAL_IMPLEMENTATION_CONTRACT_v2.1.md,CORE_SOURCE_PACK_MEMBER,d7e9a7b5c761d51495e77f73824f903ca057e602c204c79284a2ae70c522072e,d7e9a7b5c761d51495e77f73824f903ca057e602c204c79284a2ae70c522072e,60334,60334,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0035,15_TECHNICAL/W4-02A.6.19_TECHNICAL_SPECIFICATION_CURRENT_TECHNICAL_IMPLEMENTATION_CONTRACT_v2.1.md,CORE_SOURCE_PACK_MEMBER,2ac01b6961b6ab97d26ee8c314aaf06101af49cb746c4069147559fb8002b29c,2ac01b6961b6ab97d26ee8c314aaf06101af49cb746c4069147559fb8002b29c,69175,69175,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0036,16_UI_UX/W4-02A.6.20_UI_UX_SPECIFICATION_CURRENT_INTERFACE_BEHAVIOR_CONTRACT_v2.1.md,CORE_SOURCE_PACK_MEMBER,c2388d37bbcf910316d0d9c257c1f346a99fc0349b2c1086d8e3154a2a32a8d7,c2388d37bbcf910316d0d9c257c1f346a99fc0349b2c1086d8e3154a2a32a8d7,62858,62858,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0037,17_SEO_ANALYTICS/W4-02A.6.21_SEO_ANALYTICS_SPECIFICATION_DISCOVERY_MEASUREMENT_BASELINE_v2.1.md,CORE_SOURCE_PACK_MEMBER,be0af1e745ac3d19a65abb90beff833941b1d1fb5a4fd1233c681a84023e75de,be0af1e745ac3d19a65abb90beff833941b1d1fb5a4fd1233c681a84023e75de,68505,68505,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0038,18_MODULE_DEPENDENCY/W4-02A.6.22_MODULE_DEPENDENCY_MATRIX_CROSS_MODULE_DEPENDENCY_CONTRACT_v2.1.md,CORE_SOURCE_PACK_MEMBER,30a5c406428ad0e2e377e2803a77d16c0d9cac0f7f6c1249dadb89d1360bc9e3,30a5c406428ad0e2e377e2803a77d16c0d9cac0f7f6c1249dadb89d1360bc9e3,49622,49622,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0039,19_IMPLEMENTATION_STRATEGY/W4-02A.6.23_MODULE_IMPLEMENTATION_STRATEGY_INTEGRATED_IMPLEMENTATION_SEQUENCING_v2.1.md,CORE_SOURCE_PACK_MEMBER,051aa36f9444153d1d56df6d960bd80d91922f3c1f84c02d636dc111dd20d47f,051aa36f9444153d1d56df6d960bd80d91922f3c1f84c02d636dc111dd20d47f,56613,56613,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0040,20_MODULE_PLANNING/W4-02A.6.24_REVISED_MODULE_PLANNING_CURRENT_MODULE_DELIVERY_PLANNING_v2.1.md,CORE_SOURCE_PACK_MEMBER,7373552ff7f43e2822f7819b2101ec0df7bc1acee60e8b92dc866f330203d7be,7373552ff7f43e2822f7819b2101ec0df7bc1acee60e8b92dc866f330203d7be,55040,55040,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0041,21_EXECUTION_SPECIFICATION/W4-02A.6.25_MODULE_EXECUTION_SPECIFICATION_ARCHITECTURE_v2.1.md,CORE_SOURCE_PACK_MEMBER,8e82d6f1308995ba163d0c2c49786c8b8999d7c2e6b4388e07661678ffa095a3,8e82d6f1308995ba163d0c2c49786c8b8999d7c2e6b4388e07661678ffa095a3,46464,46464,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0042,22_EXECUTION_BATCH/W4-02A.6.26_MODULE_EXECUTION_DEPENDENCY_BATCH_PLAN_v2.1.md,CORE_SOURCE_PACK_MEMBER,316a5cb6d2f71910f078d8b905a4b14024e3186361fa14cfaa9fa921e882d097,316a5cb6d2f71910f078d8b905a4b14024e3186361fa14cfaa9fa921e882d097,40666,40666,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0043,23_M01_M07/W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1.md,CORE_SOURCE_PACK_MEMBER,ffdcb89752116a428d687955f911c8769cdd4828096a2f8ec60ff28c75abe543,ffdcb89752116a428d687955f911c8769cdd4828096a2f8ec60ff28c75abe543,12149,12149,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0044,23_M01_M07/W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1.zip,CORE_SOURCE_PACK_MEMBER,0d3b2ec0515b08e1977ffe9187a108f2a7483ba7f5a6d8da51b1ee0b951967fc,0d3b2ec0515b08e1977ffe9187a108f2a7483ba7f5a6d8da51b1ee0b951967fc,32254,32254,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0045,23_M01_M07/W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1_EXTRACTED/RUMAHAGEN_W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1/M01_PHYSICAL_EXECUTION_SPEC_v2.1.md,CORE_NESTED_ARTIFACT,db988febf9ef1ed6f6746177260d8fab50b5fbb93827afb708de163dd484a3ff,db988febf9ef1ed6f6746177260d8fab50b5fbb93827afb708de163dd484a3ff,8933,8933,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0046,23_M01_M07/W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1_EXTRACTED/RUMAHAGEN_W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1/M02_PHYSICAL_EXECUTION_SPEC_v2.1.md,CORE_NESTED_ARTIFACT,062a76a24169a2115713a3db29c2b992fffab6482814c891285939c6c3cc9826,062a76a24169a2115713a3db29c2b992fffab6482814c891285939c6c3cc9826,8656,8656,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0047,23_M01_M07/W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1_EXTRACTED/RUMAHAGEN_W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1/M03_PHYSICAL_EXECUTION_SPEC_v2.1.md,CORE_NESTED_ARTIFACT,e8e6797c1859277ab0b9506c6932f6748d38172bf3a0e553faef0249757ff7ae,e8e6797c1859277ab0b9506c6932f6748d38172bf3a0e553faef0249757ff7ae,9445,9445,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0048,23_M01_M07/W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1_EXTRACTED/RUMAHAGEN_W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1/M04-S_LEARNING_SESSION_EXECUTION_SPEC_v2.1.md,CORE_NESTED_ARTIFACT,ac6d797bc39eccdbb1a886c0f6a7f7e6c68b2d995076d3573b64e78a5668b519,ac6d797bc39eccdbb1a886c0f6a7f7e6c68b2d995076d3573b64e78a5668b519,2717,2717,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0049,23_M01_M07/W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1_EXTRACTED/RUMAHAGEN_W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1/M04_PHYSICAL_EXECUTION_SPEC_v2.1.md,CORE_NESTED_ARTIFACT,e53738d64585fabb71fa572ae11d90722723c1882890ba4b0ba8338eadeb1ecd,e53738d64585fabb71fa572ae11d90722723c1882890ba4b0ba8338eadeb1ecd,9572,9572,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0050,23_M01_M07/W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1_EXTRACTED/RUMAHAGEN_W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1/M05_PHYSICAL_EXECUTION_SPEC_v2.1.md,CORE_NESTED_ARTIFACT,7315bc7f2937c652967141dddbe1d3e151a0c9835ad21b2bdf4895f3bdb5b513,7315bc7f2937c652967141dddbe1d3e151a0c9835ad21b2bdf4895f3bdb5b513,8391,8391,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0051,23_M01_M07/W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1_EXTRACTED/RUMAHAGEN_W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1/M06_PHYSICAL_EXECUTION_SPEC_v2.1.md,CORE_NESTED_ARTIFACT,9337b8ca83b7309dfd57a31a904391d46c21888f6ee1fde93bbaefd7bc89dc3b,9337b8ca83b7309dfd57a31a904391d46c21888f6ee1fde93bbaefd7bc89dc3b,8388,8388,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0052,23_M01_M07/W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1_EXTRACTED/RUMAHAGEN_W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1/M07_PHYSICAL_EXECUTION_SPEC_v2.1.md,CORE_NESTED_ARTIFACT,662cf023986fc73f6684c928b3c4e00ba5e8e01b2ad07951945b5c9de67808e7,662cf023986fc73f6684c928b3c4e00ba5e8e01b2ad07951945b5c9de67808e7,8514,8514,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0053,23_M01_M07/W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1_EXTRACTED/RUMAHAGEN_W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1/RUMAHAGEN_W4-02A.6.27_FOCUSED_EXECUTION_PACK_M01-M07_v2.1.md,CORE_NESTED_ARTIFACT,ffdcb89752116a428d687955f911c8769cdd4828096a2f8ec60ff28c75abe543,ffdcb89752116a428d687955f911c8769cdd4828096a2f8ec60ff28c75abe543,12149,12149,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0054,24_M08_M15/W4-02A.6.28_FOCUSED_EXECUTION_PACK_M08-M15_v2.1.md,CORE_SOURCE_PACK_MEMBER,a6b879e6d81f1cbb6a3eade8caa71a950432d44488db21fe45b667cd9fa0fdb3,a6b879e6d81f1cbb6a3eade8caa71a950432d44488db21fe45b667cd9fa0fdb3,12958,12958,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
CAM11-0055,24_M08_M15/W4-02A.6.28_FOCUSED_EXECUTION_PACK_M08-M15_v2.1.zip,CORE_SOURCE_PACK_MEMBER,54c2560d7f247793f8b26ea8f2ee3128334432d748c09e97ab7be1f5558d3208,54c2560d7f247793f8b26ea8f2ee3128334432d748c09e97ab7be1f5558d3208,29640,29640,PASS,RETAINED_IN_CANDIDATE_LEDGER,NONE,NONE,NO,,PASS
