table,rls_enabled,policy_count,runtime_verification,source
learning_point_transactions,YES,1,NOT_CLAIMED,W4-02 canonical SQL
learning_session_assignments,YES,1,NOT_CLAIMED,W4-02 canonical SQL
learning_sessions,YES,1,NOT_CLAIMED,W4-02 canonical SQL
learning_unlock_progressions,YES,3,NOT_CLAIMED,W4-02 canonical SQL
listing_amenities,YES,3,NOT_CLAIMED,W4-02 canonical SQL
listing_leads,YES,1,NOT_CLAIMED,W4-02 canonical SQL
listing_photos,YES,3,NOT_CLAIMED,W4-02 canonical SQL
listing_price_history,YES,1,NOT_CLAIMED,W4-02 canonical SQL
listing_videos,YES,3,NOT_CLAIMED,W4-02 canonical SQL
listing_views,YES,1,NOT_CLAIMED,W4-02 canonical SQL
listings,YES,3,NOT_CLAIMED,W4-02 canonical SQL
notifications,YES,3,NOT_CLAIMED,W4-02 canonical SQL
operational_quota_pools,YES,0,NOT_CLAIMED,W4-02 canonical SQL
organization_invitations,YES,0,NOT_CLAIMED,W4-02 canonical SQL
organization_members,YES,1,NOT_CLAIMED,W4-02 canonical SQL
organizations,YES,0,NOT_CLAIMED,W4-02 canonical SQL
payment_provider_results,YES,0,NOT_CLAIMED,W4-02 canonical SQL
payment_transactions,YES,1,NOT_CLAIMED,W4-02 canonical SQL
permissions,YES,0,NOT_CLAIMED,W4-02 canonical SQL
promotions,YES,0,NOT_CLAIMED,W4-02 canonical SQL
qualification_evaluations,YES,1,NOT_CLAIMED,W4-02 canonical SQL
qualification_evidence,YES,3,NOT_CLAIMED,W4-02 canonical SQL
quiz_attempts,YES,3,NOT_CLAIMED,W4-02 canonical SQL
quiz_options,YES,1,NOT_CLAIMED,W4-02 canonical SQL
quiz_questions,YES,1,NOT_CLAIMED,W4-02 canonical SQL
quizzes,YES,1,NOT_CLAIMED,W4-02 canonical SQL
quota_allocations,YES,1,NOT_CLAIMED,W4-02 canonical SQL
quota_capacities,YES,0,NOT_CLAIMED,W4-02 canonical SQL
quota_usage,YES,1,NOT_CLAIMED,W4-02 canonical SQL
reconciliation_cases,YES,1,NOT_CLAIMED,W4-02 canonical SQL
ref_cities,YES,1,NOT_CLAIMED,W4-02 canonical SQL
ref_districts,YES,1,NOT_CLAIMED,W4-02 canonical SQL
ref_provinces,YES,1,NOT_CLAIMED,W4-02 canonical SQL
ref_villages,YES,1,NOT_CLAIMED,W4-02 canonical SQL
role_permissions,YES,0,NOT_CLAIMED,W4-02 canonical SQL
roles,YES,0,NOT_CLAIMED,W4-02 canonical SQL
session_artifacts,YES,4,NOT_CLAIMED,W4-02 canonical SQL
session_attendance_evaluations,YES,1,NOT_CLAIMED,W4-02 canonical SQL
session_completion_outcomes,YES,2,NOT_CLAIMED,W4-02 canonical SQL
session_enrollments,YES,4,NOT_CLAIMED,W4-02 canonical SQL
session_participation_evidence,YES,4,NOT_CLAIMED,W4-02 canonical SQL
session_provider_bindings,YES,1,NOT_CLAIMED,W4-02 canonical SQL
subscriptions,YES,1,NOT_CLAIMED,W4-02 canonical SQL
system_configs,YES,0,NOT_CLAIMED,W4-02 canonical SQL
title_authority_scopes,YES,1,NOT_CLAIMED,W4-02 canonical SQL
title_definitions,YES,1,NOT_CLAIMED,W4-02 canonical SQL
title_presentations,YES,3,NOT_CLAIMED,W4-02 canonical SQL
url_redirects,YES,0,NOT_CLAIMED,W4-02 canonical SQL
users,YES,3,NOT_CLAIMED,W4-02 canonical SQL
