relationship_id,source_entity,target_entity,relationship_type,cardinality,dictionary_fk_columns,physical_fk_status,physical_fk_evidence,reconciliation_status,d_action,notes
R-032,DEVELOPER_PARTNERS,DEVELOPER_PROJECTS,CORE_PRESERVED_FK,1:N,developer_id,PHYSICAL_FK_PRESENT,developer_id→developer_partners.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-033,DEVELOPER_PROJECTS,AGENT_PROJECT_CLAIMS,CORE_PRESERVED_FK,1:N,project_id,PHYSICAL_FK_PRESENT,project_id→developer_projects.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-034,DEVELOPER_PROJECTS,DEVELOPER_PROJECT_MEDIA,CORE_PRESERVED_FK,1:N,project_id,PHYSICAL_FK_PRESENT,project_id→developer_projects.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-035,DEVELOPER_PROJECTS,EVENTS,CORE_PRESERVED_FK,1:N,related_project_id,PHYSICAL_FK_PRESENT,related_project_id→developer_projects.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-036,DEVELOPER_PROJECTS,LISTINGS,CORE_PRESERVED_FK,1:N,developer_project_id,PHYSICAL_FK_PRESENT,developer_project_id→developer_projects.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-037,ENROLLMENTS,QUIZ_ATTEMPTS,CORE_PRESERVED_FK,1:N,enrollment_id,PHYSICAL_FK_PRESENT,enrollment_id→enrollments.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-038,EVENTS,EVENT_REGISTRATIONS,CORE_PRESERVED_FK,1:N,event_id,PHYSICAL_FK_PRESENT,event_id→events.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-039,EVENTS,LEARNING_SESSIONS,CORE_PRESERVED_FK,1:N,event_id,PHYSICAL_FK_PRESENT,event_id→events.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-040,LEARNING_ACTIVITIES,LEARNING_ACTIVITY_COMPLETIONS,CORE_PRESERVED_FK,1:N,learning_activity_id,PHYSICAL_FK_PRESENT,learning_activity_id→learning_activities.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-041,LEARNING_PATH_VERSIONS,LEARNING_ACTIVITIES,CORE_PRESERVED_FK,1:N,learning_path_version_id,PHYSICAL_FK_PRESENT,learning_path_version_id→learning_path_versions.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-042,LEARNING_PATH_VERSIONS,LEARNING_UNLOCK_PROGRESSIONS,CORE_PRESERVED_FK,1:N,learning_path_version_id,PHYSICAL_FK_PRESENT,learning_path_version_id→learning_path_versions.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-043,LEARNING_PATHS,LEARNING_PATH_VERSIONS,CORE_PRESERVED_FK,1:N,learning_path_id,PHYSICAL_FK_PRESENT,learning_path_id→learning_paths.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-044,LEARNING_POINT_ACCOUNTS,LEARNING_POINT_TRANSACTIONS,CORE_PRESERVED_FK,1:N,account_id,PHYSICAL_FK_PRESENT,account_id→learning_point_accounts.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-045,LEARNING_SESSIONS,LEARNING_SESSION_ASSIGNMENTS,CORE_PRESERVED_FK,1:N,session_id,PHYSICAL_FK_PRESENT,session_id→learning_sessions.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-046,LEARNING_SESSIONS,SESSION_ARTIFACTS,CORE_PRESERVED_FK,1:N,session_id,PHYSICAL_FK_PRESENT,session_id→learning_sessions.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-047,LEARNING_SESSIONS,SESSION_ENROLLMENTS,CORE_PRESERVED_FK,1:N,session_id,PHYSICAL_FK_PRESENT,session_id→learning_sessions.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-048,LEARNING_SESSIONS,SESSION_PROVIDER_BINDINGS,CORE_PRESERVED_FK,1:N,session_id,PHYSICAL_FK_PRESENT,session_id→learning_sessions.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-049,LISTINGS,DBR_SIMULATIONS,CORE_PRESERVED_FK,1:N,listing_id,PHYSICAL_FK_PRESENT,listing_id→listings.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-050,LISTINGS,LISTING_AMENITIES,CORE_PRESERVED_FK,1:N,listing_id,PHYSICAL_FK_PRESENT,listing_id→listings.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-051,LISTINGS,LISTING_LEADS,CORE_PRESERVED_FK,1:N,listing_id,PHYSICAL_FK_PRESENT,listing_id→listings.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-052,LISTINGS,LISTING_PHOTOS,CORE_PRESERVED_FK,1:N,listing_id,PHYSICAL_FK_PRESENT,listing_id→listings.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-053,LISTINGS,LISTING_PRICE_HISTORY,CORE_PRESERVED_FK,1:N,listing_id,PHYSICAL_FK_PRESENT,listing_id→listings.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-054,LISTINGS,LISTING_VIDEOS,CORE_PRESERVED_FK,1:N,listing_id,PHYSICAL_FK_PRESENT,listing_id→listings.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-055,LISTINGS,LISTING_VIEWS,CORE_PRESERVED_FK,1:N,listing_id,PHYSICAL_FK_PRESENT,listing_id→listings.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-056,OPERATIONAL_QUOTA_POOLS,QUOTA_ALLOCATIONS,CORE_PRESERVED_FK,1:N,operational_quota_pool_id,PHYSICAL_FK_PRESENT,operational_quota_pool_id→operational_quota_pools.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-057,OPERATIONAL_QUOTA_POOLS,QUOTA_USAGE,CORE_PRESERVED_FK,1:N,operational_quota_pool_id,PHYSICAL_FK_PRESENT,operational_quota_pool_id→operational_quota_pools.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-058,ORGANIZATIONS,AUDIT_LOGS,CORE_PRESERVED_FK,1:N,organization_id,PHYSICAL_FK_PRESENT,organization_id→organizations.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-059,ORGANIZATIONS,COMMERCIAL_ENTITLEMENTS,CORE_PRESERVED_FK,1:N,organization_id,PHYSICAL_FK_PRESENT,organization_id→organizations.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-060,ORGANIZATIONS,COMMERCIAL_ORDERS,CORE_PRESERVED_FK,1:N,organization_id,PHYSICAL_FK_PRESENT,organization_id→organizations.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-061,ORGANIZATIONS,LEARNING_SESSIONS,CORE_PRESERVED_FK,1:N,organization_id,PHYSICAL_FK_PRESENT,organization_id→organizations.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-062,ORGANIZATIONS,LISTINGS,CORE_PRESERVED_FK,1:N,organization_id,PHYSICAL_FK_PRESENT,organization_id→organizations.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-063,ORGANIZATIONS,OPERATIONAL_QUOTA_POOLS,CORE_PRESERVED_FK,1:N,organization_id,PHYSICAL_FK_PRESENT,organization_id→organizations.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-064,ORGANIZATIONS,ORGANIZATION_INVITATIONS,CORE_PRESERVED_FK,1:N,organization_id,PHYSICAL_FK_PRESENT,organization_id→organizations.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-065,ORGANIZATIONS,ORGANIZATION_MEMBERS,CORE_PRESERVED_FK,1:N,organization_id,PHYSICAL_FK_PRESENT,organization_id→organizations.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-066,ORGANIZATIONS,QUOTA_ALLOCATIONS,CORE_PRESERVED_FK,1:N,beneficiary_organization_id,PHYSICAL_FK_PRESENT,beneficiary_organization_id→organizations.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-067,ORGANIZATIONS,SUBSCRIPTIONS,CORE_PRESERVED_FK,1:N,organization_id,PHYSICAL_FK_PRESENT,organization_id→organizations.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-068,PAYMENT_TRANSACTIONS,COMMERCIAL_ENTITLEMENTS,CORE_PRESERVED_FK,1:N,source_payment_transaction_id,PHYSICAL_FK_PRESENT,source_payment_transaction_id→payment_transactions.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-069,PAYMENT_TRANSACTIONS,COMMERCIAL_FULFILLMENTS,CORE_PRESERVED_FK,1:N,payment_transaction_id,PHYSICAL_FK_PRESENT,payment_transaction_id→payment_transactions.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-070,PAYMENT_TRANSACTIONS,PAYMENT_PROVIDER_RESULTS,CORE_PRESERVED_FK,1:N,payment_transaction_id,PHYSICAL_FK_PRESENT,payment_transaction_id→payment_transactions.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-071,PAYMENT_TRANSACTIONS,RECONCILIATION_CASES,CORE_PRESERVED_FK,1:N,payment_transaction_id,PHYSICAL_FK_PRESENT,payment_transaction_id→payment_transactions.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-072,PERMISSIONS,ROLE_PERMISSIONS,CORE_PRESERVED_FK,1:N,permission_id,PHYSICAL_FK_PRESENT,permission_id→permissions.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-073,PROMOTIONS,ADDONS,CORE_PRESERVED_FK,1:N,promotion_id,PHYSICAL_FK_PRESENT,promotion_id→promotions.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-074,PROMOTIONS,COMMERCIAL_ORDERS,CORE_PRESERVED_FK,1:N,promotion_id,PHYSICAL_FK_PRESENT,promotion_id→promotions.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-075,QUALIFICATION_EVALUATIONS,AWARD_INSTANCES,CORE_PRESERVED_FK,1:N,qualification_evaluation_id,PHYSICAL_FK_PRESENT,qualification_evaluation_id→qualification_evaluations.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-076,QUALIFICATION_EVALUATIONS,AWARD_QUALIFYING_PATHS,CORE_PRESERVED_FK,1:N,qualification_evaluation_id,PHYSICAL_FK_PRESENT,qualification_evaluation_id→qualification_evaluations.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-077,QUIZ_QUESTIONS,QUIZ_OPTIONS,CORE_PRESERVED_FK,1:N,question_id,PHYSICAL_FK_PRESENT,question_id→quiz_questions.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-078,QUIZZES,QUIZ_ATTEMPTS,CORE_PRESERVED_FK,1:N,quiz_id,PHYSICAL_FK_PRESENT,quiz_id→quizzes.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-079,QUIZZES,QUIZ_QUESTIONS,CORE_PRESERVED_FK,1:N,quiz_id,PHYSICAL_FK_PRESENT,quiz_id→quizzes.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-080,QUOTA_ALLOCATIONS,QUOTA_USAGE,CORE_PRESERVED_FK,1:N,quota_allocation_id,PHYSICAL_FK_PRESENT,quota_allocation_id→quota_allocations.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-081,QUOTA_CAPACITIES,OPERATIONAL_QUOTA_POOLS,CORE_PRESERVED_FK,1:N,quota_capacity_id,PHYSICAL_FK_PRESENT,quota_capacity_id→quota_capacities.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-082,REF_CITIES,DEVELOPER_PROJECTS,CORE_PRESERVED_FK,1:N,city_id,PHYSICAL_FK_PRESENT,city_id→ref_cities.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-083,REF_CITIES,LISTINGS,CORE_PRESERVED_FK,1:N,city_id,PHYSICAL_FK_PRESENT,city_id→ref_cities.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-084,REF_CITIES,REF_DISTRICTS,CORE_PRESERVED_FK,1:N,city_id,PHYSICAL_FK_PRESENT,city_id→ref_cities.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-085,REF_DISTRICTS,LISTINGS,CORE_PRESERVED_FK,1:N,district_id,PHYSICAL_FK_PRESENT,district_id→ref_districts.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-086,REF_DISTRICTS,REF_VILLAGES,CORE_PRESERVED_FK,1:N,district_id,PHYSICAL_FK_PRESENT,district_id→ref_districts.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-087,REF_PROVINCES,LISTINGS,CORE_PRESERVED_FK,1:N,province_id,PHYSICAL_FK_PRESENT,province_id→ref_provinces.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-088,REF_PROVINCES,REF_CITIES,CORE_PRESERVED_FK,1:N,province_id,PHYSICAL_FK_PRESENT,province_id→ref_provinces.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-089,ROLES,ROLE_PERMISSIONS,CORE_PRESERVED_FK,1:N,role_id,PHYSICAL_FK_PRESENT,role_id→roles.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-090,ROLES,USERS,CORE_PRESERVED_FK,1:N,role_id,PHYSICAL_FK_PRESENT,role_id→roles.id,RECONCILED,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-091,SESSION_ATTENDANCE_EVALUATIONS,SESSION_COMPLETION_OUTCOMES,CORE_PRESERVED_FK,1:N,attendance_evaluation_id,PHYSICAL_FK_PRESENT,attendance_evaluation_id→session_attendance_evaluations.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-092,SESSION_ENROLLMENTS,SESSION_ATTENDANCE_EVALUATIONS,CORE_PRESERVED_FK,1:N,session_enrollment_id,PHYSICAL_FK_PRESENT,session_enrollment_id→session_enrollments.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-093,SESSION_ENROLLMENTS,SESSION_COMPLETION_OUTCOMES,CORE_PRESERVED_FK,1:N,session_enrollment_id,PHYSICAL_FK_PRESENT,session_enrollment_id→session_enrollments.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-094,SESSION_ENROLLMENTS,SESSION_PARTICIPATION_EVIDENCE,CORE_PRESERVED_FK,1:N,session_enrollment_id,PHYSICAL_FK_PRESENT,session_enrollment_id→session_enrollments.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-095,SESSION_PARTICIPATION_EVIDENCE,SESSION_ATTENDANCE_EVALUATIONS,CORE_PRESERVED_FK,1:N,evidence_id,PHYSICAL_FK_PRESENT,evidence_id→session_participation_evidence.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-096,SESSION_PROVIDER_BINDINGS,SESSION_PARTICIPATION_EVIDENCE,CORE_PRESERVED_FK,1:N,binding_id,PHYSICAL_FK_PRESENT,binding_id→session_provider_bindings.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-097,SUBSCRIPTIONS,COMMERCIAL_ORDERS,CORE_PRESERVED_FK,1:N,subscription_id,PHYSICAL_FK_PRESENT,subscription_id→subscriptions.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-098,TITLE_DEFINITIONS,AWARD_INSTANCES,CORE_PRESERVED_FK,1:N,title_definition_id,PHYSICAL_FK_PRESENT,title_definition_id→title_definitions.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-099,TITLE_DEFINITIONS,AWARDING_PATHS,CORE_PRESERVED_FK,1:N,title_definition_id,PHYSICAL_FK_PRESENT,title_definition_id→title_definitions.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-100,TITLE_DEFINITIONS,TITLE_AUTHORITY_SCOPES,CORE_PRESERVED_FK,1:N,title_definition_id,PHYSICAL_FK_PRESENT,title_definition_id→title_definitions.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-101,TITLE_DEFINITIONS,TITLE_PRESENTATIONS,CORE_PRESERVED_FK,1:N,title_definition_id,PHYSICAL_FK_PRESENT,title_definition_id→title_definitions.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-102,USERS,AGENT_AI_CONNECTIONS,CORE_PRESERVED_FK,1:N,user_id,PHYSICAL_FK_PRESENT,user_id→users.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-103,USERS,AGENT_PROFILES,CORE_PRESERVED_FK,1:1,user_id,PHYSICAL_FK_PRESENT,user_id→users.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-104,USERS,AGENT_PROJECT_CLAIMS,CORE_PRESERVED_FK,1:N,agent_id,PHYSICAL_FK_PRESENT,agent_id→users.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-105,USERS,AGENT_REVIEWS,CORE_PRESERVED_FK,1:N,agent_id; buyer_id; moderated_by,PHYSICAL_FK_PRESENT,agent_id→users.id; buyer_id→users.id; moderated_by→users.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-106,USERS,AGENT_VERIFICATION_DOCUMENTS,CORE_PRESERVED_FK,1:N,user_id; reviewed_by,PHYSICAL_FK_PRESENT,user_id→users.id; reviewed_by→users.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-107,USERS,AUDIT_LOGS,CORE_PRESERVED_FK,1:N,user_id,PHYSICAL_FK_PRESENT,user_id→users.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-108,USERS,AWARD_INSTANCES,CORE_PRESERVED_FK,1:N,user_id,PHYSICAL_FK_PRESENT,user_id→users.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-109,USERS,CERTIFICATES,CORE_PRESERVED_FK,1:N,agent_id,PHYSICAL_FK_PRESENT,agent_id→users.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-110,USERS,COMMERCIAL_ENTITLEMENTS,CORE_PRESERVED_FK,1:N,user_id,PHYSICAL_FK_PRESENT,user_id→users.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-111,USERS,COMMERCIAL_ORDERS,CORE_PRESERVED_FK,1:N,user_id,PHYSICAL_FK_PRESENT,user_id→users.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-112,USERS,COURSES,CORE_PRESERVED_FK,1:N,created_by,PHYSICAL_FK_PRESENT,created_by→users.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-113,USERS,DBR_CONFIG,CORE_PRESERVED_FK,1:N,updated_by,PHYSICAL_FK_PRESENT,updated_by→users.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-114,USERS,DBR_SIMULATIONS,CORE_PRESERVED_FK,1:N,agent_id,PHYSICAL_FK_PRESENT,agent_id→users.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
R-115,USERS,DEVELOPER_PARTNERS,CORE_PRESERVED_FK,1:N,user_id,PHYSICAL_FK_PRESENT,user_id→users.id,PASS,PRESERVE,Aggregated where multiple FK columns connect the same entity pair.
