logical_entity,field_count,logical_mapping_status,physical_table,physical_table_present,physical_column_count,logical_classification,physical_disposition
AWARD_QUALIFYING_PATHS,6,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,award_qualifying_paths,YES,6,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
CERTIFICATES,5,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,certificates,YES,5,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
COMMERCIAL_ENTITLEMENTS,14,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,commercial_entitlements,YES,14,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
COMMERCIAL_FULFILLMENTS,11,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,commercial_fulfillments,YES,11,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
COMMERCIAL_ORDERS,15,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,commercial_orders,YES,15,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
COURSES,11,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,courses,YES,11,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
COURSE_LESSONS,6,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,course_lessons,YES,6,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
DBR_CONFIG,5,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,dbr_config,YES,5,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
DBR_SIMULATIONS,17,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,dbr_simulations,YES,17,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
DEVELOPER_PARTNERS,10,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,developer_partners,YES,8,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
DEVELOPER_PROJECTS,41,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,developer_projects,YES,17,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
DEVELOPER_PROJECT_MEDIA,4,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,developer_project_media,YES,4,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
ENROLLMENTS,7,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,enrollments,YES,7,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
EVENTS,18,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,events,YES,18,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
EVENT_PROVIDER_BINDING,8,NEW_LOGICAL_NO_CURRENT_PHYSICAL_TABLE,,NO,0,ADD-NEW,CONTROLLED_NO_CURRENT_PHYSICAL_TABLE
EVENT_REGISTRATIONS,7,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,event_registrations,YES,5,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
LEARNING_ACTIVITIES,12,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,learning_activities,YES,12,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
LEARNING_ACTIVITY_COMPLETIONS,11,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,learning_activity_completions,YES,10,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
LEARNING_PATHS,8,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,learning_paths,YES,8,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
LEARNING_PATH_VERSIONS,9,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,learning_path_versions,YES,9,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
LEARNING_POINT_ACCOUNTS,6,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,learning_point_accounts,YES,6,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
LEARNING_POINT_TRANSACTIONS,10,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,learning_point_transactions,YES,10,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
LEARNING_SESSIONS,13,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,learning_sessions,YES,13,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
LEARNING_SESSION_ASSIGNMENTS,9,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,learning_session_assignments,YES,9,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
LEARNING_UNLOCK_PROGRESSIONS,11,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,learning_unlock_progressions,YES,10,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
LISTINGS,49,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,listings,YES,48,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
LISTING_AMENITIES,2,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,listing_amenities,YES,2,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
LISTING_LEADS,7,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,listing_leads,YES,7,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
LISTING_PHOTOS,8,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,listing_photos,YES,8,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
LISTING_PRICE_HISTORY,5,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,listing_price_history,YES,5,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
LISTING_VIDEOS,4,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,listing_videos,YES,4,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
LISTING_VIEWS,3,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,listing_views,YES,3,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
MARKETING_KIT,6,NEW_LOGICAL_NO_CURRENT_PHYSICAL_TABLE,,NO,0,ADD-NEW,CONTROLLED_NO_CURRENT_PHYSICAL_TABLE
NOTIFICATIONS,9,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,notifications,YES,9,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
OPERATIONAL_QUOTA_POOLS,8,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,operational_quota_pools,YES,8,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
ORGANIZATIONS,16,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,organizations,YES,16,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
ORGANIZATION_DOCUMENT,7,NEW_LOGICAL_NO_CURRENT_PHYSICAL_TABLE,,NO,0,ADD-NEW,CONTROLLED_NO_CURRENT_PHYSICAL_TABLE
ORGANIZATION_INVITATIONS,9,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,organization_invitations,YES,9,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
ORGANIZATION_MEMBERS,7,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,organization_members,YES,7,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
PAYMENT_PROVIDER_RESULTS,11,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,payment_provider_results,YES,11,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
PAYMENT_TRANSACTIONS,13,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,payment_transactions,YES,13,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
PERMISSIONS,5,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,permissions,YES,5,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
PERMISSION_PRESET,7,NEW_LOGICAL_NO_CURRENT_PHYSICAL_TABLE,,NO,0,ADD-NEW,CONTROLLED_NO_CURRENT_PHYSICAL_TABLE
PERMISSION_PRESET_ITEM,6,NEW_LOGICAL_NO_CURRENT_PHYSICAL_TABLE,,NO,0,ADD-NEW,CONTROLLED_NO_CURRENT_PHYSICAL_TABLE
PROMOTIONS,11,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,promotions,YES,11,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
PUBLIC_ANNOUNCEMENT_PROMOTION,13,NEW_LOGICAL_NO_CURRENT_PHYSICAL_TABLE,,NO,0,ADD-NEW,CONTROLLED_NO_CURRENT_PHYSICAL_TABLE
QUALIFICATION_EVALUATIONS,10,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,qualification_evaluations,YES,10,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
QUALIFICATION_EVIDENCE,9,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,qualification_evidence,YES,9,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
QUIZZES,3,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,quizzes,YES,3,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
QUIZ_ATTEMPTS,6,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,quiz_attempts,YES,6,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
QUIZ_OPTIONS,4,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,quiz_options,YES,4,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
QUIZ_QUESTIONS,4,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,quiz_questions,YES,4,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
QUOTA_ALLOCATIONS,10,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,quota_allocations,YES,10,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
QUOTA_CAPACITIES,11,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,quota_capacities,YES,10,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
QUOTA_USAGE,9,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,quota_usage,YES,9,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
RECONCILIATION_CASES,14,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,reconciliation_cases,YES,14,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
REF_CITIES,5,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,ref_cities,YES,5,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
REF_DISTRICTS,4,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,ref_districts,YES,4,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
REF_PROVINCES,3,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,ref_provinces,YES,3,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
REF_VILLAGES,5,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,ref_villages,YES,5,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
ROLES,7,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,roles,YES,7,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
ROLE_PERMISSIONS,7,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,role_permissions,YES,7,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
SESSION_ARTIFACTS,8,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,session_artifacts,YES,8,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
SESSION_ATTENDANCE_EVALUATIONS,7,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,session_attendance_evaluations,YES,7,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
SESSION_COMPLETION_OUTCOMES,7,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,session_completion_outcomes,YES,7,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
SESSION_ENROLLMENTS,10,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,session_enrollments,YES,10,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
SESSION_PARTICIPATION_EVIDENCE,10,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,session_participation_evidence,YES,10,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
SESSION_PROVIDER_BINDINGS,9,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,session_provider_bindings,YES,9,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
STATIC_PUBLIC_CONTENT,13,NEW_LOGICAL_NO_CURRENT_PHYSICAL_TABLE,,NO,0,ADD-NEW,CONTROLLED_NO_CURRENT_PHYSICAL_TABLE
SUBSCRIPTIONS,11,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,subscriptions,YES,11,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
SYSTEM_CONFIGS,5,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,system_configs,YES,5,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
TITLE_AUTHORITY_SCOPES,6,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,title_authority_scopes,YES,6,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
TITLE_DEFINITIONS,7,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,title_definitions,YES,7,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
TITLE_PRESENTATIONS,8,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,title_presentations,YES,8,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
URL_REDIRECTS,8,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,url_redirects,YES,8,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
USERS,11,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,users,YES,11,PRESERVE,CURRENT_PHYSICAL_TABLE_PRESENT
USER_PERMISSION_PRESET,5,NEW_LOGICAL_NO_CURRENT_PHYSICAL_TABLE,,NO,0,ADD-NEW,CONTROLLED_NO_CURRENT_PHYSICAL_TABLE
