relationship_id,module,module_authority_artifact,module_authority_scope,core_artifact_id,core_artifact,core_layer,core_section_heading,core_evidence_line,core_evidence_excerpt,authority_owner,authority_source_artifact,authority_basis,relationship_type,relationship_basis,relationship_evidence,dependency_guardrail,explicit_module_dependency_evidence_rows,dependency_statement,step04_sync_target,step04_classification,status
SR-0011,M07,RUMAHAGEN_WF03_M07_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION/00_M07_FULL_REBUILD_CONTROLLED_v1.1.md,FULL corrected DBR authority,CAM11-0003,00_CONTROL/SOURCE_INDEX_v1.3.csv,00_CONTROL,NO_HEADING_DETECTED,1,"ID,Layer,Path,Authority_Class,Purpose,Current_Status",CORE CONTROL / GOVERNANCE,00_CONTROL/W4-02A.7_FINAL_DOCUMENT_FREEZE_AUTHORITY_VERIFICATION_v1.0.md,Freeze/control authority and source-pack control records,CONTROL,Core control/governance artifact explicitly identifies module relevance in controlled Core mapping.,"STEP01 current-authority freeze scope + module authoritative artifact + Core artifact section/evidence anchor; relationship is established from controlled semantic scope, not filename/keyword matching.",M09/M10,12,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,STEP04 → 00_CONTROL synchronization target,DEFERRED TO STEP 04 — NO CLASSIFICATION PERFORMED,MAPPED — EVIDENCE-CHAINED — NO MERGE
SR-0012,M08,RUMAHAGEN_WF03_M08_FULL_REBUILD_CONTROLLED_v1.0/00_README_M08_CONTROLLED_v1.0.md,FULL controlled Dashboard/Notification projection authority,CAM11-0003,00_CONTROL/SOURCE_INDEX_v1.3.csv,00_CONTROL,NO_HEADING_DETECTED,1,"ID,Layer,Path,Authority_Class,Purpose,Current_Status",CORE CONTROL / GOVERNANCE,00_CONTROL/W4-02A.7_FINAL_DOCUMENT_FREEZE_AUTHORITY_VERIFICATION_v1.0.md,Freeze/control authority and source-pack control records,CONTROL,Core control/governance artifact explicitly identifies module relevance in controlled Core mapping.,"STEP01 current-authority freeze scope + module authoritative artifact + Core artifact section/evidence anchor; relationship is established from controlled semantic scope, not filename/keyword matching.",M01-M15 upstream sources,13,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,STEP04 → 00_CONTROL synchronization target,DEFERRED TO STEP 04 — NO CLASSIFICATION PERFORMED,MAPPED — EVIDENCE-CHAINED — NO MERGE
SR-0013,M09,RUMAHAGEN_WF03_M09_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION/README_M09_FULL_REBUILD_CONTROLLED_v1.1.md,FULL controlled Administration authority,CAM11-0003,00_CONTROL/SOURCE_INDEX_v1.3.csv,00_CONTROL,NO_HEADING_DETECTED,1,"ID,Layer,Path,Authority_Class,Purpose,Current_Status",CORE CONTROL / GOVERNANCE,00_CONTROL/W4-02A.7_FINAL_DOCUMENT_FREEZE_AUTHORITY_VERIFICATION_v1.0.md,Freeze/control authority and source-pack control records,CONTROL,Core control/governance artifact explicitly identifies module relevance in controlled Core mapping.,"STEP01 current-authority freeze scope + module authoritative artifact + Core artifact section/evidence anchor; relationship is established from controlled semantic scope, not filename/keyword matching.",M10 and domain owners,16,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,STEP04 → 00_CONTROL synchronization target,DEFERRED TO STEP 04 — NO CLASSIFICATION PERFORMED,MAPPED — EVIDENCE-CHAINED — NO MERGE
SR-0014,M10,RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION/RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1.md,FULL controlled Authorization/RBAC/Permission Preset authority,CAM11-0003,00_CONTROL/SOURCE_INDEX_v1.3.csv,00_CONTROL,NO_HEADING_DETECTED,1,"ID,Layer,Path,Authority_Class,Purpose,Current_Status",CORE CONTROL / GOVERNANCE,00_CONTROL/W4-02A.7_FINAL_DOCUMENT_FREEZE_AUTHORITY_VERIFICATION_v1.0.md,Freeze/control authority and source-pack control records,CONTROL,Core control/governance artifact explicitly identifies module relevance in controlled Core mapping.,"STEP01 current-authority freeze scope + module authoritative artifact + Core artifact section/evidence anchor; relationship is established from controlled semantic scope, not filename/keyword matching.",All modules,16,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,STEP04 → 00_CONTROL synchronization target,DEFERRED TO STEP 04 — NO CLASSIFICATION PERFORMED,MAPPED — EVIDENCE-CHAINED — NO MERGE
SR-0015,M11,RUMAHAGEN_WF03_M11_FULL_REBUILD_CONTROLLED_v2.0_FULL_VERSION/RUMAHAGEN_WF03_M11_FULL_REBUILD_CONTROLLED_v2.0_FULL_VERSION.md,FULL controlled SEO/public discovery/measurement authority,CAM11-0003,00_CONTROL/SOURCE_INDEX_v1.3.csv,00_CONTROL,NO_HEADING_DETECTED,1,"ID,Layer,Path,Authority_Class,Purpose,Current_Status",CORE CONTROL / GOVERNANCE,00_CONTROL/W4-02A.7_FINAL_DOCUMENT_FREEZE_AUTHORITY_VERIFICATION_v1.0.md,Freeze/control authority and source-pack control records,CONTROL,Core control/governance artifact explicitly identifies module relevance in controlled Core mapping.,"STEP01 current-authority freeze scope + module authoritative artifact + Core artifact section/evidence anchor; relationship is established from controlled semantic scope, not filename/keyword matching.",M02/M03/M05/M06/M09/M12/M14,15,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,STEP04 → 00_CONTROL synchronization target,DEFERRED TO STEP 04 — NO CLASSIFICATION PERFORMED,MAPPED — EVIDENCE-CHAINED — NO MERGE
SR-0016,M14,RUMAHAGEN_WF03_M14_FULL_REBUILD_v2.2_CORE_DETAIL_PARITY_FULL_VERSION/RUMAHAGEN_WF03_M14_FULL_REBUILD_v2.2_CORE_DETAIL_PARITY_FULL_VERSION.md,FULL current synchronized Commercial/Payment/Entitlement/Quota/Promotion/Reconciliation authority,CAM11-0003,00_CONTROL/SOURCE_INDEX_v1.3.csv,00_CONTROL,NO_HEADING_DETECTED,1,"ID,Layer,Path,Authority_Class,Purpose,Current_Status",CORE CONTROL / GOVERNANCE,00_CONTROL/W4-02A.7_FINAL_DOCUMENT_FREEZE_AUTHORITY_VERIFICATION_v1.0.md,Freeze/control authority and source-pack control records,CONTROL,Core control/governance artifact explicitly identifies module relevance in controlled Core mapping.,"STEP01 current-authority freeze scope + module authoritative artifact + Core artifact section/evidence anchor; relationship is established from controlled semantic scope, not filename/keyword matching.",M03/M04/M06/M10/M11/M15,15,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,STEP04 → 00_CONTROL synchronization target,DEFERRED TO STEP 04 — NO CLASSIFICATION PERFORMED,MAPPED — EVIDENCE-CHAINED — NO MERGE
SR-0017,M15,RUMAHAGEN_WF03_M15_FULL_REBUILD_v1.1_CORE_DETAIL_SYNCHRONIZED_FULL_VERSION/RUMAHAGEN_WF03_M15_FULL_REBUILD_v1.1_CORE_DETAIL_SYNCHRONIZED_FULL_VERSION.md,FULL synchronized Title/Qualification/Awarding authority,CAM11-0003,00_CONTROL/SOURCE_INDEX_v1.3.csv,00_CONTROL,NO_HEADING_DETECTED,1,"ID,Layer,Path,Authority_Class,Purpose,Current_Status",CORE CONTROL / GOVERNANCE,00_CONTROL/W4-02A.7_FINAL_DOCUMENT_FREEZE_AUTHORITY_VERIFICATION_v1.0.md,Freeze/control authority and source-pack control records,CONTROL,Core control/governance artifact explicitly identifies module relevance in controlled Core mapping.,"STEP01 current-authority freeze scope + module authoritative artifact + Core artifact section/evidence anchor; relationship is established from controlled semantic scope, not filename/keyword matching.",M04/M10/M14,16,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,STEP04 → 00_CONTROL synchronization target,DEFERRED TO STEP 04 — NO CLASSIFICATION PERFORMED,MAPPED — EVIDENCE-CHAINED — NO MERGE
SR-0018,M01,WF03-03-01_M01_FULL_SEMANTIC_REBUILD_v1.1.md,FULL semantic rebuild; current M01 identity/authentication authority,CAM11-0004,00_CONTROL/SOURCE_INDEX_v1.3.md,00_CONTROL,# Source Index — Core Final v1.3,3,This index describes the static contents of the Core Final Source Pack.,CORE CONTROL / GOVERNANCE,00_CONTROL/W4-02A.7_FINAL_DOCUMENT_FREEZE_AUTHORITY_VERIFICATION_v1.0.md,Freeze/control authority and source-pack control records,CONTROL,Core control/governance artifact explicitly identifies module relevance in controlled Core mapping.,"STEP01 current-authority freeze scope + module authoritative artifact + Core artifact section/evidence anchor; relationship is established from controlled semantic scope, not filename/keyword matching.",M02/M10/M12/M14/M15 as governed dependencies,16,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,STEP04 → 00_CONTROL synchronization target,DEFERRED TO STEP 04 — NO CLASSIFICATION PERFORMED,MAPPED — EVIDENCE-CHAINED — NO MERGE
SR-0019,M07,RUMAHAGEN_WF03_M07_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION/00_M07_FULL_REBUILD_CONTROLLED_v1.1.md,FULL corrected DBR authority,CAM11-0004,00_CONTROL/SOURCE_INDEX_v1.3.md,00_CONTROL,# Source Index — Core Final v1.3,3,This index describes the static contents of the Core Final Source Pack.,CORE CONTROL / GOVERNANCE,00_CONTROL/W4-02A.7_FINAL_DOCUMENT_FREEZE_AUTHORITY_VERIFICATION_v1.0.md,Freeze/control authority and source-pack control records,CONTROL,Core control/governance artifact explicitly identifies module relevance in controlled Core mapping.,"STEP01 current-authority freeze scope + module authoritative artifact + Core artifact section/evidence anchor; relationship is established from controlled semantic scope, not filename/keyword matching.",M09/M10,12,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,STEP04 → 00_CONTROL synchronization target,DEFERRED TO STEP 04 — NO CLASSIFICATION PERFORMED,MAPPED — EVIDENCE-CHAINED — NO MERGE
SR-0020,M08,RUMAHAGEN_WF03_M08_FULL_REBUILD_CONTROLLED_v1.0/00_README_M08_CONTROLLED_v1.0.md,FULL controlled Dashboard/Notification projection authority,CAM11-0004,00_CONTROL/SOURCE_INDEX_v1.3.md,00_CONTROL,# Source Index — Core Final v1.3,3,This index describes the static contents of the Core Final Source Pack.,CORE CONTROL / GOVERNANCE,00_CONTROL/W4-02A.7_FINAL_DOCUMENT_FREEZE_AUTHORITY_VERIFICATION_v1.0.md,Freeze/control authority and source-pack control records,CONTROL,Core control/governance artifact explicitly identifies module relevance in controlled Core mapping.,"STEP01 current-authority freeze scope + module authoritative artifact + Core artifact section/evidence anchor; relationship is established from controlled semantic scope, not filename/keyword matching.",M01-M15 upstream sources,13,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,STEP04 → 00_CONTROL synchronization target,DEFERRED TO STEP 04 — NO CLASSIFICATION PERFORMED,MAPPED — EVIDENCE-CHAINED — NO MERGE
SR-0021,M09,RUMAHAGEN_WF03_M09_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION/README_M09_FULL_REBUILD_CONTROLLED_v1.1.md,FULL controlled Administration authority,CAM11-0004,00_CONTROL/SOURCE_INDEX_v1.3.md,00_CONTROL,# Source Index — Core Final v1.3,3,This index describes the static contents of the Core Final Source Pack.,CORE CONTROL / GOVERNANCE,00_CONTROL/W4-02A.7_FINAL_DOCUMENT_FREEZE_AUTHORITY_VERIFICATION_v1.0.md,Freeze/control authority and source-pack control records,CONTROL,Core control/governance artifact explicitly identifies module relevance in controlled Core mapping.,"STEP01 current-authority freeze scope + module authoritative artifact + Core artifact section/evidence anchor; relationship is established from controlled semantic scope, not filename/keyword matching.",M10 and domain owners,16,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,STEP04 → 00_CONTROL synchronization target,DEFERRED TO STEP 04 — NO CLASSIFICATION PERFORMED,MAPPED — EVIDENCE-CHAINED — NO MERGE
SR-0022,M10,RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1_FULL_VERSION/RUMAHAGEN_WF03_M10_FULL_REBUILD_CONTROLLED_v1.1.md,FULL controlled Authorization/RBAC/Permission Preset authority,CAM11-0004,00_CONTROL/SOURCE_INDEX_v1.3.md,00_CONTROL,# Source Index — Core Final v1.3,3,This index describes the static contents of the Core Final Source Pack.,CORE CONTROL / GOVERNANCE,00_CONTROL/W4-02A.7_FINAL_DOCUMENT_FREEZE_AUTHORITY_VERIFICATION_v1.0.md,Freeze/control authority and source-pack control records,CONTROL,Core control/governance artifact explicitly identifies module relevance in controlled Core mapping.,"STEP01 current-authority freeze scope + module authoritative artifact + Core artifact section/evidence anchor; relationship is established from controlled semantic scope, not filename/keyword matching.",All modules,16,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,STEP04 → 00_CONTROL synchronization target,DEFERRED TO STEP 04 — NO CLASSIFICATION PERFORMED,MAPPED — EVIDENCE-CHAINED — NO MERGE
SR-0023,M11,RUMAHAGEN_WF03_M11_FULL_REBUILD_CONTROLLED_v2.0_FULL_VERSION/RUMAHAGEN_WF03_M11_FULL_REBUILD_CONTROLLED_v2.0_FULL_VERSION.md,FULL controlled SEO/public discovery/measurement authority,CAM11-0004,00_CONTROL/SOURCE_INDEX_v1.3.md,00_CONTROL,# Source Index — Core Final v1.3,3,This index describes the static contents of the Core Final Source Pack.,CORE CONTROL / GOVERNANCE,00_CONTROL/W4-02A.7_FINAL_DOCUMENT_FREEZE_AUTHORITY_VERIFICATION_v1.0.md,Freeze/control authority and source-pack control records,CONTROL,Core control/governance artifact explicitly identifies module relevance in controlled Core mapping.,"STEP01 current-authority freeze scope + module authoritative artifact + Core artifact section/evidence anchor; relationship is established from controlled semantic scope, not filename/keyword matching.",M02/M03/M05/M06/M09/M12/M14,15,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,STEP04 → 00_CONTROL synchronization target,DEFERRED TO STEP 04 — NO CLASSIFICATION PERFORMED,MAPPED — EVIDENCE-CHAINED — NO MERGE
SR-0024,M14,RUMAHAGEN_WF03_M14_FULL_REBUILD_v2.2_CORE_DETAIL_PARITY_FULL_VERSION/RUMAHAGEN_WF03_M14_FULL_REBUILD_v2.2_CORE_DETAIL_PARITY_FULL_VERSION.md,FULL current synchronized Commercial/Payment/Entitlement/Quota/Promotion/Reconciliation authority,CAM11-0004,00_CONTROL/SOURCE_INDEX_v1.3.md,00_CONTROL,# Source Index — Core Final v1.3,3,This index describes the static contents of the Core Final Source Pack.,CORE CONTROL / GOVERNANCE,00_CONTROL/W4-02A.7_FINAL_DOCUMENT_FREEZE_AUTHORITY_VERIFICATION_v1.0.md,Freeze/control authority and source-pack control records,CONTROL,Core control/governance artifact explicitly identifies module relevance in controlled Core mapping.,"STEP01 current-authority freeze scope + module authoritative artifact + Core artifact section/evidence anchor; relationship is established from controlled semantic scope, not filename/keyword matching.",M03/M04/M06/M10/M11/M15,15,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,STEP04 → 00_CONTROL synchronization target,DEFERRED TO STEP 04 — NO CLASSIFICATION PERFORMED,MAPPED — EVIDENCE-CHAINED — NO MERGE
SR-0025,M15,RUMAHAGEN_WF03_M15_FULL_REBUILD_v1.1_CORE_DETAIL_SYNCHRONIZED_FULL_VERSION/RUMAHAGEN_WF03_M15_FULL_REBUILD_v1.1_CORE_DETAIL_SYNCHRONIZED_FULL_VERSION.md,FULL synchronized Title/Qualification/Awarding authority,CAM11-0004,00_CONTROL/SOURCE_INDEX_v1.3.md,00_CONTROL,# Source Index — Core Final v1.3,3,This index describes the static contents of the Core Final Source Pack.,CORE CONTROL / GOVERNANCE,00_CONTROL/W4-02A.7_FINAL_DOCUMENT_FREEZE_AUTHORITY_VERIFICATION_v1.0.md,Freeze/control authority and source-pack control records,CONTROL,Core control/governance artifact explicitly identifies module relevance in controlled Core mapping.,"STEP01 current-authority freeze scope + module authoritative artifact + Core artifact section/evidence anchor; relationship is established from controlled semantic scope, not filename/keyword matching.",M04/M10/M14,16,Module-level dependency contract applies. Artifact-specific dependency is not asserted unless explicit in Core evidence. See STEP03 dependency handoff for downstream trace.,STEP04 → 00_CONTROL synchronization target,DEFERRED TO STEP 04 — NO CLASSIFICATION PERFORMED,MAPPED — EVIDENCE-CHAINED — NO MERGE
