Source module,Target module,Dependency evidence source,Semantic dependency,Authority dependency,Data dependency,API dependency,Permission dependency,Downstream dependency,Evidence dependency
M03,M05,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M03,M06,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M03,M07,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M03,M08,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M03,M09,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M03,M10,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M03,M11,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M03,M12,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M03,M13,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M03,M14,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M03,M15,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M04,M01,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M04,M02,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M04,M03,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M04,M05,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M04,M06,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M04,M07,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M04,M08,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M04,M09,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M04,M10,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M04,M11,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M04,M12,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M04,M13,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M04,M14,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M04,M15,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M05,M01,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M05,M02,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M05,M03,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M05,M04,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M05,M06,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M05,M07,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M05,M08,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M05,M09,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M05,M10,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M05,M11,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M05,M12,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M05,M13,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M05,M14,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M05,M15,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M06,M01,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M06,M02,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M06,M03,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M06,M04,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M06,M05,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M06,M07,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M06,M08,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M06,M09,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M06,M10,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
M06,M11,W4-02A.6.22 Module Dependency Matrix,EXPLICITLY REFERENCED,M10 authorization governance applies where authorization is involved,TRACE IN STEP04+ only when explicit source evidence identifies a data relationship,TRACE IN STEP04+ only when explicit source evidence identifies an API relationship,M10 governance applies,STEP08-13 only if approved semantic synchronization requires implementation impact,Core / QIR / provenance evidence as applicable
