relationship_id,source_entity,target_entity,source_module,target_module,relationship_type,cardinality,optional_target_reference,basis,fk_columns,authority,notes
R-013,AWARDING_RULE_VERSIONS,AWARDING_CONDITION_GROUPS,M15,M15,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,awarding_rule_version_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-014,AWARDING_RULE_VERSIONS,AWARDING_PATH_RULES,M15,M15,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,awarding_rule_version_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-015,AWARDING_RULE_VERSIONS,QUALIFICATION_EVALUATIONS,M15,M15,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,awarding_rule_version_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-016,COMMERCIAL_ENTITLEMENTS,QUOTA_CAPACITIES,M14,M14,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,entitlement_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-017,COMMERCIAL_ENTITLEMENTS,RECONCILIATION_CASES,M14,M09,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,entitlement_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-018,COMMERCIAL_FULFILLMENTS,COMMERCIAL_ENTITLEMENTS,M14,M14,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,source_fulfillment_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-019,COMMERCIAL_FULFILLMENTS,RECONCILIATION_CASES,M14,M09,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,fulfillment_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-020,COMMERCIAL_ORDERS,COMMERCIAL_ENTITLEMENTS,M14,M14,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,source_order_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-021,COMMERCIAL_ORDERS,COMMERCIAL_FULFILLMENTS,M14,M14,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,commercial_order_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-022,COMMERCIAL_ORDERS,PAYMENT_TRANSACTIONS,M14,M14,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,commercial_order_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-023,COMMERCIAL_ORDERS,RECONCILIATION_CASES,M14,M09,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,commercial_order_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-024,COURSES,CERTIFICATES,M04,M04,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,course_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-025,COURSES,COURSE_LESSONS,M04,M04,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,course_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-026,COURSES,COURSES,M04,M04,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,prerequisite_course_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-027,COURSES,ENROLLMENTS,M04,M04,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,course_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-028,COURSES,EVENTS,M04,M05,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,related_course_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-029,COURSES,LEARNING_PATHS,M04,M04,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,course_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-030,COURSES,LEARNING_SESSIONS,M04,M04,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,course_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-031,COURSES,QUIZZES,M04,M04,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,course_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-032,DEVELOPER_PARTNERS,DEVELOPER_PROJECTS,M06,M06,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,developer_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-033,DEVELOPER_PROJECTS,AGENT_PROJECT_CLAIMS,M06,M06,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,project_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-034,DEVELOPER_PROJECTS,DEVELOPER_PROJECT_MEDIA,M06,M06,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,project_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-035,DEVELOPER_PROJECTS,EVENTS,M06,M05,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,related_project_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-036,DEVELOPER_PROJECTS,LISTINGS,M06,M03,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,developer_project_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-037,ENROLLMENTS,QUIZ_ATTEMPTS,M04,M04,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,enrollment_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-038,EVENTS,EVENT_REGISTRATIONS,M05,M05,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,event_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-039,EVENTS,LEARNING_SESSIONS,M05,M04,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,event_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-040,LEARNING_ACTIVITIES,LEARNING_ACTIVITY_COMPLETIONS,M04,M04,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,learning_activity_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-041,LEARNING_PATH_VERSIONS,LEARNING_ACTIVITIES,M04,M04,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,learning_path_version_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-042,LEARNING_PATH_VERSIONS,LEARNING_UNLOCK_PROGRESSIONS,M04,M04,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,learning_path_version_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-043,LEARNING_PATHS,LEARNING_PATH_VERSIONS,M04,M04,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,learning_path_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-044,LEARNING_POINT_ACCOUNTS,LEARNING_POINT_TRANSACTIONS,M04,M04,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,account_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-045,LEARNING_SESSIONS,LEARNING_SESSION_ASSIGNMENTS,M04,M04,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,session_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-046,LEARNING_SESSIONS,SESSION_ARTIFACTS,M04,M04,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,session_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-047,LEARNING_SESSIONS,SESSION_ENROLLMENTS,M04,M04,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,session_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-048,LEARNING_SESSIONS,SESSION_PROVIDER_BINDINGS,M04,M04,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,session_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-049,LISTINGS,DBR_SIMULATIONS,M03,M07,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,listing_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-050,LISTINGS,LISTING_AMENITIES,M03,M03,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,listing_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-051,LISTINGS,LISTING_LEADS,M03,M03,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,listing_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-052,LISTINGS,LISTING_PHOTOS,M03,M03,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,listing_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-053,LISTINGS,LISTING_PRICE_HISTORY,M03,M03,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,listing_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-054,LISTINGS,LISTING_VIDEOS,M03,M03,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,listing_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-055,LISTINGS,LISTING_VIEWS,M03,M03,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,listing_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-056,OPERATIONAL_QUOTA_POOLS,QUOTA_ALLOCATIONS,M14,M14,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,operational_quota_pool_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-057,OPERATIONAL_QUOTA_POOLS,QUOTA_USAGE,M14,M14,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,operational_quota_pool_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-058,ORGANIZATIONS,AUDIT_LOGS,M12,M09,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,organization_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-059,ORGANIZATIONS,COMMERCIAL_ENTITLEMENTS,M12,M14,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,organization_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-060,ORGANIZATIONS,COMMERCIAL_ORDERS,M12,M14,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,organization_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-061,ORGANIZATIONS,LEARNING_SESSIONS,M12,M04,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,organization_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-062,ORGANIZATIONS,LISTINGS,M12,M03,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,organization_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-063,ORGANIZATIONS,OPERATIONAL_QUOTA_POOLS,M12,M14,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,organization_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-064,ORGANIZATIONS,ORGANIZATION_INVITATIONS,M12,M12,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,organization_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-065,ORGANIZATIONS,ORGANIZATION_MEMBERS,M12,M12,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,organization_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-066,ORGANIZATIONS,QUOTA_ALLOCATIONS,M12,M14,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,beneficiary_organization_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-067,ORGANIZATIONS,SUBSCRIPTIONS,M12,M14,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,organization_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-068,PAYMENT_TRANSACTIONS,COMMERCIAL_ENTITLEMENTS,M14,M14,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,source_payment_transaction_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-069,PAYMENT_TRANSACTIONS,COMMERCIAL_FULFILLMENTS,M14,M14,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,payment_transaction_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-070,PAYMENT_TRANSACTIONS,PAYMENT_PROVIDER_RESULTS,M14,M14,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,payment_transaction_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-071,PAYMENT_TRANSACTIONS,RECONCILIATION_CASES,M14,M09,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,payment_transaction_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-072,PERMISSIONS,ROLE_PERMISSIONS,M10,M10,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,permission_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-073,PROMOTIONS,ADDONS,M14,M14,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,promotion_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-074,PROMOTIONS,COMMERCIAL_ORDERS,M14,M14,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,promotion_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-075,QUALIFICATION_EVALUATIONS,AWARD_INSTANCES,M15,M15,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,qualification_evaluation_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-076,QUALIFICATION_EVALUATIONS,AWARD_QUALIFYING_PATHS,M15,M15,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,qualification_evaluation_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-077,QUIZ_QUESTIONS,QUIZ_OPTIONS,M04,M04,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,question_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-078,QUIZZES,QUIZ_ATTEMPTS,M04,M04,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,quiz_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-079,QUIZZES,QUIZ_QUESTIONS,M04,M04,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,quiz_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-080,QUOTA_ALLOCATIONS,QUOTA_USAGE,M14,M14,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,quota_allocation_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-081,QUOTA_CAPACITIES,OPERATIONAL_QUOTA_POOLS,M14,M14,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,quota_capacity_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-082,REF_CITIES,DEVELOPER_PROJECTS,CORE,M06,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,city_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-083,REF_CITIES,LISTINGS,CORE,M03,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,city_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-084,REF_CITIES,REF_DISTRICTS,CORE,CORE,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,city_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-085,REF_DISTRICTS,LISTINGS,CORE,M03,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,district_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-086,REF_DISTRICTS,REF_VILLAGES,CORE,CORE,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,district_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-087,REF_PROVINCES,LISTINGS,CORE,M03,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,province_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-088,REF_PROVINCES,REF_CITIES,CORE,CORE,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,province_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-089,ROLES,ROLE_PERMISSIONS,M10,M10,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,role_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-090,ROLES,USERS,M10,M01,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,skema,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-091,SESSION_ATTENDANCE_EVALUATIONS,SESSION_COMPLETION_OUTCOMES,M04,M04,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,attendance_evaluation_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-092,SESSION_ENROLLMENTS,SESSION_ATTENDANCE_EVALUATIONS,M04,M04,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,session_enrollment_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-093,SESSION_ENROLLMENTS,SESSION_COMPLETION_OUTCOMES,M04,M04,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,session_enrollment_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-094,SESSION_ENROLLMENTS,SESSION_PARTICIPATION_EVIDENCE,M04,M04,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,session_enrollment_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-095,SESSION_PARTICIPATION_EVIDENCE,SESSION_ATTENDANCE_EVALUATIONS,M04,M04,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,evidence_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-096,SESSION_PROVIDER_BINDINGS,SESSION_PARTICIPATION_EVIDENCE,M04,M04,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,binding_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-097,SUBSCRIPTIONS,COMMERCIAL_ORDERS,M14,M14,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,subscription_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-098,TITLE_DEFINITIONS,AWARD_INSTANCES,M15,M15,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,title_definition_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-099,TITLE_DEFINITIONS,AWARDING_PATHS,M15,M15,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,title_definition_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-100,TITLE_DEFINITIONS,TITLE_AUTHORITY_SCOPES,M15,M15,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,title_definition_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-101,TITLE_DEFINITIONS,TITLE_PRESENTATIONS,M15,M15,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,title_definition_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-102,USERS,AGENT_AI_CONNECTIONS,M01,M13,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,user_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-103,USERS,AGENT_PROFILES,M01,M01,CORE_PRESERVED_FK,1:1,NO,Current W4-01E physical FK corroboration,user_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-104,USERS,AGENT_PROJECT_CLAIMS,M01,M06,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,agent_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-105,USERS,AGENT_REVIEWS,M01,M02,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,agent_id; buyer_id; moderated_by,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-106,USERS,AGENT_VERIFICATION_DOCUMENTS,M01,M01,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,user_id; reviewed_by,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-107,USERS,AUDIT_LOGS,M01,M09,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,user_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-108,USERS,AWARD_INSTANCES,M01,M15,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,user_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-109,USERS,CERTIFICATES,M01,M04,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,agent_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-110,USERS,COMMERCIAL_ENTITLEMENTS,M01,M14,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,user_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-111,USERS,COMMERCIAL_ORDERS,M01,M14,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,user_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-112,USERS,COURSES,M01,M04,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,created_by,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-113,USERS,DBR_CONFIG,M01,M07,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,updated_by,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-114,USERS,DBR_SIMULATIONS,M01,M07,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,agent_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-115,USERS,DEVELOPER_PARTNERS,M01,M06,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,user_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-116,USERS,ENROLLMENTS,M01,M04,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,agent_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-117,USERS,EVENT_REGISTRATIONS,M01,M05,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,agent_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-118,USERS,EVENTS,M01,M05,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,submitted_by,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-119,USERS,LEARNING_ACTIVITY_COMPLETIONS,M01,M04,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,user_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
R-120,USERS,LEARNING_POINT_ACCOUNTS,M01,M04,CORE_PRESERVED_FK,1:1,NO,Current W4-01E physical FK corroboration,user_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.
