constraint_id,scope,module,entity_or_table,attribute_or_columns,constraint_type,constraint_definition,status,authority,downstream_action
PHY-0025,PHYSICAL,CORE,ref_cities,code,UNIQUE,code         VARCHAR(10) UNIQUE NOT NULL,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0026,PHYSICAL,CORE,ref_cities,type,CHECK,"type         TEXT NOT NULL CHECK (type IN ('kota','kabupaten'))",PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0027,PHYSICAL,CORE,role_permissions,id,PK+DEFAULT,id                    UUID PRIMARY KEY DEFAULT gen_random_uuid(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0028,PHYSICAL,CORE,role_permissions,role_id,FK,role_id               UUID NOT NULL REFERENCES roles(id) ON DELETE RESTRICT,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0029,PHYSICAL,CORE,role_permissions,permission_id,FK,permission_id         UUID NOT NULL REFERENCES permissions(id) ON DELETE RESTRICT,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0030,PHYSICAL,CORE,role_permissions,granted_scope,CHECK,"granted_scope         TEXT NOT NULL CHECK (granted_scope IN ('all','own','none'))",PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0031,PHYSICAL,CORE,role_permissions,editable_by_role_code,DEFAULT,editable_by_role_code VARCHAR(100) NOT NULL DEFAULT 'superadmin',PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0032,PHYSICAL,CORE,role_permissions,updated_at,DEFAULT,updated_at            TIMESTAMPTZ NOT NULL DEFAULT now(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0033,PHYSICAL,CORE,users,id,PK+DEFAULT,"id                  UUID PRIMARY KEY DEFAULT gen_random_uuid(),  -- = auth.uid() (Supabase Auth)",PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0034,PHYSICAL,CORE,users,email,UNIQUE,email               VARCHAR(255) UNIQUE NOT NULL,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0035,PHYSICAL,CORE,users,phone,UNIQUE,phone               VARCHAR(20) UNIQUE,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0036,PHYSICAL,CORE,users,role_id,FK,role_id             UUID NOT NULL REFERENCES roles(id) ON DELETE RESTRICT,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0037,PHYSICAL,CORE,users,status,DEFAULT,status              TEXT NOT NULL DEFAULT 'pending_review',PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0038,PHYSICAL,CORE,users,created_at,DEFAULT,created_at          TIMESTAMPTZ NOT NULL DEFAULT now(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0039,PHYSICAL,CORE,users,updated_at,DEFAULT,updated_at          TIMESTAMPTZ NOT NULL DEFAULT now(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0040,PHYSICAL,CORE,agent_ai_connections,id,PK+DEFAULT,id                    UUID PRIMARY KEY DEFAULT gen_random_uuid(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0041,PHYSICAL,CORE,agent_ai_connections,user_id,FK,user_id               UUID NOT NULL REFERENCES users(id) ON DELETE CASCADE,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0042,PHYSICAL,CORE,agent_ai_connections,provider_id,FK,provider_id           UUID NOT NULL REFERENCES ai_providers(id) ON DELETE RESTRICT,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0043,PHYSICAL,CORE,agent_ai_connections,status,CHECK+DEFAULT,"status                TEXT NOT NULL DEFAULT 'active' CHECK (status IN ('active','disconnected','invalid'))",PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0044,PHYSICAL,CORE,agent_ai_connections,connected_at,DEFAULT,connected_at          TIMESTAMPTZ NOT NULL DEFAULT now(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0045,PHYSICAL,CORE,agent_ai_connections,created_at,DEFAULT,created_at            TIMESTAMPTZ NOT NULL DEFAULT now(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0046,PHYSICAL,CORE,agent_ai_connections,updated_at,DEFAULT,updated_at            TIMESTAMPTZ NOT NULL DEFAULT now(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0047,PHYSICAL,CORE,agent_profiles,id,PK+DEFAULT,id                     UUID PRIMARY KEY DEFAULT gen_random_uuid(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0048,PHYSICAL,CORE,agent_profiles,user_id,FK+UNIQUE,user_id                UUID UNIQUE NOT NULL REFERENCES users(id) ON DELETE CASCADE,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0049,PHYSICAL,CORE,agent_profiles,contact_visibility,CHECK+DEFAULT,"contact_visibility     TEXT NOT NULL DEFAULT 'public' CHECK (contact_visibility IN ('public','hidden'))",PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0050,PHYSICAL,CORE,agent_profiles,public_slug,UNIQUE,public_slug            VARCHAR(150) UNIQUE NOT NULL,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0051,PHYSICAL,CORE,agent_profiles,total_listings_sold,DEFAULT,"total_listings_sold    INT NOT NULL DEFAULT 0,   -- denormalized counter, ERD v1.3 Bagian 4 poin 2",PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0052,PHYSICAL,CORE,agent_profiles,total_listings_rented,DEFAULT,total_listings_rented  INT NOT NULL DEFAULT 0,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0053,PHYSICAL,CORE,agent_profiles,created_at,DEFAULT,created_at             TIMESTAMPTZ NOT NULL DEFAULT now(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0054,PHYSICAL,CORE,agent_profiles,updated_at,DEFAULT,updated_at             TIMESTAMPTZ NOT NULL DEFAULT now(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0055,PHYSICAL,CORE,agent_reviews,id,PK+DEFAULT,id               UUID PRIMARY KEY DEFAULT gen_random_uuid(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0056,PHYSICAL,CORE,agent_reviews,agent_id,FK,agent_id         UUID NOT NULL REFERENCES users(id) ON DELETE CASCADE,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0057,PHYSICAL,CORE,agent_reviews,buyer_id,FK,buyer_id         UUID REFERENCES users(id) ON DELETE SET NULL,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0058,PHYSICAL,CORE,agent_reviews,rating,CHECK,rating           SMALLINT NOT NULL CHECK (rating BETWEEN 1 AND 5),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0059,PHYSICAL,CORE,agent_reviews,status,CHECK+DEFAULT,"status           TEXT NOT NULL DEFAULT 'pending' CHECK (status IN ('pending','approved','rejected'))",PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0060,PHYSICAL,CORE,agent_reviews,moderated_by,FK,moderated_by     UUID REFERENCES users(id) ON DELETE SET NULL,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0061,PHYSICAL,CORE,agent_reviews,created_at,DEFAULT,created_at       TIMESTAMPTZ NOT NULL DEFAULT now(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0062,PHYSICAL,CORE,agent_verification_documents,id,PK+DEFAULT,id                UUID PRIMARY KEY DEFAULT gen_random_uuid(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0063,PHYSICAL,CORE,agent_verification_documents,user_id,FK,user_id           UUID NOT NULL REFERENCES users(id) ON DELETE CASCADE,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0064,PHYSICAL,CORE,agent_verification_documents,doc_type,CHECK,"doc_type          TEXT NOT NULL CHECK (doc_type IN ('ktp','npwp','sertifikasi_rei','lainnya'))",PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0065,PHYSICAL,CORE,agent_verification_documents,encrypted,DEFAULT,encrypted         BOOLEAN NOT NULL DEFAULT true,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0066,PHYSICAL,CORE,agent_verification_documents,review_status,CHECK+DEFAULT,"review_status     TEXT NOT NULL DEFAULT 'pending' CHECK (review_status IN ('pending','approved','rejected'))",PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0067,PHYSICAL,CORE,agent_verification_documents,reviewed_by,FK,reviewed_by       UUID REFERENCES users(id) ON DELETE SET NULL,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0068,PHYSICAL,CORE,agent_verification_documents,created_at,DEFAULT,created_at        TIMESTAMPTZ NOT NULL DEFAULT now(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0069,PHYSICAL,CORE,courses,id,PK+DEFAULT,id                      UUID PRIMARY KEY DEFAULT gen_random_uuid(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0070,PHYSICAL,CORE,courses,category,CHECK,"category                TEXT CHECK (category IN ('sales_skill','legal_regulasi','produk_developer','financial_kpr','lainnya'))",PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0071,PHYSICAL,CORE,courses,prerequisite_course_id,FK,prerequisite_course_id  UUID REFERENCES courses(id) ON DELETE SET NULL,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0072,PHYSICAL,CORE,courses,passing_grade,DEFAULT,passing_grade           SMALLINT NOT NULL DEFAULT 70,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0073,PHYSICAL,CORE,courses,status,CHECK+DEFAULT,"status                  TEXT NOT NULL DEFAULT 'draft' CHECK (status IN ('draft','published','archived'))",PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0074,PHYSICAL,CORE,courses,created_by,FK,created_by              UUID NOT NULL REFERENCES users(id) ON DELETE RESTRICT,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0075,PHYSICAL,CORE,courses,created_at,DEFAULT,created_at              TIMESTAMPTZ NOT NULL DEFAULT now(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0076,PHYSICAL,CORE,courses,updated_at,DEFAULT,updated_at              TIMESTAMPTZ NOT NULL DEFAULT now(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0077,PHYSICAL,CORE,dbr_config,id,PK+DEFAULT,id                       UUID PRIMARY KEY DEFAULT gen_random_uuid(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0078,PHYSICAL,CORE,dbr_config,dbr_threshold_percent,DEFAULT,"dbr_threshold_percent    DECIMAL(5,2) NOT NULL DEFAULT 35.00",PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0079,PHYSICAL,CORE,dbr_config,default_interest_rate,DEFAULT,"default_interest_rate    DECIMAL(5,2) NOT NULL DEFAULT 8.50",PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0080,PHYSICAL,CORE,dbr_config,updated_by,FK,updated_by               UUID REFERENCES users(id) ON DELETE SET NULL,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0081,PHYSICAL,CORE,dbr_config,updated_at,DEFAULT,updated_at               TIMESTAMPTZ NOT NULL DEFAULT now(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0082,PHYSICAL,CORE,developer_partners,id,PK+DEFAULT,id            UUID PRIMARY KEY DEFAULT gen_random_uuid(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0083,PHYSICAL,CORE,developer_partners,user_id,FK,user_id       UUID REFERENCES users(id) ON DELETE SET NULL,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0084,PHYSICAL,CORE,developer_partners,status,CHECK+DEFAULT,"status        TEXT NOT NULL DEFAULT 'active' CHECK (status IN ('active','inactive'))",PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0085,PHYSICAL,CORE,developer_partners,created_at,DEFAULT,created_at    TIMESTAMPTZ NOT NULL DEFAULT now(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0086,PHYSICAL,CORE,notifications,id,PK+DEFAULT,id                   UUID PRIMARY KEY DEFAULT gen_random_uuid(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0087,PHYSICAL,CORE,notifications,user_id,FK,user_id              UUID NOT NULL REFERENCES users(id) ON DELETE CASCADE,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0088,PHYSICAL,CORE,notifications,type,CHECK,"type                 TEXT NOT NULL CHECK (type IN ('approval_status','event_reminder','listing_expiring','certificate_issued','lead_new','lainnya'))",PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0089,PHYSICAL,CORE,notifications,is_read,DEFAULT,is_read              BOOLEAN NOT NULL DEFAULT false,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0090,PHYSICAL,CORE,notifications,created_at,DEFAULT,created_at           TIMESTAMPTZ NOT NULL DEFAULT now(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0091,PHYSICAL,CORE,organizations,id,PK+DEFAULT,id                 UUID PRIMARY KEY DEFAULT gen_random_uuid(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0092,PHYSICAL,CORE,organizations,slug,UNIQUE,slug               VARCHAR(170) UNIQUE NOT NULL,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0093,PHYSICAL,CORE,organizations,organization_type,CHECK,"organization_type  TEXT NOT NULL CHECK (organization_type IN ('agency','kantor','tim','komunitas'))",PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0094,PHYSICAL,CORE,organizations,created_by,FK,created_by         UUID NOT NULL REFERENCES users(id) ON DELETE RESTRICT,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0095,PHYSICAL,CORE,organizations,status,CHECK+DEFAULT,"status             TEXT NOT NULL DEFAULT 'active' CHECK (status IN ('active','closed'))",PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0096,PHYSICAL,CORE,organizations,created_at,DEFAULT,created_at         TIMESTAMPTZ NOT NULL DEFAULT now(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0097,PHYSICAL,CORE,organizations,updated_at,DEFAULT,updated_at         TIMESTAMPTZ NOT NULL DEFAULT now(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0098,PHYSICAL,CORE,ref_districts,id,PK+DEFAULT,id       UUID PRIMARY KEY DEFAULT gen_random_uuid(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0099,PHYSICAL,CORE,ref_districts,city_id,FK,city_id  UUID NOT NULL REFERENCES ref_cities(id) ON DELETE RESTRICT,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0100,PHYSICAL,CORE,ref_districts,code,UNIQUE,code     VARCHAR(10) UNIQUE NOT NULL,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0101,PHYSICAL,CORE,system_configs,id,PK+DEFAULT,id            UUID PRIMARY KEY DEFAULT gen_random_uuid(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0102,PHYSICAL,CORE,system_configs,config_key,UNIQUE,config_key    VARCHAR(100) UNIQUE NOT NULL,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0103,PHYSICAL,CORE,system_configs,updated_by,FK,updated_by    UUID REFERENCES users(id) ON DELETE SET NULL,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0104,PHYSICAL,CORE,system_configs,updated_at,DEFAULT,updated_at    TIMESTAMPTZ NOT NULL DEFAULT now(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0105,PHYSICAL,CORE,audit_logs,id,PK+DEFAULT,id                UUID PRIMARY KEY DEFAULT gen_random_uuid(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0106,PHYSICAL,CORE,audit_logs,user_id,FK,user_id           UUID REFERENCES users(id) ON DELETE SET NULL,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0107,PHYSICAL,CORE,audit_logs,organization_id,FK,"organization_id   UUID REFERENCES organizations(id) ON DELETE SET NULL,  -- v1.3",PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0108,PHYSICAL,CORE,audit_logs,created_at,DEFAULT,created_at        TIMESTAMPTZ NOT NULL DEFAULT now(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0109,PHYSICAL,CORE,certificates,id,PK+DEFAULT,id                UUID PRIMARY KEY DEFAULT gen_random_uuid(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0110,PHYSICAL,CORE,certificates,agent_id,FK,agent_id          UUID NOT NULL REFERENCES users(id) ON DELETE CASCADE,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0111,PHYSICAL,CORE,certificates,course_id,FK,course_id         UUID NOT NULL REFERENCES courses(id) ON DELETE CASCADE,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0112,PHYSICAL,CORE,certificates,issued_at,DEFAULT,issued_at         TIMESTAMPTZ NOT NULL DEFAULT now(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0113,PHYSICAL,CORE,course_lessons,id,PK+DEFAULT,id            UUID PRIMARY KEY DEFAULT gen_random_uuid(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0114,PHYSICAL,CORE,course_lessons,course_id,FK,course_id     UUID NOT NULL REFERENCES courses(id) ON DELETE CASCADE,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0115,PHYSICAL,CORE,course_lessons,content_type,CHECK,"content_type  TEXT CHECK (content_type IN ('video','pdf','slide'))",PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0116,PHYSICAL,CORE,course_lessons,sort_order,DEFAULT,sort_order    SMALLINT NOT NULL DEFAULT 0,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0117,PHYSICAL,CORE,developer_projects,id,PK+DEFAULT,id                    UUID PRIMARY KEY DEFAULT gen_random_uuid(),PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0118,PHYSICAL,CORE,developer_projects,developer_id,FK,developer_id          UUID NOT NULL REFERENCES developer_partners(id) ON DELETE CASCADE,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0119,PHYSICAL,CORE,developer_projects,slug,UNIQUE,slug                  VARCHAR(220) UNIQUE NOT NULL,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0120,PHYSICAL,CORE,developer_projects,city_id,FK,city_id               UUID NOT NULL REFERENCES ref_cities(id) ON DELETE RESTRICT,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0121,PHYSICAL,CORE,developer_projects,property_type,CHECK,"property_type         TEXT CHECK (property_type IN ('rumah','apartemen','ruko','tanah','gudang','kavling','lainnya'))",PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0122,PHYSICAL,CORE,developer_projects,is_exclusive_by_region,DEFAULT,is_exclusive_by_region BOOLEAN NOT NULL DEFAULT false,PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
PHY-0123,PHYSICAL,CORE,developer_projects,status,DEFAULT,status                TEXT NOT NULL DEFAULT 'coming_soon',PHYSICAL_PROVEN_CURRENT_SCHEMA,W4-01E canonical SQL,NONE
