logical_entity,module,authority_version,logical_attribute,logical_data_type,representation,logical_data_meaning,physical_table,physical_column,physical_data_type,nullable_required,pk,fk,unique,default,physical_check,physical_definition,mapping_status,conflict_or_gap,downstream_action,note,reconciliation_status,reconciliation_basis,physical_boundary_status
AMENITIES,M03,v1.3,name,VARCHAR(100),PHYSICAL_CORROBORATION,NOT NULL; UNIQUE,amenities,name,VARCHAR(100),NO,NO,NO,YES,,NO,name  VARCHAR(100) NOT NULL UNIQUE,PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
PERMISSIONS,M10,v1.1,id,UUID,PHYSICAL_CORROBORATION,PK,permissions,id,UUID,YES,YES,NO,NO,gen_random_uuid(),NO,id            UUID PRIMARY KEY DEFAULT gen_random_uuid(),PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
PERMISSIONS,M10,v1.1,module_code,VARCHAR(50),PHYSICAL_CORROBORATION,NOT NULL,permissions,module_code,VARCHAR(50),NO,NO,NO,NO,,NO,module_code   VARCHAR(50) NOT NULL,PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
PERMISSIONS,M10,v1.1,action_code,VARCHAR(50),PHYSICAL_CORROBORATION,NOT NULL,permissions,action_code,VARCHAR(50),NO,NO,NO,NO,,NO,action_code   VARCHAR(50) NOT NULL,PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
PERMISSIONS,M10,v1.1,scope_type,TEXT,PHYSICAL_CORROBORATION,NOT NULL,permissions,scope_type,TEXT,NO,NO,NO,NO,'own',YES,"scope_type    TEXT NOT NULL DEFAULT 'own' CHECK (scope_type IN ('all','own','none'))",PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
PERMISSIONS,M10,v1.1,description,VARCHAR(255),PHYSICAL_CORROBORATION,,permissions,description,VARCHAR(255),YES,NO,NO,NO,,NO,description   VARCHAR(255),PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
REF_PROVINCES,CORE,Core v1.3,id,UUID,PHYSICAL_CORROBORATION,PK,ref_provinces,id,UUID,YES,YES,NO,NO,gen_random_uuid(),NO,id    UUID PRIMARY KEY DEFAULT gen_random_uuid(),PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
REF_PROVINCES,CORE,Core v1.3,code,VARCHAR(10),PHYSICAL_CORROBORATION,NOT NULL; UNIQUE,ref_provinces,code,VARCHAR(10),NO,NO,NO,YES,,NO,code  VARCHAR(10) UNIQUE NOT NULL,PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
REF_PROVINCES,CORE,Core v1.3,name,VARCHAR(100),PHYSICAL_CORROBORATION,NOT NULL,ref_provinces,name,VARCHAR(100),NO,NO,NO,NO,,NO,name  VARCHAR(100) NOT NULL,PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
ROLES,M10,v1.1,id,UUID,PHYSICAL_CORROBORATION,PK,roles,id,UUID,YES,YES,NO,NO,gen_random_uuid(),NO,id                UUID PRIMARY KEY DEFAULT gen_random_uuid(),PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
ROLES,M10,v1.1,code,VARCHAR(50),PHYSICAL_CORROBORATION,NOT NULL; UNIQUE,roles,code,VARCHAR(50),NO,NO,NO,YES,,NO,code              VARCHAR(50) UNIQUE NOT NULL,PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
ROLES,M10,v1.1,name,VARCHAR(100),PHYSICAL_CORROBORATION,NOT NULL,roles,name,VARCHAR(100),NO,NO,NO,NO,,NO,name              VARCHAR(100) NOT NULL,PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
ROLES,M10,v1.1,is_system_role,BOOLEAN,PHYSICAL_CORROBORATION,NOT NULL,roles,is_system_role,BOOLEAN,NO,NO,NO,NO,true,NO,is_system_role    BOOLEAN NOT NULL DEFAULT true,PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
ROLES,M10,v1.1,is_protected,BOOLEAN,PHYSICAL_CORROBORATION,NOT NULL,roles,is_protected,BOOLEAN,NO,NO,NO,NO,false,NO,is_protected      BOOLEAN NOT NULL DEFAULT false,PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
ROLES,M10,v1.1,created_at,TIMESTAMPTZ,PHYSICAL_CORROBORATION,NOT NULL,roles,created_at,TIMESTAMPTZ,NO,NO,NO,NO,now(),NO,created_at        TIMESTAMPTZ NOT NULL DEFAULT now(),PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
ROLES,M10,v1.1,updated_at,TIMESTAMPTZ,PHYSICAL_CORROBORATION,NOT NULL,roles,updated_at,TIMESTAMPTZ,NO,NO,NO,NO,now(),NO,updated_at        TIMESTAMPTZ NOT NULL DEFAULT now(),PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
URL_REDIRECTS,M11,v2.0,id,UUID,PHYSICAL_CORROBORATION,PK,url_redirects,id,UUID,YES,YES,NO,NO,gen_random_uuid(),NO,id              UUID PRIMARY KEY DEFAULT gen_random_uuid(),PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
URL_REDIRECTS,M11,v2.0,old_path,VARCHAR(300),PHYSICAL_CORROBORATION,NOT NULL; UNIQUE,url_redirects,old_path,VARCHAR(300),NO,NO,NO,YES,,NO,old_path        VARCHAR(300) UNIQUE NOT NULL,PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
URL_REDIRECTS,M11,v2.0,new_path,VARCHAR(300),PHYSICAL_CORROBORATION,NOT NULL,url_redirects,new_path,VARCHAR(300),NO,NO,NO,NO,,NO,new_path        VARCHAR(300) NOT NULL,PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
URL_REDIRECTS,M11,v2.0,redirect_type,SMALLINT,PHYSICAL_CORROBORATION,NOT NULL,url_redirects,redirect_type,SMALLINT,NO,NO,NO,NO,301,YES,"redirect_type   SMALLINT NOT NULL DEFAULT 301 CHECK (redirect_type IN (301, 302))",PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
URL_REDIRECTS,M11,v2.0,reason,TEXT,PHYSICAL_CORROBORATION,,url_redirects,reason,TEXT,YES,NO,NO,NO,,YES,"reason          TEXT CHECK (reason IN ('slug_changed','listing_deleted','listing_merged','lainnya'))",PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
URL_REDIRECTS,M11,v2.0,entity_type,VARCHAR(50),PHYSICAL_CORROBORATION,,url_redirects,entity_type,VARCHAR(50),YES,NO,NO,NO,,NO,entity_type     VARCHAR(50),PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
URL_REDIRECTS,M11,v2.0,entity_id,UUID,PHYSICAL_CORROBORATION,,url_redirects,entity_id,UUID,YES,NO,NO,NO,,NO,entity_id       UUID,PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
URL_REDIRECTS,M11,v2.0,created_at,TIMESTAMPTZ,PHYSICAL_CORROBORATION,NOT NULL,url_redirects,created_at,TIMESTAMPTZ,NO,NO,NO,NO,now(),NO,created_at      TIMESTAMPTZ NOT NULL DEFAULT now(),PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
REF_CITIES,CORE,Core v1.3,id,UUID,PHYSICAL_CORROBORATION,PK,ref_cities,id,UUID,YES,YES,NO,NO,gen_random_uuid(),NO,id           UUID PRIMARY KEY DEFAULT gen_random_uuid(),PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
REF_CITIES,CORE,Core v1.3,province_id,UUID,PHYSICAL_CORROBORATION,NOT NULL; FK→ref_provinces.id,ref_cities,province_id,UUID,NO,NO,YES,NO,,NO,province_id  UUID NOT NULL REFERENCES ref_provinces(id) ON DELETE RESTRICT,PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
REF_CITIES,CORE,Core v1.3,code,VARCHAR(10),PHYSICAL_CORROBORATION,NOT NULL; UNIQUE,ref_cities,code,VARCHAR(10),NO,NO,NO,YES,,NO,code         VARCHAR(10) UNIQUE NOT NULL,PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
REF_CITIES,CORE,Core v1.3,name,VARCHAR(100),PHYSICAL_CORROBORATION,NOT NULL,ref_cities,name,VARCHAR(100),NO,NO,NO,NO,,NO,name         VARCHAR(100) NOT NULL,PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
REF_CITIES,CORE,Core v1.3,type,TEXT,PHYSICAL_CORROBORATION,NOT NULL,ref_cities,type,TEXT,NO,NO,NO,NO,,YES,"type         TEXT NOT NULL CHECK (type IN ('kota','kabupaten'))",PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
ROLE_PERMISSIONS,M10,v1.1,id,UUID,PHYSICAL_CORROBORATION,PK,role_permissions,id,UUID,YES,YES,NO,NO,gen_random_uuid(),NO,id                    UUID PRIMARY KEY DEFAULT gen_random_uuid(),PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
ROLE_PERMISSIONS,M10,v1.1,role_id,UUID,PHYSICAL_CORROBORATION,NOT NULL; FK→roles.id,role_permissions,role_id,UUID,NO,NO,YES,NO,,NO,role_id               UUID NOT NULL REFERENCES roles(id) ON DELETE RESTRICT,PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
ROLE_PERMISSIONS,M10,v1.1,permission_id,UUID,PHYSICAL_CORROBORATION,NOT NULL; FK→permissions.id,role_permissions,permission_id,UUID,NO,NO,YES,NO,,NO,permission_id         UUID NOT NULL REFERENCES permissions(id) ON DELETE RESTRICT,PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
ROLE_PERMISSIONS,M10,v1.1,granted_scope,TEXT,PHYSICAL_CORROBORATION,NOT NULL,role_permissions,granted_scope,TEXT,NO,NO,NO,NO,,YES,"granted_scope         TEXT NOT NULL CHECK (granted_scope IN ('all','own','none'))",PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
ROLE_PERMISSIONS,M10,v1.1,editable_by_role_code,VARCHAR(100),PHYSICAL_CORROBORATION,NOT NULL,role_permissions,editable_by_role_code,VARCHAR(100),NO,NO,NO,NO,'superadmin',NO,editable_by_role_code VARCHAR(100) NOT NULL DEFAULT 'superadmin',PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
ROLE_PERMISSIONS,M10,v1.1,updated_by,UUID,PHYSICAL_CORROBORATION,,role_permissions,updated_by,UUID,YES,NO,NO,NO,,NO,"updated_by            UUID,  -- FK → users.id, ditambahkan via ALTER setelah tabel users ada (lihat 0003)",PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
ROLE_PERMISSIONS,M10,v1.1,updated_at,TIMESTAMPTZ,PHYSICAL_CORROBORATION,NOT NULL,role_permissions,updated_at,TIMESTAMPTZ,NO,NO,NO,NO,now(),NO,updated_at            TIMESTAMPTZ NOT NULL DEFAULT now(),PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
USERS,M01,v1.1,id,UUID,PHYSICAL_CORROBORATION,PK,users,id,UUID,YES,YES,NO,NO,"gen_random_uuid(),  -- = auth.uid() (Supabase Auth)",NO,"id                  UUID PRIMARY KEY DEFAULT gen_random_uuid(),  -- = auth.uid() (Supabase Auth)",PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
USERS,M01,v1.1,email,VARCHAR(255),PHYSICAL_CORROBORATION,NOT NULL; UNIQUE,users,email,VARCHAR(255),NO,NO,NO,YES,,NO,email               VARCHAR(255) UNIQUE NOT NULL,PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
USERS,M01,v1.1,phone,VARCHAR(20),PHYSICAL_CORROBORATION,UNIQUE,users,phone,VARCHAR(20),YES,NO,NO,YES,,NO,phone               VARCHAR(20) UNIQUE,PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
USERS,M01,v1.1,password_hash,VARCHAR(255),PHYSICAL_CORROBORATION,NOT NULL,users,password_hash,VARCHAR(255),NO,NO,NO,NO,,NO,"password_hash       VARCHAR(255) NOT NULL,  -- dikelola Supabase Auth; kolom disiapkan utk kompatibilitas skema",PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
USERS,M01,v1.1,role_id,UUID,PHYSICAL_CORROBORATION,NOT NULL; FK→roles.id,users,role_id,UUID,NO,NO,YES,NO,,NO,role_id             UUID NOT NULL REFERENCES roles(id) ON DELETE RESTRICT,PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
USERS,M01,v1.1,status,TEXT,PHYSICAL_CORROBORATION,NOT NULL,users,status,TEXT,NO,NO,NO,NO,'pending_review',NO,status              TEXT NOT NULL DEFAULT 'pending_review',PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
USERS,M01,v1.1,email_verified_at,TIMESTAMPTZ,PHYSICAL_CORROBORATION,,users,email_verified_at,TIMESTAMPTZ,YES,NO,NO,NO,,NO,email_verified_at   TIMESTAMPTZ,PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
USERS,M01,v1.1,last_login_at,TIMESTAMPTZ,PHYSICAL_CORROBORATION,,users,last_login_at,TIMESTAMPTZ,YES,NO,NO,NO,,NO,last_login_at       TIMESTAMPTZ,PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
USERS,M01,v1.1,deleted_at,TIMESTAMPTZ,PHYSICAL_CORROBORATION,,users,deleted_at,TIMESTAMPTZ,YES,NO,NO,NO,,NO,"deleted_at          TIMESTAMPTZ,  -- soft-delete (ADR-046, 8 tabel)",PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
USERS,M01,v1.1,created_at,TIMESTAMPTZ,PHYSICAL_CORROBORATION,NOT NULL,users,created_at,TIMESTAMPTZ,NO,NO,NO,NO,now(),NO,created_at          TIMESTAMPTZ NOT NULL DEFAULT now(),PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
USERS,M01,v1.1,updated_at,TIMESTAMPTZ,PHYSICAL_CORROBORATION,NOT NULL,users,updated_at,TIMESTAMPTZ,NO,NO,NO,NO,now(),NO,updated_at          TIMESTAMPTZ NOT NULL DEFAULT now(),PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
AGENT_AI_CONNECTIONS,M13,v1.1,id,UUID,PHYSICAL_CORROBORATION,PK,agent_ai_connections,id,UUID,YES,YES,NO,NO,gen_random_uuid(),NO,id                    UUID PRIMARY KEY DEFAULT gen_random_uuid(),PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
AGENT_AI_CONNECTIONS,M13,v1.1,user_id,UUID,PHYSICAL_CORROBORATION,NOT NULL; FK→users.id,agent_ai_connections,user_id,UUID,NO,NO,YES,NO,,NO,user_id               UUID NOT NULL REFERENCES users(id) ON DELETE CASCADE,PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
AGENT_AI_CONNECTIONS,M13,v1.1,provider_id,UUID,PHYSICAL_CORROBORATION,NOT NULL; FK→ai_providers.id,agent_ai_connections,provider_id,UUID,NO,NO,YES,NO,,NO,provider_id           UUID NOT NULL REFERENCES ai_providers(id) ON DELETE RESTRICT,PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
AGENT_AI_CONNECTIONS,M13,v1.1,encrypted_api_key,VARCHAR(500),PHYSICAL_CORROBORATION,NOT NULL,agent_ai_connections,encrypted_api_key,VARCHAR(500),NO,NO,NO,NO,,NO,"encrypted_api_key     VARCHAR(500) NOT NULL,  -- enkripsi at-rest wajib",PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
AGENT_AI_CONNECTIONS,M13,v1.1,status,TEXT,PHYSICAL_CORROBORATION,NOT NULL,agent_ai_connections,status,TEXT,NO,NO,NO,NO,'active',YES,"status                TEXT NOT NULL DEFAULT 'active' CHECK (status IN ('active','disconnected','invalid'))",PRESERVE_EXACT_PHYSICAL_CORROBORATION,NONE,PRESERVE,Exact logical attribute ↔ physical column.,PASS,A1/A2 accepted logical baseline + B Dictionary row closure,PHYSICAL CORROBORATION ONLY
