logical_entity,field_count,mapping_status,physical_table,physical_table_present,entity_in_A1,entity_in_B,coverage_status
ORGANIZATIONS,16,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,organizations,YES,True,True,PASS
ORGANIZATION_DOCUMENT,7,NEW_LOGICAL_NO_CURRENT_PHYSICAL_TABLE,,NO,True,True,PASS
ORGANIZATION_INVITATIONS,9,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,organization_invitations,YES,True,True,PASS
ORGANIZATION_MEMBERS,7,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,organization_members,YES,True,True,PASS
PAYMENT_PROVIDER_RESULTS,11,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,payment_provider_results,YES,True,True,PASS
PAYMENT_TRANSACTIONS,13,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,payment_transactions,YES,True,True,PASS
PERMISSIONS,5,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,permissions,YES,True,True,PASS
PERMISSION_PRESET,7,NEW_LOGICAL_NO_CURRENT_PHYSICAL_TABLE,,NO,True,True,PASS
PERMISSION_PRESET_ITEM,6,NEW_LOGICAL_NO_CURRENT_PHYSICAL_TABLE,,NO,True,True,PASS
PROMOTIONS,11,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,promotions,YES,True,True,PASS
PUBLIC_ANNOUNCEMENT_PROMOTION,13,NEW_LOGICAL_NO_CURRENT_PHYSICAL_TABLE,,NO,True,True,PASS
QUALIFICATION_EVALUATIONS,10,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,qualification_evaluations,YES,True,True,PASS
QUALIFICATION_EVIDENCE,9,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,qualification_evidence,YES,True,True,PASS
QUIZZES,3,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,quizzes,YES,True,True,PASS
QUIZ_ATTEMPTS,6,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,quiz_attempts,YES,True,True,PASS
QUIZ_OPTIONS,4,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,quiz_options,YES,True,True,PASS
QUIZ_QUESTIONS,4,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,quiz_questions,YES,True,True,PASS
QUOTA_ALLOCATIONS,10,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,quota_allocations,YES,True,True,PASS
QUOTA_CAPACITIES,11,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,quota_capacities,YES,True,True,PASS
QUOTA_USAGE,9,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,quota_usage,YES,True,True,PASS
RECONCILIATION_CASES,14,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,reconciliation_cases,YES,True,True,PASS
REF_CITIES,5,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,ref_cities,YES,True,True,PASS
REF_DISTRICTS,4,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,ref_districts,YES,True,True,PASS
REF_PROVINCES,3,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,ref_provinces,YES,True,True,PASS
REF_VILLAGES,5,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,ref_villages,YES,True,True,PASS
ROLES,7,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,roles,YES,True,True,PASS
ROLE_PERMISSIONS,7,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,role_permissions,YES,True,True,PASS
SESSION_ARTIFACTS,8,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,session_artifacts,YES,True,True,PASS
SESSION_ATTENDANCE_EVALUATIONS,7,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,session_attendance_evaluations,YES,True,True,PASS
SESSION_COMPLETION_OUTCOMES,7,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,session_completion_outcomes,YES,True,True,PASS
SESSION_ENROLLMENTS,10,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,session_enrollments,YES,True,True,PASS
SESSION_PARTICIPATION_EVIDENCE,10,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,session_participation_evidence,YES,True,True,PASS
SESSION_PROVIDER_BINDINGS,9,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,session_provider_bindings,YES,True,True,PASS
STATIC_PUBLIC_CONTENT,13,NEW_LOGICAL_NO_CURRENT_PHYSICAL_TABLE,,NO,True,True,PASS
SUBSCRIPTIONS,11,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,subscriptions,YES,True,True,PASS
SYSTEM_CONFIGS,5,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,system_configs,YES,True,True,PASS
TITLE_AUTHORITY_SCOPES,6,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,title_authority_scopes,YES,True,True,PASS
TITLE_DEFINITIONS,7,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,title_definitions,YES,True,True,PASS
TITLE_PRESENTATIONS,8,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,title_presentations,YES,True,True,PASS
URL_REDIRECTS,8,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,url_redirects,YES,True,True,PASS
USERS,11,EXISTING_CORE_LOGICAL_TO_EXISTING_PHYSICAL,users,YES,True,True,PASS
USER_PERMISSION_PRESET,5,NEW_LOGICAL_NO_CURRENT_PHYSICAL_TABLE,,NO,True,True,PASS
