relationship_id,source_entity,target_entity,source_module,target_module,relationship_type,cardinality,optional_target_reference,basis,fk_columns,authority,notes,reconciliation_status,reconciliation_note,reconciliation_basis
R-015,AWARDING_RULE_VERSIONS,QUALIFICATION_EVALUATIONS,M15,M15,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,awarding_rule_version_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-016,COMMERCIAL_ENTITLEMENTS,QUOTA_CAPACITIES,M14,M14,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,entitlement_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-017,COMMERCIAL_ENTITLEMENTS,RECONCILIATION_CASES,M14,M09,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,entitlement_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-018,COMMERCIAL_FULFILLMENTS,COMMERCIAL_ENTITLEMENTS,M14,M14,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,source_fulfillment_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-019,COMMERCIAL_FULFILLMENTS,RECONCILIATION_CASES,M14,M09,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,fulfillment_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-020,COMMERCIAL_ORDERS,COMMERCIAL_ENTITLEMENTS,M14,M14,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,source_order_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-021,COMMERCIAL_ORDERS,COMMERCIAL_FULFILLMENTS,M14,M14,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,commercial_order_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-022,COMMERCIAL_ORDERS,PAYMENT_TRANSACTIONS,M14,M14,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,commercial_order_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-023,COMMERCIAL_ORDERS,RECONCILIATION_CASES,M14,M09,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,commercial_order_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-024,COURSES,CERTIFICATES,M04,M04,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,course_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-025,COURSES,COURSE_LESSONS,M04,M04,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,course_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-026,COURSES,COURSES,M04,M04,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,prerequisite_course_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-027,COURSES,ENROLLMENTS,M04,M04,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,course_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-028,COURSES,EVENTS,M04,M05,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,related_course_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-029,COURSES,LEARNING_PATHS,M04,M04,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,course_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-030,COURSES,LEARNING_SESSIONS,M04,M04,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,course_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-031,COURSES,QUIZZES,M04,M04,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,course_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-032,DEVELOPER_PARTNERS,DEVELOPER_PROJECTS,M06,M06,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,developer_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-033,DEVELOPER_PROJECTS,AGENT_PROJECT_CLAIMS,M06,M06,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,project_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-034,DEVELOPER_PROJECTS,DEVELOPER_PROJECT_MEDIA,M06,M06,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,project_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-035,DEVELOPER_PROJECTS,EVENTS,M06,M05,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,related_project_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-036,DEVELOPER_PROJECTS,LISTINGS,M06,M03,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,developer_project_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-037,ENROLLMENTS,QUIZ_ATTEMPTS,M04,M04,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,enrollment_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-038,EVENTS,EVENT_REGISTRATIONS,M05,M05,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,event_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-039,EVENTS,LEARNING_SESSIONS,M05,M04,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,event_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-040,LEARNING_ACTIVITIES,LEARNING_ACTIVITY_COMPLETIONS,M04,M04,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,learning_activity_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-041,LEARNING_PATH_VERSIONS,LEARNING_ACTIVITIES,M04,M04,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,learning_path_version_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-042,LEARNING_PATH_VERSIONS,LEARNING_UNLOCK_PROGRESSIONS,M04,M04,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,learning_path_version_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-043,LEARNING_PATHS,LEARNING_PATH_VERSIONS,M04,M04,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,learning_path_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-044,LEARNING_POINT_ACCOUNTS,LEARNING_POINT_TRANSACTIONS,M04,M04,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,account_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-045,LEARNING_SESSIONS,LEARNING_SESSION_ASSIGNMENTS,M04,M04,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,session_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-046,LEARNING_SESSIONS,SESSION_ARTIFACTS,M04,M04,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,session_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-047,LEARNING_SESSIONS,SESSION_ENROLLMENTS,M04,M04,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,session_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-048,LEARNING_SESSIONS,SESSION_PROVIDER_BINDINGS,M04,M04,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,session_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-049,LISTINGS,DBR_SIMULATIONS,M03,M07,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,listing_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-050,LISTINGS,LISTING_AMENITIES,M03,M03,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,listing_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-051,LISTINGS,LISTING_LEADS,M03,M03,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,listing_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-052,LISTINGS,LISTING_PHOTOS,M03,M03,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,listing_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-053,LISTINGS,LISTING_PRICE_HISTORY,M03,M03,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,listing_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-054,LISTINGS,LISTING_VIDEOS,M03,M03,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,listing_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-055,LISTINGS,LISTING_VIEWS,M03,M03,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,listing_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-056,OPERATIONAL_QUOTA_POOLS,QUOTA_ALLOCATIONS,M14,M14,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,operational_quota_pool_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-057,OPERATIONAL_QUOTA_POOLS,QUOTA_USAGE,M14,M14,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,operational_quota_pool_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-058,ORGANIZATIONS,AUDIT_LOGS,M12,M09,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,organization_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-059,ORGANIZATIONS,COMMERCIAL_ENTITLEMENTS,M12,M14,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,organization_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-060,ORGANIZATIONS,COMMERCIAL_ORDERS,M12,M14,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,organization_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-061,ORGANIZATIONS,LEARNING_SESSIONS,M12,M04,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,organization_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-062,ORGANIZATIONS,LISTINGS,M12,M03,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,organization_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-063,ORGANIZATIONS,OPERATIONAL_QUOTA_POOLS,M12,M14,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,organization_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-064,ORGANIZATIONS,ORGANIZATION_INVITATIONS,M12,M12,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,organization_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-065,ORGANIZATIONS,ORGANIZATION_MEMBERS,M12,M12,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,organization_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-066,ORGANIZATIONS,QUOTA_ALLOCATIONS,M12,M14,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,beneficiary_organization_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-067,ORGANIZATIONS,SUBSCRIPTIONS,M12,M14,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,organization_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-068,PAYMENT_TRANSACTIONS,COMMERCIAL_ENTITLEMENTS,M14,M14,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,source_payment_transaction_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-069,PAYMENT_TRANSACTIONS,COMMERCIAL_FULFILLMENTS,M14,M14,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,payment_transaction_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-070,PAYMENT_TRANSACTIONS,PAYMENT_PROVIDER_RESULTS,M14,M14,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,payment_transaction_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-071,PAYMENT_TRANSACTIONS,RECONCILIATION_CASES,M14,M09,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,payment_transaction_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-072,PERMISSIONS,ROLE_PERMISSIONS,M10,M10,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,permission_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-073,PROMOTIONS,ADDONS,M14,M14,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,promotion_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-074,PROMOTIONS,COMMERCIAL_ORDERS,M14,M14,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,promotion_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-075,QUALIFICATION_EVALUATIONS,AWARD_INSTANCES,M15,M15,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,qualification_evaluation_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-076,QUALIFICATION_EVALUATIONS,AWARD_QUALIFYING_PATHS,M15,M15,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,qualification_evaluation_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-077,QUIZ_QUESTIONS,QUIZ_OPTIONS,M04,M04,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,question_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-078,QUIZZES,QUIZ_ATTEMPTS,M04,M04,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,quiz_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-079,QUIZZES,QUIZ_QUESTIONS,M04,M04,CORE_PRESERVED_FK,1:N,NO,Current W4-01E physical FK corroboration,quiz_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
R-080,QUOTA_ALLOCATIONS,QUOTA_USAGE,M14,M14,CORE_PRESERVED_FK,1:N,YES,Current W4-01E physical FK corroboration,quota_allocation_id,Core current ERD/physical baseline,Aggregated where multiple FK columns connect the same entity pair.,PASS,Matches B relationship register and target entity field semantics.,B relationship matrix cross-checked against B attribute register and A1/A2 relationship baseline
