logical_entity,logical_attribute,representation,authority_version,logical_data_meaning,note,physical_table,physical_column,lifecycle_or_history_indicator,meaning_evidence_status,provenance_status,physical_status_boundary
REF_PROVINCES,id,PHYSICAL_CORROBORATION,Core v1.3,PK,Exact logical attribute ↔ physical column.,ref_provinces,id,NO,EXPLICIT,PASS,CORROBORATION ONLY
REF_PROVINCES,code,PHYSICAL_CORROBORATION,Core v1.3,NOT NULL; UNIQUE,Exact logical attribute ↔ physical column.,ref_provinces,code,NO,EXPLICIT,PASS,CORROBORATION ONLY
REF_PROVINCES,name,PHYSICAL_CORROBORATION,Core v1.3,NOT NULL,Exact logical attribute ↔ physical column.,ref_provinces,name,NO,EXPLICIT,PASS,CORROBORATION ONLY
ROLES,id,PHYSICAL_CORROBORATION,v1.1,PK,Exact logical attribute ↔ physical column.,roles,id,NO,EXPLICIT,PASS,CORROBORATION ONLY
ROLES,code,PHYSICAL_CORROBORATION,v1.1,NOT NULL; UNIQUE,Exact logical attribute ↔ physical column.,roles,code,NO,EXPLICIT,PASS,CORROBORATION ONLY
ROLES,name,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,roles,name,NO,EXPLICIT,PASS,CORROBORATION ONLY
ROLES,is_system_role,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,roles,is_system_role,NO,EXPLICIT,PASS,CORROBORATION ONLY
ROLES,is_protected,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,roles,is_protected,NO,EXPLICIT,PASS,CORROBORATION ONLY
ROLES,created_at,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,roles,created_at,YES,EXPLICIT,PASS,CORROBORATION ONLY
ROLES,updated_at,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,roles,updated_at,YES,EXPLICIT,PASS,CORROBORATION ONLY
URL_REDIRECTS,id,PHYSICAL_CORROBORATION,v2.0,PK,Exact logical attribute ↔ physical column.,url_redirects,id,NO,EXPLICIT,PASS,CORROBORATION ONLY
URL_REDIRECTS,old_path,PHYSICAL_CORROBORATION,v2.0,NOT NULL; UNIQUE,Exact logical attribute ↔ physical column.,url_redirects,old_path,NO,EXPLICIT,PASS,CORROBORATION ONLY
URL_REDIRECTS,new_path,PHYSICAL_CORROBORATION,v2.0,NOT NULL,Exact logical attribute ↔ physical column.,url_redirects,new_path,NO,EXPLICIT,PASS,CORROBORATION ONLY
URL_REDIRECTS,redirect_type,PHYSICAL_CORROBORATION,v2.0,NOT NULL,Exact logical attribute ↔ physical column.,url_redirects,redirect_type,NO,EXPLICIT,PASS,CORROBORATION ONLY
URL_REDIRECTS,reason,PHYSICAL_CORROBORATION,v2.0,,Exact logical attribute ↔ physical column.,url_redirects,reason,NO,PHYSICAL_CORROBORATION_WITH_NOTE,PASS,CORROBORATION ONLY
URL_REDIRECTS,entity_type,PHYSICAL_CORROBORATION,v2.0,,Exact logical attribute ↔ physical column.,url_redirects,entity_type,NO,PHYSICAL_CORROBORATION_WITH_NOTE,PASS,CORROBORATION ONLY
URL_REDIRECTS,entity_id,PHYSICAL_CORROBORATION,v2.0,,Exact logical attribute ↔ physical column.,url_redirects,entity_id,NO,PHYSICAL_CORROBORATION_WITH_NOTE,PASS,CORROBORATION ONLY
URL_REDIRECTS,created_at,PHYSICAL_CORROBORATION,v2.0,NOT NULL,Exact logical attribute ↔ physical column.,url_redirects,created_at,YES,EXPLICIT,PASS,CORROBORATION ONLY
REF_CITIES,id,PHYSICAL_CORROBORATION,Core v1.3,PK,Exact logical attribute ↔ physical column.,ref_cities,id,NO,EXPLICIT,PASS,CORROBORATION ONLY
REF_CITIES,province_id,PHYSICAL_CORROBORATION,Core v1.3,NOT NULL; FK→ref_provinces.id,Exact logical attribute ↔ physical column.,ref_cities,province_id,NO,EXPLICIT,PASS,CORROBORATION ONLY
REF_CITIES,code,PHYSICAL_CORROBORATION,Core v1.3,NOT NULL; UNIQUE,Exact logical attribute ↔ physical column.,ref_cities,code,NO,EXPLICIT,PASS,CORROBORATION ONLY
REF_CITIES,name,PHYSICAL_CORROBORATION,Core v1.3,NOT NULL,Exact logical attribute ↔ physical column.,ref_cities,name,NO,EXPLICIT,PASS,CORROBORATION ONLY
REF_CITIES,type,PHYSICAL_CORROBORATION,Core v1.3,NOT NULL,Exact logical attribute ↔ physical column.,ref_cities,type,NO,EXPLICIT,PASS,CORROBORATION ONLY
ROLE_PERMISSIONS,id,PHYSICAL_CORROBORATION,v1.1,PK,Exact logical attribute ↔ physical column.,role_permissions,id,NO,EXPLICIT,PASS,CORROBORATION ONLY
ROLE_PERMISSIONS,role_id,PHYSICAL_CORROBORATION,v1.1,NOT NULL; FK→roles.id,Exact logical attribute ↔ physical column.,role_permissions,role_id,NO,EXPLICIT,PASS,CORROBORATION ONLY
ROLE_PERMISSIONS,permission_id,PHYSICAL_CORROBORATION,v1.1,NOT NULL; FK→permissions.id,Exact logical attribute ↔ physical column.,role_permissions,permission_id,NO,EXPLICIT,PASS,CORROBORATION ONLY
ROLE_PERMISSIONS,granted_scope,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,role_permissions,granted_scope,NO,EXPLICIT,PASS,CORROBORATION ONLY
ROLE_PERMISSIONS,editable_by_role_code,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,role_permissions,editable_by_role_code,NO,EXPLICIT,PASS,CORROBORATION ONLY
ROLE_PERMISSIONS,updated_by,PHYSICAL_CORROBORATION,v1.1,,Exact logical attribute ↔ physical column.,role_permissions,updated_by,NO,PHYSICAL_CORROBORATION_WITH_NOTE,PASS,CORROBORATION ONLY
ROLE_PERMISSIONS,updated_at,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,role_permissions,updated_at,YES,EXPLICIT,PASS,CORROBORATION ONLY
USERS,id,PHYSICAL_CORROBORATION,v1.1,PK,Exact logical attribute ↔ physical column.,users,id,NO,EXPLICIT,PASS,CORROBORATION ONLY
USERS,email,PHYSICAL_CORROBORATION,v1.1,NOT NULL; UNIQUE,Exact logical attribute ↔ physical column.,users,email,NO,EXPLICIT,PASS,CORROBORATION ONLY
USERS,phone,PHYSICAL_CORROBORATION,v1.1,UNIQUE,Exact logical attribute ↔ physical column.,users,phone,NO,EXPLICIT,PASS,CORROBORATION ONLY
USERS,password_hash,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,users,password_hash,NO,EXPLICIT,PASS,CORROBORATION ONLY
USERS,role_id,PHYSICAL_CORROBORATION,v1.1,NOT NULL; FK→roles.id,Exact logical attribute ↔ physical column.,users,role_id,NO,EXPLICIT,PASS,CORROBORATION ONLY
USERS,status,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,users,status,YES,EXPLICIT,PASS,CORROBORATION ONLY
USERS,email_verified_at,PHYSICAL_CORROBORATION,v1.1,,Exact logical attribute ↔ physical column.,users,email_verified_at,NO,PHYSICAL_CORROBORATION_WITH_NOTE,PASS,CORROBORATION ONLY
USERS,last_login_at,PHYSICAL_CORROBORATION,v1.1,,Exact logical attribute ↔ physical column.,users,last_login_at,YES,PHYSICAL_CORROBORATION_WITH_NOTE,PASS,CORROBORATION ONLY
USERS,deleted_at,PHYSICAL_CORROBORATION,v1.1,,Exact logical attribute ↔ physical column.,users,deleted_at,YES,PHYSICAL_CORROBORATION_WITH_NOTE,PASS,CORROBORATION ONLY
USERS,created_at,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,users,created_at,YES,EXPLICIT,PASS,CORROBORATION ONLY
USERS,updated_at,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,users,updated_at,YES,EXPLICIT,PASS,CORROBORATION ONLY
AGENT_AI_CONNECTIONS,id,PHYSICAL_CORROBORATION,v1.1,PK,Exact logical attribute ↔ physical column.,agent_ai_connections,id,NO,EXPLICIT,PASS,CORROBORATION ONLY
AGENT_AI_CONNECTIONS,user_id,PHYSICAL_CORROBORATION,v1.1,NOT NULL; FK→users.id,Exact logical attribute ↔ physical column.,agent_ai_connections,user_id,NO,EXPLICIT,PASS,CORROBORATION ONLY
AGENT_AI_CONNECTIONS,provider_id,PHYSICAL_CORROBORATION,v1.1,NOT NULL; FK→ai_providers.id,Exact logical attribute ↔ physical column.,agent_ai_connections,provider_id,NO,EXPLICIT,PASS,CORROBORATION ONLY
AGENT_AI_CONNECTIONS,encrypted_api_key,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,agent_ai_connections,encrypted_api_key,NO,EXPLICIT,PASS,CORROBORATION ONLY
AGENT_AI_CONNECTIONS,status,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,agent_ai_connections,status,YES,EXPLICIT,PASS,CORROBORATION ONLY
AGENT_AI_CONNECTIONS,last_validated_at,PHYSICAL_CORROBORATION,v1.1,,Exact logical attribute ↔ physical column.,agent_ai_connections,last_validated_at,YES,PHYSICAL_CORROBORATION_WITH_NOTE,PASS,CORROBORATION ONLY
AGENT_AI_CONNECTIONS,connected_at,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,agent_ai_connections,connected_at,NO,EXPLICIT,PASS,CORROBORATION ONLY
AGENT_AI_CONNECTIONS,created_at,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,agent_ai_connections,created_at,YES,EXPLICIT,PASS,CORROBORATION ONLY
AGENT_AI_CONNECTIONS,updated_at,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,agent_ai_connections,updated_at,YES,EXPLICIT,PASS,CORROBORATION ONLY
AGENT_PROFILES,id,PHYSICAL_CORROBORATION,v1.1,PK,Exact logical attribute ↔ physical column.,agent_profiles,id,NO,EXPLICIT,PASS,CORROBORATION ONLY
AGENT_PROFILES,user_id,PHYSICAL_CORROBORATION,v1.1,NOT NULL; UNIQUE; FK→users.id,Exact logical attribute ↔ physical column.,agent_profiles,user_id,NO,EXPLICIT,PASS,CORROBORATION ONLY
AGENT_PROFILES,full_name,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,agent_profiles,full_name,NO,EXPLICIT,PASS,CORROBORATION ONLY
AGENT_PROFILES,avatar_url,PHYSICAL_CORROBORATION,v1.1,,Exact logical attribute ↔ physical column.,agent_profiles,avatar_url,NO,PHYSICAL_CORROBORATION_WITH_NOTE,PASS,CORROBORATION ONLY
AGENT_PROFILES,bio,PHYSICAL_CORROBORATION,v1.1,,Exact logical attribute ↔ physical column.,agent_profiles,bio,NO,PHYSICAL_CORROBORATION_WITH_NOTE,PASS,CORROBORATION ONLY
AGENT_PROFILES,specialization,PHYSICAL_CORROBORATION,v1.1,,Exact logical attribute ↔ physical column.,agent_profiles,specialization,NO,PHYSICAL_CORROBORATION_WITH_NOTE,PASS,CORROBORATION ONLY
AGENT_PROFILES,coverage_area,PHYSICAL_CORROBORATION,v1.1,,Exact logical attribute ↔ physical column.,agent_profiles,coverage_area,NO,PHYSICAL_CORROBORATION_WITH_NOTE,PASS,CORROBORATION ONLY
AGENT_PROFILES,office_name,PHYSICAL_CORROBORATION,v1.1,,Exact logical attribute ↔ physical column.,agent_profiles,office_name,NO,PHYSICAL_CORROBORATION_WITH_NOTE,PASS,CORROBORATION ONLY
AGENT_PROFILES,license_number,PHYSICAL_CORROBORATION,v1.1,,Exact logical attribute ↔ physical column.,agent_profiles,license_number,NO,PHYSICAL_CORROBORATION_WITH_NOTE,PASS,CORROBORATION ONLY
AGENT_PROFILES,whatsapp_number,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,agent_profiles,whatsapp_number,NO,EXPLICIT,PASS,CORROBORATION ONLY
AGENT_PROFILES,contact_visibility,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,agent_profiles,contact_visibility,NO,EXPLICIT,PASS,CORROBORATION ONLY
AGENT_PROFILES,public_slug,PHYSICAL_CORROBORATION,v1.1,NOT NULL; UNIQUE,Exact logical attribute ↔ physical column.,agent_profiles,public_slug,NO,EXPLICIT,PASS,CORROBORATION ONLY
AGENT_PROFILES,total_listings_sold,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,agent_profiles,total_listings_sold,NO,EXPLICIT,PASS,CORROBORATION ONLY
AGENT_PROFILES,total_listings_rented,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,agent_profiles,total_listings_rented,NO,EXPLICIT,PASS,CORROBORATION ONLY
AGENT_PROFILES,deleted_at,PHYSICAL_CORROBORATION,v1.1,,Exact logical attribute ↔ physical column.,agent_profiles,deleted_at,YES,PHYSICAL_CORROBORATION_WITH_NOTE,PASS,CORROBORATION ONLY
AGENT_PROFILES,created_at,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,agent_profiles,created_at,YES,EXPLICIT,PASS,CORROBORATION ONLY
AGENT_PROFILES,updated_at,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,agent_profiles,updated_at,YES,EXPLICIT,PASS,CORROBORATION ONLY
AGENT_PROFILES,ktp_requirement_state,LOGICAL_AUGMENTATION,v1.1,DEFERRED / NOT_PROVIDED remains representable as outstanding KTP requirement | M01 logical augmentation,No exact physical column; deferred KTP remains semantic state.,,,YES,EXPLICIT,PASS,NOT PHYSICAL CLAIM
AGENT_PROFILES,profile_visibility,LOGICAL_AUGMENTATION,v1.1,PUBLIC / PRIVATE; default PUBLIC | M02 logical semantic augmentation,No exact physical column; contact_visibility is not equivalent to whole-profile visibility.,,,NO,EXPLICIT,PASS,NOT PHYSICAL CLAIM
AGENT_PROFILES,public_cta_enabled,LOGICAL_AUGMENTATION,v1.1,Explicit Agent opt-in for public contact/WhatsApp CTA | M02 logical semantic augmentation,No exact physical column; public CTA opt-in remains downstream.,,,NO,EXPLICIT,PASS,NOT PHYSICAL CLAIM
AGENT_REVIEWS,id,PHYSICAL_CORROBORATION,v1.1,PK,Exact logical attribute ↔ physical column.,agent_reviews,id,NO,EXPLICIT,PASS,CORROBORATION ONLY
AGENT_REVIEWS,agent_id,PHYSICAL_CORROBORATION,v1.1,NOT NULL; FK→users.id,Exact logical attribute ↔ physical column.,agent_reviews,agent_id,NO,EXPLICIT,PASS,CORROBORATION ONLY
AGENT_REVIEWS,buyer_id,PHYSICAL_CORROBORATION,v1.1,FK→users.id,Exact logical attribute ↔ physical column.,agent_reviews,buyer_id,NO,EXPLICIT,PASS,CORROBORATION ONLY
AGENT_REVIEWS,listing_lead_id,PHYSICAL_CORROBORATION,v1.1,,Exact logical attribute ↔ physical column.,agent_reviews,listing_lead_id,NO,PHYSICAL_CORROBORATION_WITH_NOTE,PASS,CORROBORATION ONLY
AGENT_REVIEWS,reviewer_name,PHYSICAL_CORROBORATION,v1.1,,Exact logical attribute ↔ physical column.,agent_reviews,reviewer_name,NO,PHYSICAL_CORROBORATION_WITH_NOTE,PASS,CORROBORATION ONLY
AGENT_REVIEWS,rating,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,agent_reviews,rating,NO,EXPLICIT,PASS,CORROBORATION ONLY
AGENT_REVIEWS,comment,PHYSICAL_CORROBORATION,v1.1,,Exact logical attribute ↔ physical column.,agent_reviews,comment,NO,PHYSICAL_CORROBORATION_WITH_NOTE,PASS,CORROBORATION ONLY
AGENT_REVIEWS,status,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,agent_reviews,status,YES,EXPLICIT,PASS,CORROBORATION ONLY
AGENT_REVIEWS,moderated_by,PHYSICAL_CORROBORATION,v1.1,FK→users.id,Exact logical attribute ↔ physical column.,agent_reviews,moderated_by,NO,EXPLICIT,PASS,CORROBORATION ONLY
AGENT_REVIEWS,moderated_at,PHYSICAL_CORROBORATION,v1.1,,Exact logical attribute ↔ physical column.,agent_reviews,moderated_at,YES,PHYSICAL_CORROBORATION_WITH_NOTE,PASS,CORROBORATION ONLY
AGENT_REVIEWS,deleted_at,PHYSICAL_CORROBORATION,v1.1,,Exact logical attribute ↔ physical column.,agent_reviews,deleted_at,YES,PHYSICAL_CORROBORATION_WITH_NOTE,PASS,CORROBORATION ONLY
AGENT_REVIEWS,created_at,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,agent_reviews,created_at,YES,EXPLICIT,PASS,CORROBORATION ONLY
AGENT_VERIFICATION_DOCUMENTS,id,PHYSICAL_CORROBORATION,v1.1,PK,Exact logical attribute ↔ physical column.,agent_verification_documents,id,NO,EXPLICIT,PASS,CORROBORATION ONLY
AGENT_VERIFICATION_DOCUMENTS,user_id,PHYSICAL_CORROBORATION,v1.1,NOT NULL; FK→users.id,Exact logical attribute ↔ physical column.,agent_verification_documents,user_id,NO,EXPLICIT,PASS,CORROBORATION ONLY
AGENT_VERIFICATION_DOCUMENTS,doc_type,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,agent_verification_documents,doc_type,NO,EXPLICIT,PASS,CORROBORATION ONLY
AGENT_VERIFICATION_DOCUMENTS,file_url,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,agent_verification_documents,file_url,NO,EXPLICIT,PASS,CORROBORATION ONLY
AGENT_VERIFICATION_DOCUMENTS,encrypted,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,agent_verification_documents,encrypted,NO,EXPLICIT,PASS,CORROBORATION ONLY
AGENT_VERIFICATION_DOCUMENTS,review_status,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,agent_verification_documents,review_status,YES,EXPLICIT,PASS,CORROBORATION ONLY
AGENT_VERIFICATION_DOCUMENTS,reviewed_by,PHYSICAL_CORROBORATION,v1.1,FK→users.id,Exact logical attribute ↔ physical column.,agent_verification_documents,reviewed_by,NO,EXPLICIT,PASS,CORROBORATION ONLY
AGENT_VERIFICATION_DOCUMENTS,rejection_reason,PHYSICAL_CORROBORATION,v1.1,,Exact logical attribute ↔ physical column.,agent_verification_documents,rejection_reason,NO,PHYSICAL_CORROBORATION_WITH_NOTE,PASS,CORROBORATION ONLY
AGENT_VERIFICATION_DOCUMENTS,created_at,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,agent_verification_documents,created_at,YES,EXPLICIT,PASS,CORROBORATION ONLY
COURSES,id,PHYSICAL_CORROBORATION,v1.2,PK,Exact logical attribute ↔ physical column.,courses,id,NO,EXPLICIT,PASS,CORROBORATION ONLY
COURSES,title,PHYSICAL_CORROBORATION,v1.2,NOT NULL,Exact logical attribute ↔ physical column.,courses,title,NO,EXPLICIT,PASS,CORROBORATION ONLY
COURSES,category,PHYSICAL_CORROBORATION,v1.2,,Exact logical attribute ↔ physical column.,courses,category,NO,PHYSICAL_CORROBORATION_WITH_NOTE,PASS,CORROBORATION ONLY
COURSES,description,PHYSICAL_CORROBORATION,v1.2,,Exact logical attribute ↔ physical column.,courses,description,NO,PHYSICAL_CORROBORATION_WITH_NOTE,PASS,CORROBORATION ONLY
COURSES,prerequisite_course_id,PHYSICAL_CORROBORATION,v1.2,FK→courses.id,Exact logical attribute ↔ physical column.,courses,prerequisite_course_id,NO,EXPLICIT,PASS,CORROBORATION ONLY
COURSES,passing_grade,PHYSICAL_CORROBORATION,v1.2,NOT NULL,Exact logical attribute ↔ physical column.,courses,passing_grade,NO,EXPLICIT,PASS,CORROBORATION ONLY
COURSES,status,PHYSICAL_CORROBORATION,v1.2,NOT NULL,Exact logical attribute ↔ physical column.,courses,status,YES,EXPLICIT,PASS,CORROBORATION ONLY
COURSES,created_by,PHYSICAL_CORROBORATION,v1.2,NOT NULL; FK→users.id,Exact logical attribute ↔ physical column.,courses,created_by,NO,EXPLICIT,PASS,CORROBORATION ONLY
COURSES,deleted_at,PHYSICAL_CORROBORATION,v1.2,,Exact logical attribute ↔ physical column.,courses,deleted_at,YES,PHYSICAL_CORROBORATION_WITH_NOTE,PASS,CORROBORATION ONLY
COURSES,created_at,PHYSICAL_CORROBORATION,v1.2,NOT NULL,Exact logical attribute ↔ physical column.,courses,created_at,YES,EXPLICIT,PASS,CORROBORATION ONLY
COURSES,updated_at,PHYSICAL_CORROBORATION,v1.2,NOT NULL,Exact logical attribute ↔ physical column.,courses,updated_at,YES,EXPLICIT,PASS,CORROBORATION ONLY
DBR_CONFIG,id,PHYSICAL_CORROBORATION,v1.1,PK,Exact logical attribute ↔ physical column.,dbr_config,id,NO,EXPLICIT,PASS,CORROBORATION ONLY
DBR_CONFIG,dbr_threshold_percent,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,dbr_config,dbr_threshold_percent,NO,EXPLICIT,PASS,CORROBORATION ONLY
DBR_CONFIG,default_interest_rate,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,dbr_config,default_interest_rate,NO,EXPLICIT,PASS,CORROBORATION ONLY
DBR_CONFIG,updated_by,PHYSICAL_CORROBORATION,v1.1,FK→users.id,Exact logical attribute ↔ physical column.,dbr_config,updated_by,NO,EXPLICIT,PASS,CORROBORATION ONLY
DBR_CONFIG,updated_at,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,dbr_config,updated_at,YES,EXPLICIT,PASS,CORROBORATION ONLY
DEVELOPER_PARTNERS,id,PHYSICAL_CORROBORATION,v1.5,PK,Exact logical attribute ↔ physical column.,developer_partners,id,NO,EXPLICIT,PASS,CORROBORATION ONLY
DEVELOPER_PARTNERS,company_name,PHYSICAL_CORROBORATION,v1.5,NOT NULL,Exact logical attribute ↔ physical column.,developer_partners,company_name,NO,EXPLICIT,PASS,CORROBORATION ONLY
DEVELOPER_PARTNERS,pic_name,PHYSICAL_CORROBORATION,v1.5,,Exact logical attribute ↔ physical column.,developer_partners,pic_name,NO,PHYSICAL_CORROBORATION_WITH_NOTE,PASS,CORROBORATION ONLY
DEVELOPER_PARTNERS,pic_contact,PHYSICAL_CORROBORATION,v1.5,,Exact logical attribute ↔ physical column.,developer_partners,pic_contact,NO,PHYSICAL_CORROBORATION_WITH_NOTE,PASS,CORROBORATION ONLY
DEVELOPER_PARTNERS,user_id,PHYSICAL_CORROBORATION,v1.5,FK→users.id,Exact logical attribute ↔ physical column.,developer_partners,user_id,NO,EXPLICIT,PASS,CORROBORATION ONLY
DEVELOPER_PARTNERS,status,PHYSICAL_CORROBORATION,v1.5,NOT NULL,Exact logical attribute ↔ physical column.,developer_partners,status,YES,EXPLICIT,PASS,CORROBORATION ONLY
DEVELOPER_PARTNERS,deleted_at,PHYSICAL_CORROBORATION,v1.5,,Exact logical attribute ↔ physical column.,developer_partners,deleted_at,YES,PHYSICAL_CORROBORATION_WITH_NOTE,PASS,CORROBORATION ONLY
DEVELOPER_PARTNERS,created_at,PHYSICAL_CORROBORATION,v1.5,NOT NULL,Exact logical attribute ↔ physical column.,developer_partners,created_at,YES,EXPLICIT,PASS,CORROBORATION ONLY
DEVELOPER_PARTNERS,company_logo,LOGICAL_AUGMENTATION,v1.5,Company logo | M06 semantic locked; physical realization downstream,No exact physical column.,,,NO,EXPLICIT,PASS,NOT PHYSICAL CLAIM
DEVELOPER_PARTNERS,description,LOGICAL_AUGMENTATION,v1.5,Free-text “Tentang Developer” | M06 semantic locked; physical realization downstream,No exact physical column.,,,NO,EXPLICIT,PASS,NOT PHYSICAL CLAIM
NOTIFICATIONS,id,PHYSICAL_CORROBORATION,v1.1,PK,Exact logical attribute ↔ physical column.,notifications,id,NO,EXPLICIT,PASS,CORROBORATION ONLY
NOTIFICATIONS,user_id,PHYSICAL_CORROBORATION,v1.1,NOT NULL; FK→users.id,Exact logical attribute ↔ physical column.,notifications,user_id,NO,EXPLICIT,PASS,CORROBORATION ONLY
NOTIFICATIONS,type,PHYSICAL_CORROBORATION,v1.1,NOT NULL,Exact logical attribute ↔ physical column.,notifications,type,NO,EXPLICIT,PASS,CORROBORATION ONLY
